index,syst,chain,tm1,tm2,min,max,pdb
   0,5wun_C_A-B-C_0,A,0.275,0.092,0.092,0.275,5wun
   1,1oby_Q_A-B-P-Q_0,A,0.687,0.854,0.687,0.854,1oby
   2,1oby_Q_A-B-P-Q_0,B,0.688,0.865,0.688,0.865,1oby
   3,3rc4_B_A-B_0,A,0.287,0.179,0.179,0.287,3rc4
   4,1b05_B_A-B_0,A,0.392,0.102,0.102,0.392,1b05
   5,4xal_B_A-B_0,A,0.226,0.236,0.226,0.236,4xal
   6,2wa8_D_C-D_1,C,0.295,0.282,0.282,0.295,2wa8
   7,2v17_A_A-H-L_0,L,0.299,0.172,0.172,0.299,2v17
   8,2v17_A_A-H-L_0,H,0.305,0.174,0.174,0.305,2v17
   9,4j47_B_A-B_0,A,0.273,0.295,0.273,0.295,4j47
  10,4b3b_C_A-C_0,A,0.281,0.164,0.164,0.281,4b3b
  11,2b6n_B_A-B_0,A,0.400,0.181,0.181,0.400,2b6n
  12,2bgr_Y_A-B-Y-Z_0,A,0.334,0.073,0.073,0.334,2bgr
  13,1sts_P_B-D-M-P_0,D,0.336,0.290,0.290,0.336,1sts
  14,1sts_P_B-D-M-P_0,A,0.342,0.291,0.291,0.342,1sts
  15,2zjd_D_C-D_5,C,0.394,0.332,0.332,0.394,2zjd
  16,2zgh_B_A-B_0,A,0.332,0.190,0.190,0.332,2zgh
  17,1lvm_C_A-C-E_0,A,0.303,0.173,0.173,0.303,1lvm
  18,1b40_B_A-B_0,A,0.366,0.099,0.099,0.366,1b40
  19,4ezq_B_A-B_1,A,0.301,0.173,0.173,0.301,4ezq
  20,3g19_C_A-C_0,A,0.303,0.331,0.303,0.331,3g19
  21,3tcg_I_A-I_0,A,0.351,0.104,0.104,0.351,3tcg
  22,3cww_E_A-B-D-E_0,A,0.381,0.063,0.063,0.381,3cww
  23,1rzx_B_A-B_0,A,0.751,0.738,0.738,0.751,1rzx
  24,5gu4_C_A-C_0,A,0.312,0.175,0.175,0.312,5gu4
  25,4z88_V_J-V_1,J,0.266,0.330,0.266,0.330,4z88
  26,6hpg_c_C-c_2,C,0.222,0.199,0.199,0.222,6hpg
  27,2hpl_B_A-B_0,A,0.337,0.330,0.330,0.337,2hpl
  28,3rt9_B_A-B_0,F,0.382,0.115,0.115,0.382,3rt9
  29,3rt9_B_A-B_0,A,0.382,0.115,0.115,0.382,3rt9
  30,4quh_D_A-C-D-I-J_0,A,0.343,0.200,0.200,0.343,4quh
  31,4j09_B_A-B_0,A,0.292,0.135,0.135,0.292,4j09
  32,4j09_B_A-B_0,C,0.292,0.135,0.135,0.292,4j09
  33,4gne_B_A-B_0,A,0.259,0.256,0.256,0.259,4gne
  34,3nij_B_A-B_0,A,0.285,0.321,0.285,0.321,3nij
  35,4joh_D_A-D_0,A,0.718,0.780,0.718,0.780,4joh
  36,5t6p_E_C-D-E_1,D,0.313,0.180,0.180,0.313,5t6p
  37,5t6p_E_C-D-E_1,C,0.289,0.171,0.171,0.289,5t6p
  38,4j78_B_A-B_0,A,0.332,0.147,0.147,0.332,4j78
  39,5azf_C_A-C_0,A,0.398,0.343,0.343,0.398,5azf
  40,1b58_B_A-B_0,A,0.404,0.102,0.102,0.404,1b58
  41,4dgb_B_A-B_0,A,0.357,0.254,0.254,0.357,4dgb
  42,1b4z_B_A-B_0,A,0.405,0.103,0.103,0.405,1b4z
