index,syst,chain,tm1,tm2,min,max,pdb
   0,1b40_B_A-B_0,A,0.302,0.164,0.164,0.302,1b40
   1,4k3o_E_A-B-E_0,A,0.273,0.190,0.190,0.273,4k3o
   2,1ddv_B_A-B_0,A,0.220,0.371,0.220,0.371,1ddv
   3,1b46_B_A-B_0,A,0.309,0.159,0.159,0.309,1b46
   4,5b74_D_A-B-D_0,B,0.202,0.292,0.202,0.292,5b74
   5,5v5p_A_A-B-C_0,C,0.252,0.152,0.152,0.252,5v5p
   6,3q49_C_B-C_0,B,0.177,0.246,0.177,0.246,3q49
   7,1b51_B_A-B_0,A,0.314,0.161,0.161,0.314,1b51
   8,4dgb_B_A-B_0,A,0.224,0.271,0.224,0.271,4dgb
   9,4zhb_B_A-B_0,A,0.190,0.302,0.190,0.302,4zhb
  10,1sdz_B_A-B_0,A,0.199,0.336,0.199,0.336,1sdz
  11,5oj5_B_A-B_0,A,0.274,0.212,0.212,0.274,5oj5
  12,5huy_B_A-B-C_0,C,0.245,0.150,0.150,0.245,5huy
  13,4j44_B_A-B_0,A,0.167,0.312,0.167,0.312,4j44
  14,3g19_C_A-C_0,A,0.217,0.414,0.217,0.414,3g19
  15,2wa8_D_C-D_1,C,0.223,0.363,0.223,0.363,2wa8
  16,4quh_D_A-C-D-I-J_0,A,0.277,0.261,0.261,0.277,4quh
  17,4z0u_D_A-D_0,A,0.242,0.307,0.242,0.307,4z0u
  18,5ovc_B_A-B_0,A,0.191,0.346,0.191,0.346,5ovc
  19,1b5i_B_A-B_0,A,0.294,0.156,0.156,0.294,1b5i
  20,4c2g_B_A-B-C_0,A,0.312,0.181,0.181,0.312,4c2g
  21,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.263,0.382,0.263,0.382,1kl5
  22,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.264,0.385,0.264,0.385,1kl5
  23,6hpg_c_C-c_2,C,0.188,0.285,0.188,0.285,6hpg
  24,1czy_D_A-B-C-D-E_0,A,0.289,0.349,0.289,0.349,1czy
  25,5nqv_G_A-C-E-G_0,C,0.234,0.254,0.234,0.254,5nqv
