index,syst,chain,tm1,tm2,min,max,pdb
   0,1ddv_B_A-B_0,A,0.174,0.376,0.174,0.376,1ddv
   1,2zjd_D_C-D_5,C,0.169,0.330,0.169,0.330,2zjd
   2,2foo_B_A-B_0,A,0.178,0.300,0.178,0.300,2foo
   3,1oby_Q_A-B-P-Q_0,A,0.196,0.697,0.196,0.697,1oby
   4,1oby_Q_A-B-P-Q_0,B,0.197,0.706,0.197,0.706,1oby
   5,3shb_B_A-B_0,A,0.098,0.266,0.098,0.266,3shb
   6,5jjm_G_A-G-M_0,A,0.230,0.264,0.230,0.264,5jjm
   7,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.131,0.305,0.131,0.305,1xb0
   8,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.133,0.302,0.133,0.302,1xb0
   9,2fib_B_A-B_0,A,0.248,0.286,0.248,0.286,2fib
  10,4xi7_C_A-C_0,A,0.312,0.276,0.276,0.312,4xi7
  11,5d9g_C_A-C_0,A,0.272,0.318,0.272,0.318,5d9g
  12,4jok_D_B-D_1,B,0.213,0.654,0.213,0.654,4jok
  13,5oj5_B_A-B_0,A,0.263,0.260,0.260,0.263,5oj5
  14,5fox_C_A-C_0,A,0.210,0.262,0.210,0.262,5fox
  15,4faf_D_A-B-D_0,A,0.180,0.418,0.180,0.418,4faf
  16,4faf_D_A-B-D_0,B,0.179,0.422,0.179,0.422,4faf
  17,4cic_Q_A-B-Q_0,A,0.199,0.365,0.199,0.365,4cic
  18,4cic_Q_A-B-Q_0,B,0.198,0.365,0.198,0.365,4cic
  19,2orz_B_A-B_0,A,0.305,0.300,0.300,0.305,2orz
  20,4jor_D_B-D_1,B,0.212,0.653,0.212,0.653,4jor
  21,1b5j_B_A-B_0,A,0.290,0.200,0.200,0.290,1b5j
  22,1evh_B_A-B_0,A,0.152,0.314,0.152,0.314,1evh
  23,4b3b_C_A-C_0,A,0.218,0.270,0.218,0.270,4b3b
  24,1b05_B_A-B_0,A,0.308,0.210,0.210,0.308,1b05
  25,1v1t_S_A-B-S-T_0,B,0.218,0.392,0.218,0.392,1v1t
  26,4dgb_B_A-B_0,A,0.196,0.303,0.196,0.303,4dgb
  27,2y7l_B_A-B_0,A,0.283,0.279,0.279,0.283,2y7l
  28,5iz2_Z_A-B-Z_0,B,0.158,0.293,0.158,0.293,5iz2
  29,3t64_F_A-B-C-F_0,A,0.193,0.315,0.193,0.315,3t64
  30,3t64_F_A-B-C-F_0,B,0.176,0.317,0.176,0.317,3t64
  31,4bjt_E_B-E_2,B,0.217,0.353,0.217,0.353,4bjt
  32,3nfl_G_B-C-F-G_5,C,0.202,0.599,0.202,0.599,3nfl
  33,1se0_B_A-B_0,A,0.145,0.323,0.145,0.323,1se0
  34,2v1r_R_A-Q-R_0,A,0.127,0.428,0.127,0.428,2v1r
  35,4hxj_C_A-C_0,A,0.105,0.362,0.105,0.362,4hxj
  36,1b5i_B_A-B_0,A,0.302,0.206,0.206,0.302,1b5i
  37,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.285,0.259,0.259,0.285,2ot0
  38,3rt9_B_A-B_0,F,0.292,0.207,0.207,0.292,3rt9
  39,3rt9_B_A-B_0,A,0.292,0.207,0.207,0.292,3rt9
  40,4ouc_B_A-B_0,A,0.264,0.250,0.250,0.264,4ouc
  41,2r9q_X_A-C-X_1,C,0.271,0.256,0.256,0.271,2r9q
  42,2hl3_C_A-B-C_0,A,0.144,0.443,0.144,0.443,2hl3
  43,2hl3_C_A-B-C_0,B,0.134,0.354,0.134,0.354,2hl3
  44,4g69_B_A-B_0,A,0.214,0.586,0.214,0.586,4g69
  45,4od7_E_C-E_2,C,0.204,0.290,0.204,0.290,4od7
  46,1elr_B_A-B_0,A,0.185,0.338,0.185,0.338,1elr
  47,1hsb_C_A-B-C_0,A,0.248,0.268,0.248,0.268,1hsb
  48,3sxu_C_A-B-C_0,A,0.188,0.315,0.188,0.315,3sxu
  49,1str_M_B-D-M-P_0,C,0.163,0.308,0.163,0.308,1str
  50,1str_M_B-D-M-P_0,B,0.165,0.312,0.165,0.312,1str
  51,4ba3_B_A-B_0,A,0.294,0.232,0.232,0.294,4ba3
  52,3nfk_D_A-B-C-D_2,B,0.208,0.609,0.208,0.609,3nfk
  53,5xup_D_A-B-C-D_0,B,0.234,0.322,0.234,0.322,5xup
  54,3mqr_B_A-B_0,A,0.178,0.314,0.178,0.314,3mqr
  55,3nii_B_A-B_0,A,0.151,0.417,0.151,0.417,3nii
  56,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.275,0.251,0.251,0.275,4tr9
  57,4pz3_C_A-B-C_0,B,0.197,0.314,0.197,0.314,4pz3
  58,3thk_C_A-C_0,A,0.116,0.467,0.116,0.467,3thk
  59,5kzt_C_A-C_0,A,0.316,0.218,0.218,0.316,5kzt
  60,5oav_B_A-B_0,A,0.124,0.463,0.124,0.463,5oav
  61,3ebb_F_A-B-E-F_0,B,0.236,0.262,0.236,0.262,3ebb
  62,3o2b_D_C-D_1,C,0.152,0.315,0.152,0.315,3o2b
  63,4jwd_C_B-C_1,B,0.261,0.334,0.261,0.334,4jwd
  64,4gne_B_A-B_0,A,0.148,0.323,0.148,0.323,4gne
  65,2h2f_B_A-B_0,A,0.211,0.256,0.211,0.256,2h2f
  66,3woo_C_A-B-C-D_0,A,0.537,0.249,0.249,0.537,3woo
  67,5t6p_E_C-D-E_1,D,0.253,0.335,0.253,0.335,5t6p
  68,5t6p_E_C-D-E_1,C,0.238,0.300,0.238,0.300,5t6p
  69,1b3g_B_A-B_0,A,0.294,0.200,0.200,0.294,1b3g
  70,6fkp_G_C-G_2,C,0.101,0.303,0.101,0.303,6fkp
  71,3gv4_H_A-H_0,A,0.138,0.341,0.138,0.341,3gv4
  72,4o51_N_A-B-N_1,A,0.245,0.313,0.245,0.313,4o51
  73,4o51_N_A-B-N_1,B,0.247,0.312,0.247,0.312,4o51
  74,2v3s_C_B-C_1,B,0.142,0.323,0.142,0.323,2v3s
  75,4c2g_B_A-B-C_0,A,0.273,0.212,0.212,0.273,4c2g
  76,4j77_D_B-D_1,B,0.265,0.268,0.265,0.268,4j77
  77,2fop_B_A-B_0,A,0.178,0.302,0.178,0.302,2fop
  78,1a30_C_A-B-C_0,A,0.180,0.423,0.180,0.423,1a30
  79,1a30_C_A-B-C_0,B,0.180,0.424,0.180,0.424,1a30
