index,syst,chain,tm1,tm2,min,max,pdb
   0,3psl_D_B-D_1,B,0.236,0.191,0.191,0.236,3psl
   1,4ny3_C_A-C_0,A,0.301,0.239,0.239,0.301,4ny3
   2,5tu5_B_A-B_0,A,0.274,0.224,0.224,0.274,5tu5
   3,4j44_B_A-B_0,A,0.159,0.304,0.159,0.304,4j44
   4,3cbl_B_A-B_0,A,0.324,0.225,0.225,0.324,3cbl
   5,1b51_B_A-B_0,A,0.356,0.185,0.185,0.356,1b51
   6,2ce9_X_A-B-X_0,A,0.253,0.186,0.186,0.253,2ce9
   7,2v17_A_A-H-L_0,L,0.927,0.943,0.927,0.943,2v17
   8,2v17_A_A-H-L_0,H,0.743,0.731,0.731,0.743,2v17
   9,3ou3_C_A-B-C_0,A,0.170,0.298,0.170,0.298,3ou3
  10,3ou3_C_A-B-C_0,B,0.173,0.293,0.173,0.293,3ou3
  11,3t64_F_A-B-C-F_0,A,0.270,0.347,0.270,0.347,3t64
  12,3t64_F_A-B-C-F_0,B,0.271,0.387,0.271,0.387,3t64
  13,4b3b_C_A-C_0,A,0.242,0.238,0.238,0.242,4b3b
  14,3oqs_B_A-B_0,A,0.257,0.157,0.157,0.257,3oqs
  15,4gyo_C_A-B-C-D_0,B,0.244,0.171,0.171,0.244,4gyo
  16,5elq_P_A-P_0,A,0.170,0.302,0.170,0.302,5elq
  17,3hda_Z_P-Z_0,P,0.312,0.209,0.209,0.312,3hda
  18,4hxj_C_A-C_0,A,0.128,0.297,0.128,0.297,4hxj
  19,2ipu_P_G-K-P_1,G,0.765,0.762,0.762,0.765,2ipu
  20,2ipu_P_G-K-P_1,K,0.984,0.979,0.979,0.984,2ipu
  21,4ezn_C_A-B-C-D_0,A,0.244,0.249,0.244,0.249,4ezn
  22,2dze_X_A-B-X_0,A,0.347,0.438,0.347,0.438,2dze
  23,2dze_X_A-B-X_0,B,0.347,0.438,0.347,0.438,2dze
  24,1lvm_C_A-C-E_0,A,0.209,0.202,0.202,0.209,1lvm
  25,2g30_S_A-P-S_0,A,0.349,0.334,0.334,0.349,2g30
  26,3rt9_B_A-B_0,F,0.311,0.171,0.171,0.311,3rt9
  27,3rt9_B_A-B_0,A,0.311,0.171,0.171,0.311,3rt9
  28,4iim_E_A-B-C-D-E_0,B,0.131,0.313,0.131,0.313,4iim
  29,5sxm_D_B-D_1,B,0.241,0.192,0.192,0.241,5sxm
  30,3zin_C_A-B-C_0,A,0.241,0.149,0.149,0.241,3zin
  31,1wcy_C_A-B-C-D_0,A,0.312,0.125,0.125,0.312,1wcy
  32,1tw6_C_A-B-C-D_2,F,0.177,0.317,0.177,0.317,1tw6
  33,1tw6_C_A-B-C-D_2,A,0.177,0.324,0.177,0.324,1tw6
  34,2x6m_B_A-B_0,A,0.444,0.734,0.444,0.734,2x6m
  35,3ivq_D_B-D_1,B,0.284,0.408,0.284,0.408,3ivq
  36,4faf_D_A-B-D_0,A,0.184,0.308,0.184,0.308,4faf
  37,4faf_D_A-B-D_0,B,0.185,0.313,0.185,0.313,4faf
  38,4jop_C_A-C_0,A,0.184,0.350,0.184,0.350,4jop
  39,4apo_D_B-D_1,B,0.237,0.304,0.237,0.304,4apo
  40,4o4y_A_A-H-L_0,L,0.757,0.754,0.754,0.757,4o4y
  41,4o4y_A_A-H-L_0,H,0.704,0.712,0.704,0.712,4o4y
  42,4quh_D_A-C-D-I-J_0,A,0.241,0.231,0.231,0.241,4quh
  43,3soq_Z_A-Z_0,A,0.256,0.202,0.202,0.256,3soq
  44,5iz2_Z_A-B-Z_0,B,0.245,0.365,0.245,0.365,5iz2
  45,3cww_E_A-B-D-E_0,A,0.358,0.116,0.116,0.358,3cww
  46,3gq1_C_A-C_0,A,0.205,0.400,0.205,0.400,3gq1
  47,1a7c_B_A-B-C_0,A,0.321,0.224,0.224,0.321,1a7c
  48,1fch_C_A-B-C-D_2,F,0.258,0.209,0.209,0.258,1fch
  49,1fch_C_A-B-C-D_2,A,0.260,0.208,0.208,0.260,1fch
  50,1obz_P_A-B-P_0,A,0.238,0.287,0.238,0.287,1obz
  51,3drj_B_A-B_0,A,0.383,0.185,0.185,0.383,3drj
  52,5fpk_C_A-C_0,A,0.244,0.238,0.238,0.244,5fpk
  53,3v43_Q_A-Q_0,A,0.187,0.278,0.187,0.278,3v43
  54,3wor_C_A-B-C-D_0,A,0.343,0.140,0.140,0.343,3wor
  55,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.184,0.356,0.184,0.356,2y1l
  56,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.194,0.248,0.194,0.248,2y1l
  57,5t6p_E_C-D-E_1,D,0.583,0.609,0.583,0.609,5t6p
  58,5t6p_E_C-D-E_1,C,0.725,0.731,0.725,0.731,5t6p
  59,3rte_B_A-B_0,G,0.304,0.170,0.170,0.304,3rte
  60,3rte_B_A-B_0,A,0.304,0.170,0.170,0.304,3rte
  61,1sua_C_A-C_0,A,0.271,0.237,0.237,0.271,1sua
  62,4c2g_B_A-B-C_0,A,0.286,0.172,0.172,0.286,4c2g
  63,5fgb_G_B-E-G_1,E,0.637,0.649,0.637,0.649,5fgb
  64,5fgb_G_B-E-G_1,B,0.724,0.741,0.724,0.741,5fgb
  65,4wnn_T_C-D-T_3,D,0.137,0.241,0.137,0.241,4wnn
  66,4wnn_T_C-D-T_3,C,0.169,0.324,0.169,0.324,4wnn
  67,4es0_C_A-C_0,A,0.239,0.191,0.191,0.239,4es0
  68,4cic_Q_A-B-Q_0,A,0.217,0.304,0.217,0.304,4cic
  69,4cic_Q_A-B-Q_0,B,0.214,0.298,0.214,0.298,4cic
  70,1b4z_B_A-B_0,A,0.355,0.184,0.184,0.355,1b4z
  71,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.239,0.174,0.174,0.239,4tr9
  72,3lny_B_A-B_0,A,0.171,0.313,0.171,0.313,3lny
  73,1olc_B_A-B_0,A,0.357,0.186,0.186,0.357,1olc
  74,3jrv_D_B-D_1,B,0.199,0.260,0.199,0.260,3jrv
  75,6ew9_P_A-B-C-P-Q-R_0,A,0.337,0.264,0.264,0.337,6ew9
  76,4bjt_E_B-E_2,B,0.201,0.258,0.201,0.258,4bjt
  77,4ikn_B_A-B_0,A,0.333,0.300,0.300,0.333,4ikn
  78,1oxn_F_E-F_7,E,0.177,0.319,0.177,0.319,1oxn
  79,4j09_B_A-B_0,A,0.239,0.213,0.213,0.239,4j09
  80,4j09_B_A-B_0,C,0.239,0.213,0.213,0.239,4j09
  81,3nil_X_D-X_2,D,0.183,0.376,0.183,0.376,3nil
  82,3nij_B_A-B_0,A,0.172,0.344,0.172,0.344,3nij
  83,2foo_B_A-B_0,A,0.277,0.394,0.277,0.394,2foo
  84,3ufm_B_A-B_0,A,0.254,0.244,0.244,0.254,3ufm
  85,3fwv_C_A-C_0,A,0.190,0.270,0.190,0.270,3fwv
  86,4k3m_E_A-B-E_0,A,0.265,0.186,0.186,0.265,4k3m
  87,1d00_I_A-I_0,A,0.273,0.332,0.273,0.332,1d00
  88,2f5b_P_H-L-P_0,L,0.884,0.899,0.884,0.899,2f5b
  89,2f5b_P_H-L-P_0,H,0.751,0.715,0.715,0.751,2f5b
  90,3drh_B_A-B_0,A,0.379,0.183,0.183,0.379,3drh
  91,5xup_D_A-B-C-D_0,B,0.225,0.242,0.225,0.242,5xup
  92,1se0_B_A-B_0,A,0.186,0.325,0.186,0.325,1se0
  93,1u9l_C_B-C_1,B,0.134,0.282,0.134,0.282,1u9l
  94,4k3q_E_A-B-E_0,A,0.274,0.194,0.194,0.274,4k3q
  95,5jiu_C_A-B-C-D_0,A,0.223,0.230,0.223,0.230,5jiu
  96,6eja_B_A-B_0,A,0.362,0.138,0.138,0.362,6eja
  97,1a30_C_A-B-C_0,A,0.171,0.298,0.171,0.298,1a30
  98,1a30_C_A-B-C_0,B,0.170,0.298,0.170,0.298,1a30
