index,syst,chain,tm1,tm2,min,max,pdb
   0,3jrv_D_B-D_1,B,0.311,0.234,0.234,0.311,3jrv
   1,5grg_D_A-B-C-D_0,A,0.294,0.143,0.143,0.294,5grg
   2,3nil_X_D-X_2,D,0.268,0.283,0.268,0.283,3nil
   3,3srj_D_A-C-D_0,A,0.343,0.148,0.148,0.343,3srj
   4,5tu5_B_A-B_0,A,0.358,0.149,0.149,0.358,5tu5
   5,4ezz_B_A-B_1,A,0.323,0.169,0.169,0.323,4ezz
   6,4ztd_F_A-B-C-D-E-F_0,C,0.400,0.187,0.187,0.400,4ztd
   7,4j44_B_A-B_0,A,0.284,0.294,0.284,0.294,4j44
   8,5huy_B_A-B-C_0,C,0.247,0.077,0.077,0.247,5huy
   9,4bjt_E_B-E_2,B,0.346,0.244,0.244,0.346,4bjt
  10,4o51_N_A-B-N_1,A,0.292,0.161,0.161,0.292,4o51
  11,4o51_N_A-B-N_1,B,0.296,0.168,0.168,0.296,4o51
  12,3ebb_F_A-B-E-F_0,B,0.257,0.125,0.125,0.257,3ebb
  13,1oxn_F_E-F_7,E,0.290,0.281,0.281,0.290,1oxn
  14,3dri_B_A-B_0,A,0.371,0.090,0.090,0.371,3dri
  15,3woq_C_A-B-C-D_0,A,0.387,0.078,0.078,0.387,3woq
  16,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.350,0.128,0.128,0.350,2ot0
  17,3hds_E_A-D-E_0,D,0.300,0.264,0.264,0.300,3hds
  18,3hds_E_A-D-E_0,A,0.266,0.230,0.230,0.266,3hds
  19,1se0_B_A-B_0,A,0.274,0.261,0.261,0.274,1se0
  20,4o4y_A_A-H-L_0,L,0.276,0.159,0.159,0.276,4o4y
  21,4o4y_A_A-H-L_0,H,0.301,0.164,0.164,0.301,4o4y
  22,2ql9_G_A-B-C-D-E-F-G_0,D,0.286,0.281,0.281,0.286,2ql9
  23,2ql9_G_A-B-C-D-E-F-G_0,A,0.325,0.241,0.241,0.325,2ql9
  24,2ql9_G_A-B-C-D-E-F-G_0,C,0.326,0.241,0.241,0.326,2ql9
  25,2ql9_G_A-B-C-D-E-F-G_0,B,0.285,0.280,0.280,0.285,2ql9
  26,1b32_B_A-B_0,A,0.426,0.102,0.102,0.426,1b32
  27,1uop_B_A-B_0,A,0.367,0.070,0.070,0.367,1uop
  28,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.328,0.268,0.268,0.328,1kl3
  29,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.337,0.276,0.276,0.337,1kl3
  30,4j09_B_A-B_0,A,0.304,0.133,0.133,0.304,4j09
  31,4j09_B_A-B_0,C,0.304,0.133,0.133,0.304,4j09
  32,4jok_D_B-D_1,B,0.769,0.784,0.769,0.784,4jok
  33,4k3m_E_A-B-E_0,A,0.409,0.140,0.140,0.409,4k3m
  34,3nim_X_F-X_3,F,0.267,0.282,0.267,0.282,3nim
  35,2zgh_B_A-B_0,A,0.352,0.183,0.183,0.352,2zgh
  36,1hsb_C_A-B-C_0,A,0.318,0.156,0.156,0.318,1hsb
  37,4j86_C_A-C_0,A,0.340,0.137,0.137,0.340,4j86
  38,1b5j_B_A-B_0,A,0.415,0.103,0.103,0.415,1b5j
  39,6ew9_P_A-B-C-P-Q-R_0,A,0.650,0.220,0.220,0.650,6ew9
  40,4r5i_B_A-B_0,A,0.301,0.165,0.165,0.301,4r5i
  41,3lny_B_A-B_0,A,0.772,0.737,0.737,0.772,3lny
  42,3nih_B_A-B_0,A,0.271,0.289,0.271,0.289,3nih
  43,3nik_X_D-X_2,D,0.268,0.280,0.268,0.280,3nik
  44,4kg9_B_A-B_0,A,0.319,0.243,0.243,0.319,4kg9
  45,1yti_I_A-I_0,A,0.292,0.273,0.273,0.292,1yti
  46,1yti_I_A-I_0,B,0.292,0.273,0.273,0.292,1yti
  47,4ezy_B_A-B_2,A,0.322,0.168,0.168,0.322,4ezy
  48,2v5w_G_B-G-L_1,B,0.347,0.130,0.130,0.347,2v5w
  49,3uoa_L_B-C-L-M_0,B,0.345,0.117,0.117,0.345,3uoa
  50,1s2k_B_A-B_0,A,0.317,0.192,0.192,0.317,1s2k
  51,2hpl_B_A-B_0,A,0.328,0.304,0.304,0.328,2hpl
  52,2wa8_D_C-D_1,C,0.316,0.286,0.286,0.316,2wa8
  53,4z0u_D_A-D_0,A,0.321,0.225,0.225,0.321,4z0u
  54,3ifo_P_H-L-P_0,L,0.296,0.162,0.162,0.296,3ifo
  55,3ifo_P_H-L-P_0,H,0.327,0.172,0.172,0.327,3ifo
  56,4b8o_C_A-B-C_0,A,0.240,0.081,0.081,0.240,4b8o
  57,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.336,0.274,0.274,0.336,1kl5
  58,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.330,0.269,0.269,0.330,1kl5
  59,4c2c_B_A-B-C_0,A,0.657,0.154,0.154,0.657,4c2c
  60,4pxm_D_A-B-C-D_0,B,0.401,0.216,0.216,0.401,4pxm
  61,2v17_A_A-H-L_0,L,0.295,0.164,0.164,0.295,2v17
  62,2v17_A_A-H-L_0,H,0.322,0.174,0.174,0.322,2v17
  63,5oav_B_A-B_0,A,0.309,0.420,0.309,0.420,5oav
  64,6cd9_B_A-B_0,A,0.366,0.239,0.239,0.366,6cd9
  65,2g30_S_A-P-S_0,A,0.313,0.148,0.148,0.313,2g30
  66,3q49_C_B-C_0,B,0.251,0.196,0.196,0.251,3q49
  67,1d0a_G_A-B-C-G-H-I_0,A,0.392,0.252,0.252,0.392,1d0a
  68,4hxj_C_A-C_0,A,0.310,0.410,0.310,0.410,4hxj
  69,4iim_E_A-B-C-D-E_0,B,0.277,0.375,0.277,0.375,4iim
  70,5gu4_C_A-C_0,A,0.343,0.168,0.168,0.343,5gu4
  71,3cww_E_A-B-D-E_0,A,0.308,0.047,0.047,0.308,3cww
  72,1kyd_P_A-P_0,A,0.314,0.146,0.146,0.314,1kyd
  73,1lvm_C_A-C-E_0,A,0.360,0.193,0.193,0.360,1lvm
  74,3drk_B_A-B_0,A,0.348,0.093,0.093,0.348,3drk
  75,4jwd_C_B-C_1,B,0.316,0.166,0.166,0.316,4jwd
  76,4pz3_C_A-B-C_0,B,0.344,0.242,0.242,0.344,4pz3
  77,1evh_B_A-B_0,A,0.274,0.240,0.240,0.274,1evh
  78,4v3i_B_A-B_0,A,0.297,0.220,0.220,0.297,4v3i
  79,2f5b_P_H-L-P_0,L,0.297,0.165,0.165,0.297,2f5b
  80,2f5b_P_H-L-P_0,H,0.305,0.158,0.158,0.305,2f5b
  81,1a30_C_A-B-C_0,A,0.280,0.265,0.265,0.280,1a30
  82,1a30_C_A-B-C_0,B,0.288,0.272,0.272,0.288,1a30
  83,1b40_B_A-B_0,A,0.417,0.101,0.101,0.417,1b40
  84,5eyz_E_A-E_0,A,0.789,0.758,0.758,0.789,5eyz
  85,5xup_D_A-B-C-D_0,B,0.357,0.196,0.196,0.357,5xup
  86,1d00_I_A-I_0,A,0.362,0.230,0.230,0.362,1d00
  87,5wir_D_A-B-C-D_0,B,0.313,0.176,0.176,0.313,5wir
  88,1b05_B_A-B_0,A,0.415,0.103,0.103,0.415,1b05
  89,4j45_B_A-B_0,A,0.289,0.300,0.289,0.300,4j45
  90,4jor_D_B-D_1,B,0.757,0.772,0.757,0.772,4jor
  91,2zjd_D_C-D_5,C,0.415,0.333,0.333,0.415,2zjd
