index,syst,chain,tm1,tm2,min,max,pdb
   0,4kg9_B_A-B_0,A,0.325,0.257,0.257,0.325,4kg9
   1,4xi7_C_A-C_0,A,0.280,0.111,0.111,0.280,4xi7
   2,1ok7_C_A-B-C_0,B,0.373,0.130,0.130,0.373,1ok7
   3,4mvk_B_A-B_0,A,0.284,0.193,0.193,0.284,4mvk
   4,4pz3_C_A-B-C_0,B,0.276,0.197,0.197,0.276,4pz3
   5,4j86_C_A-C_0,A,0.302,0.138,0.138,0.302,4j86
   6,3rt9_B_A-B_0,F,0.437,0.104,0.104,0.437,3rt9
   7,3rt9_B_A-B_0,A,0.437,0.104,0.104,0.437,3rt9
   8,5sxm_D_B-D_1,B,0.264,0.119,0.119,0.264,5sxm
   9,4que_E_A-C-D-E-H-J_0,A,0.971,0.386,0.386,0.971,4que
  10,4ezy_B_A-B_2,A,0.356,0.193,0.193,0.356,4ezy
  11,1sua_C_A-C_0,A,0.397,0.182,0.182,0.397,1sua
  12,2fop_B_A-B_0,A,0.325,0.258,0.258,0.325,2fop
  13,4quh_D_A-C-D-I-J_0,A,0.973,0.388,0.388,0.973,4quh
  14,2v17_A_A-H-L_0,L,0.333,0.183,0.183,0.333,2v17
  15,2v17_A_A-H-L_0,H,0.326,0.174,0.174,0.326,2v17
  16,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.844,0.861,0.844,0.861,2y1l
  17,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.317,0.233,0.233,0.317,2y1l
  18,2nph_S_A-B-S-T_0,A,0.248,0.238,0.238,0.248,2nph
  19,2nph_S_A-B-S-T_0,B,0.238,0.229,0.229,0.238,2nph
  20,3dri_B_A-B_0,A,0.443,0.109,0.109,0.443,3dri
  21,2orz_B_A-B_0,A,0.314,0.130,0.130,0.314,2orz
  22,4b8o_C_A-B-C_0,A,0.273,0.081,0.081,0.273,4b8o
  23,4k3r_E_A-B-E_0,A,0.368,0.133,0.133,0.368,4k3r
  24,4faf_D_A-B-D_0,A,0.223,0.215,0.215,0.223,4faf
  25,4faf_D_A-B-D_0,B,0.238,0.229,0.229,0.238,4faf
  26,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.369,0.134,0.134,0.369,4tr9
  27,6fkp_G_C-G_2,C,0.208,0.286,0.208,0.286,6fkp
  28,6cd8_C_A-C_0,A,0.313,0.213,0.213,0.313,6cd8
  29,3qhw_L_A-B-J-L_0,B,0.426,0.195,0.195,0.426,3qhw
  30,5m5r_D_A-C-D_0,A,0.357,0.128,0.128,0.357,5m5r
  31,2ipu_P_G-K-P_1,G,0.318,0.174,0.174,0.318,2ipu
  32,2ipu_P_G-K-P_1,K,0.338,0.181,0.181,0.338,2ipu
  33,3q47_C_B-C_0,B,0.321,0.248,0.248,0.321,3q47
  34,1e4x_P_H-L-P_0,L,0.314,0.180,0.180,0.314,1e4x
  35,1e4x_P_H-L-P_0,H,0.322,0.173,0.173,0.322,1e4x
  36,5gu4_C_A-C_0,A,0.362,0.171,0.171,0.362,5gu4
  37,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.330,0.281,0.281,0.330,1kl5
  38,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.323,0.278,0.278,0.323,1kl5
  39,3thk_C_A-C_0,A,0.240,0.307,0.240,0.307,3thk
  40,3cbl_B_A-B_0,A,0.363,0.133,0.133,0.363,3cbl
  41,3zvy_D_B-D_0,B,0.185,0.221,0.185,0.221,3zvy
  42,5kzt_C_A-C_0,A,0.401,0.110,0.110,0.401,5kzt
  43,3oqs_B_A-B_0,A,0.277,0.086,0.086,0.277,3oqs
  44,4ojf_A_A-H-L_0,L,0.352,0.201,0.201,0.352,4ojf
  45,4ojf_A_A-H-L_0,H,0.312,0.175,0.175,0.312,4ojf
  46,3nil_X_D-X_2,D,0.236,0.254,0.236,0.254,3nil
  47,1b40_B_A-B_0,A,0.434,0.112,0.112,0.434,1b40
  48,3tcg_I_A-I_0,A,0.413,0.112,0.112,0.413,3tcg
  49,3drj_B_A-B_0,A,0.443,0.108,0.108,0.443,3drj
  50,3soq_Z_A-Z_0,A,0.333,0.148,0.148,0.333,3soq
  51,4j81_C_B-C_1,B,0.303,0.129,0.129,0.303,4j81
  52,3cww_E_A-B-D-E_0,A,0.471,0.069,0.069,0.471,3cww
  53,4ba3_B_A-B_0,A,0.277,0.087,0.087,0.277,4ba3
  54,1qka_B_A-B_0,A,0.435,0.112,0.112,0.435,1qka
  55,3mqr_B_A-B_0,A,0.323,0.258,0.258,0.323,3mqr
  56,4sga_P_E-P_0,E,0.271,0.173,0.173,0.271,4sga
  57,3t70_F_A-B-C-F_0,A,0.357,0.253,0.253,0.357,3t70
  58,3t70_F_A-B-C-F_0,B,0.354,0.267,0.267,0.354,3t70
  59,2y7l_B_A-B_0,A,0.356,0.152,0.152,0.356,2y7l
  60,1uop_B_A-B_0,A,0.389,0.080,0.080,0.389,1uop
  61,3fp2_Q_A-Q_0,A,0.360,0.103,0.103,0.360,3fp2
  62,2v1r_R_A-Q-R_0,A,0.247,0.299,0.247,0.299,2v1r
  63,3zs6_B_A-B_0,A,0.429,0.116,0.116,0.429,3zs6
  64,1czy_D_A-B-C-D-E_0,A,0.312,0.209,0.209,0.312,1czy
  65,3njj_B_A-B_0,A,0.279,0.249,0.249,0.279,3njj
  66,5y53_F_C-E-F_1,C,0.371,0.288,0.288,0.371,5y53
  67,5y53_F_C-E-F_1,E,0.386,0.297,0.297,0.386,5y53
  68,5iag_D_A-B-D_0,A,0.980,0.382,0.382,0.980,5iag
  69,1mfl_B_A-B_0,A,0.273,0.268,0.268,0.273,1mfl
  70,4od7_E_C-E_2,C,0.358,0.204,0.204,0.358,4od7
  71,4m38_E_A-B-E-F_0,A,0.326,0.122,0.122,0.326,4m38
  72,2v3s_C_B-C_1,B,0.344,0.335,0.335,0.344,2v3s
  73,1oxn_F_E-F_7,E,0.260,0.257,0.257,0.260,1oxn
  74,1hsb_C_A-B-C_0,A,0.289,0.155,0.155,0.289,1hsb
  75,5huy_B_A-B-C_0,C,0.288,0.086,0.086,0.288,5huy
  76,6cwp_F_A-B-F_0,A,0.434,0.184,0.184,0.434,6cwp
  77,6cwp_F_A-B-F_0,B,0.370,0.164,0.164,0.370,6cwp
  78,1str_M_B-D-M-P_0,C,0.328,0.278,0.278,0.328,1str
  79,1str_M_B-D-M-P_0,B,0.321,0.271,0.271,0.321,1str
  80,1b58_B_A-B_0,A,0.430,0.111,0.111,0.430,1b58
  81,4k3q_E_A-B-E_0,A,0.367,0.135,0.135,0.367,4k3q
  82,2dze_X_A-B-X_0,A,0.355,0.250,0.250,0.355,2dze
  83,2dze_X_A-B-X_0,B,0.356,0.246,0.246,0.356,2dze
  84,5grg_D_A-B-C-D_0,A,0.326,0.148,0.148,0.326,5grg
  85,4jor_D_B-D_1,B,0.283,0.294,0.283,0.294,4jor
  86,3g19_C_A-C_0,A,0.398,0.422,0.398,0.422,3g19
  87,6exj_B_A-B_0,A,0.281,0.286,0.281,0.286,6exj
  88,4j82_C_A-C_0,A,0.303,0.128,0.128,0.303,4j82
  89,5huw_B_A-B-C_0,C,0.286,0.085,0.085,0.286,5huw
  90,3f6k_N_A-N_0,A,0.362,0.079,0.079,0.362,3f6k
  91,1a30_C_A-B-C_0,A,0.246,0.236,0.236,0.246,1a30
  92,1a30_C_A-B-C_0,B,0.235,0.226,0.226,0.235,1a30
  93,1svz_C_A-B-C-D_0,A,0.302,0.158,0.158,0.302,1svz
  94,4cic_Q_A-B-Q_0,A,0.331,0.246,0.246,0.331,4cic
