index,syst,chain,tm1,tm2,min,max,pdb
   0,3nil_X_D-X_2,D,0.265,0.301,0.265,0.301,3nil
   1,3lny_B_A-B_0,A,0.251,0.257,0.251,0.257,3lny
   2,5fow_E_A-E_0,A,0.298,0.174,0.174,0.298,5fow
   3,2v3s_C_B-C_1,B,0.248,0.251,0.248,0.251,2v3s
   4,1evh_B_A-B_0,A,0.247,0.231,0.231,0.247,1evh
   5,2hl3_C_A-B-C_0,A,0.224,0.254,0.224,0.254,2hl3
   6,2hl3_C_A-B-C_0,B,0.222,0.256,0.222,0.256,2hl3
   7,3thk_C_A-C_0,A,0.211,0.286,0.211,0.286,3thk
   8,5v5p_A_A-B-C_0,C,0.291,0.098,0.098,0.291,5v5p
   9,4gyo_C_A-B-C-D_0,B,0.327,0.127,0.127,0.327,4gyo
  10,3vqg_B_A-B_0,A,0.259,0.282,0.259,0.282,3vqg
  11,5k4f_C_A-C_0,A,0.257,0.276,0.257,0.276,5k4f
  12,3rta_B_A-B_0,F,0.327,0.103,0.103,0.327,3rta
  13,3rta_B_A-B_0,A,0.327,0.103,0.103,0.327,3rta
  14,3t64_F_A-B-C-F_0,A,0.265,0.205,0.205,0.265,3t64
  15,3t64_F_A-B-C-F_0,B,0.245,0.198,0.198,0.245,3t64
  16,4r5i_B_A-B_0,A,0.299,0.169,0.169,0.299,4r5i
  17,1b3l_B_A-B_0,A,0.318,0.096,0.096,0.318,1b3l
  18,5fou_C_A-C_0,A,0.333,0.195,0.195,0.333,5fou
  19,5iz2_Z_A-B-Z_0,B,0.279,0.238,0.238,0.279,5iz2
  20,6cd8_C_A-C_0,A,0.356,0.253,0.253,0.356,6cd8
  21,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.306,0.126,0.126,0.306,4tr9
  22,1a30_C_A-B-C_0,A,0.239,0.237,0.237,0.239,1a30
  23,1a30_C_A-B-C_0,B,0.243,0.242,0.242,0.243,1a30
  24,3d9t_D_B-D_1,B,0.276,0.281,0.276,0.281,3d9t
  25,3ebb_F_A-B-E-F_0,B,0.328,0.166,0.166,0.328,3ebb
  26,4jok_D_B-D_1,B,0.253,0.270,0.253,0.270,4jok
  27,6cdg_B_A-B_0,A,0.352,0.254,0.254,0.352,6cdg
  28,3agy_C_A-B-C-D-F_0,A,0.259,0.174,0.174,0.259,3agy
  29,4g69_B_A-B_0,A,0.257,0.258,0.257,0.258,4g69
  30,3fp2_Q_A-Q_0,A,0.344,0.109,0.109,0.344,3fp2
  31,5elq_P_A-P_0,A,0.248,0.253,0.248,0.253,5elq
  32,1ddv_B_A-B_0,A,0.289,0.279,0.279,0.289,1ddv
  33,2foj_B_A-B_0,A,0.290,0.236,0.236,0.290,2foj
  34,3q47_C_B-C_0,B,0.320,0.260,0.260,0.320,3q47
  35,3zvy_D_B-D_0,B,0.409,0.574,0.409,0.574,3zvy
  36,5iag_D_A-B-D_0,A,0.354,0.191,0.191,0.354,5iag
  37,5nqv_G_A-C-E-G_0,C,0.283,0.188,0.188,0.283,5nqv
  38,1b58_B_A-B_0,A,0.325,0.102,0.102,0.325,1b58
  39,1u9l_C_B-C_1,B,0.238,0.281,0.238,0.281,1u9l
  40,2bgr_Y_A-B-Y-Z_0,A,0.393,0.089,0.089,0.393,2bgr
  41,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.253,0.267,0.253,0.267,2y1l
  42,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.285,0.215,0.215,0.285,2y1l
  43,3woq_C_A-B-C-D_0,A,0.314,0.078,0.078,0.314,3woq
  44,6cd9_B_A-B_0,A,0.351,0.251,0.251,0.351,6cd9
  45,4mz6_A_A-C-E_0,E,0.293,0.104,0.104,0.293,4mz6
  46,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.276,0.246,0.246,0.276,1kl5
  47,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.314,0.279,0.279,0.314,1kl5
  48,3hds_E_A-D-E_0,D,0.240,0.225,0.225,0.240,3hds
  49,3hds_E_A-D-E_0,A,0.236,0.215,0.215,0.236,3hds
  50,1b40_B_A-B_0,A,0.324,0.096,0.096,0.324,1b40
  51,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.307,0.274,0.274,0.307,1kl3
  52,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.307,0.276,0.276,0.307,1kl3
  53,1lvm_C_A-C-E_0,A,0.314,0.176,0.176,0.314,1lvm
  54,2i3h_C_A-C_0,A,0.282,0.297,0.282,0.297,2i3h
  55,3v43_Q_A-Q_0,A,0.424,0.378,0.378,0.424,3v43
  56,3qhw_L_A-B-J-L_0,B,0.305,0.158,0.158,0.305,3qhw
  57,3drh_B_A-B_0,A,0.356,0.100,0.100,0.356,3drh
  58,3fwv_C_A-C_0,A,0.312,0.263,0.263,0.312,3fwv
  59,4zhb_B_A-B_0,A,0.265,0.256,0.256,0.265,4zhb
  60,3q49_C_B-C_0,B,0.309,0.253,0.253,0.309,3q49
  61,2d5w_C_A-C_0,A,0.367,0.094,0.094,0.367,2d5w
  62,3srj_D_A-C-D_0,A,0.287,0.140,0.140,0.287,3srj
  63,4rxh_A_A-B-C_0,B,0.326,0.104,0.104,0.326,4rxh
  64,1b32_B_A-B_0,A,0.350,0.104,0.104,0.350,1b32
  65,5fox_C_A-C_0,A,0.314,0.184,0.184,0.314,5fox
  66,4ouc_B_A-B_0,A,0.290,0.125,0.125,0.290,4ouc
  67,3drj_B_A-B_0,A,0.352,0.104,0.104,0.352,3drj
  68,1s2k_B_A-B_0,A,0.289,0.178,0.178,0.289,1s2k
  69,6fqc_E_A-B-D-E_0,A,0.299,0.127,0.127,0.299,6fqc
  70,4jmy_E_A-C-E_0,A,0.277,0.187,0.187,0.277,4jmy
  71,4odk_C_A-B-C_0,A,0.302,0.230,0.230,0.302,4odk
  72,4j46_B_A-B_0,A,0.279,0.304,0.279,0.304,4j46
  73,5jjm_G_A-G-M_0,A,0.271,0.144,0.144,0.271,5jjm
  74,5uw3_E_A-E_0,A,0.410,0.096,0.096,0.410,5uw3
  75,4o4y_A_A-H-L_0,L,0.299,0.176,0.176,0.299,4o4y
  76,4o4y_A_A-H-L_0,H,0.303,0.181,0.181,0.303,4o4y
  77,3dri_B_A-B_0,A,0.356,0.100,0.100,0.356,3dri
  78,4xal_B_A-B_0,A,0.205,0.215,0.205,0.215,4xal
  79,1w9e_S_A-B-R-S-T_0,B,0.259,0.192,0.192,0.259,1w9e
  80,4jwd_C_B-C_1,B,0.282,0.171,0.171,0.282,4jwd
  81,4k76_G_C-G_2,C,0.261,0.279,0.261,0.279,4k76
  82,1str_M_B-D-M-P_0,C,0.318,0.283,0.283,0.318,1str
  83,1str_M_B-D-M-P_0,B,0.325,0.285,0.285,0.325,1str
  84,3rt9_B_A-B_0,F,0.369,0.115,0.115,0.369,3rt9
  85,3rt9_B_A-B_0,A,0.369,0.115,0.115,0.369,3rt9
  86,1olc_B_A-B_0,A,0.328,0.102,0.102,0.328,1olc
  87,1uoq_B_A-B_0,A,0.411,0.096,0.096,0.411,1uoq
  88,5d9g_C_A-C_0,A,0.333,0.181,0.181,0.333,5d9g
  89,1b9j_B_A-B_0,A,0.327,0.101,0.101,0.327,1b9j
  90,1d00_I_A-I_0,A,0.335,0.234,0.234,0.335,1d00
