index,syst,chain,tm1,tm2,min,max,pdb
   0,4xi7_C_A-C_0,A,0.294,0.133,0.133,0.294,4xi7
   1,4gne_B_A-B_0,A,0.251,0.272,0.251,0.272,4gne
   2,3rc4_B_A-B_0,A,0.343,0.235,0.235,0.343,3rc4
   3,1b32_B_A-B_0,A,0.352,0.117,0.117,0.352,1b32
   4,2v5w_G_B-G-L_1,B,0.290,0.126,0.126,0.290,2v5w
   5,5ovc_B_A-B_0,A,0.672,0.763,0.672,0.763,5ovc
   6,5huw_B_A-B-C_0,C,0.240,0.093,0.093,0.240,5huw
   7,3oqs_B_A-B_0,A,0.241,0.096,0.096,0.241,3oqs
   8,4bjt_E_B-E_2,B,0.339,0.273,0.273,0.339,4bjt
   9,3qhw_L_A-B-J-L_0,B,0.345,0.189,0.189,0.345,3qhw
  10,1b05_B_A-B_0,A,0.355,0.119,0.119,0.355,1b05
  11,5yba_B_A-B-C-D_0,A,0.311,0.239,0.239,0.311,5yba
  12,4j09_B_A-B_0,A,0.236,0.141,0.141,0.236,4j09
  13,4j09_B_A-B_0,C,0.236,0.141,0.141,0.236,4j09
  14,1b40_B_A-B_0,A,0.360,0.120,0.120,0.360,1b40
  15,4cic_Q_A-B-Q_0,A,0.320,0.278,0.278,0.320,4cic
  16,4cic_Q_A-B-Q_0,B,0.319,0.278,0.278,0.319,4cic
  17,6exj_B_A-B_0,A,0.672,0.816,0.672,0.816,6exj
  18,1rzx_B_A-B_0,A,0.687,0.767,0.687,0.767,1rzx
  19,5fow_E_A-E_0,A,0.285,0.178,0.178,0.285,5fow
  20,1vwa_M_B-D-M-P_0,C,0.285,0.269,0.269,0.285,1vwa
  21,1vwa_M_B-D-M-P_0,B,0.295,0.276,0.276,0.295,1vwa
  22,3nij_B_A-B_0,A,0.248,0.296,0.248,0.296,3nij
  23,5fgb_G_B-E-G_1,E,0.316,0.203,0.203,0.316,5fgb
  24,5fgb_G_B-E-G_1,B,0.322,0.210,0.210,0.322,5fgb
  25,3thk_C_A-C_0,A,0.248,0.368,0.248,0.368,3thk
  26,4j8b_B_A-B_0,A,0.299,0.153,0.153,0.299,4j8b
  27,4ikn_B_A-B_0,A,0.361,0.201,0.201,0.361,4ikn
  28,4j78_B_A-B_0,A,0.319,0.160,0.160,0.319,4j78
  29,1olc_B_A-B_0,A,0.356,0.115,0.115,0.356,1olc
  30,6cdc_C_A-C_0,A,0.384,0.292,0.292,0.384,6cdc
  31,1kyf_P_A-P_0,A,0.297,0.170,0.170,0.297,1kyf
  32,5tu5_B_A-B_0,A,0.339,0.165,0.165,0.339,5tu5
  33,4sga_P_E-P_0,E,0.292,0.212,0.212,0.292,4sga
  34,3rte_B_A-B_0,G,0.366,0.125,0.125,0.366,3rte
  35,3rte_B_A-B_0,A,0.366,0.125,0.125,0.366,3rte
  36,1lvm_C_A-C-E_0,A,0.318,0.198,0.198,0.318,1lvm
  37,4quh_D_A-C-D-I-J_0,A,0.354,0.211,0.211,0.354,4quh
  38,4ba3_B_A-B_0,A,0.242,0.093,0.093,0.242,4ba3
  39,3cww_E_A-B-D-E_0,A,0.322,0.063,0.063,0.322,3cww
  40,5m5u_G_A-E-G_0,A,0.318,0.138,0.138,0.318,5m5u
  41,3uf7_B_A-B-C_0,A,0.363,0.221,0.221,0.363,3uf7
  42,4z8j_B_A-B_0,A,0.689,0.784,0.689,0.784,4z8j
  43,2i3h_C_A-C_0,A,0.251,0.285,0.251,0.285,2i3h
  44,2ipu_P_G-K-P_1,G,0.335,0.208,0.208,0.335,2ipu
  45,2ipu_P_G-K-P_1,K,0.338,0.213,0.213,0.338,2ipu
  46,4j44_B_A-B_0,A,0.269,0.320,0.269,0.320,4j44
  47,3ivq_D_B-D_1,B,0.366,0.314,0.314,0.366,3ivq
  48,4mz6_A_A-C-E_0,E,0.244,0.097,0.097,0.244,4mz6
  49,3soq_Z_A-Z_0,A,0.321,0.154,0.154,0.321,3soq
  50,2zgh_B_A-B_0,A,0.360,0.218,0.218,0.360,2zgh
  51,3o2b_D_C-D_1,C,0.278,0.288,0.278,0.288,3o2b
  52,3s9c_B_A-B_0,A,0.357,0.217,0.217,0.357,3s9c
  53,4c2g_B_A-B-C_0,A,0.610,0.171,0.171,0.610,4c2g
  54,1tw6_C_A-B-C-D_2,F,0.251,0.272,0.251,0.272,1tw6
