index,syst,chain,tm1,tm2,min,max,pdb
   0,3upv_B_A-B_0,A,0.389,0.884,0.389,0.884,3upv
   1,3drj_B_A-B_0,A,0.341,0.215,0.215,0.341,3drj
   2,2bgr_Y_A-B-Y-Z_0,A,0.383,0.192,0.192,0.383,2bgr
   3,3ny3_B_A-B_0,A,0.103,0.283,0.103,0.283,3ny3
   4,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.316,0.283,0.283,0.316,2ot0
   5,2zjd_D_C-D_5,C,0.180,0.354,0.180,0.354,2zjd
   6,4jmy_E_A-C-E_0,A,0.271,0.379,0.271,0.379,4jmy
   7,4j86_C_A-C_0,A,0.308,0.305,0.305,0.308,4j86
   8,3o2b_D_C-D_1,C,0.149,0.353,0.149,0.353,3o2b
   9,4j45_B_A-B_0,A,0.141,0.318,0.141,0.318,4j45
  10,2i3h_C_A-C_0,A,0.151,0.373,0.151,0.373,2i3h
  11,3ou3_C_A-B-C_0,A,0.178,0.384,0.178,0.384,3ou3
  12,3ou3_C_A-B-C_0,B,0.178,0.383,0.178,0.383,3ou3
  13,2orz_B_A-B_0,A,0.231,0.223,0.223,0.231,2orz
  14,5tu5_B_A-B_0,A,0.306,0.306,0.306,0.306,5tu5
  15,4k3r_E_A-B-E_0,A,0.211,0.184,0.184,0.211,4k3r
  16,1sua_C_A-C_0,A,0.311,0.339,0.311,0.339,1sua
  17,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.223,0.243,0.223,0.243,5fjz
  18,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.221,0.242,0.221,0.242,5fjz
  19,4es0_C_A-C_0,A,0.325,0.319,0.319,0.325,4es0
  20,3hda_Z_P-Z_0,P,0.290,0.243,0.243,0.290,3hda
  21,3ifo_P_H-L-P_0,L,0.209,0.258,0.209,0.258,3ifo
  22,3ifo_P_H-L-P_0,H,0.213,0.265,0.213,0.265,3ifo
  23,5jiu_C_A-B-C-D_0,A,0.273,0.349,0.273,0.349,5jiu
