index,syst,chain,tm1,tm2,min,max,pdb
   0,4m38_E_A-B-E-F_0,A,0.369,0.147,0.147,0.369,4m38
   1,1b9j_B_A-B_0,A,0.321,0.102,0.102,0.321,1b9j
   2,2fop_B_A-B_0,A,0.386,0.308,0.308,0.386,2fop
   3,4ny3_C_A-C_0,A,0.364,0.163,0.163,0.364,4ny3
   4,4o4y_A_A-H-L_0,L,0.316,0.175,0.175,0.316,4o4y
   5,4o4y_A_A-H-L_0,H,0.337,0.194,0.194,0.337,4o4y
   6,3woq_C_A-B-C-D_0,A,0.391,0.091,0.091,0.391,3woq
   7,4jjq_B_A-B_0,A,0.386,0.306,0.306,0.386,4jjq
   8,4jmy_E_A-C-E_0,A,0.322,0.216,0.216,0.322,4jmy
   9,5ovc_B_A-B_0,A,0.938,0.966,0.938,0.966,5ovc
  10,1kyd_P_A-P_0,A,0.313,0.164,0.164,0.313,1kyd
  11,1svz_C_A-B-C-D_0,A,0.329,0.180,0.180,0.329,1svz
  12,2i3h_C_A-C_0,A,0.255,0.269,0.255,0.269,2i3h
  13,1a30_C_A-B-C_0,A,0.282,0.282,0.282,0.282,1a30
  14,1a30_C_A-B-C_0,B,0.288,0.288,0.288,0.288,1a30
  15,4g69_B_A-B_0,A,0.759,0.773,0.759,0.773,4g69
  16,3drk_B_A-B_0,A,0.360,0.092,0.092,0.360,3drk
  17,5jjm_G_A-G-M_0,A,0.368,0.202,0.202,0.368,5jjm
  18,2wa8_D_C-D_1,C,0.291,0.284,0.284,0.291,2wa8
  19,3mmg_C_A-C_0,A,0.275,0.175,0.175,0.275,3mmg
  20,2ql9_G_A-B-C-D-E-F-G_0,D,0.291,0.304,0.291,0.304,2ql9
  21,2ql9_G_A-B-C-D-E-F-G_0,A,0.301,0.238,0.238,0.301,2ql9
  22,2ql9_G_A-B-C-D-E-F-G_0,C,0.268,0.216,0.216,0.268,2ql9
  23,2ql9_G_A-B-C-D-E-F-G_0,B,0.285,0.297,0.285,0.297,2ql9
