index,syst,chain,tm1,tm2,min,max,pdb
   0,1oby_Q_A-B-P-Q_0,A,0.330,0.287,0.287,0.330,1oby
   1,1oby_Q_A-B-P-Q_0,B,0.355,0.305,0.305,0.355,1oby
   2,1mfl_B_A-B_0,A,0.400,0.277,0.277,0.400,1mfl
   3,2g30_S_A-P-S_0,A,0.427,0.144,0.144,0.427,2g30
   4,6hpg_c_C-c_2,C,0.280,0.177,0.177,0.280,6hpg
   5,1wcy_C_A-B-C-D_0,A,0.359,0.052,0.052,0.359,1wcy
   6,3ufm_B_A-B_0,A,0.328,0.134,0.134,0.328,3ufm
   7,3dri_B_A-B_0,A,0.422,0.072,0.072,0.422,3dri
   8,5xup_D_A-B-C-D_0,B,0.291,0.132,0.132,0.291,5xup
   9,4k3p_E_A-B-E_0,A,0.396,0.092,0.092,0.396,4k3p
  10,1b46_B_A-B_0,A,0.383,0.069,0.069,0.383,1b46
  11,3ziq_B_A-B-C_0,A,0.289,0.072,0.072,0.289,3ziq
  12,3woq_C_A-B-C-D_0,A,0.365,0.056,0.056,0.365,3woq
  13,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.324,0.247,0.247,0.324,2y1l
  14,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.324,0.184,0.184,0.324,2y1l
  15,2zgh_B_A-B_0,A,0.327,0.132,0.132,0.327,2zgh
  16,6cd8_C_A-C_0,A,0.392,0.181,0.181,0.392,6cd8
  17,3drk_B_A-B_0,A,0.423,0.073,0.073,0.423,3drk
  18,3t64_F_A-B-C-F_0,A,0.348,0.185,0.185,0.348,3t64
  19,3t64_F_A-B-C-F_0,B,0.345,0.202,0.202,0.345,3t64
  20,1sts_P_B-D-M-P_0,D,0.299,0.201,0.201,0.299,1sts
  21,1sts_P_B-D-M-P_0,A,0.356,0.217,0.217,0.356,1sts
  22,6cdc_C_A-C_0,A,0.393,0.178,0.178,0.393,6cdc
  23,4gyo_C_A-B-C-D_0,B,0.308,0.079,0.079,0.308,4gyo
  24,1hsb_C_A-B-C_0,A,0.297,0.105,0.105,0.297,1hsb
  25,2dze_X_A-B-X_0,A,0.400,0.182,0.182,0.400,2dze
  26,2dze_X_A-B-X_0,B,0.398,0.182,0.182,0.398,2dze
  27,3drj_B_A-B_0,A,0.422,0.072,0.072,0.422,3drj
  28,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.358,0.122,0.122,0.358,2z9i
  29,4cic_Q_A-B-Q_0,A,0.310,0.170,0.170,0.310,4cic
  30,4cic_Q_A-B-Q_0,B,0.309,0.171,0.171,0.309,4cic
  31,3rte_B_A-B_0,G,0.323,0.059,0.059,0.323,3rte
  32,3rte_B_A-B_0,A,0.323,0.059,0.059,0.323,3rte
  33,4fys_C_A-C_0,A,0.314,0.037,0.037,0.314,4fys
  34,3nik_X_D-X_2,D,0.322,0.250,0.250,0.322,3nik
  35,1uop_B_A-B_0,A,0.382,0.051,0.051,0.382,1uop
  36,4ezw_E_A-E_0,A,0.445,0.156,0.156,0.445,4ezw
  37,3njj_B_A-B_0,A,0.401,0.250,0.250,0.401,3njj
  38,3cww_E_A-B-D-E_0,A,0.337,0.042,0.042,0.337,3cww
  39,4jwd_C_B-C_1,B,0.441,0.155,0.155,0.441,4jwd
  40,4f75_C_A-B-C-D_0,A,0.342,0.258,0.258,0.342,4f75
  41,4f75_C_A-B-C-D_0,B,0.336,0.256,0.256,0.336,4f75
  42,5elq_P_A-P_0,A,0.410,0.292,0.292,0.410,5elq
  43,5huw_B_A-B-C_0,C,0.273,0.069,0.069,0.273,5huw
  44,5fou_C_A-C_0,A,0.362,0.145,0.145,0.362,5fou
  45,5e6o_E_B-E_1,B,0.301,0.207,0.207,0.301,5e6o
  46,3m5o_C_A-C_0,A,0.326,0.139,0.139,0.326,3m5o
  47,5m5u_G_A-E-G_0,A,0.408,0.090,0.090,0.408,5m5u
  48,4xi7_C_A-C_0,A,0.590,0.128,0.128,0.590,4xi7
  49,5fgb_G_B-E-G_1,E,0.349,0.131,0.131,0.349,5fgb
