index,syst,chain,tm1,tm2,min,max,pdb
   0,5ovv_B_A-B_0,A,0.209,0.338,0.209,0.338,5ovv
   1,3cww_E_A-B-D-E_0,A,0.322,0.095,0.095,0.322,3cww
   2,4fii_B_A-B_0,A,0.304,0.237,0.237,0.304,4fii
   3,5iza_B_A-B_0,A,0.315,0.213,0.213,0.315,5iza
   4,6exj_B_A-B_0,A,0.203,0.350,0.203,0.350,6exj
   5,6fqc_E_A-B-D-E_0,A,0.302,0.211,0.211,0.302,6fqc
   6,1d0a_G_A-B-C-G-H-I_0,A,0.265,0.295,0.265,0.295,1d0a
   7,4z0u_D_A-D_0,A,0.247,0.293,0.247,0.293,4z0u
   8,2fop_B_A-B_0,A,0.253,0.326,0.253,0.326,2fop
   9,5fch_C_A-B-C_0,A,0.327,0.196,0.196,0.327,5fch
  10,5fch_C_A-B-C_0,B,0.327,0.198,0.198,0.327,5fch
  11,4kg9_B_A-B_0,A,0.253,0.325,0.253,0.325,4kg9
  12,5e6o_E_B-E_1,B,0.244,0.350,0.244,0.350,5e6o
  13,2ql9_G_A-B-C-D-E-F-G_0,D,0.188,0.311,0.188,0.311,2ql9
  14,2ql9_G_A-B-C-D-E-F-G_0,A,0.248,0.314,0.248,0.314,2ql9
  15,2ql9_G_A-B-C-D-E-F-G_0,C,0.247,0.312,0.247,0.312,2ql9
  16,2ql9_G_A-B-C-D-E-F-G_0,B,0.189,0.311,0.189,0.311,2ql9
  17,3q47_C_B-C_0,B,0.222,0.294,0.222,0.294,3q47
  18,3drh_B_A-B_0,A,0.313,0.144,0.144,0.313,3drh
  19,3d9t_D_B-D_1,B,0.213,0.357,0.213,0.357,3d9t
  20,1a7c_B_A-B-C_0,A,0.272,0.180,0.180,0.272,1a7c
  21,5ovc_B_A-B_0,A,0.203,0.332,0.203,0.332,5ovc
  22,4jok_D_B-D_1,B,0.201,0.350,0.201,0.350,4jok
  23,1olc_B_A-B_0,A,0.337,0.162,0.162,0.337,1olc
  24,3drj_B_A-B_0,A,0.314,0.147,0.147,0.314,3drj
  25,3drk_B_A-B_0,A,0.314,0.145,0.145,0.314,3drk
  26,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.208,0.293,0.208,0.293,1kl5
  27,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.209,0.297,0.209,0.297,1kl5
  28,1tw6_C_A-B-C-D_2,F,0.226,0.355,0.226,0.355,1tw6
  29,1tw6_C_A-B-C-D_2,A,0.218,0.366,0.218,0.366,1tw6
  30,5v5p_A_A-B-C_0,C,0.288,0.167,0.167,0.288,5v5p
  31,3zs6_B_A-B_0,A,0.290,0.154,0.154,0.290,3zs6
  32,5fou_C_A-C_0,A,0.285,0.260,0.260,0.285,5fou
  33,4jjq_B_A-B_0,A,0.253,0.327,0.253,0.327,4jjq
  34,6hpg_c_C-c_2,C,0.235,0.335,0.235,0.335,6hpg
  35,3vqg_B_A-B_0,A,0.204,0.351,0.204,0.351,3vqg
  36,4f74_C_A-B-C_0,A,0.252,0.423,0.252,0.423,4f74
  37,4f74_C_A-B-C_0,B,0.251,0.419,0.251,0.419,4f74
  38,1b40_B_A-B_0,A,0.335,0.162,0.162,0.335,1b40
  39,5fpk_C_A-C_0,A,0.281,0.257,0.257,0.281,5fpk
  40,4j47_B_A-B_0,A,0.179,0.329,0.179,0.329,4j47
  41,4zhb_B_A-B_0,A,0.237,0.358,0.237,0.358,4zhb
  42,6cdg_B_A-B_0,A,0.252,0.285,0.252,0.285,6cdg
  43,5zw6_C_A-B-C-D_0,A,0.358,0.222,0.222,0.358,5zw6
  44,5elq_P_A-P_0,A,0.196,0.317,0.196,0.317,5elq
  45,4quh_D_A-C-D-I-J_0,A,0.324,0.292,0.292,0.324,4quh
  46,1b3l_B_A-B_0,A,0.333,0.160,0.160,0.333,1b3l
  47,2g30_S_A-P-S_0,A,0.271,0.243,0.243,0.271,2g30
  48,4faf_D_A-B-D_0,A,0.248,0.427,0.248,0.427,4faf
  49,4faf_D_A-B-D_0,B,0.248,0.423,0.248,0.423,4faf
  50,4ezw_E_A-E_0,A,0.231,0.218,0.218,0.231,4ezw
  51,2wa8_D_C-D_1,C,0.195,0.308,0.195,0.308,2wa8
  52,2h9m_D_C-D_1,C,0.352,0.259,0.259,0.352,2h9m
  53,3oqs_B_A-B_0,A,0.286,0.166,0.166,0.286,3oqs
  54,3dri_B_A-B_0,A,0.313,0.144,0.144,0.313,3dri
  55,1vwa_M_B-D-M-P_0,C,0.216,0.309,0.216,0.309,1vwa
  56,1vwa_M_B-D-M-P_0,B,0.212,0.289,0.212,0.289,1vwa
  57,3mmg_C_A-C_0,A,0.562,0.521,0.521,0.562,3mmg
  58,4j09_B_A-B_0,A,0.267,0.219,0.219,0.267,4j09
  59,4j09_B_A-B_0,C,0.267,0.219,0.219,0.267,4j09
  60,3v43_Q_A-Q_0,A,0.231,0.331,0.231,0.331,3v43
  61,4gne_B_A-B_0,A,0.219,0.358,0.219,0.358,4gne
  62,4mz6_A_A-C-E_0,E,0.290,0.168,0.168,0.290,4mz6
  63,4mvk_B_A-B_0,A,0.251,0.276,0.251,0.276,4mvk
  64,4xi7_C_A-C_0,A,0.350,0.225,0.225,0.350,4xi7
  65,1hsb_C_A-B-C_0,A,0.286,0.231,0.231,0.286,1hsb
  66,4gyo_C_A-B-C-D_0,B,0.338,0.226,0.226,0.338,4gyo
  67,3nil_X_D-X_2,D,0.172,0.309,0.172,0.309,3nil
  68,3ebb_F_A-B-E-F_0,B,0.291,0.241,0.241,0.291,3ebb
  69,5xup_D_A-B-C-D_0,B,0.255,0.257,0.255,0.257,5xup
  70,4j44_B_A-B_0,A,0.189,0.322,0.189,0.322,4j44
  71,1b5i_B_A-B_0,A,0.338,0.162,0.162,0.338,1b5i
  72,5m5r_D_A-C-D_0,A,0.323,0.210,0.210,0.323,5m5r
