index,syst,chain,tm1,tm2,min,max,pdb
   0,4x2h_C_A-B-C_0,A,0.228,0.252,0.228,0.252,4x2h
   1,3nij_B_A-B_0,A,0.160,0.328,0.160,0.328,3nij
   2,3njj_B_A-B_0,A,0.226,0.358,0.226,0.358,3njj
   3,5d9g_C_A-C_0,A,0.248,0.233,0.233,0.248,5d9g
   4,5lyn_C_A-B-C-D_0,A,0.249,0.362,0.249,0.362,5lyn
   5,5lyn_C_A-B-C-D_0,B,0.246,0.363,0.246,0.363,5lyn
   6,3d9t_D_B-D_1,B,0.179,0.324,0.179,0.324,3d9t
   7,3rte_B_A-B_0,G,0.435,0.236,0.236,0.435,3rte
   8,3rte_B_A-B_0,A,0.435,0.236,0.236,0.435,3rte
   9,3ebb_F_A-B-E-F_0,B,0.347,0.309,0.309,0.347,3ebb
  10,4ezq_B_A-B_1,A,0.254,0.261,0.254,0.261,4ezq
  11,5fou_C_A-C_0,A,0.993,0.984,0.984,0.993,5fou
  12,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.514,0.363,0.363,0.514,4tr9
  13,3nin_E_B-E_1,B,0.152,0.312,0.152,0.312,3nin
  14,3fp2_Q_A-Q_0,A,0.370,0.208,0.208,0.370,3fp2
  15,1wcy_C_A-B-C-D_0,A,0.397,0.160,0.160,0.397,1wcy
  16,3hda_Z_P-Z_0,P,0.276,0.193,0.193,0.276,3hda
  17,3nfl_G_B-C-F-G_5,C,0.160,0.297,0.160,0.297,3nfl
  18,4mz6_A_A-C-E_0,E,0.311,0.191,0.191,0.311,4mz6
  19,5lb7_C_A-B-C_0,A,0.270,0.335,0.270,0.335,5lb7
  20,5lb7_C_A-B-C_0,B,0.238,0.569,0.238,0.569,5lb7
  21,2ql9_G_A-B-C-D-E-F-G_0,D,0.186,0.360,0.186,0.360,2ql9
  22,2ql9_G_A-B-C-D-E-F-G_0,A,0.345,0.500,0.345,0.500,2ql9
  23,2ql9_G_A-B-C-D-E-F-G_0,C,0.347,0.503,0.347,0.503,2ql9
  24,2ql9_G_A-B-C-D-E-F-G_0,B,0.187,0.362,0.187,0.362,2ql9
  25,4jop_C_A-C_0,A,0.151,0.286,0.151,0.286,4jop
  26,3fp4_Q_A-Q_0,A,0.334,0.192,0.192,0.334,3fp4
  27,3mmg_C_A-C_0,A,0.308,0.315,0.308,0.315,3mmg
  28,3nfk_D_A-B-C-D_2,B,0.165,0.305,0.165,0.305,3nfk
  29,4j82_C_A-C_0,A,0.331,0.270,0.270,0.331,4j82
  30,5ovc_B_A-B_0,A,0.164,0.281,0.164,0.281,5ovc
  31,3m5m_C_B-C_1,B,0.272,0.298,0.272,0.298,3m5m
  32,3f7o_X_A-X_0,A,0.470,0.386,0.386,0.470,3f7o
  33,4j8b_B_A-B_0,A,0.325,0.266,0.266,0.325,4j8b
  34,4pxm_D_A-B-C-D_0,B,0.269,0.267,0.267,0.269,4pxm
  35,4quh_D_A-C-D-I-J_0,A,0.392,0.380,0.380,0.392,4quh
  36,5iag_D_A-B-D_0,A,0.387,0.368,0.368,0.387,5iag
  37,4ezw_E_A-E_0,A,0.262,0.270,0.262,0.270,4ezw
  38,3g19_C_A-C_0,A,0.210,0.435,0.210,0.435,3g19
  39,1evh_B_A-B_0,A,0.201,0.325,0.201,0.325,1evh
  40,3woq_C_A-B-C-D_0,A,0.310,0.125,0.125,0.310,3woq
  41,4wnn_T_C-D-T_3,D,0.200,0.348,0.200,0.348,4wnn
  42,4wnn_T_C-D-T_3,C,0.196,0.399,0.196,0.399,4wnn
  43,1oxn_F_E-F_7,E,0.183,0.335,0.183,0.335,1oxn
  44,3gv4_H_A-H_0,A,0.209,0.377,0.209,0.377,3gv4
  45,4j46_B_A-B_0,A,0.157,0.303,0.157,0.303,4j46
  46,4j09_B_A-B_0,A,0.277,0.247,0.247,0.277,4j09
  47,4j09_B_A-B_0,C,0.277,0.247,0.247,0.277,4j09
  48,3fwv_C_A-C_0,A,0.266,0.400,0.266,0.400,3fwv
  49,1oby_Q_A-B-P-Q_0,A,0.147,0.304,0.147,0.304,1oby
  50,1oby_Q_A-B-P-Q_0,B,0.146,0.328,0.146,0.328,1oby
  51,6ew9_P_A-B-C-P-Q-R_0,A,0.270,0.218,0.218,0.270,6ew9
  52,4k3r_E_A-B-E_0,A,0.228,0.164,0.164,0.228,4k3r
  53,4pyw_B_A-B-C_0,A,0.321,0.226,0.226,0.321,4pyw
  54,4j44_B_A-B_0,A,0.165,0.306,0.165,0.306,4j44
  55,5eyz_E_A-E_0,A,0.166,0.299,0.166,0.299,5eyz
  56,2v5f_X_A-X_0,A,0.209,0.408,0.209,0.408,2v5f
  57,2f5b_P_H-L-P_0,L,0.235,0.242,0.235,0.242,2f5b
  58,2f5b_P_H-L-P_0,H,0.248,0.243,0.243,0.248,2f5b
  59,3shb_B_A-B_0,A,0.141,0.326,0.141,0.326,3shb
  60,1nvs_B_A-B_0,A,0.289,0.256,0.256,0.289,1nvs
  61,1uop_B_A-B_0,A,0.440,0.178,0.178,0.440,1uop
  62,5yba_B_A-B-C-D_0,A,0.265,0.316,0.265,0.316,5yba
  63,4b8o_C_A-B-C_0,A,0.313,0.190,0.190,0.313,4b8o
  64,5b74_D_A-B-D_0,B,0.287,0.452,0.287,0.452,5b74
  65,4jwd_C_B-C_1,B,0.265,0.274,0.265,0.274,4jwd
  66,4xi7_C_A-C_0,A,0.280,0.199,0.199,0.280,4xi7
  67,1b51_B_A-B_0,A,0.326,0.181,0.181,0.326,1b51
  68,1ghb_P_E-F-G-P_0,F,0.221,0.311,0.221,0.311,1ghb
  69,1ghb_P_E-F-G-P_0,G,0.172,0.303,0.172,0.303,1ghb
  70,1ghb_P_E-F-G-P_0,C,0.172,0.303,0.172,0.303,1ghb
  71,1ghb_P_E-F-G-P_0,B,0.221,0.311,0.221,0.311,1ghb
  72,4joh_D_A-D_0,A,0.159,0.314,0.159,0.314,4joh
  73,2y7l_B_A-B_0,A,0.298,0.238,0.238,0.298,2y7l
  74,2fib_B_A-B_0,A,0.297,0.275,0.275,0.297,2fib
  75,5wir_D_A-B-C-D_0,B,0.282,0.299,0.282,0.299,5wir
  76,2foo_B_A-B_0,A,0.227,0.328,0.227,0.328,2foo
  77,4xal_B_A-B_0,A,0.165,0.358,0.165,0.358,4xal
  78,1b9j_B_A-B_0,A,0.328,0.182,0.182,0.328,1b9j
  79,1lvm_C_A-C-E_0,A,0.325,0.320,0.320,0.325,1lvm
  80,2g30_S_A-P-S_0,A,0.292,0.285,0.285,0.292,2g30
  81,2r9q_X_A-C-X_1,C,0.299,0.228,0.228,0.299,2r9q
  82,6fkp_G_C-G_2,C,0.120,0.281,0.120,0.281,6fkp
  83,3jrv_D_B-D_1,B,0.300,0.411,0.300,0.411,3jrv
  84,5xup_D_A-B-C-D_0,B,0.284,0.313,0.284,0.313,5xup
  85,4r5i_B_A-B_0,A,0.269,0.270,0.269,0.270,4r5i
  86,3cww_E_A-B-D-E_0,A,0.325,0.103,0.103,0.325,3cww
  87,5ovv_B_A-B_0,A,0.162,0.281,0.162,0.281,5ovv
  88,3drk_B_A-B_0,A,0.350,0.177,0.177,0.350,3drk
  89,4faf_D_A-B-D_0,A,0.175,0.304,0.175,0.304,4faf
  90,4faf_D_A-B-D_0,B,0.182,0.308,0.182,0.308,4faf
  91,4hxj_C_A-C_0,A,0.150,0.386,0.150,0.386,4hxj
  92,5m5v_G_A-E-G-I_0,A,0.322,0.229,0.229,0.322,5m5v
  93,4j84_D_B-D_1,B,0.331,0.273,0.273,0.331,4j84
  94,1b05_B_A-B_0,A,0.326,0.181,0.181,0.326,1b05
  95,3ufm_B_A-B_0,A,0.283,0.278,0.278,0.283,3ufm
  96,6eja_B_A-B_0,A,0.408,0.169,0.169,0.408,6eja
  97,4k76_G_C-G_2,C,0.154,0.295,0.154,0.295,4k76
  98,3nim_X_F-X_3,F,0.154,0.316,0.154,0.316,3nim
  99,1d00_I_A-I_0,A,0.274,0.330,0.274,0.330,1d00
 100,3rta_B_A-B_0,F,0.439,0.233,0.233,0.439,3rta
