index,syst,chain,tm1,tm2,min,max,pdb
   0,5wun_C_A-B-C_0,A,0.266,0.219,0.219,0.266,5wun
   1,3m5o_C_A-C_0,A,0.230,0.329,0.230,0.329,3m5o
   2,1obz_P_A-B-P_0,A,0.219,0.361,0.219,0.361,1obz
   3,3fwv_C_A-C_0,A,0.200,0.403,0.200,0.403,3fwv
   4,2h2f_B_A-B_0,A,0.253,0.323,0.253,0.323,2h2f
   5,5grg_D_A-B-C-D_0,A,0.204,0.233,0.204,0.233,5grg
   6,5xcr_F_D-E-F_1,D,0.189,0.330,0.189,0.330,5xcr
   7,5xcr_F_D-E-F_1,E,0.218,0.367,0.218,0.367,5xcr
   8,1h27_E_A-B-E_0,B,0.273,0.327,0.273,0.327,1h27
   9,4jwd_C_B-C_1,B,0.217,0.292,0.217,0.292,4jwd
  10,1qka_B_A-B_0,A,0.332,0.238,0.238,0.332,1qka
  11,3t64_F_A-B-C-F_0,A,0.163,0.276,0.163,0.276,3t64
  12,3t64_F_A-B-C-F_0,B,0.158,0.290,0.158,0.290,3t64
  13,3ny3_B_A-B_0,A,0.126,0.345,0.126,0.345,3ny3
  14,1wcy_C_A-B-C-D_0,A,0.304,0.159,0.159,0.304,1wcy
  15,5oav_B_A-B_0,A,0.111,0.445,0.111,0.445,5oav
  16,1gyb_E_A-B-E-F_0,A,0.164,0.346,0.164,0.346,1gyb
  17,1gyb_E_A-B-E-F_0,B,0.155,0.344,0.155,0.344,1gyb
  18,1vwa_M_B-D-M-P_0,C,0.154,0.303,0.154,0.303,1vwa
  19,1vwa_M_B-D-M-P_0,B,0.165,0.348,0.165,0.348,1vwa
  20,5fov_E_A-E_0,A,0.227,0.303,0.227,0.303,5fov
  21,3nik_X_D-X_2,D,0.125,0.342,0.125,0.342,3nik
  22,4iim_E_A-B-C-D-E_0,B,0.107,0.451,0.107,0.451,4iim
  23,4j44_B_A-B_0,A,0.114,0.344,0.114,0.344,4j44
  24,2v1r_R_A-Q-R_0,A,0.110,0.400,0.110,0.400,2v1r
  25,1ok7_C_A-B-C_0,B,0.291,0.270,0.270,0.291,1ok7
  26,4od7_E_C-E_2,C,0.215,0.328,0.215,0.328,4od7
  27,4ikn_B_A-B_0,A,0.197,0.240,0.197,0.240,4ikn
  28,1tw6_C_A-B-C-D_2,F,0.134,0.306,0.134,0.306,1tw6
