index,syst,chain,tm1,tm2,min,max,pdb
   0,4kg9_B_A-B_0,A,0.270,0.272,0.270,0.272,4kg9
   1,4xi7_C_A-C_0,A,0.286,0.150,0.150,0.286,4xi7
   2,1ok7_C_A-B-C_0,B,0.299,0.149,0.149,0.299,1ok7
   3,4mvk_B_A-B_0,A,0.338,0.298,0.298,0.338,4mvk
   4,4pz3_C_A-B-C_0,B,0.266,0.253,0.253,0.266,4pz3
   5,4j86_C_A-C_0,A,0.301,0.176,0.176,0.301,4j86
   6,3rt9_B_A-B_0,F,0.512,0.180,0.180,0.512,3rt9
   7,3rt9_B_A-B_0,A,0.512,0.180,0.180,0.512,3rt9
   8,5sxm_D_B-D_1,B,0.316,0.178,0.178,0.316,5sxm
   9,4que_E_A-C-D-E-H-J_0,A,0.984,0.592,0.592,0.984,4que
  10,4ezy_B_A-B_2,A,0.288,0.205,0.205,0.288,4ezy
  11,1sua_C_A-C_0,A,0.475,0.287,0.287,0.475,1sua
  12,2fop_B_A-B_0,A,0.266,0.270,0.266,0.270,2fop
  13,4quh_D_A-C-D-I-J_0,A,0.987,0.596,0.596,0.987,4quh
  14,2v17_A_A-H-L_0,L,0.288,0.219,0.219,0.288,2v17
  15,2v17_A_A-H-L_0,H,0.288,0.214,0.214,0.288,2v17
  16,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.246,0.344,0.246,0.344,2y1l
  17,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.929,0.882,0.882,0.929,2y1l
  18,2nph_S_A-B-S-T_0,A,0.216,0.268,0.216,0.268,2nph
  19,2nph_S_A-B-S-T_0,B,0.216,0.268,0.216,0.268,2nph
  20,3dri_B_A-B_0,A,0.443,0.144,0.144,0.443,3dri
  21,2orz_B_A-B_0,A,0.369,0.204,0.204,0.369,2orz
  22,4b8o_C_A-B-C_0,A,0.337,0.145,0.145,0.337,4b8o
  23,4k3r_E_A-B-E_0,A,0.290,0.144,0.144,0.290,4k3r
  24,4faf_D_A-B-D_0,A,0.223,0.275,0.223,0.275,4faf
  25,4faf_D_A-B-D_0,B,0.210,0.264,0.210,0.264,4faf
  26,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.462,0.226,0.226,0.462,4tr9
  27,6fkp_G_C-G_2,C,0.144,0.245,0.144,0.245,6fkp
  28,6cd8_C_A-C_0,A,0.265,0.237,0.237,0.265,6cd8
  29,3qhw_L_A-B-J-L_0,B,0.317,0.203,0.203,0.317,3qhw
  30,5m5r_D_A-C-D_0,A,0.381,0.185,0.185,0.381,5m5r
  31,2ipu_P_G-K-P_1,G,0.283,0.213,0.213,0.283,2ipu
  32,2ipu_P_G-K-P_1,K,0.290,0.218,0.218,0.290,2ipu
  33,3q47_C_B-C_0,B,0.302,0.314,0.302,0.314,3q47
  34,1e4x_P_H-L-P_0,L,0.284,0.217,0.217,0.284,1e4x
  35,1e4x_P_H-L-P_0,H,0.288,0.216,0.216,0.288,1e4x
  36,5gu4_C_A-C_0,A,0.321,0.213,0.213,0.321,5gu4
  37,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.262,0.286,0.262,0.286,1kl5
  38,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.263,0.288,0.263,0.288,1kl5
  39,3thk_C_A-C_0,A,0.178,0.295,0.178,0.295,3thk
  40,3cbl_B_A-B_0,A,0.337,0.173,0.173,0.337,3cbl
  41,3zvy_D_B-D_0,B,0.161,0.243,0.161,0.243,3zvy
  42,5kzt_C_A-C_0,A,0.425,0.148,0.148,0.425,5kzt
  43,3oqs_B_A-B_0,A,0.344,0.152,0.152,0.344,3oqs
  44,4ojf_A_A-H-L_0,L,0.301,0.223,0.223,0.301,4ojf
