index,syst,chain,tm1,tm2,min,max,pdb
   0,3mmg_C_A-C_0,A,0.256,0.287,0.256,0.287,3mmg
   1,1svz_C_A-B-C-D_0,A,0.301,0.322,0.301,0.322,1svz
   2,5wir_D_A-B-C-D_0,B,0.269,0.317,0.269,0.317,5wir
   3,3rc4_B_A-B_0,A,0.307,0.366,0.307,0.366,3rc4
   4,4cic_Q_A-B-Q_0,A,0.238,0.361,0.238,0.361,4cic
   5,4cic_Q_A-B-Q_0,B,0.232,0.352,0.232,0.352,4cic
   6,4ynl_C_A-B-C-D_0,A,0.175,0.445,0.175,0.445,4ynl
   7,4ynl_C_A-B-C-D_0,B,0.172,0.443,0.172,0.443,4ynl
   8,4jmy_E_A-C-E_0,A,0.289,0.366,0.289,0.366,4jmy
   9,5e6o_E_B-E_1,B,0.205,0.357,0.205,0.357,5e6o
  10,3t70_F_A-B-C-F_0,A,0.206,0.297,0.206,0.297,3t70
  11,3t70_F_A-B-C-F_0,B,0.202,0.313,0.202,0.313,3t70
  12,4g69_B_A-B_0,A,0.186,0.356,0.186,0.356,4g69
  13,4j46_B_A-B_0,A,0.154,0.346,0.154,0.346,4j46
  14,1yti_I_A-I_0,A,0.194,0.372,0.194,0.372,1yti
  15,1yti_I_A-I_0,B,0.194,0.372,0.194,0.372,1yti
  16,1lvm_C_A-C-E_0,A,0.256,0.277,0.256,0.277,1lvm
  17,4que_E_A-C-D-E-H-J_0,A,0.314,0.333,0.314,0.333,4que
  18,1fch_C_A-B-C-D_2,F,0.333,0.299,0.299,0.333,1fch
  19,1fch_C_A-B-C-D_2,A,0.327,0.291,0.291,0.327,1fch
  20,6eja_B_A-B_0,A,0.385,0.180,0.180,0.385,6eja
  21,1nvs_B_A-B_0,A,0.282,0.275,0.275,0.282,1nvs
  22,4ikn_B_A-B_0,A,0.236,0.240,0.236,0.240,4ikn
  23,5oj5_B_A-B_0,A,0.316,0.275,0.275,0.316,5oj5
  24,3gq1_C_A-C_0,A,0.154,0.313,0.154,0.313,3gq1
  25,4ezy_B_A-B_2,A,0.262,0.292,0.262,0.292,4ezy
  26,1sua_C_A-C_0,A,0.273,0.267,0.267,0.273,1sua
  27,3s9c_B_A-B_0,A,0.298,0.316,0.298,0.316,3s9c
  28,4xal_B_A-B_0,A,0.158,0.354,0.158,0.354,4xal
  29,1b32_B_A-B_0,A,0.326,0.191,0.191,0.326,1b32
  30,2r9q_X_A-C-X_1,C,0.299,0.249,0.249,0.299,2r9q
  31,5fgb_G_B-E-G_1,E,0.306,0.349,0.306,0.349,5fgb
  32,5fgb_G_B-E-G_1,B,0.253,0.288,0.253,0.288,5fgb
  33,4gne_B_A-B_0,A,0.181,0.337,0.181,0.337,4gne
  34,4j44_B_A-B_0,A,0.154,0.347,0.154,0.347,4j44
  35,4r5i_B_A-B_0,A,0.260,0.285,0.260,0.285,4r5i
  36,3njj_B_A-B_0,A,0.183,0.329,0.183,0.329,3njj
  37,1uop_B_A-B_0,A,0.376,0.170,0.170,0.376,1uop
  38,2hpl_B_A-B_0,A,0.187,0.376,0.187,0.376,2hpl
  39,5yba_B_A-B-C-D_0,A,0.213,0.287,0.213,0.287,5yba
  40,4jok_D_B-D_1,B,0.167,0.330,0.167,0.330,4jok
  41,1str_M_B-D-M-P_0,C,0.207,0.363,0.207,0.363,1str
  42,1str_M_B-D-M-P_0,B,0.217,0.365,0.217,0.365,1str
  43,4rxh_A_A-B-C_0,B,0.253,0.175,0.175,0.253,4rxh
  44,4mvk_B_A-B_0,A,0.226,0.303,0.226,0.303,4mvk
  45,4od7_E_C-E_2,C,0.247,0.305,0.247,0.305,4od7
  46,4c2c_B_A-B-C_0,A,0.322,0.218,0.218,0.322,4c2c
  47,1b5j_B_A-B_0,A,0.326,0.191,0.191,0.326,1b5j
  48,4fii_B_A-B_0,A,0.293,0.265,0.265,0.293,4fii
  49,5fou_C_A-C_0,A,0.309,0.336,0.309,0.336,5fou
  50,3ziq_B_A-B-C_0,A,0.233,0.164,0.164,0.233,3ziq
  51,5tu5_B_A-B_0,A,0.291,0.262,0.262,0.291,5tu5
  52,4k3q_E_A-B-E_0,A,0.263,0.206,0.206,0.263,4k3q
  53,3rta_B_A-B_0,F,0.319,0.197,0.197,0.319,3rta
