index,syst,chain,tm1,tm2,min,max,pdb
   0,4k3p_E_A-B-E_0,A,0.296,0.118,0.118,0.296,4k3p
   1,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.344,0.136,0.136,0.344,2ot0
   2,4k76_G_C-G_2,C,0.261,0.278,0.261,0.278,4k76
   3,4j79_B_A-B_0,A,0.391,0.172,0.172,0.391,4j79
   4,4ny3_C_A-C_0,A,0.352,0.160,0.160,0.352,4ny3
   5,4xal_B_A-B_0,A,0.211,0.221,0.211,0.221,4xal
   6,3cww_E_A-B-D-E_0,A,0.369,0.057,0.057,0.369,3cww
   7,5sxm_D_B-D_1,B,0.391,0.171,0.171,0.391,5sxm
   8,3upv_B_A-B_0,A,0.314,0.269,0.269,0.314,3upv
   9,3rta_B_A-B_0,F,0.333,0.097,0.097,0.333,3rta
  10,3rta_B_A-B_0,A,0.333,0.097,0.097,0.333,3rta
  11,2zgh_B_A-B_0,A,0.306,0.178,0.178,0.306,2zgh
  12,3q49_C_B-C_0,B,0.351,0.285,0.285,0.351,3q49
  13,1ghb_P_E-F-G-P_0,F,0.278,0.223,0.223,0.278,1ghb
  14,1ghb_P_E-F-G-P_0,G,0.287,0.291,0.287,0.291,1ghb
  15,1ghb_P_E-F-G-P_0,C,0.287,0.291,0.287,0.291,1ghb
  16,1ghb_P_E-F-G-P_0,B,0.278,0.223,0.223,0.278,1ghb
  17,4j09_B_A-B_0,A,0.395,0.191,0.191,0.395,4j09
  18,4j09_B_A-B_0,C,0.395,0.191,0.191,0.395,4j09
  19,3shb_B_A-B_0,A,0.280,0.335,0.280,0.335,3shb
  20,3drh_B_A-B_0,A,0.350,0.095,0.095,0.350,3drh
  21,3mmg_C_A-C_0,A,0.352,0.209,0.209,0.352,3mmg
  22,3g19_C_A-C_0,A,0.336,0.366,0.336,0.366,3g19
  23,3nih_B_A-B_0,A,0.249,0.282,0.249,0.282,3nih
  24,1d0a_G_A-B-C-G-H-I_0,A,0.338,0.240,0.240,0.338,1d0a
  25,2f5b_P_H-L-P_0,L,0.327,0.186,0.186,0.327,2f5b
  26,2f5b_P_H-L-P_0,H,0.334,0.188,0.188,0.334,2f5b
  27,2nph_S_A-B-S-T_0,A,0.299,0.295,0.295,0.299,2nph
  28,2nph_S_A-B-S-T_0,B,0.275,0.272,0.272,0.275,2nph
  29,3ziq_B_A-B-C_0,A,0.357,0.121,0.121,0.357,3ziq
  30,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.294,0.259,0.259,0.294,1kl3
  31,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.295,0.260,0.260,0.295,1kl3
  32,1b51_B_A-B_0,A,0.356,0.097,0.097,0.356,1b51
  33,4wvh_C_A-C_0,A,0.360,0.099,0.099,0.360,4wvh
  34,4ezw_E_A-E_0,A,0.323,0.185,0.185,0.323,4ezw
  35,3psl_D_B-D_1,B,0.379,0.173,0.173,0.379,3psl
  36,5m5r_D_A-C-D_0,A,0.391,0.153,0.153,0.391,5m5r
  37,1b46_B_A-B_0,A,0.354,0.095,0.095,0.354,1b46
  38,1v1t_S_A-B-S-T_0,B,0.259,0.182,0.182,0.259,1v1t
  39,4k3m_E_A-B-E_0,A,0.293,0.111,0.111,0.293,4k3m
