index,syst,chain,tm1,tm2,min,max,pdb
   0,3q49_C_B-C_0,B,0.218,0.346,0.218,0.346,3q49
   1,4ba3_B_A-B_0,A,0.317,0.227,0.227,0.317,4ba3
   2,5zw6_C_A-B-C-D_0,A,0.341,0.259,0.259,0.341,5zw6
   3,1b51_B_A-B_0,A,0.391,0.232,0.232,0.391,1b51
   4,3uoa_L_B-C-L-M_0,B,0.282,0.226,0.226,0.282,3uoa
   5,4qbr_P_A-P_0,A,0.248,0.385,0.248,0.385,4qbr
   6,2h2f_B_A-B_0,A,0.272,0.297,0.272,0.297,2h2f
   7,3nij_B_A-B_0,A,0.129,0.291,0.129,0.291,3nij
   8,4m38_E_A-B-E-F_0,A,0.277,0.235,0.235,0.277,4m38
   9,3mqr_B_A-B_0,A,0.212,0.346,0.212,0.346,3mqr
  10,3ny3_B_A-B_0,A,0.124,0.300,0.124,0.300,3ny3
  11,5iza_B_A-B_0,A,0.318,0.266,0.266,0.318,5iza
  12,5kzt_C_A-C_0,A,0.410,0.244,0.244,0.410,5kzt
  13,3nfk_D_A-B-C-D_2,B,0.159,0.311,0.159,0.311,3nfk
  14,4j47_B_A-B_0,A,0.178,0.387,0.178,0.387,4j47
  15,1olc_B_A-B_0,A,0.386,0.227,0.227,0.386,1olc
  16,4apo_D_B-D_1,B,0.248,0.375,0.248,0.375,4apo
  17,5y53_F_C-E-F_1,C,0.280,0.497,0.280,0.497,5y53
  18,5y53_F_C-E-F_1,E,0.281,0.497,0.281,0.497,5y53
  19,2foo_B_A-B_0,A,0.211,0.348,0.211,0.348,2foo
  20,4b8o_C_A-B-C_0,A,0.322,0.231,0.231,0.322,4b8o
  21,4jmy_E_A-C-E_0,A,0.245,0.313,0.245,0.313,4jmy
  22,4j79_B_A-B_0,A,0.272,0.249,0.249,0.272,4j79
  23,4ny3_C_A-C_0,A,0.290,0.267,0.267,0.290,4ny3
  24,3v43_Q_A-Q_0,A,0.188,0.333,0.188,0.333,3v43
  25,1obz_P_A-B-P_0,A,0.229,0.324,0.229,0.324,1obz
  26,2fib_B_A-B_0,A,0.296,0.307,0.296,0.307,2fib
  27,3psl_D_B-D_1,B,0.289,0.265,0.265,0.289,3psl
  28,5v5p_A_A-B-C_0,C,0.307,0.220,0.220,0.307,5v5p
  29,3drh_B_A-B_0,A,0.382,0.210,0.210,0.382,3drh
  30,1oby_Q_A-B-P-Q_0,A,0.155,0.344,0.155,0.344,1oby
  31,1oby_Q_A-B-P-Q_0,B,0.160,0.408,0.160,0.408,1oby
  32,1a30_C_A-B-C_0,A,0.151,0.290,0.151,0.290,1a30
  33,1a30_C_A-B-C_0,B,0.151,0.293,0.151,0.293,1a30
  34,2hpl_B_A-B_0,A,0.217,0.439,0.217,0.439,2hpl
  35,4gyo_C_A-B-C-D_0,B,0.335,0.269,0.269,0.335,4gyo
  36,4wvh_C_A-C_0,A,0.299,0.182,0.182,0.299,4wvh
  37,3m5m_C_B-C_1,B,0.246,0.304,0.246,0.304,3m5m
  38,3s9c_B_A-B_0,A,0.268,0.293,0.268,0.293,3s9c
  39,6ew9_P_A-B-C-P-Q-R_0,A,0.267,0.242,0.242,0.267,6ew9
  40,4pxm_D_A-B-C-D_0,B,0.292,0.327,0.292,0.327,4pxm
  41,5yba_B_A-B-C-D_0,A,0.217,0.290,0.217,0.290,5yba
  42,1se0_B_A-B_0,A,0.197,0.400,0.197,0.400,1se0
  43,1vwa_M_B-D-M-P_0,C,0.203,0.340,0.203,0.340,1vwa
  44,1vwa_M_B-D-M-P_0,B,0.205,0.338,0.205,0.338,1vwa
  45,1oxn_F_E-F_7,E,0.190,0.386,0.190,0.386,1oxn
  46,1czy_D_A-B-C-D-E_0,A,0.262,0.361,0.262,0.361,1czy
  47,1e4x_P_H-L-P_0,L,0.212,0.244,0.212,0.244,1e4x
  48,1e4x_P_H-L-P_0,H,0.228,0.261,0.228,0.261,1e4x
  49,4q6f_H_C-H_2,C,0.124,0.336,0.124,0.336,4q6f
  50,3uf7_B_A-B-C_0,A,0.272,0.307,0.272,0.307,3uf7
  51,1yth_I_A-B-I_0,A,0.152,0.285,0.152,0.285,1yth
  52,1yth_I_A-B-I_0,B,0.153,0.293,0.153,0.293,1yth
  53,3cww_E_A-B-D-E_0,A,0.330,0.120,0.120,0.330,3cww
  54,1wcy_C_A-B-C-D_0,A,0.340,0.159,0.159,0.340,1wcy
  55,5m5v_G_A-E-G-I_0,A,0.315,0.249,0.249,0.315,5m5v
  56,4b3b_C_A-C_0,A,0.256,0.289,0.256,0.289,4b3b
  57,1d0a_G_A-B-C-G-H-I_0,A,0.250,0.343,0.250,0.343,1d0a
  58,5huw_B_A-B-C_0,C,0.304,0.219,0.219,0.304,5huw
  59,1sem_C_A-B-C-D_0,A,0.112,0.281,0.112,0.281,1sem
  60,4ynl_C_A-B-C-D_0,A,0.149,0.395,0.149,0.395,4ynl
  61,4ynl_C_A-B-C-D_0,B,0.145,0.398,0.145,0.398,4ynl
  62,4gne_B_A-B_0,A,0.167,0.328,0.167,0.328,4gne
  63,1b58_B_A-B_0,A,0.392,0.232,0.232,0.392,1b58
  64,1elr_B_A-B_0,A,0.187,0.302,0.187,0.302,1elr
  65,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.289,0.236,0.236,0.289,2ot0
  66,3ifo_P_H-L-P_0,L,0.220,0.252,0.220,0.252,3ifo
  67,3ifo_P_H-L-P_0,H,0.218,0.248,0.218,0.248,3ifo
  68,5fov_E_A-E_0,A,0.256,0.287,0.256,0.287,5fov
  69,3gq1_C_A-C_0,A,0.165,0.411,0.165,0.411,3gq1
  70,2i3h_C_A-C_0,A,0.190,0.402,0.190,0.402,2i3h
  71,1uoq_B_A-B_0,A,0.339,0.159,0.159,0.339,1uoq
  72,5iag_D_A-B-D_0,A,0.248,0.266,0.248,0.266,5iag
  73,1jwg_D_B-D_1,B,0.233,0.371,0.233,0.371,1jwg
  74,3ou3_C_A-B-C_0,A,0.149,0.286,0.149,0.286,3ou3
  75,3ou3_C_A-B-C_0,B,0.149,0.287,0.149,0.287,3ou3
  76,4ezn_C_A-B-C-D_0,A,0.238,0.277,0.238,0.277,4ezn
  77,6cdc_C_A-C_0,A,0.216,0.304,0.216,0.304,6cdc
  78,5grg_D_A-B-C-D_0,A,0.233,0.228,0.228,0.233,5grg
  79,6eja_B_A-B_0,A,0.327,0.165,0.165,0.327,6eja
  80,6cd9_B_A-B_0,A,0.219,0.312,0.219,0.312,6cd9
  81,5fgb_G_B-E-G_1,E,0.233,0.267,0.233,0.267,5fgb
  82,5fgb_G_B-E-G_1,B,0.243,0.285,0.243,0.285,5fgb
  83,5eyz_E_A-E_0,A,0.165,0.326,0.165,0.326,5eyz
  84,4nnm_C_A-C_0,A,0.191,0.335,0.191,0.335,4nnm
  85,1b9j_B_A-B_0,A,0.390,0.230,0.230,0.390,1b9j
  86,4r5i_B_A-B_0,A,0.251,0.285,0.251,0.285,4r5i
  87,3rta_B_A-B_0,F,0.287,0.180,0.180,0.287,3rta
  88,3rta_B_A-B_0,A,0.287,0.180,0.180,0.287,3rta
  89,4es0_C_A-C_0,A,0.291,0.263,0.263,0.291,4es0
  90,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.195,0.337,0.195,0.337,1kl3
  91,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.196,0.344,0.196,0.344,1kl3
  92,6fqc_E_A-B-D-E_0,A,0.287,0.245,0.245,0.287,6fqc
  93,1b40_B_A-B_0,A,0.392,0.231,0.231,0.392,1b40
  94,4quh_D_A-C-D-I-J_0,A,0.253,0.277,0.253,0.277,4quh
  95,4o51_N_A-B-N_1,A,0.199,0.228,0.199,0.228,4o51
  96,4o51_N_A-B-N_1,B,0.241,0.275,0.241,0.275,4o51
  97,3fp4_Q_A-Q_0,A,0.319,0.201,0.201,0.319,3fp4
  98,3l81_B_A-B_0,A,0.216,0.225,0.216,0.225,3l81
  99,1sua_C_A-C_0,A,0.251,0.252,0.251,0.252,1sua
 100,1b46_B_A-B_0,A,0.393,0.232,0.232,0.393,1b46
 101,4k3m_E_A-B-E_0,A,0.316,0.252,0.252,0.316,4k3m
 102,5fow_E_A-E_0,A,0.236,0.269,0.236,0.269,5fow
 103,3rt9_B_A-B_0,F,0.290,0.182,0.182,0.290,3rt9
 104,3rt9_B_A-B_0,A,0.290,0.182,0.182,0.290,3rt9
 105,3drk_B_A-B_0,A,0.382,0.210,0.210,0.382,3drk
 106,3njj_B_A-B_0,A,0.196,0.369,0.196,0.369,3njj
 107,4j84_D_B-D_1,B,0.268,0.249,0.249,0.268,4j84
 108,4z8j_B_A-B_0,A,0.152,0.297,0.152,0.297,4z8j
 109,4o4y_A_A-H-L_0,L,0.246,0.282,0.246,0.282,4o4y
 110,4o4y_A_A-H-L_0,H,0.240,0.274,0.240,0.274,4o4y
 111,1kyd_P_A-P_0,A,0.260,0.272,0.260,0.272,1kyd
 112,2d5w_C_A-C_0,A,0.410,0.212,0.212,0.410,2d5w
 113,4ezy_B_A-B_2,A,0.249,0.285,0.249,0.285,4ezy
 114,1qka_B_A-B_0,A,0.391,0.232,0.232,0.391,1qka
 115,3nik_X_D-X_2,D,0.137,0.294,0.137,0.294,3nik
 116,1svz_C_A-B-C-D_0,A,0.302,0.331,0.302,0.331,1svz
 117,3fp2_Q_A-Q_0,A,0.317,0.203,0.203,0.317,3fp2
 118,4xi7_C_A-C_0,A,0.314,0.252,0.252,0.314,4xi7
 119,5elq_P_A-P_0,A,0.170,0.364,0.170,0.364,5elq
 120,3upv_B_A-B_0,A,0.223,0.363,0.223,0.363,3upv
 121,5jiu_C_A-B-C-D_0,A,0.238,0.280,0.238,0.280,5jiu
 122,2g30_S_A-P-S_0,A,0.232,0.251,0.232,0.251,2g30
 123,4z88_V_J-V_1,J,0.139,0.352,0.139,0.352,4z88
 124,2h9m_D_C-D_1,C,0.288,0.260,0.260,0.288,2h9m
 125,5lb7_C_A-B-C_0,A,0.240,0.334,0.240,0.334,5lb7
 126,5lb7_C_A-B-C_0,B,0.189,0.490,0.189,0.490,5lb7
 127,4ojf_A_A-H-L_0,L,0.233,0.264,0.233,0.264,4ojf
 128,4ojf_A_A-H-L_0,H,0.239,0.271,0.239,0.271,4ojf
 129,4cic_Q_A-B-Q_0,A,0.199,0.313,0.199,0.313,4cic
 130,4cic_Q_A-B-Q_0,B,0.217,0.359,0.217,0.359,4cic
 131,4jok_D_B-D_1,B,0.159,0.331,0.159,0.331,4jok
 132,3dri_B_A-B_0,A,0.381,0.210,0.210,0.381,3dri
 133,5b74_D_A-B-D_0,B,0.201,0.343,0.201,0.343,5b74
 134,3nim_X_F-X_3,F,0.132,0.297,0.132,0.297,3nim
 135,4k76_G_C-G_2,C,0.158,0.310,0.158,0.310,4k76
 136,4dgb_B_A-B_0,A,0.216,0.306,0.216,0.306,4dgb
 137,3f6k_N_A-N_0,A,0.323,0.165,0.165,0.323,3f6k
 138,3vqg_B_A-B_0,A,0.163,0.356,0.163,0.356,3vqg
 139,3soq_Z_A-Z_0,A,0.266,0.241,0.241,0.266,3soq
 140,4k75_B_A-B_0,A,0.159,0.337,0.159,0.337,4k75
 141,4j44_B_A-B_0,A,0.177,0.388,0.177,0.388,4j44
 142,3hds_E_A-D-E_0,D,0.184,0.348,0.184,0.348,3hds
 143,3hds_E_A-D-E_0,A,0.203,0.379,0.203,0.379,3hds
 144,1h27_E_A-B-E_0,B,0.352,0.358,0.352,0.358,1h27
 145,3ivq_D_B-D_1,B,0.211,0.336,0.211,0.336,3ivq
 146,4joh_D_A-D_0,A,0.160,0.327,0.160,0.327,4joh
 147,5ovc_B_A-B_0,A,0.157,0.321,0.157,0.321,5ovc
 148,2r9q_X_A-C-X_1,C,0.296,0.254,0.254,0.296,2r9q
 149,1rzx_B_A-B_0,A,0.168,0.327,0.168,0.327,1rzx
