index,syst,chain,tm1,tm2,min,max,pdb
   0,6fkp_G_C-G_2,C,0.089,0.248,0.089,0.248,6fkp
   1,3qhw_L_A-B-J-L_0,B,0.290,0.299,0.290,0.299,3qhw
   2,5lyn_C_A-B-C-D_0,A,0.180,0.288,0.180,0.288,5lyn
   3,5lyn_C_A-B-C-D_0,B,0.178,0.287,0.178,0.287,5lyn
   4,1uop_B_A-B_0,A,0.336,0.165,0.165,0.336,1uop
   5,2nph_S_A-B-S-T_0,A,0.153,0.306,0.153,0.306,2nph
   6,2nph_S_A-B-S-T_0,B,0.140,0.282,0.140,0.282,2nph
   7,4j47_B_A-B_0,A,0.147,0.328,0.147,0.328,4j47
   8,5jjm_G_A-G-M_0,A,0.308,0.326,0.308,0.326,5jjm
   9,1se0_B_A-B_0,A,0.148,0.309,0.148,0.309,1se0
  10,2v3s_C_B-C_1,B,0.186,0.399,0.186,0.399,2v3s
  11,3rta_B_A-B_0,F,0.319,0.205,0.205,0.319,3rta
  12,3rta_B_A-B_0,A,0.319,0.205,0.205,0.319,3rta
  13,2v5f_X_A-X_0,A,0.166,0.362,0.166,0.362,2v5f
  14,3thk_C_A-C_0,A,0.110,0.307,0.110,0.307,3thk
  15,1oxn_F_E-F_7,E,0.167,0.357,0.167,0.357,1oxn
  16,3f6k_N_A-N_0,A,0.321,0.160,0.160,0.321,3f6k
  17,4j82_C_A-C_0,A,0.288,0.268,0.268,0.288,4j82
  18,5b74_D_A-B-D_0,B,0.156,0.267,0.156,0.267,5b74
  19,4k3q_E_A-B-E_0,A,0.239,0.198,0.198,0.239,4k3q
  20,3vqg_B_A-B_0,A,0.151,0.341,0.151,0.341,3vqg
  21,4v3i_B_A-B_0,A,0.248,0.393,0.248,0.393,4v3i
  22,5huy_B_A-B-C_0,C,0.236,0.175,0.175,0.236,5huy
  23,1uoq_B_A-B_0,A,0.337,0.166,0.166,0.337,1uoq
  24,4ezz_B_A-B_1,A,0.244,0.285,0.244,0.285,4ezz
  25,4xal_B_A-B_0,A,0.171,0.414,0.171,0.414,4xal
  26,1b32_B_A-B_0,A,0.318,0.201,0.201,0.318,1b32
  27,4kg9_B_A-B_0,A,0.249,0.404,0.249,0.404,4kg9
  28,2x6m_B_A-B_0,A,0.236,0.433,0.236,0.433,2x6m
  29,3ziq_B_A-B-C_0,A,0.238,0.173,0.173,0.238,3ziq
  30,2orz_B_A-B_0,A,0.259,0.236,0.236,0.259,2orz
  31,6cdg_B_A-B_0,A,0.203,0.292,0.203,0.292,6cdg
  32,4j79_B_A-B_0,A,0.287,0.267,0.267,0.287,4j79
  33,3hda_Z_P-Z_0,P,0.286,0.227,0.227,0.286,3hda
  34,4fys_C_A-C_0,A,0.319,0.129,0.129,0.319,4fys
  35,3wor_C_A-B-C-D_0,A,0.431,0.203,0.203,0.431,3wor
  36,3cww_E_A-B-D-E_0,A,0.392,0.152,0.152,0.392,3cww
  37,3q47_C_B-C_0,B,0.179,0.305,0.179,0.305,3q47
  38,3drj_B_A-B_0,A,0.339,0.199,0.199,0.339,3drj
  39,3njj_B_A-B_0,A,0.207,0.403,0.207,0.403,3njj
  40,3drk_B_A-B_0,A,0.331,0.195,0.195,0.331,3drk
  41,5iag_D_A-B-D_0,A,0.259,0.283,0.259,0.283,5iag
  42,6cd8_C_A-C_0,A,0.181,0.252,0.181,0.252,6cd8
  43,1str_M_B-D-M-P_0,C,0.190,0.358,0.190,0.358,1str
  44,1str_M_B-D-M-P_0,B,0.206,0.360,0.206,0.360,1str
  45,1oby_Q_A-B-P-Q_0,A,0.134,0.332,0.134,0.332,1oby
  46,1oby_Q_A-B-P-Q_0,B,0.134,0.336,0.134,0.336,1oby
  47,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.260,0.253,0.253,0.260,2z9i
  48,5t6p_E_C-D-E_1,D,0.370,0.466,0.370,0.466,5t6p
  49,5t6p_E_C-D-E_1,C,0.412,0.498,0.412,0.498,5t6p
  50,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.143,0.327,0.143,0.327,2y1l
  51,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.199,0.309,0.199,0.309,2y1l
  52,1olc_B_A-B_0,A,0.341,0.209,0.209,0.341,1olc
  53,3agy_C_A-B-C-D-F_0,A,0.201,0.268,0.201,0.268,3agy
  54,2ce9_X_A-B-X_0,A,0.274,0.234,0.234,0.274,2ce9
  55,4rxh_A_A-B-C_0,B,0.236,0.172,0.172,0.236,4rxh
  56,3zvy_D_B-D_0,B,0.110,0.276,0.110,0.276,3zvy
  57,2foj_B_A-B_0,A,0.248,0.405,0.248,0.405,2foj
  58,3ebb_F_A-B-E-F_0,B,0.256,0.262,0.256,0.262,3ebb
  59,4ztd_F_A-B-C-D-E-F_0,C,0.232,0.244,0.232,0.244,4ztd
  60,5kzt_C_A-C_0,A,0.308,0.198,0.198,0.308,5kzt
  61,2v1r_R_A-Q-R_0,A,0.114,0.297,0.114,0.297,2v1r
  62,4jok_D_B-D_1,B,0.150,0.335,0.150,0.335,4jok
  63,1a7c_B_A-B-C_0,A,0.323,0.262,0.262,0.323,1a7c
  64,4ynl_C_A-B-C-D_0,A,0.143,0.399,0.143,0.399,4ynl
  65,4ynl_C_A-B-C-D_0,B,0.144,0.407,0.144,0.407,4ynl
  66,1mfl_B_A-B_0,A,0.140,0.311,0.140,0.311,1mfl
  67,3nin_E_B-E_1,B,0.133,0.293,0.133,0.293,3nin
  68,4od7_E_C-E_2,C,0.264,0.347,0.264,0.347,4od7
  69,5oav_B_A-B_0,A,0.105,0.297,0.105,0.297,5oav
  70,4faf_D_A-B-D_0,A,0.147,0.280,0.147,0.280,4faf
  71,4faf_D_A-B-D_0,B,0.141,0.293,0.141,0.293,4faf
  72,1b9j_B_A-B_0,A,0.321,0.199,0.199,0.321,1b9j
