index,syst,chain,tm1,tm2,min,max,pdb
   0,1sua_C_A-C_0,A,0.415,0.196,0.196,0.415,1sua
   1,5m5t_E_A-E-G-I_0,A,0.378,0.136,0.136,0.378,5m5t
   2,5iag_D_A-B-D_0,A,0.317,0.171,0.171,0.317,5iag
   3,5tu5_B_A-B_0,A,0.349,0.156,0.156,0.349,5tu5
   4,1b05_B_A-B_0,A,0.339,0.103,0.103,0.339,1b05
   5,1b9j_B_A-B_0,A,0.347,0.095,0.095,0.347,1b9j
   6,4z8j_B_A-B_0,A,0.778,0.785,0.778,0.785,4z8j
   7,4ezn_C_A-B-C-D_0,A,0.341,0.185,0.185,0.341,4ezn
   8,3t70_F_A-B-C-F_0,A,0.273,0.210,0.210,0.273,3t70
   9,3t70_F_A-B-C-F_0,B,0.282,0.227,0.227,0.282,3t70
  10,4k3r_E_A-B-E_0,A,0.387,0.144,0.144,0.387,4k3r
  11,2v1r_R_A-Q-R_0,A,0.302,0.382,0.302,0.382,2v1r
  12,5azf_C_A-C_0,A,0.360,0.317,0.317,0.360,5azf
  13,3oqs_B_A-B_0,A,0.276,0.094,0.094,0.276,3oqs
  14,2h59_D_A-B-D-E_0,A,0.282,0.148,0.148,0.282,2h59
  15,2h59_D_A-B-D-E_0,B,0.284,0.157,0.157,0.284,2h59
  16,4r5i_B_A-B_0,A,0.306,0.177,0.177,0.306,4r5i
  17,3uoa_L_B-C-L-M_0,B,0.310,0.131,0.131,0.310,3uoa
  18,2y7l_B_A-B_0,A,0.346,0.142,0.142,0.346,2y7l
  19,3tcg_I_A-I_0,A,0.341,0.093,0.093,0.341,3tcg
  20,5fou_C_A-C_0,A,0.329,0.177,0.177,0.329,5fou
  21,5iz2_Z_A-B-Z_0,B,0.292,0.250,0.250,0.292,5iz2
  22,5grg_D_A-B-C-D_0,A,0.329,0.157,0.157,0.329,5grg
  23,4kg9_B_A-B_0,A,0.407,0.313,0.313,0.407,4kg9
  24,1b4z_B_A-B_0,A,0.377,0.107,0.107,0.377,1b4z
  25,3thk_C_A-C_0,A,0.263,0.360,0.263,0.360,3thk
