index,syst,chain,tm1,tm2,min,max,pdb
   0,3agy_C_A-B-C-D-F_0,A,0.249,0.200,0.200,0.249,3agy
   1,5v5p_A_A-B-C_0,C,0.417,0.169,0.169,0.417,5v5p
   2,3mqr_B_A-B_0,A,0.295,0.281,0.281,0.295,3mqr
   3,2orz_B_A-B_0,A,0.318,0.172,0.172,0.318,2orz
   4,1mfl_B_A-B_0,A,0.263,0.314,0.263,0.314,1mfl
   5,4xal_B_A-B_0,A,0.217,0.282,0.217,0.282,4xal
   6,1ok7_C_A-B-C_0,B,0.279,0.136,0.136,0.279,1ok7
   7,3shb_B_A-B_0,A,0.201,0.303,0.201,0.303,3shb
   8,3q47_C_B-C_0,B,0.305,0.299,0.299,0.305,3q47
   9,3t70_F_A-B-C-F_0,A,0.285,0.258,0.258,0.285,3t70
  10,3t70_F_A-B-C-F_0,B,0.272,0.259,0.259,0.272,3t70
  11,5e6o_E_B-E_1,B,0.277,0.292,0.277,0.292,5e6o
  12,1b46_B_A-B_0,A,0.330,0.116,0.116,0.330,1b46
  13,3q49_C_B-C_0,B,0.314,0.307,0.307,0.314,3q49
  14,5iza_B_A-B_0,A,0.428,0.205,0.205,0.428,5iza
  15,4j78_B_A-B_0,A,0.360,0.195,0.195,0.360,4j78
  16,3drk_B_A-B_0,A,0.336,0.115,0.115,0.336,3drk
  17,4f74_C_A-B-C_0,A,0.228,0.261,0.228,0.261,4f74
  18,4f74_C_A-B-C_0,B,0.222,0.254,0.222,0.254,4f74
  19,1a30_C_A-B-C_0,A,0.228,0.264,0.228,0.264,1a30
  20,1a30_C_A-B-C_0,B,0.233,0.269,0.233,0.269,1a30
  21,4ezq_B_A-B_1,A,0.302,0.214,0.214,0.302,4ezq
  22,1tw6_C_A-B-C-D_2,F,0.259,0.307,0.259,0.307,1tw6
  23,1tw6_C_A-B-C-D_2,A,0.273,0.340,0.273,0.340,1tw6
  24,3woq_C_A-B-C-D_0,A,0.323,0.093,0.093,0.323,3woq
  25,4ojf_A_A-H-L_0,L,0.281,0.197,0.197,0.281,4ojf
  26,4ojf_A_A-H-L_0,H,0.291,0.201,0.201,0.291,4ojf
  27,4fii_B_A-B_0,A,0.371,0.208,0.208,0.371,4fii
  28,4mvk_B_A-B_0,A,0.290,0.244,0.244,0.290,4mvk
  29,1evh_B_A-B_0,A,0.283,0.310,0.283,0.310,1evh
  30,1gyb_E_A-B-E-F_0,A,0.262,0.269,0.262,0.269,1gyb
  31,1gyb_E_A-B-E-F_0,B,0.281,0.289,0.281,0.289,1gyb
  32,1d00_I_A-I_0,A,0.345,0.281,0.281,0.345,1d00
  33,4ezy_B_A-B_2,A,0.313,0.215,0.215,0.313,4ezy
  34,1nvs_B_A-B_0,A,0.343,0.201,0.201,0.343,1nvs
  35,1u9l_C_B-C_1,B,0.232,0.334,0.232,0.334,1u9l
  36,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.361,0.204,0.204,0.361,2z9i
  37,2g30_S_A-P-S_0,A,0.276,0.191,0.191,0.276,2g30
  38,4qbr_P_A-P_0,A,0.290,0.278,0.278,0.290,4qbr
  39,2bgr_Y_A-B-Y-Z_0,A,0.417,0.106,0.106,0.417,2bgr
  40,3drj_B_A-B_0,A,0.338,0.117,0.117,0.338,3drj
  41,2y7l_B_A-B_0,A,0.293,0.152,0.152,0.293,2y7l
  42,4j82_C_A-C_0,A,0.355,0.199,0.199,0.355,4j82
  43,5wir_D_A-B-C-D_0,B,0.326,0.241,0.241,0.326,5wir
  44,3vqg_B_A-B_0,A,0.280,0.362,0.280,0.362,3vqg
  45,4rxh_A_A-B-C_0,B,0.442,0.175,0.175,0.442,4rxh
  46,2d5w_C_A-C_0,A,0.415,0.127,0.127,0.415,2d5w
  47,1b40_B_A-B_0,A,0.350,0.121,0.121,0.350,1b40
  48,4jop_C_A-C_0,A,0.272,0.357,0.272,0.357,4jop
  49,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.263,0.272,0.263,0.272,1kl5
  50,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.269,0.278,0.269,0.278,1kl5
  51,4j45_B_A-B_0,A,0.252,0.331,0.252,0.331,4j45
  52,4j81_C_B-C_1,B,0.358,0.197,0.197,0.358,4j81
  53,2r9q_X_A-C-X_1,C,0.313,0.162,0.162,0.313,2r9q
  54,4es0_C_A-C_0,A,0.362,0.198,0.198,0.362,4es0
  55,1qka_B_A-B_0,A,0.317,0.111,0.111,0.317,1qka
  56,3rc5_B_A-B_0,A,0.307,0.231,0.231,0.307,3rc5
  57,5iz2_Z_A-B-Z_0,B,0.312,0.314,0.312,0.314,5iz2
  58,1oby_Q_A-B-P-Q_0,A,0.280,0.404,0.280,0.404,1oby
  59,1oby_Q_A-B-P-Q_0,B,0.280,0.409,0.280,0.409,1oby
  60,3tcg_I_A-I_0,A,0.314,0.114,0.114,0.314,3tcg
  61,3sjk_B_A-B_0,A,0.307,0.250,0.250,0.307,3sjk
  62,4f75_C_A-B-C-D_0,A,0.229,0.262,0.229,0.262,4f75
  63,4f75_C_A-B-C-D_0,B,0.227,0.262,0.227,0.262,4f75
  64,5lyn_C_A-B-C-D_0,A,0.295,0.287,0.287,0.295,5lyn
  65,5lyn_C_A-B-C-D_0,B,0.308,0.300,0.300,0.308,5lyn
  66,4iim_E_A-B-C-D-E_0,B,0.188,0.305,0.188,0.305,4iim
  67,4jok_D_B-D_1,B,0.271,0.356,0.271,0.356,4jok
  68,5grg_D_A-B-C-D_0,A,0.288,0.162,0.162,0.288,5grg
  69,1sdz_B_A-B_0,A,0.267,0.316,0.267,0.316,1sdz
  70,2f5b_P_H-L-P_0,L,0.268,0.192,0.192,0.268,2f5b
  71,2f5b_P_H-L-P_0,H,0.304,0.198,0.198,0.304,2f5b
  72,4pz3_C_A-B-C_0,B,0.279,0.249,0.249,0.279,4pz3
  73,4fys_C_A-C_0,A,0.410,0.082,0.082,0.410,4fys
  74,3nik_X_D-X_2,D,0.235,0.310,0.235,0.310,3nik
  75,4j86_C_A-C_0,A,0.360,0.195,0.195,0.360,4j86
  76,1svz_C_A-B-C-D_0,A,0.342,0.231,0.231,0.342,1svz
  77,2ipu_P_G-K-P_1,G,0.264,0.178,0.178,0.264,2ipu
  78,2ipu_P_G-K-P_1,K,0.283,0.199,0.199,0.283,2ipu
  79,1sua_C_A-C_0,A,0.671,0.360,0.360,0.671,1sua
  80,1kyd_P_A-P_0,A,0.283,0.183,0.183,0.283,1kyd
  81,6cd8_C_A-C_0,A,0.280,0.232,0.232,0.280,6cd8
  82,6ew9_P_A-B-C-P-Q-R_0,A,0.330,0.171,0.171,0.330,6ew9
  83,4gne_B_A-B_0,A,0.218,0.253,0.218,0.253,4gne
  84,3sxu_C_A-B-C_0,A,0.367,0.332,0.332,0.367,3sxu
  85,3thk_C_A-C_0,A,0.202,0.316,0.202,0.316,3thk
  86,1e4x_P_H-L-P_0,L,0.272,0.188,0.188,0.272,1e4x
  87,1e4x_P_H-L-P_0,H,0.280,0.198,0.198,0.280,1e4x
  88,3o2b_D_C-D_1,C,0.280,0.326,0.280,0.326,3o2b
  89,1obz_P_A-B-P_0,A,0.268,0.227,0.227,0.268,1obz
  90,3rta_B_A-B_0,F,0.549,0.183,0.183,0.549,3rta
  91,3rta_B_A-B_0,A,0.549,0.183,0.183,0.549,3rta
  92,3f6k_N_A-N_0,A,0.354,0.101,0.101,0.354,3f6k
  93,5fov_E_A-E_0,A,0.456,0.287,0.287,0.456,5fov
  94,1h27_E_A-B-E_0,B,0.258,0.165,0.165,0.258,1h27
  95,5gu4_C_A-C_0,A,0.345,0.222,0.222,0.345,5gu4
  96,5nqv_G_A-C-E-G_0,C,0.324,0.249,0.249,0.324,5nqv
  97,3nij_B_A-B_0,A,0.221,0.293,0.221,0.293,3nij
  98,1b3l_B_A-B_0,A,0.319,0.112,0.112,0.319,1b3l
  99,3fp2_Q_A-Q_0,A,0.358,0.139,0.139,0.358,3fp2
 100,5wun_C_A-B-C_0,A,0.416,0.169,0.169,0.416,5wun
 101,3ifo_P_H-L-P_0,L,0.260,0.179,0.179,0.260,3ifo
 102,3ifo_P_H-L-P_0,H,0.242,0.175,0.175,0.242,3ifo
 103,2v17_A_A-H-L_0,L,0.264,0.192,0.192,0.264,2v17
 104,2v17_A_A-H-L_0,H,0.297,0.198,0.198,0.297,2v17
 105,4ezn_C_A-B-C-D_0,A,0.328,0.231,0.231,0.328,4ezn
 106,5fou_C_A-C_0,A,0.455,0.288,0.288,0.455,5fou
 107,1b5j_B_A-B_0,A,0.357,0.120,0.120,0.357,1b5j
 108,4jor_D_B-D_1,B,0.272,0.357,0.272,0.357,4jor
 109,3soq_Z_A-Z_0,A,0.354,0.196,0.196,0.354,3soq
 110,3hda_Z_P-Z_0,P,0.407,0.173,0.173,0.407,3hda
