index,syst,chain,tm1,tm2,min,max,pdb
   0,1obz_P_A-B-P_0,A,0.294,0.192,0.192,0.294,1obz
   1,4ztd_F_A-B-C-D-E-F_0,C,0.384,0.142,0.142,0.384,4ztd
   2,2zgh_B_A-B_0,A,0.325,0.159,0.159,0.325,2zgh
   3,3nii_B_A-B_0,A,0.239,0.238,0.238,0.239,3nii
   4,4j84_D_B-D_1,B,0.304,0.126,0.126,0.304,4j84
   5,1b4z_B_A-B_0,A,0.410,0.089,0.089,0.410,1b4z
   6,1u9l_C_B-C_1,B,0.422,0.460,0.422,0.460,1u9l
   7,4quh_D_A-C-D-I-J_0,A,0.358,0.175,0.175,0.358,4quh
   8,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.255,0.195,0.195,0.255,1kl3
   9,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.288,0.221,0.221,0.288,1kl3
  10,3rc4_B_A-B_0,A,0.355,0.188,0.188,0.355,3rc4
  11,3rt9_B_A-B_0,F,0.367,0.076,0.076,0.367,3rt9
  12,3rt9_B_A-B_0,A,0.367,0.076,0.076,0.367,3rt9
  13,4pxm_D_A-B-C-D_0,B,0.523,0.210,0.210,0.523,4pxm
  14,5ovv_B_A-B_0,A,0.291,0.251,0.251,0.291,5ovv
  15,1s2k_B_A-B_0,A,0.331,0.179,0.179,0.331,1s2k
  16,3wor_C_A-B-C-D_0,A,0.495,0.080,0.080,0.495,3wor
  17,6hpg_c_C-c_2,C,0.616,0.427,0.427,0.616,6hpg
  18,1fch_C_A-B-C-D_2,F,0.632,0.185,0.185,0.632,1fch
  19,1fch_C_A-B-C-D_2,A,0.633,0.183,0.183,0.633,1fch
  20,1kyf_P_A-P_0,A,0.318,0.140,0.140,0.318,1kyf
  21,3mmg_C_A-C_0,A,0.357,0.177,0.177,0.357,3mmg
  22,4ezq_B_A-B_1,A,0.512,0.207,0.207,0.512,4ezq
  23,4j82_C_A-C_0,A,0.305,0.123,0.123,0.305,4j82
