index,syst,chain,tm1,tm2,min,max,pdb
   0,4c2c_B_A-B-C_0,A,0.273,0.191,0.191,0.273,4c2c
   1,5xup_D_A-B-C-D_0,B,0.230,0.283,0.230,0.283,5xup
   2,3oqs_B_A-B_0,A,0.267,0.185,0.185,0.267,3oqs
   3,1mfl_B_A-B_0,A,0.138,0.276,0.138,0.276,1mfl
   4,1svz_C_A-B-C-D_0,A,0.349,0.379,0.349,0.379,1svz
   5,6hpg_c_C-c_2,C,0.182,0.314,0.182,0.314,6hpg
   6,5zw6_C_A-B-C-D_0,A,0.261,0.193,0.193,0.261,5zw6
   7,5fox_C_A-C_0,A,0.243,0.272,0.243,0.272,5fox
   8,4ezw_E_A-E_0,A,0.235,0.273,0.235,0.273,4ezw
   9,2hpl_B_A-B_0,A,0.183,0.363,0.183,0.363,2hpl
  10,2x6m_B_A-B_0,A,0.273,0.465,0.273,0.465,2x6m
  11,3nfk_D_A-B-C-D_2,B,0.178,0.373,0.178,0.373,3nfk
  12,4xal_B_A-B_0,A,0.153,0.314,0.153,0.314,4xal
  13,2v1r_R_A-Q-R_0,A,0.126,0.305,0.126,0.305,2v1r
  14,4fii_B_A-B_0,A,0.242,0.224,0.224,0.242,4fii
  15,3nil_X_D-X_2,D,0.177,0.389,0.177,0.389,3nil
  16,1ddv_B_A-B_0,A,0.153,0.308,0.153,0.308,1ddv
  17,3rta_B_A-B_0,F,0.279,0.179,0.179,0.279,3rta
  18,3rta_B_A-B_0,A,0.279,0.179,0.179,0.279,3rta
  19,3thk_C_A-C_0,A,0.124,0.335,0.124,0.335,3thk
  20,3drk_B_A-B_0,A,0.326,0.181,0.181,0.326,3drk
  21,2h2f_B_A-B_0,A,0.251,0.272,0.251,0.272,2h2f
  22,3g19_C_A-C_0,A,0.187,0.417,0.187,0.417,3g19
  23,4ezy_B_A-B_2,A,0.231,0.262,0.231,0.262,4ezy
  24,3gq1_C_A-C_0,A,0.184,0.408,0.184,0.408,3gq1
  25,4x2h_C_A-B-C_0,A,0.235,0.288,0.235,0.288,4x2h
  26,1b46_B_A-B_0,A,0.356,0.215,0.215,0.356,1b46
  27,6cdg_B_A-B_0,A,0.242,0.335,0.242,0.335,6cdg
  28,5sxm_D_B-D_1,B,0.263,0.239,0.239,0.263,5sxm
  29,5uw3_E_A-E_0,A,0.282,0.137,0.137,0.282,5uw3
  30,4quh_D_A-C-D-I-J_0,A,0.242,0.262,0.242,0.262,4quh
  31,1wcy_C_A-B-C-D_0,A,0.268,0.124,0.124,0.268,1wcy
  32,1sua_C_A-C_0,A,0.274,0.273,0.273,0.274,1sua
  33,3drh_B_A-B_0,A,0.337,0.187,0.187,0.337,3drh
