index,syst,chain,tm1,tm2,min,max,pdb
   0,2hpl_B_A-B_0,A,0.325,0.349,0.325,0.349,2hpl
   1,4j78_B_A-B_0,A,0.339,0.153,0.153,0.339,4j78
   2,3shb_B_A-B_0,A,0.241,0.319,0.241,0.319,3shb
   3,3zin_C_A-B-C_0,A,0.348,0.122,0.122,0.348,3zin
   4,4quh_D_A-C-D-I-J_0,A,0.303,0.184,0.184,0.303,4quh
   5,5d9g_C_A-C_0,A,0.296,0.176,0.176,0.296,5d9g
   6,3tcg_I_A-I_0,A,0.315,0.107,0.107,0.315,3tcg
   7,4j84_D_B-D_1,B,0.310,0.161,0.161,0.310,4j84
   8,1b4z_B_A-B_0,A,0.366,0.111,0.111,0.366,1b4z
   9,4ynl_C_A-B-C-D_0,A,0.220,0.295,0.220,0.295,4ynl
  10,4ynl_C_A-B-C-D_0,B,0.222,0.303,0.222,0.303,4ynl
  11,4pyw_B_A-B-C_0,A,0.350,0.141,0.141,0.350,4pyw
  12,1sem_C_A-B-C-D_0,A,0.282,0.434,0.282,0.434,1sem
  13,4pxm_D_A-B-C-D_0,B,0.336,0.191,0.191,0.336,4pxm
  14,2d5w_C_A-C_0,A,0.343,0.100,0.100,0.343,2d5w
  15,4o4y_A_A-H-L_0,L,0.333,0.196,0.196,0.333,4o4y
  16,4o4y_A_A-H-L_0,H,0.346,0.216,0.216,0.346,4o4y
  17,2g30_S_A-P-S_0,A,0.433,0.244,0.244,0.433,2g30
  18,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.337,0.138,0.138,0.337,4tr9
  19,2bgr_Y_A-B-Y-Z_0,A,0.402,0.083,0.083,0.402,2bgr
  20,4fys_C_A-C_0,A,0.412,0.075,0.075,0.412,4fys
  21,2ipu_P_G-K-P_1,G,0.327,0.200,0.200,0.327,2ipu
  22,2ipu_P_G-K-P_1,K,0.331,0.197,0.197,0.331,2ipu
  23,2fop_B_A-B_0,A,0.316,0.276,0.276,0.316,2fop
