index,syst,chain,tm1,tm2,min,max,pdb
   0,1kyf_P_A-P_0,A,0.384,0.234,0.234,0.384,1kyf
   1,1b46_B_A-B_0,A,0.408,0.134,0.134,0.408,1b46
   2,4gne_B_A-B_0,A,0.238,0.279,0.238,0.279,4gne
   3,5tu5_B_A-B_0,A,0.442,0.220,0.220,0.442,5tu5
   4,4es0_C_A-C_0,A,0.291,0.164,0.164,0.291,4es0
   5,5d9g_C_A-C_0,A,0.346,0.226,0.226,0.346,5d9g
   6,3sjk_B_A-B_0,A,0.289,0.234,0.234,0.289,3sjk
   7,5fpk_C_A-C_0,A,0.358,0.236,0.236,0.358,5fpk
   8,3wor_C_A-B-C-D_0,A,0.466,0.120,0.120,0.466,3wor
   9,3gv4_H_A-H_0,A,0.265,0.311,0.265,0.311,3gv4
  10,4ztd_F_A-B-C-D-E-F_0,C,0.346,0.202,0.202,0.346,4ztd
  11,4k3r_E_A-B-E_0,A,0.396,0.176,0.176,0.396,4k3r
  12,2ipu_P_G-K-P_1,G,0.381,0.251,0.251,0.381,2ipu
  13,2ipu_P_G-K-P_1,K,0.304,0.200,0.200,0.304,2ipu
  14,5nqv_G_A-C-E-G_0,C,0.382,0.282,0.282,0.382,5nqv
  15,3drj_B_A-B_0,A,0.387,0.125,0.125,0.387,3drj
  16,1nvs_B_A-B_0,A,0.417,0.224,0.224,0.417,1nvs
  17,2v5w_G_B-G-L_1,B,0.410,0.182,0.182,0.410,2v5w
  18,3drh_B_A-B_0,A,0.386,0.124,0.124,0.386,3drh
  19,3cvl_B_A-B_0,A,0.359,0.187,0.187,0.359,3cvl
  20,1b5j_B_A-B_0,A,0.408,0.134,0.134,0.408,1b5j
  21,4j82_C_A-C_0,A,0.270,0.148,0.148,0.270,4j82
  22,2ql9_G_A-B-C-D-E-F-G_0,D,0.361,0.443,0.361,0.443,2ql9
  23,2ql9_G_A-B-C-D-E-F-G_0,A,0.370,0.343,0.343,0.370,2ql9
  24,2ql9_G_A-B-C-D-E-F-G_0,C,0.373,0.345,0.345,0.373,2ql9
  25,2ql9_G_A-B-C-D-E-F-G_0,B,0.362,0.445,0.362,0.445,2ql9
  26,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.439,0.184,0.184,0.439,2ot0
  27,1awr_J_D-J_5,D,0.360,0.302,0.302,0.360,1awr
  28,4c2g_B_A-B-C_0,A,0.320,0.119,0.119,0.320,4c2g
  29,3t64_F_A-B-C-F_0,A,0.332,0.292,0.292,0.332,3t64
  30,3t64_F_A-B-C-F_0,B,0.346,0.329,0.329,0.346,3t64
  31,4m38_E_A-B-E-F_0,A,0.376,0.176,0.176,0.376,4m38
  32,4cic_Q_A-B-Q_0,A,0.321,0.301,0.301,0.321,4cic
  33,4cic_Q_A-B-Q_0,B,0.323,0.305,0.305,0.323,4cic
  34,5m5u_G_A-E-G_0,A,0.357,0.163,0.163,0.357,5m5u
  35,3rte_B_A-B_0,G,0.345,0.122,0.122,0.345,3rte
  36,3rte_B_A-B_0,A,0.345,0.122,0.122,0.345,3rte
  37,4k3m_E_A-B-E_0,A,0.403,0.176,0.176,0.403,4k3m
  38,5jjm_G_A-G-M_0,A,0.451,0.274,0.274,0.451,5jjm
  39,5m5r_D_A-C-D_0,A,0.352,0.160,0.160,0.352,5m5r
  40,1evh_B_A-B_0,A,0.320,0.354,0.320,0.354,1evh
  41,2orz_B_A-B_0,A,0.345,0.181,0.181,0.345,2orz
  42,4j47_B_A-B_0,A,0.240,0.317,0.240,0.317,4j47
  43,4bjt_E_B-E_2,B,0.328,0.293,0.293,0.328,4bjt
  44,1ddv_B_A-B_0,A,0.317,0.365,0.317,0.365,1ddv
  45,4fii_B_A-B_0,A,0.394,0.198,0.198,0.394,4fii
  46,4iim_E_A-B-C-D-E_0,B,0.182,0.301,0.182,0.301,4iim
  47,4j77_D_B-D_1,B,0.281,0.151,0.151,0.281,4j77
  48,5fox_C_A-C_0,A,0.386,0.255,0.255,0.386,5fox
  49,4f74_C_A-B-C_0,A,0.242,0.280,0.242,0.280,4f74
  50,4f74_C_A-B-C_0,B,0.241,0.282,0.241,0.282,4f74
  51,1obz_P_A-B-P_0,A,0.261,0.222,0.222,0.261,1obz
  52,2foj_B_A-B_0,A,0.324,0.307,0.307,0.324,2foj
  53,5fgb_G_B-E-G_1,E,0.391,0.265,0.265,0.391,5fgb
  54,5fgb_G_B-E-G_1,B,0.369,0.254,0.254,0.369,5fgb
  55,3l81_B_A-B_0,A,0.409,0.245,0.245,0.409,3l81
  56,5elq_P_A-P_0,A,0.263,0.312,0.263,0.312,5elq
  57,4ny3_C_A-C_0,A,0.425,0.213,0.213,0.425,4ny3
  58,2ce9_X_A-B-X_0,A,0.296,0.146,0.146,0.296,2ce9
  59,4b8o_C_A-B-C_0,A,0.377,0.145,0.145,0.377,4b8o
  60,4odk_C_A-B-C_0,A,0.244,0.216,0.216,0.244,4odk
  61,1b3g_B_A-B_0,A,0.408,0.134,0.134,0.408,1b3g
  62,2h9m_D_C-D_1,C,0.287,0.158,0.158,0.287,2h9m
  63,5eyz_E_A-E_0,A,0.268,0.325,0.268,0.325,5eyz
  64,4gyo_C_A-B-C-D_0,B,0.352,0.164,0.164,0.352,4gyo
  65,3nij_B_A-B_0,A,0.260,0.344,0.260,0.344,3nij
  66,4ba3_B_A-B_0,A,0.342,0.133,0.133,0.342,4ba3
  67,6ew9_P_A-B-C-P-Q-R_0,A,0.293,0.158,0.158,0.293,6ew9
  68,3lca_Q_A-Q_0,A,0.327,0.119,0.119,0.327,3lca
  69,5m5t_E_A-E-G-I_0,A,0.358,0.162,0.162,0.358,5m5t
  70,2i3h_C_A-C_0,A,0.309,0.389,0.309,0.389,2i3h
  71,1b32_B_A-B_0,A,0.407,0.134,0.134,0.407,1b32
  72,1u9l_C_B-C_1,B,0.332,0.500,0.332,0.500,1u9l
  73,4kg9_B_A-B_0,A,0.343,0.321,0.321,0.343,4kg9
  74,5lb7_C_A-B-C_0,A,0.342,0.279,0.279,0.342,5lb7
  75,5lb7_C_A-B-C_0,B,0.320,0.458,0.320,0.458,5lb7
  76,2fib_B_A-B_0,A,0.366,0.221,0.221,0.366,2fib
  77,3o2b_D_C-D_1,C,0.379,0.430,0.379,0.430,3o2b
  78,1s2k_B_A-B_0,A,0.409,0.293,0.293,0.409,1s2k
  79,4j45_B_A-B_0,A,0.240,0.317,0.240,0.317,4j45
  80,1b58_B_A-B_0,A,0.405,0.133,0.133,0.405,1b58
  81,4mvk_B_A-B_0,A,0.391,0.310,0.310,0.391,4mvk
  82,4qbr_P_A-P_0,A,0.308,0.293,0.293,0.308,4qbr
  83,3s9c_B_A-B_0,A,0.352,0.228,0.228,0.352,3s9c
  84,3emh_B_A-B_0,A,0.297,0.160,0.160,0.297,3emh
  85,3ny3_B_A-B_0,A,0.261,0.371,0.261,0.371,3ny3
  86,4ynl_C_A-B-C-D_0,A,0.292,0.428,0.292,0.428,4ynl
  87,4ynl_C_A-B-C-D_0,B,0.291,0.434,0.291,0.434,4ynl
  88,3thk_C_A-C_0,A,0.199,0.311,0.199,0.311,3thk
  89,1b9j_B_A-B_0,A,0.407,0.134,0.134,0.407,1b9j
  90,5iag_D_A-B-D_0,A,0.385,0.241,0.241,0.385,5iag
  91,4q6f_H_C-H_2,C,0.166,0.281,0.166,0.281,4q6f
  92,4pz3_C_A-B-C_0,B,0.351,0.309,0.309,0.351,4pz3
  93,3zs6_B_A-B_0,A,0.391,0.132,0.132,0.391,3zs6
  94,3ebb_F_A-B-E-F_0,B,0.349,0.207,0.207,0.349,3ebb
  95,6cwp_F_A-B-F_0,A,0.447,0.247,0.247,0.447,6cwp
  96,6cwp_F_A-B-F_0,B,0.438,0.222,0.222,0.438,6cwp
  97,1elr_B_A-B_0,A,0.333,0.329,0.329,0.333,1elr
  98,5e6o_E_B-E_1,B,0.302,0.319,0.302,0.319,5e6o
  99,3mqr_B_A-B_0,A,0.322,0.305,0.305,0.322,3mqr
 100,3nik_X_D-X_2,D,0.277,0.366,0.277,0.366,3nik
 101,3nim_X_F-X_3,F,0.273,0.362,0.273,0.362,3nim
 102,3f6k_N_A-N_0,A,0.333,0.102,0.102,0.333,3f6k
 103,3hds_E_A-D-E_0,D,0.412,0.455,0.412,0.455,3hds
 104,3hds_E_A-D-E_0,A,0.410,0.434,0.410,0.434,3hds
 105,2v5f_X_A-X_0,A,0.306,0.361,0.306,0.361,2v5f
 106,3m5m_C_B-C_1,B,0.322,0.242,0.242,0.322,3m5m
 107,4pxm_D_A-B-C-D_0,B,0.410,0.270,0.270,0.410,4pxm
 108,3nih_B_A-B_0,A,0.274,0.372,0.274,0.372,3nih
