index,syst,chain,tm1,tm2,min,max,pdb
   0,3rt9_B_A-B_0,F,0.387,0.269,0.269,0.387,3rt9
   1,3rt9_B_A-B_0,A,0.387,0.269,0.269,0.387,3rt9
   2,3soq_Z_A-Z_0,A,0.672,0.658,0.658,0.672,3soq
   3,1b46_B_A-B_0,A,0.320,0.216,0.216,0.320,1b46
   4,4fys_C_A-C_0,A,0.367,0.151,0.151,0.367,4fys
   5,4j81_C_B-C_1,B,0.911,0.905,0.905,0.911,4j81
   6,4j44_B_A-B_0,A,0.147,0.400,0.147,0.400,4j44
   7,5oj5_B_A-B_0,A,0.771,0.746,0.746,0.771,5oj5
   8,1czy_D_A-B-C-D-E_0,A,0.207,0.321,0.207,0.321,1czy
   9,3srj_D_A-C-D_0,A,0.280,0.280,0.280,0.280,3srj
  10,4j79_B_A-B_0,A,0.909,0.903,0.903,0.909,4j79
  11,1ok7_C_A-B-C_0,B,0.249,0.215,0.215,0.249,1ok7
  12,1jwg_D_B-D_1,B,0.182,0.305,0.182,0.305,1jwg
  13,4mz6_A_A-C-E_0,E,0.258,0.200,0.200,0.258,4mz6
  14,3nim_X_F-X_3,F,0.133,0.339,0.133,0.339,3nim
  15,3agy_C_A-B-C-D-F_0,A,0.153,0.225,0.153,0.225,3agy
  16,2foo_B_A-B_0,A,0.184,0.329,0.184,0.329,2foo
  17,3shb_B_A-B_0,A,0.141,0.404,0.141,0.404,3shb
  18,3ou3_C_A-B-C_0,A,0.157,0.321,0.157,0.321,3ou3
  19,3ou3_C_A-B-C_0,B,0.158,0.322,0.158,0.322,3ou3
  20,3rte_B_A-B_0,G,0.385,0.268,0.268,0.385,3rte
  21,3rte_B_A-B_0,A,0.385,0.268,0.268,0.385,3rte
  22,4j8b_B_A-B_0,A,0.897,0.897,0.897,0.897,4j8b
  23,4f75_C_A-B-C-D_0,A,0.152,0.320,0.152,0.320,4f75
  24,4f75_C_A-B-C-D_0,B,0.158,0.328,0.158,0.328,4f75
  25,1mfl_B_A-B_0,A,0.162,0.352,0.162,0.352,1mfl
  26,4k72_C_A-C_0,A,0.146,0.334,0.146,0.334,4k72
  27,4zhb_B_A-B_0,A,0.155,0.326,0.155,0.326,4zhb
  28,1ddv_B_A-B_0,A,0.168,0.397,0.168,0.397,1ddv
  29,6eja_B_A-B_0,A,0.301,0.157,0.157,0.301,6eja
  30,5eyz_E_A-E_0,A,0.157,0.336,0.157,0.336,5eyz
  31,4ezq_B_A-B_1,A,0.222,0.280,0.222,0.280,4ezq
  32,4jjq_B_A-B_0,A,0.184,0.328,0.184,0.328,4jjq
  33,1oby_Q_A-B-P-Q_0,A,0.142,0.361,0.142,0.361,1oby
  34,1oby_Q_A-B-P-Q_0,B,0.128,0.329,0.128,0.329,1oby
  35,3thk_C_A-C_0,A,0.116,0.408,0.116,0.408,3thk
  36,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.118,0.284,0.118,0.284,2y1l
  37,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.188,0.311,0.188,0.311,2y1l
  38,5uw3_E_A-E_0,A,0.692,0.335,0.335,0.692,5uw3
  39,1lvm_C_A-C-E_0,A,0.244,0.295,0.244,0.295,1lvm
  40,2r9q_X_A-C-X_1,C,0.272,0.253,0.253,0.272,2r9q
  41,4pyw_B_A-B-C_0,A,0.272,0.239,0.239,0.272,4pyw
  42,4b8o_C_A-B-C_0,A,0.260,0.200,0.200,0.260,4b8o
  43,3lca_Q_A-Q_0,A,0.332,0.232,0.232,0.332,3lca
  44,4faf_D_A-B-D_0,A,0.154,0.328,0.154,0.328,4faf
  45,4faf_D_A-B-D_0,B,0.155,0.315,0.155,0.315,4faf
  46,3rc4_B_A-B_0,A,0.265,0.354,0.265,0.354,3rc4
  47,3m5o_C_A-C_0,A,0.265,0.356,0.265,0.356,3m5o
  48,5wun_C_A-B-C_0,A,0.271,0.207,0.207,0.271,5wun
  49,4jwd_C_B-C_1,B,0.200,0.260,0.200,0.260,4jwd
  50,5fov_E_A-E_0,A,0.276,0.333,0.276,0.333,5fov
  51,3woq_C_A-B-C-D_0,A,0.264,0.139,0.139,0.264,3woq
  52,2nph_S_A-B-S-T_0,A,0.151,0.314,0.151,0.314,2nph
  53,2nph_S_A-B-S-T_0,B,0.151,0.316,0.151,0.316,2nph
  54,3nfk_D_A-B-C-D_2,B,0.158,0.347,0.158,0.347,3nfk
  55,5ovv_B_A-B_0,A,0.160,0.330,0.160,0.330,5ovv
  56,2ce9_X_A-B-X_0,A,0.901,0.802,0.802,0.901,2ce9
  57,4j09_B_A-B_0,A,0.285,0.311,0.285,0.311,4j09
  58,4j09_B_A-B_0,C,0.285,0.311,0.285,0.311,4j09
  59,1obz_P_A-B-P_0,A,0.185,0.287,0.185,0.287,1obz
  60,4ba3_B_A-B_0,A,0.267,0.205,0.205,0.267,4ba3
  61,2x6m_B_A-B_0,A,0.178,0.324,0.178,0.324,2x6m
  62,1b51_B_A-B_0,A,0.345,0.231,0.231,0.345,1b51
  63,1b4z_B_A-B_0,A,0.324,0.220,0.220,0.324,1b4z
  64,1wcy_C_A-B-C-D_0,A,0.579,0.275,0.275,0.579,1wcy
  65,3drk_B_A-B_0,A,0.302,0.189,0.189,0.302,3drk
  66,4c2g_B_A-B-C_0,A,0.298,0.229,0.229,0.298,4c2g
  67,4ezn_C_A-B-C-D_0,A,0.214,0.280,0.214,0.280,4ezn
  68,4g69_B_A-B_0,A,0.148,0.326,0.148,0.326,4g69
  69,6exj_B_A-B_0,A,0.135,0.340,0.135,0.340,6exj
  70,3dri_B_A-B_0,A,0.300,0.188,0.188,0.300,3dri
  71,4ojf_A_A-H-L_0,L,0.186,0.230,0.186,0.230,4ojf
  72,4ojf_A_A-H-L_0,H,0.235,0.287,0.235,0.287,4ojf
  73,5lb7_C_A-B-C_0,A,0.198,0.293,0.198,0.293,5lb7
  74,5lb7_C_A-B-C_0,B,0.136,0.335,0.136,0.335,5lb7
  75,4j84_D_B-D_1,B,0.900,0.909,0.900,0.909,4j84
  76,1b40_B_A-B_0,A,0.348,0.232,0.232,0.348,1b40
  77,5iag_D_A-B-D_0,A,0.255,0.295,0.255,0.295,5iag
  78,4mvk_B_A-B_0,A,0.221,0.328,0.221,0.328,4mvk
  79,3cbl_B_A-B_0,A,0.261,0.231,0.231,0.261,3cbl
  80,1s2k_B_A-B_0,A,0.271,0.369,0.271,0.369,1s2k
  81,5oav_B_A-B_0,A,0.116,0.416,0.116,0.416,5oav
  82,1sua_C_A-C_0,A,0.315,0.342,0.315,0.342,1sua
  83,5m5v_G_A-E-G-I_0,A,0.719,0.615,0.615,0.719,5m5v
  84,3ziq_B_A-B-C_0,A,0.270,0.207,0.207,0.270,3ziq
  85,4k3r_E_A-B-E_0,A,0.252,0.221,0.221,0.252,4k3r
  86,1b5j_B_A-B_0,A,0.322,0.215,0.215,0.322,1b5j
  87,3rc5_B_A-B_0,A,0.264,0.357,0.264,0.357,3rc5
  88,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.188,0.360,0.188,0.360,1kl3
  89,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.185,0.361,0.185,0.361,1kl3
  90,3zs6_B_A-B_0,A,0.322,0.219,0.219,0.322,3zs6
  91,2f5b_P_H-L-P_0,L,0.205,0.256,0.205,0.256,2f5b
  92,2f5b_P_H-L-P_0,H,0.200,0.239,0.200,0.239,2f5b
  93,5fgb_G_B-E-G_1,E,0.236,0.297,0.236,0.297,5fgb
  94,5fgb_G_B-E-G_1,B,0.178,0.222,0.178,0.222,5fgb
  95,3l81_B_A-B_0,A,0.217,0.246,0.217,0.246,3l81
  96,3qhw_L_A-B-J-L_0,B,0.283,0.311,0.283,0.311,3qhw
  97,1kyf_P_A-P_0,A,0.242,0.275,0.242,0.275,1kyf
  98,5elq_P_A-P_0,A,0.136,0.329,0.136,0.329,5elq
  99,1d00_I_A-I_0,A,0.216,0.324,0.216,0.324,1d00
 100,1uop_B_A-B_0,A,0.657,0.311,0.311,0.657,1uop
 101,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.259,0.268,0.259,0.268,2z9i
 102,1elr_B_A-B_0,A,0.184,0.326,0.184,0.326,1elr
 103,1yth_I_A-B-I_0,A,0.153,0.320,0.153,0.320,1yth
 104,1yth_I_A-B-I_0,B,0.153,0.314,0.153,0.314,1yth
 105,1oxn_F_E-F_7,E,0.167,0.382,0.167,0.382,1oxn
 106,1gyb_E_A-B-E-F_0,A,0.182,0.349,0.182,0.349,1gyb
