index,syst,chain,tm1,tm2,min,max,pdb
   0,1vwa_M_B-D-M-P_0,C,0.094,0.421,0.094,0.421,1vwa
   1,1vwa_M_B-D-M-P_0,B,0.097,0.403,0.097,0.403,1vwa
   2,3agy_C_A-B-C-D-F_0,A,0.113,0.327,0.113,0.327,3agy
   3,1d0a_G_A-B-C-G-H-I_0,A,0.113,0.374,0.113,0.374,1d0a
   4,3nil_X_D-X_2,D,0.061,0.315,0.061,0.315,3nil
   5,1elr_B_A-B_0,A,0.114,0.405,0.114,0.405,1elr
   6,4jwd_C_B-C_1,B,0.124,0.322,0.124,0.322,4jwd
   7,4pyw_B_A-B-C_0,A,0.160,0.263,0.160,0.263,4pyw
   8,4v3i_B_A-B_0,A,0.125,0.414,0.125,0.414,4v3i
   9,1e4x_P_H-L-P_0,L,0.115,0.298,0.115,0.298,1e4x
  10,1e4x_P_H-L-P_0,H,0.148,0.371,0.148,0.371,1e4x
  11,5yba_B_A-B-C-D_0,A,0.105,0.307,0.105,0.307,5yba
  12,5lb7_C_A-B-C_0,A,0.134,0.409,0.134,0.409,5lb7
  13,5lb7_C_A-B-C_0,B,0.069,0.452,0.069,0.452,5lb7
  14,4o51_N_A-B-N_1,A,0.125,0.305,0.125,0.305,4o51
  15,4o51_N_A-B-N_1,B,0.144,0.355,0.144,0.355,4o51
  16,4nnm_C_A-C_0,A,0.075,0.324,0.075,0.324,4nnm
  17,5zw6_C_A-B-C-D_0,A,0.239,0.384,0.239,0.384,5zw6
  18,6fqc_E_A-B-D-E_0,A,0.143,0.253,0.143,0.253,6fqc
  19,2v5w_G_B-G-L_1,B,0.207,0.353,0.207,0.353,2v5w
  20,4g69_B_A-B_0,A,0.076,0.375,0.076,0.375,4g69
  21,2h59_D_A-B-D-E_0,A,0.184,0.437,0.184,0.437,2h59
  22,2h59_D_A-B-D-E_0,B,0.182,0.436,0.182,0.436,2h59
  23,4joh_D_A-D_0,A,0.066,0.356,0.066,0.356,4joh
  24,5wun_C_A-B-C_0,A,0.224,0.333,0.224,0.333,5wun
  25,4r5i_B_A-B_0,A,0.146,0.359,0.146,0.359,4r5i
  26,3nim_X_F-X_3,F,0.064,0.326,0.064,0.326,3nim
  27,2zgh_B_A-B_0,A,0.123,0.289,0.123,0.289,2zgh
  28,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.199,0.349,0.199,0.349,4tr9
  29,2r9q_X_A-C-X_1,C,0.155,0.276,0.155,0.276,2r9q
  30,2hpl_B_A-B_0,A,0.072,0.377,0.072,0.377,2hpl
  31,4quh_D_A-C-D-I-J_0,A,0.147,0.364,0.147,0.364,4quh
  32,4kg9_B_A-B_0,A,0.097,0.352,0.097,0.352,4kg9
  33,3wor_C_A-B-C-D_0,A,0.247,0.255,0.247,0.255,3wor
  34,1lvm_C_A-C-E_0,A,0.132,0.320,0.132,0.320,1lvm
