index,syst,chain,tm1,tm2,min,max,pdb
   0,4f74_C_A-B-C_0,A,0.100,0.360,0.100,0.360,4f74
   1,4f74_C_A-B-C_0,B,0.100,0.355,0.100,0.355,4f74
   2,2fop_B_A-B_0,A,0.131,0.398,0.131,0.398,2fop
   3,3gv4_H_A-H_0,A,0.104,0.362,0.104,0.362,3gv4
   4,4ba3_B_A-B_0,A,0.217,0.265,0.217,0.265,4ba3
   5,4j77_D_B-D_1,B,0.185,0.298,0.185,0.298,4j77
   6,4ezq_B_A-B_1,A,0.175,0.375,0.175,0.375,4ezq
   7,4xi7_C_A-C_0,A,0.209,0.284,0.209,0.284,4xi7
   8,1yti_I_A-I_0,A,0.094,0.344,0.094,0.344,1yti
   9,1yti_I_A-I_0,B,0.094,0.344,0.094,0.344,1yti
  10,2h59_D_A-B-D-E_0,A,0.174,0.324,0.174,0.324,2h59
  11,2h59_D_A-B-D-E_0,B,0.183,0.336,0.183,0.336,2h59
  12,3nin_E_B-E_1,B,0.074,0.306,0.074,0.306,3nin
  13,5xup_D_A-B-C-D_0,B,0.164,0.352,0.164,0.352,5xup
  14,1obz_P_A-B-P_0,A,0.141,0.357,0.141,0.357,1obz
  15,4ezz_B_A-B_1,A,0.164,0.327,0.164,0.327,4ezz
  16,1ddv_B_A-B_0,A,0.114,0.386,0.114,0.386,1ddv
  17,1ok7_C_A-B-C_0,B,0.213,0.289,0.213,0.289,1ok7
  18,2nph_S_A-B-S-T_0,A,0.099,0.353,0.099,0.353,2nph
  19,2nph_S_A-B-S-T_0,B,0.098,0.343,0.098,0.343,2nph
  20,3t70_F_A-B-C-F_0,A,0.147,0.431,0.147,0.431,3t70
  21,3t70_F_A-B-C-F_0,B,0.147,0.450,0.147,0.450,3t70
  22,2v3s_C_B-C_1,B,0.104,0.421,0.104,0.421,2v3s
  23,3zvy_D_B-D_0,B,0.065,0.303,0.065,0.303,3zvy
  24,2foo_B_A-B_0,A,0.131,0.398,0.131,0.398,2foo
  25,3sxu_C_A-B-C_0,A,0.138,0.371,0.138,0.371,3sxu
  26,4faf_D_A-B-D_0,A,0.100,0.345,0.100,0.345,4faf
  27,4faf_D_A-B-D_0,B,0.099,0.362,0.099,0.362,4faf
  28,1nvs_B_A-B_0,A,0.210,0.382,0.210,0.382,1nvs
  29,3shb_B_A-B_0,A,0.079,0.390,0.079,0.390,3shb
  30,4ojf_A_A-H-L_0,L,0.186,0.378,0.186,0.378,4ojf
  31,4ojf_A_A-H-L_0,H,0.189,0.380,0.189,0.380,4ojf
  32,3nij_B_A-B_0,A,0.081,0.353,0.081,0.353,3nij
  33,4z88_V_J-V_1,J,0.082,0.411,0.082,0.411,4z88
  34,3m5n_F_B-F_1,B,0.130,0.285,0.130,0.285,3m5n
  35,5grg_D_A-B-C-D_0,A,0.201,0.341,0.201,0.341,5grg
  36,4g69_B_A-B_0,A,0.093,0.341,0.093,0.341,4g69
  37,4que_E_A-C-D-E-H-J_0,A,0.155,0.325,0.155,0.325,4que
  38,5zw6_C_A-B-C-D_0,A,0.224,0.291,0.224,0.291,5zw6
  39,3mmg_C_A-C_0,A,0.159,0.315,0.159,0.315,3mmg
  40,3fwv_C_A-C_0,A,0.111,0.324,0.111,0.324,3fwv
  41,2v5f_X_A-X_0,A,0.095,0.359,0.095,0.359,2v5f
  42,3cvl_B_A-B_0,A,0.198,0.313,0.198,0.313,3cvl
  43,6cdc_C_A-C_0,A,0.139,0.367,0.139,0.367,6cdc
  44,1sdz_B_A-B_0,A,0.092,0.335,0.092,0.335,1sdz
  45,5oav_B_A-B_0,A,0.073,0.423,0.073,0.423,5oav
  46,1gyb_E_A-B-E-F_0,A,0.107,0.341,0.107,0.341,1gyb
  47,1gyb_E_A-B-E-F_0,B,0.119,0.375,0.119,0.375,1gyb
  48,4c2c_B_A-B-C_0,A,0.219,0.264,0.219,0.264,4c2c
  49,5xcr_F_D-E-F_1,D,0.150,0.380,0.150,0.380,5xcr
  50,5xcr_F_D-E-F_1,E,0.152,0.398,0.152,0.398,5xcr
  51,2ce9_X_A-B-X_0,A,0.199,0.289,0.199,0.289,2ce9
  52,5d9g_C_A-C_0,A,0.179,0.324,0.179,0.324,5d9g
  53,1uop_B_A-B_0,A,0.332,0.277,0.277,0.332,1uop
  54,4j84_D_B-D_1,B,0.181,0.290,0.181,0.290,4j84
  55,4gne_B_A-B_0,A,0.102,0.351,0.102,0.351,4gne
