index,syst,chain,tm1,tm2,min,max,pdb
   0,4z0u_D_A-D_0,A,0.320,0.244,0.244,0.320,4z0u
   1,5t6p_E_C-D-E_1,D,0.339,0.205,0.205,0.339,5t6p
   2,5t6p_E_C-D-E_1,C,0.292,0.179,0.179,0.292,5t6p
   3,5wir_D_A-B-C-D_0,B,0.318,0.196,0.196,0.318,5wir
   4,2v3s_C_B-C_1,B,0.322,0.328,0.322,0.328,2v3s
   5,4fys_C_A-C_0,A,0.377,0.065,0.065,0.377,4fys
   6,1nvs_B_A-B_0,A,0.286,0.149,0.149,0.286,1nvs
   7,3mqr_B_A-B_0,A,0.340,0.282,0.282,0.340,3mqr
   8,4mz6_A_A-C-E_0,E,0.273,0.094,0.094,0.273,4mz6
   9,5grg_D_A-B-C-D_0,A,0.261,0.134,0.134,0.261,5grg
  10,1mfl_B_A-B_0,A,0.275,0.282,0.275,0.282,1mfl
  11,4j8b_B_A-B_0,A,0.335,0.159,0.159,0.335,4j8b
  12,2zgh_B_A-B_0,A,0.414,0.220,0.220,0.414,2zgh
  13,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.294,0.260,0.260,0.294,1kl3
  14,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.293,0.259,0.259,0.293,1kl3
  15,3srj_D_A-C-D_0,A,0.358,0.166,0.166,0.358,3srj
  16,1hsb_C_A-B-C_0,A,0.269,0.134,0.134,0.269,1hsb
  17,1uoq_B_A-B_0,A,0.324,0.078,0.078,0.324,1uoq
  18,2d5w_C_A-C_0,A,0.387,0.100,0.100,0.387,2d5w
  19,1b58_B_A-B_0,A,0.350,0.106,0.106,0.350,1b58
  20,6cd9_B_A-B_0,A,0.355,0.258,0.258,0.355,6cd9
  21,4k3o_E_A-B-E_0,A,0.305,0.117,0.117,0.305,4k3o
  22,4j79_B_A-B_0,A,0.311,0.144,0.144,0.311,4j79
  23,1str_M_B-D-M-P_0,C,0.326,0.288,0.288,0.326,1str
  24,1str_M_B-D-M-P_0,B,0.290,0.252,0.252,0.290,1str
  25,6fkp_G_C-G_2,C,0.237,0.324,0.237,0.324,6fkp
  26,5tu5_B_A-B_0,A,0.360,0.165,0.165,0.360,5tu5
  27,2foo_B_A-B_0,A,0.340,0.283,0.283,0.340,2foo
  28,3lca_Q_A-Q_0,A,0.280,0.093,0.093,0.280,3lca
  29,4quh_D_A-C-D-I-J_0,A,0.310,0.175,0.175,0.310,4quh
  30,4j09_B_A-B_0,A,0.285,0.147,0.147,0.285,4j09
  31,4j09_B_A-B_0,C,0.285,0.147,0.147,0.285,4j09
  32,4v3i_B_A-B_0,A,0.276,0.214,0.214,0.276,4v3i
  33,4b3b_C_A-C_0,A,0.307,0.178,0.178,0.307,4b3b
  34,4j77_D_B-D_1,B,0.318,0.145,0.145,0.318,4j77
  35,1s2k_B_A-B_0,A,0.331,0.206,0.206,0.331,1s2k
  36,2g30_S_A-P-S_0,A,0.316,0.184,0.184,0.316,2g30
  37,4faf_D_A-B-D_0,A,0.938,0.938,0.938,0.938,4faf
  38,4faf_D_A-B-D_0,B,0.918,0.918,0.918,0.918,4faf
  39,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.326,0.136,0.136,0.326,2ot0
  40,5azf_C_A-C_0,A,0.345,0.308,0.308,0.345,5azf
  41,1awr_J_D-J_5,D,0.317,0.228,0.228,0.317,1awr
  42,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.285,0.253,0.253,0.285,1kl5
  43,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.292,0.257,0.257,0.292,1kl5
  44,2v17_A_A-H-L_0,L,0.295,0.179,0.179,0.295,2v17
  45,2v17_A_A-H-L_0,H,0.323,0.192,0.192,0.323,2v17
  46,4z8j_B_A-B_0,A,0.281,0.285,0.281,0.285,4z8j
  47,5m5t_E_A-E-G-I_0,A,0.318,0.139,0.139,0.318,5m5t
  48,5ovc_B_A-B_0,A,0.313,0.319,0.313,0.319,5ovc
  49,4jop_C_A-C_0,A,0.267,0.287,0.267,0.287,4jop
  50,2v1r_R_A-Q-R_0,A,0.272,0.336,0.272,0.336,2v1r
