index,syst,chain,tm1,tm2,min,max,pdb
   0,2zjd_D_C-D_5,C,0.373,0.404,0.373,0.404,2zjd
   1,2h9m_D_C-D_1,C,0.330,0.181,0.181,0.330,2h9m
   2,3psl_D_B-D_1,B,0.330,0.184,0.184,0.330,3psl
   3,5wun_C_A-B-C_0,A,0.266,0.115,0.115,0.266,5wun
   4,4odk_C_A-B-C_0,A,0.261,0.245,0.245,0.261,4odk
   5,5b74_D_A-B-D_0,B,0.286,0.301,0.286,0.301,5b74
   6,4que_E_A-C-D-E-H-J_0,A,0.323,0.225,0.225,0.323,4que
   7,3d9t_D_B-D_1,B,0.256,0.328,0.256,0.328,3d9t
   8,3fwv_C_A-C_0,A,0.227,0.238,0.227,0.238,3fwv
   9,3g19_C_A-C_0,A,0.267,0.389,0.267,0.389,3g19
  10,5m5v_G_A-E-G-I_0,A,0.332,0.170,0.170,0.332,5m5v
  11,4xal_B_A-B_0,A,0.209,0.280,0.209,0.280,4xal
  12,4j46_B_A-B_0,A,0.258,0.358,0.258,0.358,4j46
  13,4ynl_C_A-B-C-D_0,A,0.235,0.334,0.235,0.334,4ynl
  14,4ynl_C_A-B-C-D_0,B,0.229,0.319,0.229,0.319,4ynl
  15,2x6m_B_A-B_0,A,0.406,0.435,0.406,0.435,2x6m
  16,4joh_D_A-D_0,A,0.313,0.444,0.313,0.444,4joh
  17,5xup_D_A-B-C-D_0,B,0.292,0.230,0.230,0.292,5xup
  18,2v17_A_A-H-L_0,L,0.406,0.288,0.288,0.406,2v17
  19,2v17_A_A-H-L_0,H,0.411,0.281,0.281,0.411,2v17
  20,5m5t_E_A-E-G-I_0,A,0.333,0.170,0.170,0.333,5m5t
  21,4c2c_B_A-B-C_0,A,0.320,0.135,0.135,0.320,4c2c
  22,3zvy_D_B-D_0,B,0.181,0.285,0.181,0.285,3zvy
  23,6cdg_B_A-B_0,A,0.371,0.331,0.331,0.371,6cdg
  24,1b3l_B_A-B_0,A,0.350,0.129,0.129,0.350,1b3l
  25,1b05_B_A-B_0,A,0.347,0.131,0.131,0.347,1b05
  26,4j8b_B_A-B_0,A,0.306,0.176,0.176,0.306,4j8b
  27,3nii_B_A-B_0,A,0.252,0.349,0.252,0.349,3nii
  28,4j09_B_A-B_0,A,0.275,0.178,0.178,0.275,4j09
  29,4j09_B_A-B_0,C,0.275,0.178,0.178,0.275,4j09
  30,5m5r_D_A-C-D_0,A,0.331,0.170,0.170,0.331,5m5r
  31,5d9g_C_A-C_0,A,0.357,0.235,0.235,0.357,5d9g
  32,3fp4_Q_A-Q_0,A,0.251,0.096,0.096,0.251,3fp4
  33,1uoq_B_A-B_0,A,0.360,0.101,0.101,0.360,1uoq
  34,3vqg_B_A-B_0,A,0.316,0.445,0.316,0.445,3vqg
  35,3lny_B_A-B_0,A,0.307,0.406,0.307,0.406,3lny
  36,4ezq_B_A-B_1,A,0.364,0.262,0.262,0.364,4ezq
  37,4k76_G_C-G_2,C,0.310,0.427,0.310,0.427,4k76
  38,4z88_V_J-V_1,J,0.218,0.323,0.218,0.323,4z88
  39,3srj_D_A-C-D_0,A,0.306,0.174,0.174,0.306,3srj
  40,4j84_D_B-D_1,B,0.324,0.189,0.189,0.324,4j84
  41,1yth_I_A-B-I_0,A,0.287,0.349,0.287,0.349,1yth
  42,1yth_I_A-B-I_0,B,0.287,0.351,0.287,0.351,1yth
  43,5wir_D_A-B-C-D_0,B,0.297,0.227,0.227,0.297,5wir
  44,3nim_X_F-X_3,F,0.240,0.336,0.240,0.336,3nim
  45,1vwa_M_B-D-M-P_0,C,0.344,0.377,0.344,0.377,1vwa
  46,1vwa_M_B-D-M-P_0,B,0.336,0.362,0.336,0.362,1vwa
  47,2zgh_B_A-B_0,A,0.345,0.245,0.245,0.345,2zgh
  48,3drk_B_A-B_0,A,0.389,0.127,0.127,0.389,3drk
  49,6ew9_P_A-B-C-P-Q-R_0,A,0.311,0.175,0.175,0.311,6ew9
  50,4mz6_A_A-C-E_0,E,0.282,0.118,0.118,0.282,4mz6
  51,6cd8_C_A-C_0,A,0.368,0.325,0.325,0.368,6cd8
  52,2ql9_G_A-B-C-D-E-F-G_0,D,0.257,0.325,0.257,0.325,2ql9
  53,2ql9_G_A-B-C-D-E-F-G_0,A,0.273,0.270,0.270,0.273,2ql9
  54,2ql9_G_A-B-C-D-E-F-G_0,C,0.272,0.270,0.270,0.272,2ql9
  55,2ql9_G_A-B-C-D-E-F-G_0,B,0.257,0.325,0.257,0.325,2ql9
  56,6cdc_C_A-C_0,A,0.368,0.329,0.329,0.368,6cdc
  57,4m38_E_A-B-E-F_0,A,0.325,0.161,0.161,0.325,4m38
  58,1obz_P_A-B-P_0,A,0.327,0.291,0.291,0.327,1obz
  59,5yba_B_A-B-C-D_0,A,0.312,0.268,0.268,0.312,5yba
  60,5fch_C_A-B-C_0,A,0.373,0.176,0.176,0.373,5fch
  61,5fch_C_A-B-C_0,B,0.375,0.177,0.177,0.375,5fch
  62,1str_M_B-D-M-P_0,C,0.340,0.371,0.340,0.371,1str
  63,1str_M_B-D-M-P_0,B,0.340,0.367,0.340,0.367,1str
  64,4ezn_C_A-B-C-D_0,A,0.358,0.263,0.263,0.358,4ezn
  65,4f74_C_A-B-C_0,A,0.285,0.347,0.285,0.347,4f74
  66,4f74_C_A-B-C_0,B,0.287,0.347,0.287,0.347,4f74
  67,2h2f_B_A-B_0,A,0.328,0.223,0.223,0.328,2h2f
  68,5fou_C_A-C_0,A,0.325,0.226,0.226,0.325,5fou
  69,3wor_C_A-B-C-D_0,A,0.317,0.092,0.092,0.317,3wor
  70,5fox_C_A-C_0,A,0.306,0.228,0.228,0.306,5fox
  71,3zs6_B_A-B_0,A,0.355,0.136,0.136,0.355,3zs6
  72,3gv4_H_A-H_0,A,0.254,0.315,0.254,0.315,3gv4
  73,4jor_D_B-D_1,B,0.279,0.374,0.279,0.374,4jor
  74,5azf_C_A-C_0,A,0.369,0.405,0.369,0.405,5azf
  75,4od7_E_C-E_2,C,0.332,0.273,0.273,0.332,4od7
  76,5lb7_C_A-B-C_0,A,0.295,0.260,0.260,0.295,5lb7
  77,5lb7_C_A-B-C_0,B,0.218,0.309,0.218,0.309,5lb7
  78,4j47_B_A-B_0,A,0.262,0.368,0.262,0.368,4j47
  79,1w9e_S_A-B-R-S-T_0,B,0.333,0.295,0.295,0.333,1w9e
  80,1hsb_C_A-B-C_0,A,0.404,0.249,0.249,0.404,1hsb
  81,2ipu_P_G-K-P_1,G,0.409,0.283,0.283,0.409,2ipu
  82,2ipu_P_G-K-P_1,K,0.393,0.276,0.276,0.393,2ipu
  83,4o4y_A_A-H-L_0,L,0.393,0.278,0.278,0.393,4o4y
  84,4o4y_A_A-H-L_0,H,0.392,0.278,0.278,0.392,4o4y
  85,2h59_D_A-B-D-E_0,A,0.326,0.213,0.213,0.326,2h59
  86,2h59_D_A-B-D-E_0,B,0.327,0.213,0.213,0.327,2h59
  87,2v1r_R_A-Q-R_0,A,0.181,0.284,0.181,0.284,2v1r
  88,3ny3_B_A-B_0,A,0.203,0.334,0.203,0.334,3ny3
  89,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.307,0.337,0.307,0.337,1kl5
  90,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.307,0.337,0.307,0.337,1kl5
  91,1awr_J_D-J_5,D,0.310,0.276,0.276,0.310,1awr
  92,3fp2_Q_A-Q_0,A,0.270,0.107,0.107,0.270,3fp2
  93,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.254,0.328,0.254,0.328,2y1l
  94,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.278,0.265,0.265,0.278,2y1l
  95,4ojf_A_A-H-L_0,L,0.397,0.274,0.274,0.397,4ojf
  96,4ojf_A_A-H-L_0,H,0.398,0.279,0.279,0.398,4ojf
  97,3jrv_D_B-D_1,B,0.280,0.274,0.274,0.280,3jrv
  98,1b51_B_A-B_0,A,0.356,0.133,0.133,0.356,1b51
  99,3gq1_C_A-C_0,A,0.261,0.370,0.261,0.370,3gq1
 100,2ce9_X_A-B-X_0,A,0.309,0.158,0.158,0.309,2ce9
 101,4ezz_B_A-B_1,A,0.364,0.258,0.258,0.364,4ezz
 102,5jjm_G_A-G-M_0,A,0.325,0.213,0.213,0.325,5jjm
