index,syst,chain,tm1,tm2,min,max,pdb
   0,4k3o_E_A-B-E_0,A,0.433,0.147,0.147,0.433,4k3o
   1,1fch_C_A-B-C-D_2,F,0.300,0.126,0.126,0.300,1fch
   2,1fch_C_A-B-C-D_2,A,0.262,0.114,0.114,0.262,1fch
   3,2foo_B_A-B_0,A,0.424,0.315,0.315,0.424,2foo
   4,3ou3_C_A-B-C_0,A,0.286,0.272,0.272,0.286,3ou3
   5,3ou3_C_A-B-C_0,B,0.286,0.272,0.272,0.286,3ou3
   6,5ovc_B_A-B_0,A,0.789,0.752,0.752,0.789,5ovc
   7,3rte_B_A-B_0,G,0.420,0.121,0.121,0.420,3rte
   8,3rte_B_A-B_0,A,0.420,0.121,0.121,0.420,3rte
   9,5fgb_G_B-E-G_1,E,0.332,0.186,0.186,0.332,5fgb
  10,5fgb_G_B-E-G_1,B,0.304,0.168,0.168,0.304,5fgb
  11,1b05_B_A-B_0,A,0.341,0.103,0.103,0.341,1b05
  12,4apo_D_B-D_1,B,0.266,0.178,0.178,0.266,4apo
  13,5lb7_C_A-B-C_0,A,0.246,0.153,0.153,0.246,5lb7
  14,5lb7_C_A-B-C_0,B,0.235,0.264,0.235,0.264,5lb7
  15,4k3m_E_A-B-E_0,A,0.429,0.146,0.146,0.429,4k3m
  16,3l81_B_A-B_0,A,0.340,0.170,0.170,0.340,3l81
  17,5k4f_C_A-C_0,A,0.833,0.867,0.833,0.867,5k4f
  18,2ce9_X_A-B-X_0,A,0.340,0.136,0.136,0.340,2ce9
  19,2f5b_P_H-L-P_0,L,0.323,0.184,0.184,0.323,2f5b
  20,2f5b_P_H-L-P_0,H,0.319,0.173,0.173,0.319,2f5b
  21,3g19_C_A-C_0,A,0.357,0.377,0.357,0.377,3g19
  22,5m5u_G_A-E-G_0,A,0.348,0.123,0.123,0.348,5m5u
  23,5huy_B_A-B-C_0,C,0.246,0.080,0.080,0.246,5huy
  24,1lvm_C_A-C-E_0,A,0.314,0.179,0.179,0.314,1lvm
  25,3vqg_B_A-B_0,A,0.753,0.798,0.753,0.798,3vqg
  26,5gu4_C_A-C_0,A,0.340,0.177,0.177,0.340,5gu4
  27,4j81_C_B-C_1,B,0.331,0.137,0.137,0.331,4j81
  28,3ufm_B_A-B_0,A,0.362,0.198,0.198,0.362,3ufm
  29,4ztd_F_A-B-C-D-E-F_0,C,0.430,0.196,0.196,0.430,4ztd
  30,4iim_E_A-B-C-D-E_0,B,0.265,0.355,0.265,0.355,4iim
  31,2dze_X_A-B-X_0,A,0.359,0.247,0.247,0.359,2dze
  32,2dze_X_A-B-X_0,B,0.349,0.244,0.244,0.349,2dze
  33,6eja_B_A-B_0,A,0.371,0.076,0.076,0.371,6eja
  34,3nfl_G_B-C-F-G_5,C,0.947,0.968,0.947,0.968,3nfl
  35,5fch_C_A-B-C_0,A,0.319,0.117,0.117,0.319,5fch
  36,5fch_C_A-B-C_0,B,0.323,0.114,0.114,0.323,5fch
  37,1d0a_G_A-B-C-G-H-I_0,A,0.364,0.239,0.239,0.364,1d0a
  38,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.320,0.268,0.268,0.320,1kl3
  39,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.319,0.267,0.267,0.319,1kl3
  40,2h2f_B_A-B_0,A,0.330,0.170,0.170,0.330,2h2f
  41,3nij_B_A-B_0,A,0.288,0.314,0.288,0.314,3nij
  42,1d00_I_A-I_0,A,0.365,0.239,0.239,0.365,1d00
  43,4ikn_B_A-B_0,A,0.347,0.168,0.168,0.347,4ikn
  44,2h59_D_A-B-D-E_0,A,0.327,0.166,0.166,0.327,2h59
  45,2h59_D_A-B-D-E_0,B,0.326,0.166,0.166,0.326,2h59
  46,3m5n_F_B-F_1,B,0.337,0.199,0.199,0.337,3m5n
  47,4j84_D_B-D_1,B,0.338,0.139,0.139,0.338,4j84
  48,2v1r_R_A-Q-R_0,A,0.292,0.356,0.292,0.356,2v1r
  49,3psl_D_B-D_1,B,0.347,0.158,0.158,0.347,3psl
  50,3mqr_B_A-B_0,A,0.424,0.315,0.315,0.424,3mqr
  51,3uf7_B_A-B-C_0,A,0.349,0.190,0.190,0.349,3uf7
  52,4j77_D_B-D_1,B,0.345,0.139,0.139,0.345,4j77
  53,5d9g_C_A-C_0,A,0.341,0.178,0.178,0.341,5d9g
  54,5e6o_E_B-E_1,B,0.389,0.332,0.332,0.389,5e6o
  55,3dri_B_A-B_0,A,0.395,0.095,0.095,0.395,3dri
  56,5zw6_C_A-B-C-D_0,A,0.270,0.099,0.099,0.270,5zw6
  57,3drh_B_A-B_0,A,0.380,0.087,0.087,0.380,3drh
  58,1w9e_S_A-B-R-S-T_0,B,0.797,0.469,0.469,0.797,1w9e
  59,3nik_X_D-X_2,D,0.272,0.290,0.272,0.290,3nik
  60,3nih_B_A-B_0,A,0.287,0.313,0.287,0.313,3nih
  61,4j44_B_A-B_0,A,0.278,0.292,0.278,0.292,4j44
  62,3drk_B_A-B_0,A,0.396,0.095,0.095,0.396,3drk
  63,4fii_B_A-B_0,A,0.359,0.139,0.139,0.359,4fii
  64,5nqv_G_A-C-E-G_0,C,0.378,0.226,0.226,0.378,5nqv
  65,2ipu_P_G-K-P_1,G,0.329,0.165,0.165,0.329,2ipu
  66,2ipu_P_G-K-P_1,K,0.320,0.182,0.182,0.320,2ipu
  67,1ddv_B_A-B_0,A,0.382,0.350,0.350,0.382,1ddv
