index,syst,chain,tm1,tm2,min,max,pdb
   0,3psl_D_B-D_1,B,0.254,0.259,0.254,0.259,3psl
   1,6cd9_B_A-B_0,A,0.200,0.305,0.200,0.305,6cd9
   2,1fch_C_A-B-C-D_2,F,0.275,0.281,0.275,0.281,1fch
   3,1fch_C_A-B-C-D_2,A,0.287,0.290,0.287,0.290,1fch
   4,4c2c_B_A-B-C_0,A,0.291,0.226,0.226,0.291,4c2c
   5,1b46_B_A-B_0,A,0.299,0.201,0.201,0.299,1b46
   6,4ezq_B_A-B_1,A,0.224,0.286,0.224,0.286,4ezq
   7,3g19_C_A-C_0,A,0.148,0.456,0.148,0.456,3g19
   8,4faf_D_A-B-D_0,A,0.128,0.274,0.128,0.274,4faf
   9,4faf_D_A-B-D_0,B,0.129,0.286,0.129,0.286,4faf
  10,4rxh_A_A-B-C_0,B,0.245,0.195,0.195,0.245,4rxh
  11,3rt9_B_A-B_0,F,0.272,0.196,0.196,0.272,3rt9
  12,3rt9_B_A-B_0,A,0.272,0.196,0.196,0.272,3rt9
  13,4apo_D_B-D_1,B,0.220,0.379,0.220,0.379,4apo
  14,3gq1_C_A-C_0,A,0.147,0.453,0.147,0.453,3gq1
  15,5xup_D_A-B-C-D_0,B,0.250,0.351,0.250,0.351,5xup
  16,5xcr_F_D-E-F_1,D,0.203,0.342,0.203,0.342,5xcr
  17,5xcr_F_D-E-F_1,E,0.203,0.342,0.203,0.342,5xcr
  18,5v5p_A_A-B-C_0,C,0.245,0.194,0.194,0.245,5v5p
  19,6cwp_F_A-B-F_0,A,0.975,0.998,0.975,0.998,6cwp
  20,6cwp_F_A-B-F_0,B,1.000,1.000,1.000,1.000,6cwp
  21,3ny3_B_A-B_0,A,0.121,0.322,0.121,0.322,3ny3
  22,2wa8_D_C-D_1,C,0.147,0.386,0.147,0.386,2wa8
  23,2i3h_C_A-C_0,A,0.167,0.393,0.167,0.393,2i3h
  24,5huy_B_A-B-C_0,C,0.242,0.190,0.190,0.242,5huy
  25,5iza_B_A-B_0,A,0.242,0.225,0.225,0.242,5iza
  26,6hpg_c_C-c_2,C,0.194,0.382,0.194,0.382,6hpg
  27,4ezy_B_A-B_2,A,0.253,0.326,0.253,0.326,4ezy
  28,2v1r_R_A-Q-R_0,A,0.092,0.264,0.092,0.264,2v1r
  29,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.223,0.235,0.223,0.235,2z9i
  30,1awr_J_D-J_5,D,0.202,0.311,0.202,0.311,1awr
