index,syst,chain,tm1,tm2,min,max,pdb
   0,3t70_F_A-B-C-F_0,A,0.193,0.277,0.193,0.277,3t70
   1,3t70_F_A-B-C-F_0,B,0.199,0.296,0.199,0.296,3t70
   2,4mvk_B_A-B_0,A,0.249,0.334,0.249,0.334,4mvk
   3,5eyz_E_A-E_0,A,0.184,0.348,0.184,0.348,5eyz
   4,5yba_B_A-B-C-D_0,A,0.245,0.319,0.245,0.319,5yba
   5,3ziq_B_A-B-C_0,A,0.262,0.176,0.176,0.262,3ziq
   6,3uoa_L_B-C-L-M_0,B,0.326,0.249,0.249,0.326,3uoa
   7,4ezw_E_A-E_0,A,0.220,0.250,0.220,0.250,4ezw
   8,5fox_C_A-C_0,A,0.231,0.251,0.231,0.251,5fox
   9,5grg_D_A-B-C-D_0,A,0.327,0.308,0.308,0.327,5grg
  10,5xcr_F_D-E-F_1,D,0.223,0.316,0.223,0.316,5xcr
  11,5xcr_F_D-E-F_1,E,0.230,0.319,0.230,0.319,5xcr
  12,1str_M_B-D-M-P_0,C,0.178,0.295,0.178,0.295,1str
  13,1str_M_B-D-M-P_0,B,0.178,0.300,0.178,0.300,1str
  14,2d5w_C_A-C_0,A,0.314,0.170,0.170,0.314,2d5w
  15,3v43_Q_A-Q_0,A,0.193,0.341,0.193,0.341,3v43
  16,3oqs_B_A-B_0,A,0.264,0.178,0.178,0.264,3oqs
  17,5kzt_C_A-C_0,A,0.323,0.189,0.189,0.323,5kzt
  18,3s9c_B_A-B_0,A,0.258,0.271,0.258,0.271,3s9c
  19,5ovc_B_A-B_0,A,0.201,0.371,0.201,0.371,5ovc
  20,1b3l_B_A-B_0,A,0.277,0.161,0.161,0.277,1b3l
  21,3uf7_B_A-B-C_0,A,0.276,0.300,0.276,0.300,3uf7
  22,3thk_C_A-C_0,A,0.107,0.266,0.107,0.266,3thk
  23,1ddv_B_A-B_0,A,0.194,0.371,0.194,0.371,1ddv
  24,4apo_D_B-D_1,B,0.237,0.337,0.237,0.337,4apo
  25,5fou_C_A-C_0,A,0.244,0.265,0.244,0.265,5fou
  26,5v5p_A_A-B-C_0,C,0.262,0.177,0.177,0.262,5v5p
  27,5lyn_C_A-B-C-D_0,A,0.223,0.365,0.223,0.365,5lyn
