index,syst,chain,tm1,tm2,min,max,pdb
   0,5gu4_C_A-C_0,A,0.354,0.235,0.235,0.354,5gu4
   1,5m5u_G_A-E-G_0,A,0.351,0.168,0.168,0.351,5m5u
   2,5fgb_G_B-E-G_1,E,0.248,0.188,0.188,0.248,5fgb
   3,5fgb_G_B-E-G_1,B,0.228,0.170,0.170,0.228,5fgb
   4,3s9c_B_A-B_0,A,0.318,0.224,0.224,0.318,3s9c
   5,4jmy_E_A-C-E_0,A,0.327,0.277,0.277,0.327,4jmy
   6,3t70_F_A-B-C-F_0,A,0.269,0.258,0.258,0.269,3t70
   7,3t70_F_A-B-C-F_0,B,0.282,0.287,0.282,0.287,3t70
   8,4zhb_B_A-B_0,A,0.469,0.586,0.469,0.586,4zhb
   9,4que_E_A-C-D-E-H-J_0,A,0.399,0.270,0.270,0.399,4que
  10,5azf_C_A-C_0,A,0.294,0.324,0.294,0.324,5azf
  11,5grg_D_A-B-C-D_0,A,0.305,0.190,0.190,0.305,5grg
  12,1b32_B_A-B_0,A,0.351,0.133,0.133,0.351,1b32
  13,2y7l_B_A-B_0,A,0.355,0.204,0.204,0.355,2y7l
  14,5lb7_C_A-B-C_0,A,0.544,0.479,0.479,0.544,5lb7
  15,5lb7_C_A-B-C_0,B,0.315,0.461,0.315,0.461,5lb7
  16,3nij_B_A-B_0,A,0.203,0.289,0.203,0.289,3nij
  17,5elq_P_A-P_0,A,0.195,0.247,0.195,0.247,5elq
  18,2fib_B_A-B_0,A,0.377,0.249,0.249,0.377,2fib
  19,2foo_B_A-B_0,A,0.270,0.274,0.270,0.274,2foo
  20,3cww_E_A-B-D-E_0,A,0.400,0.084,0.084,0.400,3cww
  21,4fii_B_A-B_0,A,0.407,0.228,0.228,0.407,4fii
  22,3nfk_D_A-B-C-D_2,B,0.198,0.270,0.198,0.270,3nfk
  23,3agy_C_A-B-C-D-F_0,A,0.254,0.219,0.219,0.254,3agy
  24,5m5r_D_A-C-D_0,A,0.335,0.158,0.158,0.335,5m5r
  25,4c2c_B_A-B-C_0,A,0.395,0.167,0.167,0.395,4c2c
  26,1sts_P_B-D-M-P_0,D,0.239,0.258,0.239,0.258,1sts
  27,1sts_P_B-D-M-P_0,A,0.248,0.267,0.248,0.267,1sts
  28,2nph_S_A-B-S-T_0,A,0.222,0.286,0.222,0.286,2nph
  29,2nph_S_A-B-S-T_0,B,0.196,0.242,0.196,0.242,2nph
  30,5xup_D_A-B-C-D_0,B,0.432,0.343,0.343,0.432,5xup
  31,3psl_D_B-D_1,B,0.305,0.182,0.182,0.305,3psl
  32,1w9e_S_A-B-R-S-T_0,B,0.253,0.229,0.229,0.253,1w9e
  33,4x2h_C_A-B-C_0,A,0.283,0.224,0.224,0.283,4x2h
  34,5zw6_C_A-B-C-D_0,A,0.413,0.188,0.188,0.413,5zw6
  35,2v3s_C_B-C_1,B,0.236,0.303,0.236,0.303,2v3s
  36,2dze_X_A-B-X_0,A,0.233,0.214,0.214,0.233,2dze
  37,2dze_X_A-B-X_0,B,0.244,0.224,0.224,0.244,2dze
  38,4j44_B_A-B_0,A,0.236,0.334,0.236,0.334,4j44
  39,1nvs_B_A-B_0,A,0.371,0.233,0.233,0.371,1nvs
  40,6cd8_C_A-C_0,A,0.255,0.227,0.227,0.255,6cd8
  41,3woo_C_A-B-C-D_0,A,0.393,0.106,0.106,0.393,3woo
  42,5huw_B_A-B-C_0,C,0.615,0.249,0.249,0.615,5huw
  43,3srj_D_A-C-D_0,A,0.323,0.191,0.191,0.323,3srj
  44,4od7_E_C-E_2,C,0.322,0.265,0.265,0.322,4od7
