index,syst,chain,tm1,tm2,min,max,pdb
   0,2ipu_P_G-K-P_1,G,0.420,0.217,0.217,0.420,2ipu
   1,2ipu_P_G-K-P_1,K,0.407,0.206,0.206,0.407,2ipu
   2,1yth_I_A-B-I_0,A,0.295,0.270,0.270,0.295,1yth
   3,1yth_I_A-B-I_0,B,0.302,0.273,0.273,0.302,1yth
   4,3d9t_D_B-D_1,B,0.292,0.271,0.271,0.292,3d9t
   5,2orz_B_A-B_0,A,0.461,0.166,0.166,0.461,2orz
   6,3wor_C_A-B-C-D_0,A,0.386,0.078,0.078,0.386,3wor
   7,4k3o_E_A-B-E_0,A,0.371,0.126,0.126,0.371,4k3o
   8,3l81_B_A-B_0,A,0.411,0.195,0.195,0.411,3l81
   9,4f75_C_A-B-C-D_0,A,0.281,0.256,0.256,0.281,4f75
  10,4f75_C_A-B-C-D_0,B,0.303,0.276,0.276,0.303,4f75
  11,1h27_E_A-B-E_0,B,0.399,0.173,0.173,0.399,1h27
  12,2nph_S_A-B-S-T_0,A,0.284,0.257,0.257,0.284,2nph
  13,2nph_S_A-B-S-T_0,B,0.305,0.275,0.275,0.305,2nph
  14,4j84_D_B-D_1,B,0.255,0.105,0.105,0.255,4j84
  15,5b74_D_A-B-D_0,B,0.346,0.259,0.259,0.346,5b74
  16,6cd9_B_A-B_0,A,0.363,0.226,0.226,0.363,6cd9
  17,5kzt_C_A-C_0,A,0.421,0.110,0.110,0.421,5kzt
  18,4j45_B_A-B_0,A,0.299,0.301,0.299,0.301,4j45
  19,3rte_B_A-B_0,G,0.357,0.093,0.093,0.357,3rte
  20,3rte_B_A-B_0,A,0.357,0.093,0.093,0.357,3rte
  21,4faf_D_A-B-D_0,A,0.278,0.253,0.253,0.278,4faf
  22,4faf_D_A-B-D_0,B,0.294,0.269,0.269,0.294,4faf
  23,5yba_B_A-B-C-D_0,A,0.291,0.190,0.190,0.291,5yba
  24,3woq_C_A-B-C-D_0,A,0.378,0.079,0.079,0.378,3woq
  25,5sxm_D_B-D_1,B,0.301,0.132,0.132,0.301,5sxm
  26,3q47_C_B-C_0,B,0.390,0.267,0.267,0.390,3q47
  27,5xcr_F_D-E-F_1,D,0.438,0.286,0.286,0.438,5xcr
  28,5xcr_F_D-E-F_1,E,0.419,0.273,0.273,0.419,5xcr
  29,5xup_D_A-B-C-D_0,B,0.346,0.180,0.180,0.346,5xup
  30,2fib_B_A-B_0,A,0.365,0.162,0.162,0.365,2fib
  31,3oqs_B_A-B_0,A,0.374,0.096,0.096,0.374,3oqs
  32,4r5i_B_A-B_0,A,0.310,0.159,0.159,0.310,4r5i
  33,5iag_D_A-B-D_0,A,0.447,0.198,0.198,0.447,5iag
  34,3emh_B_A-B_0,A,0.307,0.129,0.129,0.307,3emh
  35,4pyw_B_A-B-C_0,A,0.423,0.151,0.151,0.423,4pyw
  36,5iza_B_A-B_0,A,0.333,0.117,0.117,0.333,5iza
  37,1b32_B_A-B_0,A,0.450,0.109,0.109,0.450,1b32
  38,1vwa_M_B-D-M-P_0,C,0.292,0.238,0.238,0.292,1vwa
  39,1vwa_M_B-D-M-P_0,B,0.299,0.240,0.240,0.299,1vwa
  40,4ezy_B_A-B_2,A,0.411,0.195,0.195,0.411,4ezy
  41,1se0_B_A-B_0,A,0.364,0.334,0.334,0.364,1se0
  42,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.304,0.288,0.288,0.304,2y1l
  43,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.373,0.253,0.253,0.373,2y1l
  44,1u9l_C_B-C_1,B,0.390,0.452,0.390,0.452,1u9l
  45,3mmg_C_A-C_0,A,0.330,0.186,0.186,0.330,3mmg
  46,5fow_E_A-E_0,A,0.440,0.213,0.213,0.440,5fow
  47,3ziq_B_A-B-C_0,A,0.368,0.096,0.096,0.368,3ziq
  48,4ezz_B_A-B_1,A,0.352,0.174,0.174,0.352,4ezz
  49,4xal_B_A-B_0,A,0.284,0.267,0.267,0.284,4xal
  50,3thk_C_A-C_0,A,0.281,0.346,0.281,0.346,3thk
  51,2h59_D_A-B-D-E_0,A,0.339,0.165,0.165,0.339,2h59
  52,2h59_D_A-B-D-E_0,B,0.346,0.167,0.167,0.346,2h59
  53,3psl_D_B-D_1,B,0.306,0.136,0.136,0.306,3psl
  54,3g19_C_A-C_0,A,1.000,1.000,1.000,1.000,3g19
  55,4k75_B_A-B_0,A,0.339,0.332,0.332,0.339,4k75
  56,4qbr_P_A-P_0,A,0.287,0.217,0.217,0.287,4qbr
  57,3drk_B_A-B_0,A,0.378,0.092,0.092,0.378,3drk
  58,4c2g_B_A-B-C_0,A,0.351,0.089,0.089,0.351,4c2g
  59,5iz2_Z_A-B-Z_0,B,0.520,0.390,0.390,0.520,5iz2
  60,4es0_C_A-C_0,A,0.315,0.131,0.131,0.315,4es0
  61,1ddv_B_A-B_0,A,0.407,0.341,0.341,0.407,1ddv
  62,4ztd_F_A-B-C-D-E-F_0,C,0.395,0.176,0.176,0.395,4ztd
  63,3o2b_D_C-D_1,C,0.936,0.757,0.757,0.936,3o2b
  64,3tcg_I_A-I_0,A,0.452,0.108,0.108,0.452,3tcg
  65,2v5w_G_B-G-L_1,B,0.375,0.125,0.125,0.375,2v5w
  66,1sdz_B_A-B_0,A,0.366,0.336,0.336,0.366,1sdz
  67,1b46_B_A-B_0,A,0.451,0.109,0.109,0.451,1b46
  68,5wir_D_A-B-C-D_0,B,0.402,0.194,0.194,0.402,5wir
  69,3qhw_L_A-B-J-L_0,B,0.419,0.182,0.182,0.419,3qhw
  70,4j44_B_A-B_0,A,0.299,0.301,0.299,0.301,4j44
  71,4sga_P_E-P_0,E,0.381,0.231,0.231,0.381,4sga
  72,1kyf_P_A-P_0,A,0.448,0.213,0.213,0.448,1kyf
  73,3f6k_N_A-N_0,A,0.311,0.068,0.068,0.311,3f6k
  74,3mqr_B_A-B_0,A,0.382,0.265,0.265,0.382,3mqr
  75,1b3g_B_A-B_0,A,0.449,0.109,0.109,0.449,1b3g
  76,4o4y_A_A-H-L_0,L,0.425,0.221,0.221,0.425,4o4y
  77,4o4y_A_A-H-L_0,H,0.420,0.219,0.219,0.420,4o4y
  78,4jok_D_B-D_1,B,0.349,0.341,0.341,0.349,4jok
  79,3rc5_B_A-B_0,A,0.376,0.210,0.210,0.376,3rc5
  80,5eyz_E_A-E_0,A,0.355,0.332,0.332,0.355,5eyz
  81,2wa8_D_C-D_1,C,0.936,0.771,0.771,0.936,2wa8
  82,2hpl_B_A-B_0,A,0.350,0.302,0.302,0.350,2hpl
  83,4fys_C_A-C_0,A,0.392,0.057,0.057,0.392,4fys
  84,5k4f_C_A-C_0,A,0.344,0.337,0.337,0.344,5k4f
  85,5d9g_C_A-C_0,A,0.334,0.162,0.162,0.334,5d9g
