index,syst,chain,tm1,tm2,min,max,pdb
   0,4od7_E_C-E_2,C,0.316,0.359,0.316,0.359,4od7
   1,3f7o_X_A-X_0,A,0.470,0.385,0.385,0.470,3f7o
   2,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.170,0.321,0.170,0.321,1xb0
   3,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.175,0.324,0.175,0.324,1xb0
   4,4jmy_E_A-C-E_0,A,0.253,0.289,0.253,0.289,4jmy
   5,4j78_B_A-B_0,A,0.329,0.267,0.267,0.329,4j78
   6,2d5w_C_A-C_0,A,0.322,0.151,0.151,0.322,2d5w
   7,4ztd_F_A-B-C-D-E-F_0,C,0.249,0.228,0.228,0.249,4ztd
   8,4es0_C_A-C_0,A,0.335,0.269,0.269,0.335,4es0
   9,5e6o_E_B-E_1,B,0.224,0.353,0.224,0.353,5e6o
  10,1yti_I_A-I_0,A,0.181,0.304,0.181,0.304,1yti
  11,1yti_I_A-I_0,B,0.181,0.304,0.181,0.304,1yti
  12,5y53_F_C-E-F_1,C,0.225,0.335,0.225,0.335,5y53
  13,5y53_F_C-E-F_1,E,0.226,0.324,0.226,0.324,5y53
  14,1mfl_B_A-B_0,A,0.169,0.292,0.169,0.292,1mfl
  15,2bgr_Y_A-B-Y-Z_0,A,0.412,0.163,0.163,0.412,2bgr
  16,3fwv_C_A-C_0,A,0.262,0.394,0.262,0.394,3fwv
  17,3rc5_B_A-B_0,A,0.273,0.297,0.273,0.297,3rc5
  18,3shb_B_A-B_0,A,0.144,0.325,0.144,0.325,3shb
  19,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.505,0.355,0.355,0.505,4tr9
  20,5iza_B_A-B_0,A,0.301,0.218,0.218,0.301,5iza
  21,1a7c_B_A-B-C_0,A,0.327,0.229,0.229,0.327,1a7c
  22,4pxm_D_A-B-C-D_0,B,0.279,0.276,0.276,0.279,4pxm
  23,3agy_C_A-B-C-D-F_0,A,0.199,0.230,0.199,0.230,3agy
  24,5jjm_G_A-G-M_0,A,0.251,0.231,0.231,0.251,5jjm
  25,1awr_J_D-J_5,D,0.251,0.307,0.251,0.307,1awr
  26,3fp4_Q_A-Q_0,A,0.313,0.182,0.182,0.313,3fp4
  27,4cic_Q_A-B-Q_0,A,0.238,0.327,0.238,0.327,4cic
  28,4cic_Q_A-B-Q_0,B,0.234,0.322,0.234,0.322,4cic
  29,1obz_P_A-B-P_0,A,0.246,0.305,0.246,0.305,1obz
  30,2fop_B_A-B_0,A,0.228,0.319,0.228,0.319,2fop
  31,4k76_G_C-G_2,C,0.155,0.295,0.155,0.295,4k76
  32,3upv_B_A-B_0,A,0.234,0.356,0.234,0.356,3upv
  33,2v5f_X_A-X_0,A,0.215,0.396,0.215,0.396,2v5f
  34,5kzt_C_A-C_0,A,0.327,0.181,0.181,0.327,5kzt
  35,1se0_B_A-B_0,A,0.190,0.314,0.190,0.314,1se0
  36,5zw6_C_A-B-C-D_0,A,0.352,0.233,0.233,0.352,5zw6
  37,4j09_B_A-B_0,A,0.286,0.253,0.253,0.286,4j09
  38,4j09_B_A-B_0,C,0.286,0.253,0.253,0.286,4j09
  39,3oqs_B_A-B_0,A,0.294,0.179,0.179,0.294,3oqs
  40,3ziq_B_A-B-C_0,A,0.294,0.179,0.179,0.294,3ziq
  41,1u9l_C_B-C_1,B,0.157,0.414,0.157,0.414,1u9l
  42,5yba_B_A-B-C-D_0,A,0.259,0.310,0.259,0.310,5yba
  43,3o2b_D_C-D_1,C,0.211,0.370,0.211,0.370,3o2b
  44,4nnm_C_A-C_0,A,0.179,0.289,0.179,0.289,4nnm
  45,3ou3_C_A-B-C_0,A,0.180,0.304,0.180,0.304,3ou3
  46,3ou3_C_A-B-C_0,B,0.179,0.302,0.179,0.302,3ou3
  47,1d00_I_A-I_0,A,0.276,0.333,0.276,0.333,1d00
  48,5iag_D_A-B-D_0,A,0.394,0.373,0.373,0.394,5iag
  49,3sxu_C_A-B-C_0,A,0.404,0.567,0.404,0.567,3sxu
  50,1b4z_B_A-B_0,A,0.336,0.184,0.184,0.336,1b4z
  51,2y7l_B_A-B_0,A,0.313,0.245,0.245,0.313,2y7l
  52,1gyb_E_A-B-E-F_0,A,0.206,0.303,0.206,0.303,1gyb
  53,1gyb_E_A-B-E-F_0,B,0.197,0.286,0.197,0.286,1gyb
  54,3uf7_B_A-B-C_0,A,0.338,0.337,0.337,0.338,3uf7
  55,3njj_B_A-B_0,A,0.225,0.362,0.225,0.362,3njj
  56,5ovv_B_A-B_0,A,0.181,0.313,0.181,0.313,5ovv
  57,1w9e_S_A-B-R-S-T_0,B,0.242,0.297,0.242,0.297,1w9e
  58,6fkp_G_C-G_2,C,0.122,0.291,0.122,0.291,6fkp
  59,5b74_D_A-B-D_0,B,0.287,0.450,0.287,0.450,5b74
