index,syst,chain,tm1,tm2,min,max,pdb
   0,2v3s_C_B-C_1,B,0.081,0.343,0.081,0.343,2v3s
   1,4jmy_E_A-C-E_0,A,0.125,0.312,0.125,0.312,4jmy
   2,5kzt_C_A-C_0,A,0.223,0.269,0.223,0.269,5kzt
   3,5eyz_E_A-E_0,A,0.081,0.351,0.081,0.351,5eyz
   4,2v17_A_A-H-L_0,L,0.121,0.276,0.121,0.276,2v17
   5,2v17_A_A-H-L_0,H,0.144,0.316,0.144,0.316,2v17
   6,4c2g_B_A-B-C_0,A,0.211,0.286,0.211,0.286,4c2g
   7,2foj_B_A-B_0,A,0.106,0.376,0.106,0.376,2foj
   8,3t70_F_A-B-C-F_0,A,0.112,0.340,0.112,0.340,3t70
   9,3t70_F_A-B-C-F_0,B,0.104,0.328,0.104,0.328,3t70
  10,4jop_C_A-C_0,A,0.075,0.349,0.075,0.349,4jop
  11,1b9j_B_A-B_0,A,0.230,0.275,0.230,0.275,1b9j
  12,1uop_B_A-B_0,A,0.355,0.333,0.333,0.355,1uop
  13,4ezw_E_A-E_0,A,0.131,0.308,0.131,0.308,4ezw
  14,5d9g_C_A-C_0,A,0.150,0.319,0.150,0.319,5d9g
  15,1kyd_P_A-P_0,A,0.132,0.280,0.132,0.280,1kyd
  16,4hxj_C_A-C_0,A,0.053,0.386,0.053,0.386,4hxj
  17,4v3i_B_A-B_0,A,0.126,0.398,0.126,0.398,4v3i
  18,4ynl_C_A-B-C-D_0,A,0.060,0.344,0.060,0.344,4ynl
  19,4ynl_C_A-B-C-D_0,B,0.057,0.347,0.057,0.347,4ynl
  20,5fpk_C_A-C_0,A,0.129,0.283,0.129,0.283,5fpk
  21,4quh_D_A-C-D-I-J_0,A,0.137,0.297,0.137,0.297,4quh
  22,1b3l_B_A-B_0,A,0.230,0.274,0.230,0.274,1b3l
  23,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.107,0.411,0.107,0.411,1kl3
  24,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.107,0.409,0.107,0.409,1kl3
  25,5lyn_C_A-B-C-D_0,A,0.112,0.360,0.112,0.360,5lyn
  26,5lyn_C_A-B-C-D_0,B,0.113,0.362,0.113,0.362,5lyn
  27,1e4x_P_H-L-P_0,L,0.138,0.315,0.138,0.315,1e4x
  28,1e4x_P_H-L-P_0,H,0.131,0.298,0.131,0.298,1e4x
  29,5m5t_E_A-E-G-I_0,A,0.332,0.547,0.332,0.547,5m5t
  30,1rzx_B_A-B_0,A,0.075,0.338,0.075,0.338,1rzx
  31,4k3r_E_A-B-E_0,A,0.205,0.319,0.205,0.319,4k3r
