index,syst,chain,tm1,tm2,min,max,pdb
   0,1b9j_B_A-B_0,A,0.367,0.124,0.124,0.367,1b9j
   1,4bjt_E_B-E_2,B,0.381,0.345,0.345,0.381,4bjt
   2,6exj_B_A-B_0,A,0.196,0.251,0.196,0.251,6exj
   3,5xup_D_A-B-C-D_0,B,0.513,0.377,0.377,0.513,5xup
   4,5azf_C_A-C_0,A,0.269,0.286,0.269,0.286,5azf
   5,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.287,0.173,0.173,0.287,2z9i
   6,4o51_N_A-B-N_1,A,0.257,0.181,0.181,0.257,4o51
   7,4o51_N_A-B-N_1,B,0.246,0.177,0.177,0.246,4o51
   8,4g69_B_A-B_0,A,0.187,0.225,0.187,0.225,4g69
   9,5jiu_C_A-B-C-D_0,A,0.297,0.223,0.223,0.297,5jiu
  10,3nfk_D_A-B-C-D_2,B,0.221,0.284,0.221,0.284,3nfk
  11,4gne_B_A-B_0,A,0.253,0.309,0.253,0.309,4gne
  12,4dgb_B_A-B_0,A,0.338,0.293,0.293,0.338,4dgb
  13,3fp2_Q_A-Q_0,A,0.748,0.225,0.225,0.748,3fp2
  14,1kyd_P_A-P_0,A,0.276,0.182,0.182,0.276,1kyd
  15,3nik_X_D-X_2,D,0.192,0.252,0.192,0.252,3nik
  16,5d9g_C_A-C_0,A,0.329,0.211,0.211,0.329,5d9g
  17,2wa8_D_C-D_1,C,0.273,0.334,0.273,0.334,2wa8
  18,5kzt_C_A-C_0,A,0.314,0.114,0.114,0.314,5kzt
  19,1oby_Q_A-B-P-Q_0,A,0.189,0.296,0.189,0.296,1oby
  20,1oby_Q_A-B-P-Q_0,B,0.171,0.236,0.171,0.236,1oby
  21,3nil_X_D-X_2,D,0.190,0.263,0.190,0.263,3nil
  22,1uop_B_A-B_0,A,0.448,0.118,0.118,0.448,1uop
  23,4j78_B_A-B_0,A,0.330,0.188,0.188,0.330,4j78
  24,2g30_S_A-P-S_0,A,0.283,0.198,0.198,0.283,2g30
  25,4mvk_B_A-B_0,A,0.310,0.257,0.257,0.310,4mvk
  26,3nii_B_A-B_0,A,0.198,0.285,0.198,0.285,3nii
  27,4q6f_H_C-H_2,C,0.145,0.275,0.145,0.275,4q6f
  28,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.236,0.250,0.236,0.250,1kl3
  29,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.241,0.256,0.241,0.256,1kl3
  30,1fch_C_A-B-C-D_2,F,0.826,0.389,0.389,0.826,1fch
  31,1fch_C_A-B-C-D_2,A,0.799,0.375,0.375,0.799,1fch
  32,4odk_C_A-B-C_0,A,0.264,0.239,0.239,0.264,4odk
  33,4k3r_E_A-B-E_0,A,0.285,0.139,0.139,0.285,4k3r
  34,4mz6_A_A-C-E_0,E,0.598,0.237,0.237,0.598,4mz6
  35,4c2c_B_A-B-C_0,A,0.377,0.154,0.154,0.377,4c2c
  36,4que_E_A-C-D-E-H-J_0,A,0.361,0.244,0.244,0.361,4que
  37,4jjq_B_A-B_0,A,0.277,0.270,0.270,0.277,4jjq
  38,1svz_C_A-B-C-D_0,A,0.334,0.233,0.233,0.334,1svz
  39,5m5v_G_A-E-G-I_0,A,0.377,0.183,0.183,0.377,5m5v
  40,2x6m_B_A-B_0,A,0.234,0.241,0.234,0.241,2x6m
  41,3m5m_C_B-C_1,B,0.307,0.238,0.238,0.307,3m5m
  42,3ou3_C_A-B-C_0,A,0.242,0.288,0.242,0.288,3ou3
  43,3ou3_C_A-B-C_0,B,0.242,0.288,0.242,0.288,3ou3
  44,5fch_C_A-B-C_0,A,0.384,0.167,0.167,0.384,5fch
  45,5fch_C_A-B-C_0,B,0.387,0.172,0.172,0.387,5fch
  46,4ojf_A_A-H-L_0,L,0.257,0.182,0.182,0.257,4ojf
  47,4ojf_A_A-H-L_0,H,0.268,0.187,0.187,0.268,4ojf
  48,4r5i_B_A-B_0,A,0.316,0.211,0.211,0.316,4r5i
  49,1kyf_P_A-P_0,A,0.286,0.188,0.188,0.286,1kyf
  50,1uoq_B_A-B_0,A,0.409,0.105,0.105,0.409,1uoq
  51,3d9t_D_B-D_1,B,0.265,0.327,0.265,0.327,3d9t
  52,6cdg_B_A-B_0,A,0.249,0.219,0.219,0.249,6cdg
  53,4wnn_T_C-D-T_3,D,0.297,0.372,0.297,0.372,4wnn
  54,4wnn_T_C-D-T_3,C,0.228,0.311,0.228,0.311,4wnn
  55,1b5i_B_A-B_0,A,0.368,0.125,0.125,0.368,1b5i
  56,3gq1_C_A-C_0,A,0.269,0.387,0.269,0.387,3gq1
  57,2ipu_P_G-K-P_1,G,0.292,0.204,0.204,0.292,2ipu
  58,2ipu_P_G-K-P_1,K,0.271,0.193,0.193,0.271,2ipu
  59,4j09_B_A-B_0,A,0.340,0.210,0.210,0.340,4j09
  60,4j09_B_A-B_0,C,0.340,0.210,0.210,0.340,4j09
  61,5fow_E_A-E_0,A,0.339,0.233,0.233,0.339,5fow
  62,4apo_D_B-D_1,B,0.862,0.750,0.750,0.862,4apo
  63,4k75_B_A-B_0,A,0.210,0.274,0.210,0.274,4k75
  64,1b32_B_A-B_0,A,0.368,0.125,0.125,0.368,1b32
  65,3m5o_C_A-C_0,A,0.300,0.231,0.231,0.300,3m5o
  66,3wor_C_A-B-C-D_0,A,0.348,0.093,0.093,0.348,3wor
  67,5m5t_E_A-E-G-I_0,A,0.334,0.159,0.159,0.334,5m5t
  68,1oxn_F_E-F_7,E,0.283,0.348,0.283,0.348,1oxn
  69,1mfl_B_A-B_0,A,0.241,0.304,0.241,0.304,1mfl
  70,3dri_B_A-B_0,A,0.322,0.114,0.114,0.322,3dri
  71,1b5j_B_A-B_0,A,0.368,0.125,0.125,0.368,1b5j
  72,3mqr_B_A-B_0,A,0.276,0.270,0.270,0.276,3mqr
  73,4j79_B_A-B_0,A,0.334,0.188,0.188,0.334,4j79
  74,3cbl_B_A-B_0,A,0.426,0.195,0.195,0.426,3cbl
  75,2foj_B_A-B_0,A,0.277,0.270,0.270,0.277,2foj
  76,4quh_D_A-C-D-I-J_0,A,0.381,0.254,0.254,0.381,4quh
  77,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.271,0.341,0.271,0.341,1xb0
  78,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.263,0.330,0.263,0.330,1xb0
  79,4v3i_B_A-B_0,A,0.404,0.364,0.364,0.404,4v3i
  80,5huy_B_A-B-C_0,C,0.600,0.240,0.240,0.600,5huy
  81,3oqs_B_A-B_0,A,0.600,0.237,0.237,0.600,3oqs
  82,4j77_D_B-D_1,B,0.321,0.180,0.180,0.321,4j77
  83,5v5p_A_A-B-C_0,C,0.599,0.240,0.240,0.599,5v5p
  84,1b3l_B_A-B_0,A,0.363,0.130,0.130,0.363,1b3l
  85,3ny3_B_A-B_0,A,0.165,0.245,0.165,0.245,3ny3
  86,3fp4_Q_A-Q_0,A,0.760,0.228,0.228,0.760,3fp4
  87,4qbr_P_A-P_0,A,0.291,0.286,0.286,0.291,4qbr
