index,syst,chain,tm1,tm2,min,max,pdb
   0,1h27_E_A-B-E_0,B,0.361,0.145,0.145,0.361,1h27
   1,3sjk_B_A-B_0,A,0.346,0.186,0.186,0.346,3sjk
   2,4xi7_C_A-C_0,A,0.448,0.103,0.103,0.448,4xi7
   3,4joh_D_A-D_0,A,0.306,0.275,0.275,0.306,4joh
   4,2i3h_C_A-C_0,A,0.243,0.214,0.214,0.243,2i3h
   5,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.306,0.127,0.127,0.306,5fjz
   6,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.309,0.127,0.127,0.309,5fjz
   7,4o51_N_A-B-N_1,A,0.277,0.141,0.141,0.277,4o51
   8,4o51_N_A-B-N_1,B,0.374,0.181,0.181,0.374,4o51
   9,1fch_C_A-B-C-D_2,F,0.319,0.111,0.111,0.319,1fch
  10,1fch_C_A-B-C-D_2,A,0.276,0.106,0.106,0.276,1fch
  11,1b32_B_A-B_0,A,0.294,0.079,0.079,0.294,1b32
  12,1v1t_S_A-B-S-T_0,B,0.297,0.177,0.177,0.297,1v1t
  13,5fox_C_A-C_0,A,0.332,0.146,0.146,0.332,5fox
  14,4apo_D_B-D_1,B,0.301,0.188,0.188,0.301,4apo
  15,2zjd_D_C-D_5,C,0.340,0.233,0.233,0.340,2zjd
  16,3thk_C_A-C_0,A,0.365,0.423,0.365,0.423,3thk
  17,5iag_D_A-B-D_0,A,0.286,0.140,0.140,0.286,5iag
  18,5e6o_E_B-E_1,B,0.285,0.223,0.223,0.285,5e6o
  19,4ezq_B_A-B_1,A,0.281,0.129,0.129,0.281,4ezq
  20,3nik_X_D-X_2,D,0.292,0.274,0.274,0.292,3nik
  21,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.300,0.217,0.217,0.300,1kl5
  22,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.306,0.217,0.217,0.306,1kl5
  23,4b8o_C_A-B-C_0,A,0.280,0.082,0.082,0.280,4b8o
  24,2f5b_P_H-L-P_0,L,0.297,0.142,0.142,0.297,2f5b
  25,2f5b_P_H-L-P_0,H,0.354,0.148,0.148,0.354,2f5b
  26,2foj_B_A-B_0,A,0.285,0.193,0.193,0.285,2foj
  27,2hl3_C_A-B-C_0,A,0.904,0.861,0.861,0.904,2hl3
  28,2hl3_C_A-B-C_0,B,1.000,1.000,1.000,1.000,2hl3
  29,1u9l_C_B-C_1,B,0.242,0.245,0.242,0.245,1u9l
  30,2orz_B_A-B_0,A,0.322,0.119,0.119,0.322,2orz
  31,1rzx_B_A-B_0,A,0.357,0.290,0.290,0.357,1rzx
  32,5m5t_E_A-E-G-I_0,A,0.334,0.096,0.096,0.334,5m5t
  33,3nil_X_D-X_2,D,0.292,0.276,0.276,0.292,3nil
  34,4j45_B_A-B_0,A,0.250,0.233,0.233,0.250,4j45
  35,3t70_F_A-B-C-F_0,A,0.354,0.199,0.199,0.354,3t70
  36,3t70_F_A-B-C-F_0,B,0.283,0.188,0.188,0.283,3t70
  37,3cbl_B_A-B_0,A,0.399,0.109,0.109,0.399,3cbl
  38,3njj_B_A-B_0,A,0.232,0.182,0.182,0.232,3njj
  39,5oj5_B_A-B_0,A,0.316,0.114,0.114,0.316,5oj5
  40,5fch_C_A-B-C_0,A,0.313,0.099,0.099,0.313,5fch
  41,5fch_C_A-B-C_0,B,0.329,0.104,0.104,0.329,5fch
  42,3nin_E_B-E_1,B,0.292,0.276,0.276,0.292,3nin
  43,4k72_C_A-C_0,A,0.306,0.274,0.274,0.306,4k72
  44,1mfl_B_A-B_0,A,0.341,0.288,0.288,0.341,1mfl
  45,3fp4_Q_A-Q_0,A,0.312,0.076,0.076,0.312,3fp4
  46,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.333,0.115,0.115,0.333,4tr9
  47,4jor_D_B-D_1,B,0.307,0.275,0.275,0.307,4jor
  48,4j81_C_B-C_1,B,0.296,0.114,0.114,0.296,4j81
  49,1oby_Q_A-B-P-Q_0,A,0.286,0.280,0.280,0.286,1oby
  50,1oby_Q_A-B-P-Q_0,B,0.287,0.283,0.283,0.287,1oby
  51,4ikn_B_A-B_0,A,0.296,0.112,0.112,0.296,4ikn
  52,3lca_Q_A-Q_0,A,0.298,0.077,0.077,0.298,3lca
  53,3fp2_Q_A-Q_0,A,0.330,0.082,0.082,0.330,3fp2
  54,1sem_C_A-B-C-D_0,A,0.263,0.287,0.263,0.287,1sem
  55,6cdc_C_A-C_0,A,0.304,0.191,0.191,0.304,6cdc
  56,5grg_D_A-B-C-D_0,A,0.367,0.128,0.128,0.367,5grg
  57,1yti_I_A-I_0,A,0.331,0.276,0.276,0.331,1yti
  58,1yti_I_A-I_0,B,0.331,0.276,0.276,0.331,1yti
  59,2foo_B_A-B_0,A,0.287,0.193,0.193,0.287,2foo
  60,1b5i_B_A-B_0,A,0.292,0.079,0.079,0.292,1b5i
  61,3zs6_B_A-B_0,A,0.345,0.081,0.081,0.345,3zs6
  62,4k3o_E_A-B-E_0,A,0.345,0.119,0.119,0.345,4k3o
  63,2ce9_X_A-B-X_0,A,0.307,0.101,0.101,0.307,2ce9
  64,3nii_B_A-B_0,A,0.287,0.275,0.275,0.287,3nii
  65,5v5p_A_A-B-C_0,C,0.343,0.092,0.092,0.343,5v5p
  66,4jmy_E_A-C-E_0,A,0.273,0.160,0.160,0.273,4jmy
  67,2v1r_R_A-Q-R_0,A,0.427,0.452,0.427,0.452,2v1r
  68,3lny_B_A-B_0,A,0.313,0.267,0.267,0.313,3lny
  69,1w9e_S_A-B-R-S-T_0,B,0.312,0.176,0.176,0.312,1w9e
