index,syst,chain,tm1,tm2,min,max,pdb
   0,5lb7_C_A-B-C_0,A,0.182,0.277,0.182,0.277,5lb7
   1,5lb7_C_A-B-C_0,B,0.129,0.310,0.129,0.310,5lb7
   2,1sdz_B_A-B_0,A,0.147,0.328,0.147,0.328,1sdz
   3,5m5t_E_A-E-G-I_0,A,0.565,0.490,0.490,0.565,5m5t
   4,1uoq_B_A-B_0,A,0.527,0.265,0.265,0.527,1uoq
   5,3uoa_L_B-C-L-M_0,B,0.263,0.232,0.232,0.263,3uoa
   6,3nih_B_A-B_0,A,0.103,0.274,0.103,0.274,3nih
   7,1kyd_P_A-P_0,A,0.228,0.262,0.228,0.262,1kyd
   8,3rt9_B_A-B_0,F,0.332,0.234,0.234,0.332,3rt9
   9,3rt9_B_A-B_0,A,0.332,0.234,0.234,0.332,3rt9
  10,4ouc_B_A-B_0,A,0.234,0.221,0.221,0.234,4ouc
  11,5tu5_B_A-B_0,A,0.324,0.330,0.324,0.330,5tu5
  12,3nil_X_D-X_2,D,0.130,0.325,0.130,0.325,3nil
  13,4k3p_E_A-B-E_0,A,0.269,0.240,0.240,0.269,4k3p
  14,5jiu_C_A-B-C-D_0,A,0.305,0.407,0.305,0.407,5jiu
  15,3emh_B_A-B_0,A,0.671,0.680,0.671,0.680,3emh
  16,1wcy_C_A-B-C-D_0,A,0.507,0.246,0.246,0.507,1wcy
  17,4xi7_C_A-C_0,A,0.264,0.234,0.234,0.264,4xi7
  18,4nnm_C_A-C_0,A,0.154,0.321,0.154,0.321,4nnm
  19,5azf_C_A-C_0,A,0.194,0.370,0.194,0.370,5azf
  20,1rzx_B_A-B_0,A,0.143,0.320,0.143,0.320,1rzx
  21,3dri_B_A-B_0,A,0.298,0.191,0.191,0.298,3dri
  22,4b3b_C_A-C_0,A,0.287,0.356,0.287,0.356,4b3b
  23,2nph_S_A-B-S-T_0,A,0.158,0.346,0.158,0.346,2nph
  24,2nph_S_A-B-S-T_0,B,0.158,0.346,0.158,0.346,2nph
