index,syst,chain,tm1,tm2,min,max,pdb
   0,1b05_B_A-B_0,A,0.359,0.184,0.184,0.359,1b05
   1,4gne_B_A-B_0,A,0.161,0.269,0.161,0.269,4gne
   2,1ddv_B_A-B_0,A,0.195,0.324,0.195,0.324,1ddv
   3,4k72_C_A-C_0,A,0.193,0.361,0.193,0.361,4k72
   4,5t6p_E_C-D-E_1,D,0.603,0.625,0.603,0.625,5t6p
   5,5t6p_E_C-D-E_1,C,0.675,0.675,0.675,0.675,5t6p
   6,1d0a_G_A-B-C-G-H-I_0,A,0.296,0.361,0.296,0.361,1d0a
   7,1evh_B_A-B_0,A,0.209,0.346,0.209,0.346,1evh
   8,4g69_B_A-B_0,A,0.188,0.318,0.188,0.318,4g69
   9,3cvl_B_A-B_0,A,0.252,0.204,0.204,0.252,3cvl
  10,5fov_E_A-E_0,A,0.260,0.251,0.251,0.260,5fov
  11,5v5p_A_A-B-C_0,C,0.253,0.160,0.160,0.253,5v5p
  12,4k75_B_A-B_0,A,0.193,0.363,0.193,0.363,4k75
  13,3t64_F_A-B-C-F_0,A,0.266,0.340,0.266,0.340,3t64
  14,3t64_F_A-B-C-F_0,B,0.269,0.374,0.269,0.374,3t64
  15,4jmy_E_A-C-E_0,A,0.226,0.253,0.226,0.253,4jmy
  16,2b6n_B_A-B_0,A,0.260,0.218,0.218,0.260,2b6n
  17,3srj_D_A-C-D_0,A,0.284,0.227,0.227,0.284,3srj
  18,4bjt_E_B-E_2,B,0.218,0.277,0.218,0.277,4bjt
  19,6fqc_E_A-B-D-E_0,A,0.284,0.206,0.206,0.284,6fqc
  20,2bgr_Y_A-B-Y-Z_0,A,0.371,0.148,0.148,0.371,2bgr
  21,5wir_D_A-B-C-D_0,B,0.250,0.259,0.250,0.259,5wir
  22,3fp2_Q_A-Q_0,A,0.254,0.140,0.140,0.254,3fp2
  23,3zin_C_A-B-C_0,A,0.246,0.152,0.152,0.246,3zin
  24,5fpk_C_A-C_0,A,0.255,0.247,0.247,0.255,5fpk
  25,5elq_P_A-P_0,A,0.166,0.299,0.166,0.299,5elq
  26,2foo_B_A-B_0,A,0.290,0.421,0.290,0.421,2foo
  27,4k3p_E_A-B-E_0,A,0.291,0.202,0.202,0.291,4k3p
  28,2h9m_D_C-D_1,C,0.271,0.212,0.212,0.271,2h9m
  29,4k76_G_C-G_2,C,0.187,0.350,0.187,0.350,4k76
  30,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.175,0.318,0.175,0.318,1xb0
  31,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.175,0.318,0.175,0.318,1xb0
  32,4k3r_E_A-B-E_0,A,0.289,0.201,0.201,0.289,4k3r
  33,1oby_Q_A-B-P-Q_0,A,0.176,0.362,0.176,0.362,1oby
  34,1oby_Q_A-B-P-Q_0,B,0.175,0.363,0.175,0.363,1oby
  35,3hda_Z_P-Z_0,P,0.277,0.188,0.188,0.277,3hda
