index,syst,chain,tm1,tm2,min,max,pdb
   0,4od7_E_C-E_2,C,0.333,0.238,0.238,0.333,4od7
   1,2r9q_X_A-C-X_1,C,0.354,0.162,0.162,0.354,2r9q
   2,3cvl_B_A-B_0,A,0.347,0.165,0.165,0.347,3cvl
   3,4ezn_C_A-B-C-D_0,A,0.276,0.186,0.186,0.276,4ezn
   4,4ba3_B_A-B_0,A,0.326,0.123,0.123,0.326,4ba3
   5,4j82_C_A-C_0,A,0.371,0.192,0.192,0.371,4j82
   6,3rta_B_A-B_0,F,0.344,0.114,0.114,0.344,3rta
   7,3rta_B_A-B_0,A,0.344,0.114,0.114,0.344,3rta
   8,4j46_B_A-B_0,A,0.259,0.314,0.259,0.314,4j46
   9,4ojf_A_A-H-L_0,L,0.335,0.207,0.207,0.335,4ojf
  10,4ojf_A_A-H-L_0,H,0.307,0.203,0.203,0.307,4ojf
  11,1b58_B_A-B_0,A,0.348,0.117,0.117,0.348,1b58
  12,5jjm_G_A-G-M_0,A,0.390,0.228,0.228,0.390,5jjm
  13,4ezy_B_A-B_2,A,0.272,0.185,0.185,0.272,4ezy
  14,3nii_B_A-B_0,A,0.257,0.320,0.257,0.320,3nii
  15,1wcy_C_A-B-C-D_0,A,0.392,0.092,0.092,0.392,1wcy
  16,4ynl_C_A-B-C-D_0,A,0.225,0.292,0.225,0.292,4ynl
  17,4ynl_C_A-B-C-D_0,B,0.215,0.282,0.215,0.282,4ynl
  18,5e6o_E_B-E_1,B,1.000,1.000,1.000,1.000,5e6o
  19,5uw3_E_A-E_0,A,0.395,0.101,0.101,0.395,5uw3
  20,5iz2_Z_A-B-Z_0,B,0.319,0.302,0.302,0.319,5iz2
  21,2d5w_C_A-C_0,A,0.350,0.113,0.113,0.350,2d5w
  22,3s9c_B_A-B_0,A,0.355,0.220,0.220,0.355,3s9c
  23,1sdz_B_A-B_0,A,0.311,0.349,0.311,0.349,1sdz
  24,4c2c_B_A-B-C_0,A,0.324,0.123,0.123,0.324,4c2c
  25,3sjk_B_A-B_0,A,0.328,0.247,0.247,0.328,3sjk
  26,4es0_C_A-C_0,A,0.366,0.183,0.183,0.366,4es0
  27,5huy_B_A-B-C_0,C,0.319,0.125,0.125,0.319,5huy
  28,1ghb_P_E-F-G-P_0,F,0.309,0.287,0.287,0.309,1ghb
  29,1ghb_P_E-F-G-P_0,G,0.272,0.305,0.272,0.305,1ghb
  30,1ghb_P_E-F-G-P_0,C,0.272,0.305,0.272,0.305,1ghb
  31,1ghb_P_E-F-G-P_0,B,0.309,0.287,0.287,0.309,1ghb
  32,1b46_B_A-B_0,A,0.347,0.118,0.118,0.347,1b46
  33,3ufm_B_A-B_0,A,0.337,0.216,0.216,0.337,3ufm
  34,3nih_B_A-B_0,A,0.259,0.324,0.259,0.324,3nih
  35,1v1t_S_A-B-S-T_0,B,0.334,0.263,0.263,0.334,1v1t
  36,3zin_C_A-B-C_0,A,0.317,0.123,0.123,0.317,3zin
  37,4j09_B_A-B_0,A,0.298,0.178,0.178,0.298,4j09
  38,4j09_B_A-B_0,C,0.298,0.178,0.178,0.298,4j09
  39,4jwd_C_B-C_1,B,0.301,0.199,0.199,0.301,4jwd
  40,2foo_B_A-B_0,A,0.419,0.375,0.375,0.419,2foo
  41,1b5i_B_A-B_0,A,0.349,0.118,0.118,0.349,1b5i
  42,1evh_B_A-B_0,A,0.303,0.312,0.303,0.312,1evh
  43,3m5o_C_A-C_0,A,0.337,0.239,0.239,0.337,3m5o
  44,4ny3_C_A-C_0,A,0.457,0.221,0.221,0.457,4ny3
  45,4z88_V_J-V_1,J,0.250,0.371,0.250,0.371,4z88
  46,3gq1_C_A-C_0,A,0.297,0.360,0.297,0.360,3gq1
  47,4r5i_B_A-B_0,A,0.318,0.202,0.202,0.318,4r5i
  48,4k72_C_A-C_0,A,0.312,0.374,0.312,0.374,4k72
  49,1fch_C_A-B-C-D_2,F,0.343,0.169,0.169,0.343,1fch
  50,1fch_C_A-B-C-D_2,A,0.360,0.171,0.171,0.360,1fch
  51,4b8o_C_A-B-C_0,A,0.315,0.121,0.121,0.315,4b8o
  52,3drh_B_A-B_0,A,0.367,0.109,0.109,0.367,3drh
  53,5m5u_G_A-E-G_0,A,0.372,0.167,0.167,0.372,5m5u
  54,4z0u_D_A-D_0,A,0.314,0.263,0.263,0.314,4z0u
  55,1rzx_B_A-B_0,A,0.332,0.371,0.332,0.371,1rzx
  56,4faf_D_A-B-D_0,A,0.300,0.332,0.300,0.332,4faf
  57,4faf_D_A-B-D_0,B,0.301,0.331,0.301,0.331,4faf
  58,4joh_D_A-D_0,A,0.318,0.378,0.318,0.378,4joh
  59,2hl3_C_A-B-C_0,A,0.206,0.267,0.206,0.267,2hl3
  60,2hl3_C_A-B-C_0,B,0.223,0.285,0.223,0.285,2hl3
  61,3f7o_X_A-X_0,A,0.332,0.192,0.192,0.332,3f7o
  62,2fop_B_A-B_0,A,0.420,0.375,0.375,0.420,2fop
  63,3zs6_B_A-B_0,A,0.344,0.113,0.113,0.344,3zs6
  64,2zjd_D_C-D_5,C,0.921,0.878,0.878,0.921,2zjd
  65,4f75_C_A-B-C-D_0,A,0.324,0.355,0.324,0.355,4f75
  66,4f75_C_A-B-C-D_0,B,0.298,0.329,0.298,0.329,4f75
  67,2ce9_X_A-B-X_0,A,0.357,0.174,0.174,0.357,2ce9
  68,5jiu_C_A-B-C-D_0,A,0.369,0.237,0.237,0.369,5jiu
  69,3psl_D_B-D_1,B,0.347,0.177,0.177,0.347,3psl
  70,1mfl_B_A-B_0,A,0.313,0.356,0.313,0.356,1mfl
  71,4wvh_C_A-C_0,A,0.350,0.114,0.114,0.350,4wvh
  72,4k3r_E_A-B-E_0,A,0.341,0.155,0.155,0.341,4k3r
  73,5v5p_A_A-B-C_0,C,0.319,0.125,0.125,0.319,5v5p
  74,4fii_B_A-B_0,A,0.386,0.202,0.202,0.386,4fii
  75,4k76_G_C-G_2,C,0.325,0.387,0.325,0.387,4k76
  76,3uoa_L_B-C-L-M_0,B,0.372,0.161,0.161,0.372,3uoa
  77,1vwa_M_B-D-M-P_0,C,0.281,0.275,0.275,0.281,1vwa
  78,1vwa_M_B-D-M-P_0,B,0.296,0.286,0.286,0.296,1vwa
  79,1b5j_B_A-B_0,A,0.358,0.120,0.120,0.358,1b5j
  80,3nik_X_D-X_2,D,0.255,0.313,0.255,0.313,3nik
  81,4apo_D_B-D_1,B,0.292,0.246,0.246,0.292,4apo
  82,1yth_I_A-B-I_0,A,0.303,0.334,0.303,0.334,1yth
  83,1yth_I_A-B-I_0,B,0.300,0.330,0.300,0.330,1yth
  84,4pz3_C_A-B-C_0,B,0.286,0.241,0.241,0.286,4pz3
  85,6cd8_C_A-C_0,A,0.378,0.298,0.298,0.378,6cd8
  86,3wor_C_A-B-C-D_0,A,0.384,0.089,0.089,0.384,3wor
  87,1kyf_P_A-P_0,A,0.308,0.183,0.183,0.308,1kyf
  88,1obz_P_A-B-P_0,A,0.340,0.264,0.264,0.340,1obz
  89,4j8b_B_A-B_0,A,0.370,0.191,0.191,0.370,4j8b
  90,4xal_B_A-B_0,A,0.204,0.252,0.204,0.252,4xal
  91,1b51_B_A-B_0,A,0.358,0.118,0.118,0.358,1b51
  92,3woo_C_A-B-C-D_0,A,0.388,0.088,0.088,0.388,3woo
  93,5zw6_C_A-B-C-D_0,A,0.336,0.128,0.128,0.336,5zw6
  94,6exj_B_A-B_0,A,0.335,0.399,0.335,0.399,6exj
  95,4j81_C_B-C_1,B,0.369,0.190,0.190,0.369,4j81
  96,3mqr_B_A-B_0,A,0.420,0.375,0.375,0.420,3mqr
  97,4j78_B_A-B_0,A,0.369,0.192,0.192,0.369,4j78
  98,5wir_D_A-B-C-D_0,B,0.336,0.232,0.232,0.336,5wir
  99,1b05_B_A-B_0,A,0.348,0.118,0.118,0.348,1b05
 100,4mvk_B_A-B_0,A,0.328,0.257,0.257,0.328,4mvk
 101,4mz6_A_A-C-E_0,E,0.349,0.130,0.130,0.349,4mz6
 102,1d0a_G_A-B-C-G-H-I_0,A,0.456,0.355,0.355,0.456,1d0a
 103,1sem_C_A-B-C-D_0,A,0.234,0.379,0.234,0.379,1sem
 104,2v1r_R_A-Q-R_0,A,0.251,0.377,0.251,0.377,2v1r
 105,2h9m_D_C-D_1,C,0.364,0.184,0.184,0.364,2h9m
 106,3thk_C_A-C_0,A,0.214,0.294,0.214,0.294,3thk
 107,3upv_B_A-B_0,A,0.302,0.289,0.289,0.302,3upv
 108,2b6n_B_A-B_0,A,0.353,0.198,0.198,0.353,2b6n
 109,1qka_B_A-B_0,A,0.362,0.118,0.118,0.362,1qka
 110,4k3q_E_A-B-E_0,A,0.317,0.148,0.148,0.317,4k3q
 111,2y7l_B_A-B_0,A,0.344,0.178,0.178,0.344,2y7l
 112,5eyz_E_A-E_0,A,0.319,0.366,0.319,0.366,5eyz
 113,1tw6_C_A-B-C-D_2,F,0.308,0.345,0.308,0.345,1tw6
 114,1tw6_C_A-B-C-D_2,A,0.318,0.371,0.318,0.371,1tw6
 115,3q49_C_B-C_0,B,0.337,0.306,0.306,0.337,3q49
 116,3nim_X_F-X_3,F,0.260,0.324,0.260,0.324,3nim
 117,4jjq_B_A-B_0,A,0.420,0.376,0.376,0.420,4jjq
 118,4xi7_C_A-C_0,A,0.349,0.154,0.154,0.349,4xi7
 119,2x6m_B_A-B_0,A,0.306,0.291,0.291,0.306,2x6m
 120,5m5r_D_A-C-D_0,A,0.364,0.165,0.165,0.364,5m5r
 121,1b3g_B_A-B_0,A,0.348,0.117,0.117,0.348,1b3g
 122,5tu5_B_A-B_0,A,0.348,0.180,0.180,0.348,5tu5
 123,1jwg_D_B-D_1,B,0.336,0.302,0.302,0.336,1jwg
 124,3ebb_F_A-B-E-F_0,B,0.334,0.187,0.187,0.334,3ebb
 125,2h2f_B_A-B_0,A,0.314,0.191,0.191,0.314,2h2f
 126,4kg9_B_A-B_0,A,0.416,0.370,0.370,0.416,4kg9
 127,1ok7_C_A-B-C_0,B,0.318,0.150,0.150,0.318,1ok7
 128,2f5b_P_H-L-P_0,L,0.334,0.213,0.213,0.334,2f5b
 129,2f5b_P_H-L-P_0,H,0.278,0.177,0.177,0.278,2f5b
 130,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.339,0.147,0.147,0.339,4tr9
 131,5t6p_E_C-D-E_1,D,0.306,0.206,0.206,0.306,5t6p
 132,5t6p_E_C-D-E_1,C,0.273,0.182,0.182,0.273,5t6p
 133,2fib_B_A-B_0,A,0.366,0.227,0.227,0.366,2fib
 134,4ouc_B_A-B_0,A,0.345,0.172,0.172,0.345,4ouc
 135,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.353,0.182,0.182,0.353,2z9i
 136,5azf_C_A-C_0,A,0.893,0.872,0.872,0.893,5azf
 137,1se0_B_A-B_0,A,0.296,0.329,0.296,0.329,1se0
 138,2v5w_G_B-G-L_1,B,0.367,0.152,0.152,0.367,2v5w
 139,3fwv_C_A-C_0,A,0.355,0.330,0.330,0.355,3fwv
 140,3qhw_L_A-B-J-L_0,B,0.340,0.193,0.193,0.340,3qhw
