index,syst,chain,tm1,tm2,min,max,pdb
   0,1s2k_B_A-B_0,A,0.130,0.364,0.130,0.364,1s2k
   1,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.160,0.321,0.160,0.321,2z9i
   2,1czy_D_A-B-C-D-E_0,A,0.115,0.328,0.115,0.328,1czy
   3,3drj_B_A-B_0,A,0.276,0.330,0.276,0.330,3drj
   4,1qka_B_A-B_0,A,0.272,0.345,0.272,0.345,1qka
   5,5m5v_G_A-E-G-I_0,A,0.327,0.578,0.327,0.578,5m5v
   6,4j77_D_B-D_1,B,0.316,0.671,0.316,0.671,4j77
   7,1uop_B_A-B_0,A,1.000,1.000,1.000,1.000,1uop
   8,1b3g_B_A-B_0,A,0.270,0.343,0.270,0.343,1b3g
   9,3ou3_C_A-B-C_0,A,0.076,0.321,0.076,0.321,3ou3
  10,3ou3_C_A-B-C_0,B,0.076,0.321,0.076,0.321,3ou3
  11,1b46_B_A-B_0,A,0.254,0.322,0.254,0.322,1b46
  12,2foj_B_A-B_0,A,0.093,0.344,0.093,0.344,2foj
  13,3o2b_D_C-D_1,C,0.077,0.363,0.077,0.363,3o2b
  14,4faf_D_A-B-D_0,A,0.072,0.356,0.072,0.356,4faf
  15,4faf_D_A-B-D_0,B,0.077,0.332,0.077,0.332,4faf
  16,4od7_E_C-E_2,C,0.125,0.349,0.125,0.349,4od7
  17,4j47_B_A-B_0,A,0.076,0.363,0.076,0.363,4j47
  18,5fgb_G_B-E-G_1,E,0.149,0.370,0.149,0.370,5fgb
  19,5fgb_G_B-E-G_1,B,0.136,0.335,0.136,0.335,5fgb
  20,3ny3_B_A-B_0,A,0.062,0.341,0.062,0.341,3ny3
  21,3ziq_B_A-B-C_0,A,0.224,0.331,0.224,0.331,3ziq
  22,1b9j_B_A-B_0,A,0.271,0.345,0.271,0.345,1b9j
  23,3rt9_B_A-B_0,F,0.233,0.312,0.233,0.312,3rt9
  24,3rt9_B_A-B_0,A,0.233,0.312,0.233,0.312,3rt9
  25,2zgh_B_A-B_0,A,0.137,0.315,0.137,0.315,2zgh
  26,6cd9_B_A-B_0,A,0.111,0.334,0.111,0.334,6cd9
  27,1oxn_F_E-F_7,E,0.082,0.399,0.082,0.399,1oxn
  28,4ouc_B_A-B_0,A,0.164,0.303,0.164,0.303,4ouc
  29,4jok_D_B-D_1,B,0.073,0.377,0.073,0.377,4jok
  30,3sjk_B_A-B_0,A,0.109,0.313,0.109,0.313,3sjk
  31,3drk_B_A-B_0,A,0.277,0.332,0.277,0.332,3drk
  32,2nph_S_A-B-S-T_0,A,0.075,0.331,0.075,0.331,2nph
  33,2nph_S_A-B-S-T_0,B,0.079,0.330,0.079,0.330,2nph
  34,6cdg_B_A-B_0,A,0.101,0.320,0.101,0.320,6cdg
  35,3emh_B_A-B_0,A,0.329,0.693,0.329,0.693,3emh
  36,4k72_C_A-C_0,A,0.075,0.382,0.075,0.382,4k72
  37,5m5t_E_A-E-G-I_0,A,0.326,0.579,0.326,0.579,5m5t
  38,3nin_E_B-E_1,B,0.068,0.362,0.068,0.362,3nin
  39,4iim_E_A-B-C-D-E_0,B,0.050,0.456,0.050,0.456,4iim
  40,1olc_B_A-B_0,A,0.269,0.341,0.269,0.341,1olc
  41,3shb_B_A-B_0,A,0.064,0.360,0.064,0.360,3shb
  42,4j78_B_A-B_0,A,0.315,0.670,0.315,0.670,4j78
  43,6hpg_c_C-c_2,C,0.108,0.451,0.108,0.451,6hpg
  44,1elr_B_A-B_0,A,0.111,0.425,0.111,0.425,1elr
  45,1v1t_S_A-B-S-T_0,B,0.104,0.324,0.104,0.324,1v1t
  46,5d9g_C_A-C_0,A,0.142,0.314,0.142,0.314,5d9g
  47,6exj_B_A-B_0,A,0.070,0.367,0.070,0.367,6exj
  48,5wun_C_A-B-C_0,A,0.224,0.330,0.224,0.330,5wun
  49,5kzt_C_A-C_0,A,0.267,0.344,0.267,0.344,5kzt
  50,1oby_Q_A-B-P-Q_0,A,0.067,0.353,0.067,0.353,1oby
  51,1oby_Q_A-B-P-Q_0,B,0.063,0.333,0.063,0.333,1oby
  52,4z8j_B_A-B_0,A,0.074,0.371,0.074,0.371,4z8j
  53,5b74_D_A-B-D_0,B,0.116,0.479,0.116,0.479,5b74
  54,1svz_C_A-B-C-D_0,A,0.124,0.300,0.124,0.300,1svz
  55,4pxm_D_A-B-C-D_0,B,0.141,0.340,0.141,0.340,4pxm
  56,2fop_B_A-B_0,A,0.101,0.326,0.101,0.326,2fop
  57,4xi7_C_A-C_0,A,0.175,0.290,0.175,0.290,4xi7
  58,3zin_C_A-B-C_0,A,0.226,0.333,0.226,0.333,3zin
  59,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.093,0.352,0.093,0.352,1kl5
  60,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.094,0.346,0.094,0.346,1kl5
  61,5ovv_B_A-B_0,A,0.076,0.371,0.076,0.371,5ovv
