index,syst,chain,tm1,tm2,min,max,pdb
   0,4gne_B_A-B_0,A,0.212,0.219,0.212,0.219,4gne
   1,4zhb_B_A-B_0,A,0.268,0.267,0.267,0.268,4zhb
   2,3l81_B_A-B_0,A,0.420,0.218,0.218,0.420,3l81
   3,2h9m_D_C-D_1,C,0.281,0.131,0.131,0.281,2h9m
   4,1a30_C_A-B-C_0,A,0.245,0.250,0.245,0.250,1a30
   5,1a30_C_A-B-C_0,B,0.243,0.249,0.243,0.249,1a30
   6,2i3h_C_A-C_0,A,0.261,0.287,0.261,0.287,2i3h
   7,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.413,0.217,0.217,0.413,5fjz
   8,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.420,0.219,0.219,0.420,5fjz
   9,5iag_D_A-B-D_0,A,0.309,0.173,0.173,0.309,5iag
  10,1e4x_P_H-L-P_0,L,0.342,0.207,0.207,0.342,1e4x
  11,1e4x_P_H-L-P_0,H,0.372,0.224,0.224,0.372,1e4x
  12,1b05_B_A-B_0,A,0.408,0.113,0.113,0.408,1b05
  13,5grg_D_A-B-C-D_0,A,0.337,0.171,0.171,0.337,5grg
  14,5fov_E_A-E_0,A,0.377,0.208,0.208,0.377,5fov
  15,1hsb_C_A-B-C_0,A,0.350,0.164,0.164,0.350,1hsb
  16,3sjk_B_A-B_0,A,0.301,0.209,0.209,0.301,3sjk
  17,4hxj_C_A-C_0,A,0.275,0.375,0.275,0.375,4hxj
  18,5kzt_C_A-C_0,A,0.399,0.116,0.116,0.399,5kzt
  19,3nii_B_A-B_0,A,0.274,0.322,0.274,0.322,3nii
  20,5m5r_D_A-C-D_0,A,0.278,0.113,0.113,0.278,5m5r
  21,4xi7_C_A-C_0,A,0.362,0.144,0.144,0.362,4xi7
  22,3thk_C_A-C_0,A,0.284,0.400,0.284,0.400,3thk
  23,5lyn_C_A-B-C-D_0,A,0.288,0.236,0.236,0.288,5lyn
  24,5lyn_C_A-B-C-D_0,B,0.271,0.228,0.228,0.271,5lyn
  25,3q47_C_B-C_0,B,0.331,0.271,0.271,0.331,3q47
  26,5e6o_E_B-E_1,B,0.273,0.250,0.250,0.273,5e6o
  27,5sxm_D_B-D_1,B,0.281,0.136,0.136,0.281,5sxm
  28,4j84_D_B-D_1,B,0.235,0.117,0.117,0.235,4j84
  29,2zjd_D_C-D_5,C,0.272,0.240,0.240,0.272,2zjd
  30,1oxn_F_E-F_7,E,0.264,0.279,0.264,0.279,1oxn
  31,3agy_C_A-B-C-D-F_0,A,0.308,0.214,0.214,0.308,3agy
  32,1d00_I_A-I_0,A,0.385,0.268,0.268,0.385,1d00
  33,1fch_C_A-B-C-D_2,F,0.359,0.149,0.149,0.359,1fch
  34,1fch_C_A-B-C-D_2,A,0.358,0.148,0.148,0.358,1fch
  35,2x6m_B_A-B_0,A,0.375,0.331,0.331,0.375,2x6m
  36,1b46_B_A-B_0,A,0.409,0.113,0.113,0.409,1b46
  37,4apo_D_B-D_1,B,0.321,0.230,0.230,0.321,4apo
  38,1svz_C_A-B-C-D_0,A,0.380,0.218,0.218,0.380,1svz
  39,4z88_V_J-V_1,J,0.287,0.359,0.287,0.359,4z88
  40,3cbl_B_A-B_0,A,0.352,0.131,0.131,0.352,3cbl
  41,3zin_C_A-B-C_0,A,0.311,0.095,0.095,0.311,3zin
  42,3ifo_P_H-L-P_0,L,0.338,0.201,0.201,0.338,3ifo
  43,3ifo_P_H-L-P_0,H,0.381,0.229,0.229,0.381,3ifo
  44,5y53_F_C-E-F_1,C,0.339,0.280,0.280,0.339,5y53
  45,5y53_F_C-E-F_1,E,0.337,0.279,0.279,0.337,5y53
  46,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.365,0.401,0.365,0.401,2y1l
  47,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.313,0.248,0.248,0.313,2y1l
  48,6cwp_F_A-B-F_0,A,0.382,0.168,0.168,0.382,6cwp
  49,6cwp_F_A-B-F_0,B,0.386,0.147,0.147,0.386,6cwp
  50,5tu5_B_A-B_0,A,0.388,0.162,0.162,0.388,5tu5
  51,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.264,0.285,0.264,0.285,1xb0
  52,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.264,0.286,0.264,0.286,1xb0
  53,3jrv_D_B-D_1,B,0.318,0.244,0.244,0.318,3jrv
  54,6cdc_C_A-C_0,A,0.317,0.228,0.228,0.317,6cdc
  55,4wvh_C_A-C_0,A,0.363,0.100,0.100,0.363,4wvh
  56,3vqg_B_A-B_0,A,0.269,0.301,0.269,0.301,3vqg
  57,4sga_P_E-P_0,E,0.359,0.249,0.249,0.359,4sga
  58,1ddv_B_A-B_0,A,0.333,0.331,0.331,0.333,1ddv
  59,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.262,0.236,0.236,0.262,1kl3
  60,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.251,0.228,0.228,0.251,1kl3
  61,3q49_C_B-C_0,B,0.334,0.273,0.273,0.334,3q49
  62,1rzx_B_A-B_0,A,0.279,0.288,0.279,0.288,1rzx
  63,4k3p_E_A-B-E_0,A,0.279,0.112,0.112,0.279,4k3p
  64,4j78_B_A-B_0,A,0.279,0.132,0.132,0.279,4j78
  65,3g19_C_A-C_0,A,0.771,0.936,0.771,0.936,3g19
  66,1sts_P_B-D-M-P_0,D,0.267,0.238,0.238,0.267,1sts
  67,1sts_P_B-D-M-P_0,A,0.270,0.239,0.239,0.270,1sts
  68,4ezz_B_A-B_1,A,0.375,0.221,0.221,0.375,4ezz
  69,3uoa_L_B-C-L-M_0,B,0.371,0.130,0.130,0.371,3uoa
  70,4j44_B_A-B_0,A,0.270,0.311,0.270,0.311,4j44
  71,4c2c_B_A-B-C_0,A,0.305,0.112,0.112,0.305,4c2c
  72,3s9c_B_A-B_0,A,0.284,0.160,0.160,0.284,3s9c
  73,5fch_C_A-B-C_0,A,0.329,0.115,0.115,0.329,5fch
  74,5fch_C_A-B-C_0,B,0.329,0.117,0.117,0.329,5fch
  75,4que_E_A-C-D-E-H-J_0,A,0.311,0.178,0.178,0.311,4que
  76,1se0_B_A-B_0,A,0.317,0.329,0.317,0.329,1se0
  77,1h27_E_A-B-E_0,B,0.407,0.192,0.192,0.407,1h27
  78,4cic_Q_A-B-Q_0,A,0.295,0.238,0.238,0.295,4cic
  79,4cic_Q_A-B-Q_0,B,0.295,0.239,0.239,0.295,4cic
  80,4k3q_E_A-B-E_0,A,0.334,0.127,0.127,0.334,4k3q
  81,1b9j_B_A-B_0,A,0.358,0.087,0.087,0.358,1b9j
  82,1olc_B_A-B_0,A,0.404,0.110,0.110,0.404,1olc
  83,6exj_B_A-B_0,A,0.286,0.316,0.286,0.316,6exj
  84,2v5f_X_A-X_0,A,0.283,0.297,0.283,0.297,2v5f
  85,5jiu_C_A-B-C-D_0,A,0.410,0.247,0.247,0.410,5jiu
