index,syst,chain,tm1,tm2,min,max,pdb
   0,4quh_D_A-C-D-I-J_0,A,0.335,0.185,0.185,0.335,4quh
   1,3drh_B_A-B_0,A,0.348,0.094,0.094,0.348,3drh
   2,4k3r_E_A-B-E_0,A,0.295,0.110,0.110,0.295,4k3r
   3,3mmg_C_A-C_0,A,0.370,0.218,0.218,0.370,3mmg
   4,4g69_B_A-B_0,A,0.270,0.270,0.270,0.270,4g69
   5,5sxm_D_B-D_1,B,0.389,0.167,0.167,0.389,5sxm
   6,4fii_B_A-B_0,A,0.350,0.167,0.167,0.350,4fii
   7,3dri_B_A-B_0,A,0.346,0.092,0.092,0.346,3dri
   8,5ovc_B_A-B_0,A,0.258,0.259,0.258,0.259,5ovc
   9,1jwg_D_B-D_1,B,0.340,0.269,0.269,0.340,1jwg
  10,4j45_B_A-B_0,A,0.713,0.826,0.713,0.826,4j45
  11,4j09_B_A-B_0,A,0.388,0.188,0.188,0.388,4j09
  12,4j09_B_A-B_0,C,0.388,0.188,0.188,0.388,4j09
  13,5gu4_C_A-C_0,A,0.341,0.177,0.177,0.341,5gu4
  14,6cd9_B_A-B_0,A,0.319,0.226,0.226,0.319,6cd9
  15,4z88_V_J-V_1,J,0.207,0.250,0.207,0.250,4z88
  16,5iz2_Z_A-B-Z_0,B,0.399,0.335,0.335,0.399,5iz2
  17,4z0u_D_A-D_0,A,0.344,0.258,0.258,0.344,4z0u
  18,3rc4_B_A-B_0,A,0.348,0.221,0.221,0.348,3rc4
  19,6cdg_B_A-B_0,A,0.306,0.217,0.217,0.306,6cdg
  20,1tw6_C_A-B-C-D_2,F,0.716,0.729,0.716,0.729,1tw6
  21,1tw6_C_A-B-C-D_2,A,0.743,0.796,0.743,0.796,1tw6
  22,2d5w_C_A-C_0,A,0.340,0.084,0.084,0.340,2d5w
  23,1evh_B_A-B_0,A,0.333,0.305,0.305,0.333,1evh
  24,5uw3_E_A-E_0,A,0.341,0.080,0.080,0.341,5uw3
  25,3nin_E_B-E_1,B,0.228,0.250,0.228,0.250,3nin
  26,1obz_P_A-B-P_0,A,0.263,0.184,0.184,0.263,1obz
  27,4k76_G_C-G_2,C,0.261,0.277,0.261,0.277,4k76
  28,4fys_C_A-C_0,A,0.422,0.073,0.073,0.422,4fys
  29,4j79_B_A-B_0,A,0.390,0.172,0.172,0.390,4j79
  30,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.355,0.141,0.141,0.355,4tr9
  31,3rt9_B_A-B_0,F,0.333,0.098,0.098,0.333,3rt9
  32,3rt9_B_A-B_0,A,0.333,0.098,0.098,0.333,3rt9
  33,1fch_C_A-B-C-D_2,F,0.381,0.173,0.173,0.381,1fch
  34,1fch_C_A-B-C-D_2,A,0.363,0.170,0.170,0.363,1fch
  35,1a7c_B_A-B-C_0,A,0.293,0.114,0.114,0.293,1a7c
  36,3f7o_X_A-X_0,A,0.344,0.158,0.158,0.344,3f7o
  37,6eja_B_A-B_0,A,0.332,0.078,0.078,0.332,6eja
  38,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.723,0.765,0.723,0.765,1xb0
  39,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.724,0.767,0.724,0.767,1xb0
  40,4xal_B_A-B_0,A,0.209,0.219,0.209,0.219,4xal
  41,5jiu_C_A-B-C-D_0,A,0.305,0.181,0.181,0.305,5jiu
  42,1b46_B_A-B_0,A,0.375,0.103,0.103,0.375,1b46
  43,1olc_B_A-B_0,A,0.375,0.100,0.100,0.375,1olc
  44,1elr_B_A-B_0,A,0.318,0.274,0.274,0.318,1elr
  45,4pxm_D_A-B-C-D_0,B,0.418,0.232,0.232,0.418,4pxm
  46,4dgb_B_A-B_0,A,0.380,0.266,0.266,0.380,4dgb
  47,4j44_B_A-B_0,A,0.713,0.826,0.713,0.826,4j44
  48,4ynl_C_A-B-C-D_0,A,0.215,0.254,0.215,0.254,4ynl
  49,4ynl_C_A-B-C-D_0,B,0.208,0.240,0.208,0.240,4ynl
  50,3rta_B_A-B_0,F,0.338,0.106,0.106,0.338,3rta
  51,3rta_B_A-B_0,A,0.338,0.106,0.106,0.338,3rta
  52,3thk_C_A-C_0,A,0.234,0.328,0.234,0.328,3thk
  53,3ziq_B_A-B-C_0,A,0.367,0.124,0.124,0.367,3ziq
  54,4k3o_E_A-B-E_0,A,0.331,0.132,0.132,0.331,4k3o
