index,syst,chain,tm1,tm2,min,max,pdb
   0,1sem_C_A-B-C-D_0,A,0.098,0.340,0.098,0.340,1sem
   1,5e6o_E_B-E_1,B,0.172,0.330,0.172,0.330,5e6o
   2,6cwp_F_A-B-F_0,A,0.224,0.231,0.224,0.231,6cwp
   3,6cwp_F_A-B-F_0,B,0.259,0.262,0.259,0.262,6cwp
   4,4ezn_C_A-B-C-D_0,A,0.220,0.292,0.220,0.292,4ezn
   5,4q6f_H_C-H_2,C,0.093,0.331,0.093,0.331,4q6f
   6,6ew9_P_A-B-C-P-Q-R_0,A,0.300,0.305,0.300,0.305,6ew9
   7,1h27_E_A-B-E_0,B,0.224,0.255,0.224,0.255,1h27
   8,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.187,0.393,0.187,0.393,1kl5
   9,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.188,0.393,0.188,0.393,1kl5
  10,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.135,0.311,0.135,0.311,1xb0
  11,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.135,0.325,0.135,0.325,1xb0
  12,4kg9_B_A-B_0,A,0.227,0.441,0.227,0.441,4kg9
  13,2fop_B_A-B_0,A,0.227,0.443,0.227,0.443,2fop
  14,3cww_E_A-B-D-E_0,A,0.289,0.129,0.129,0.289,3cww
  15,5uw3_E_A-E_0,A,0.318,0.175,0.175,0.318,5uw3
  16,4jor_D_B-D_1,B,0.145,0.356,0.145,0.356,4jor
  17,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.174,0.355,0.174,0.355,1kl3
  18,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.187,0.392,0.187,0.392,1kl3
  19,4gne_B_A-B_0,A,0.137,0.291,0.137,0.291,4gne
  20,3rt9_B_A-B_0,F,0.309,0.225,0.225,0.309,3rt9
  21,3rt9_B_A-B_0,A,0.309,0.225,0.225,0.309,3rt9
  22,5kzt_C_A-C_0,A,0.288,0.207,0.207,0.288,5kzt
  23,1rzx_B_A-B_0,A,0.124,0.267,0.124,0.267,1rzx
  24,2v5w_G_B-G-L_1,B,0.314,0.281,0.281,0.314,2v5w
  25,3drk_B_A-B_0,A,0.335,0.224,0.224,0.335,3drk
  26,4bjt_E_B-E_2,B,0.211,0.348,0.211,0.348,4bjt
  27,4m38_E_A-B-E-F_0,A,0.304,0.290,0.290,0.304,4m38
  28,5b74_D_A-B-D_0,B,0.172,0.318,0.172,0.318,5b74
  29,5fpk_C_A-C_0,A,0.230,0.286,0.230,0.286,5fpk
  30,3g19_C_A-C_0,A,0.166,0.461,0.166,0.461,3g19
  31,1yth_I_A-B-I_0,A,0.159,0.333,0.159,0.333,1yth
  32,1yth_I_A-B-I_0,B,0.156,0.333,0.156,0.333,1yth
  33,6cd8_C_A-C_0,A,0.189,0.301,0.189,0.301,6cd8
  34,3cvl_B_A-B_0,A,0.246,0.257,0.246,0.257,3cvl
  35,4j81_C_B-C_1,B,0.263,0.271,0.263,0.271,4j81
  36,1svz_C_A-B-C-D_0,A,0.281,0.351,0.281,0.351,1svz
  37,3nfk_D_A-B-C-D_2,B,0.144,0.377,0.144,0.377,3nfk
  38,3drh_B_A-B_0,A,0.274,0.176,0.176,0.274,3drh
  39,3jrv_D_B-D_1,B,0.203,0.343,0.203,0.343,3jrv
  40,6eja_B_A-B_0,A,0.364,0.197,0.197,0.364,6eja
  41,4ikn_B_A-B_0,A,0.230,0.269,0.230,0.269,4ikn
  42,5iz2_Z_A-B-Z_0,B,0.181,0.345,0.181,0.345,5iz2
  43,3ebb_F_A-B-E-F_0,B,0.239,0.270,0.239,0.270,3ebb
  44,4f74_C_A-B-C_0,A,0.156,0.330,0.156,0.330,4f74
  45,4f74_C_A-B-C_0,B,0.155,0.345,0.155,0.345,4f74
  46,2hl3_C_A-B-C_0,A,0.125,0.335,0.125,0.335,2hl3
  47,2hl3_C_A-B-C_0,B,0.119,0.322,0.119,0.322,2hl3
  48,5v5p_A_A-B-C_0,C,0.223,0.181,0.181,0.223,5v5p
  49,5xup_D_A-B-C-D_0,B,0.193,0.266,0.193,0.266,5xup
  50,3fp4_Q_A-Q_0,A,0.273,0.199,0.199,0.273,3fp4
  51,1b58_B_A-B_0,A,0.285,0.203,0.203,0.285,1b58
  52,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.134,0.320,0.134,0.320,2y1l
