index,syst,chain,tm1,tm2,min,max,pdb
   0,4dgb_B_A-B_0,A,0.249,0.308,0.249,0.308,4dgb
   1,1sem_C_A-B-C-D_0,A,0.116,0.271,0.116,0.271,1sem
   2,1awr_J_D-J_5,D,0.263,0.322,0.263,0.322,1awr
   3,2v3s_C_B-C_1,B,0.207,0.388,0.207,0.388,2v3s
   4,4ezz_B_A-B_1,A,0.255,0.258,0.255,0.258,4ezz
   5,3hda_Z_P-Z_0,P,0.276,0.190,0.190,0.276,3hda
   6,4jor_D_B-D_1,B,0.174,0.330,0.174,0.330,4jor
   7,2hl3_C_A-B-C_0,A,0.149,0.328,0.149,0.328,2hl3
   8,2hl3_C_A-B-C_0,B,0.147,0.330,0.147,0.330,2hl3
   9,4b8o_C_A-B-C_0,A,0.308,0.187,0.187,0.308,4b8o
  10,5e6o_E_B-E_1,B,0.223,0.351,0.223,0.351,5e6o
  11,5fou_C_A-C_0,A,0.995,0.978,0.978,0.995,5fou
  12,4jmy_E_A-C-E_0,A,0.256,0.294,0.256,0.294,4jmy
  13,1ok7_C_A-B-C_0,B,0.253,0.175,0.175,0.253,1ok7
  14,3g19_C_A-C_0,A,0.213,0.440,0.213,0.440,3g19
  15,6eja_B_A-B_0,A,0.408,0.167,0.167,0.408,6eja
  16,3psl_D_B-D_1,B,0.338,0.275,0.275,0.338,3psl
  17,4q6f_H_C-H_2,C,0.104,0.249,0.104,0.249,4q6f
  18,1uop_B_A-B_0,A,0.441,0.177,0.177,0.441,1uop
  19,1jwg_D_B-D_1,B,0.279,0.396,0.279,0.396,1jwg
  20,5eyz_E_A-E_0,A,0.172,0.306,0.172,0.306,5eyz
  21,3t64_F_A-B-C-F_0,A,0.247,0.317,0.247,0.317,3t64
  22,3t64_F_A-B-C-F_0,B,0.242,0.340,0.242,0.340,3t64
  23,4pz3_C_A-B-C_0,B,0.251,0.325,0.251,0.325,4pz3
  24,1ddv_B_A-B_0,A,0.195,0.341,0.195,0.341,1ddv
