index,syst,chain,tm1,tm2,min,max,pdb
   0,1b46_B_A-B_0,A,0.329,0.129,0.129,0.329,1b46
   1,1a7c_B_A-B-C_0,A,0.376,0.178,0.178,0.376,1a7c
   2,4jjq_B_A-B_0,A,0.235,0.231,0.231,0.235,4jjq
   3,5iz2_Z_A-B-Z_0,B,0.277,0.288,0.277,0.288,5iz2
   4,1czy_D_A-B-C-D-E_0,A,0.299,0.256,0.256,0.299,1czy
   5,4x2h_C_A-B-C_0,A,0.297,0.222,0.222,0.297,4x2h
   6,3woq_C_A-B-C-D_0,A,0.354,0.102,0.102,0.354,3woq
   7,1hsb_C_A-B-C_0,A,0.287,0.178,0.178,0.287,1hsb
   8,4k3q_E_A-B-E_0,A,0.283,0.137,0.137,0.283,4k3q
   9,1se0_B_A-B_0,A,0.259,0.314,0.259,0.314,1se0
  10,4gne_B_A-B_0,A,0.262,0.321,0.262,0.321,4gne
  11,4j45_B_A-B_0,A,0.231,0.316,0.231,0.316,4j45
  12,4j09_B_A-B_0,A,0.353,0.222,0.222,0.353,4j09
  13,4j09_B_A-B_0,C,0.353,0.222,0.222,0.353,4j09
  14,1d00_I_A-I_0,A,0.298,0.252,0.252,0.298,1d00
  15,3sxu_C_A-B-C_0,A,0.339,0.318,0.318,0.339,3sxu
  16,4ezw_E_A-E_0,A,0.305,0.220,0.220,0.305,4ezw
  17,1wcy_C_A-B-C-D_0,A,0.410,0.108,0.108,0.410,1wcy
  18,2v17_A_A-H-L_0,L,0.287,0.208,0.208,0.287,2v17
  19,2v17_A_A-H-L_0,H,0.301,0.211,0.211,0.301,2v17
  20,2nph_S_A-B-S-T_0,A,0.234,0.280,0.234,0.280,2nph
  21,2nph_S_A-B-S-T_0,B,0.234,0.279,0.234,0.279,2nph
  22,4q6f_H_C-H_2,C,0.157,0.268,0.157,0.268,4q6f
  23,2bgr_Y_A-B-Y-Z_0,A,0.411,0.108,0.108,0.411,2bgr
  24,3nfk_D_A-B-C-D_2,B,0.215,0.277,0.215,0.277,3nfk
  25,2v5f_X_A-X_0,A,0.596,0.784,0.596,0.784,2v5f
  26,2foj_B_A-B_0,A,0.232,0.228,0.228,0.232,2foj
  27,1nvs_B_A-B_0,A,0.417,0.248,0.248,0.417,1nvs
  28,4ezn_C_A-B-C-D_0,A,0.314,0.223,0.223,0.314,4ezn
  29,4ezy_B_A-B_2,A,0.311,0.221,0.221,0.311,4ezy
