index,syst,chain,tm1,tm2,min,max,pdb
   0,4z88_V_J-V_1,J,0.128,0.302,0.128,0.302,4z88
   1,1yti_I_A-I_0,A,0.153,0.292,0.153,0.292,1yti
   2,1yti_I_A-I_0,B,0.153,0.292,0.153,0.292,1yti
   3,4k3m_E_A-B-E_0,A,0.265,0.209,0.209,0.265,4k3m
   4,2h9m_D_C-D_1,C,0.334,0.297,0.297,0.334,2h9m
   5,3wor_C_A-B-C-D_0,A,0.327,0.152,0.152,0.327,3wor
   6,5eyz_E_A-E_0,A,0.177,0.362,0.177,0.362,5eyz
   7,5kzt_C_A-C_0,A,0.339,0.206,0.206,0.339,5kzt
   8,5t6p_E_C-D-E_1,D,0.262,0.303,0.262,0.303,5t6p
   9,5t6p_E_C-D-E_1,C,0.222,0.250,0.222,0.250,5t6p
  10,2bgr_Y_A-B-Y-Z_0,A,0.330,0.151,0.151,0.330,2bgr
  11,1sem_C_A-B-C-D_0,A,0.107,0.290,0.107,0.290,1sem
  12,4ezw_E_A-E_0,A,0.237,0.269,0.237,0.269,4ezw
  13,6hpg_c_C-c_2,C,0.219,0.377,0.219,0.377,6hpg
  14,3o2b_D_C-D_1,C,0.193,0.378,0.193,0.378,3o2b
  15,1d00_I_A-I_0,A,0.208,0.275,0.208,0.275,1d00
  16,1lvm_C_A-C-E_0,A,0.300,0.327,0.300,0.327,1lvm
  17,4k3q_E_A-B-E_0,A,0.263,0.208,0.208,0.263,4k3q
  18,5lb7_C_A-B-C_0,A,0.268,0.373,0.268,0.373,5lb7
  19,5lb7_C_A-B-C_0,B,0.172,0.451,0.172,0.451,5lb7
  20,2foj_B_A-B_0,A,0.187,0.285,0.187,0.285,2foj
  21,5iz2_Z_A-B-Z_0,B,0.269,0.469,0.269,0.469,5iz2
  22,3m5n_F_B-F_1,B,0.246,0.294,0.246,0.294,3m5n
  23,5fpk_C_A-C_0,A,0.289,0.315,0.289,0.315,5fpk
  24,3q47_C_B-C_0,B,0.237,0.382,0.237,0.382,3q47
  25,1kyf_P_A-P_0,A,0.299,0.308,0.299,0.308,1kyf
  26,1b51_B_A-B_0,A,0.338,0.204,0.204,0.338,1b51
  27,1mfl_B_A-B_0,A,0.181,0.355,0.181,0.355,1mfl
  28,1u9l_C_B-C_1,B,0.190,0.484,0.190,0.484,1u9l
  29,1b58_B_A-B_0,A,0.341,0.204,0.204,0.341,1b58
  30,3sjk_B_A-B_0,A,0.250,0.319,0.250,0.319,3sjk
  31,5grg_D_A-B-C-D_0,A,0.312,0.299,0.299,0.312,5grg
  32,1b46_B_A-B_0,A,0.341,0.204,0.204,0.341,1b46
  33,5fou_C_A-C_0,A,0.284,0.309,0.284,0.309,5fou
  34,5yba_B_A-B-C-D_0,A,0.244,0.326,0.244,0.326,5yba
