index,syst,chain,tm1,tm2,min,max,pdb
   0,4es0_C_A-C_0,A,0.439,0.111,0.111,0.439,4es0
   1,5jjm_G_A-G-M_0,A,0.296,0.109,0.109,0.296,5jjm
   2,6cdc_C_A-C_0,A,0.448,0.194,0.194,0.448,6cdc
   3,2v3s_C_B-C_1,B,0.289,0.228,0.228,0.289,2v3s
   4,3qhw_L_A-B-J-L_0,B,0.270,0.097,0.097,0.270,3qhw
   5,4sga_P_E-P_0,E,0.342,0.151,0.151,0.342,4sga
   6,2ce9_X_A-B-X_0,A,0.430,0.104,0.104,0.430,2ce9
   7,5nqv_G_A-C-E-G_0,C,0.306,0.131,0.131,0.306,5nqv
   8,1a7c_B_A-B-C_0,A,0.321,0.086,0.086,0.321,1a7c
   9,3f6k_N_A-N_0,A,0.436,0.052,0.052,0.436,3f6k
  10,2h9m_D_C-D_1,C,0.438,0.111,0.111,0.438,2h9m
  11,2zjd_D_C-D_5,C,0.313,0.197,0.197,0.313,2zjd
  12,5wir_D_A-B-C-D_0,B,0.282,0.124,0.124,0.282,5wir
  13,5lyn_C_A-B-C-D_0,A,0.307,0.178,0.178,0.307,5lyn
  14,5lyn_C_A-B-C-D_0,B,0.296,0.170,0.170,0.296,5lyn
  15,5sxm_D_B-D_1,B,0.434,0.114,0.114,0.434,5sxm
  16,3sjk_B_A-B_0,A,0.365,0.173,0.173,0.365,3sjk
  17,5fou_C_A-C_0,A,0.361,0.134,0.134,0.361,5fou
  18,4fii_B_A-B_0,A,0.405,0.099,0.099,0.405,4fii
  19,3ufm_B_A-B_0,A,0.302,0.127,0.127,0.302,3ufm
  20,4c2c_B_A-B-C_0,A,0.414,0.084,0.084,0.414,4c2c
  21,1obz_P_A-B-P_0,A,0.386,0.171,0.171,0.386,1obz
  22,4ba3_B_A-B_0,A,0.303,0.063,0.063,0.303,4ba3
  23,1d0a_G_A-B-C-G-H-I_0,A,0.293,0.160,0.160,0.293,1d0a
  24,4j78_B_A-B_0,A,0.402,0.108,0.108,0.402,4j78
  25,4x2h_C_A-B-C_0,A,0.303,0.137,0.137,0.303,4x2h
  26,1jwg_D_B-D_1,B,0.277,0.149,0.149,0.277,1jwg
  27,3fp4_Q_A-Q_0,A,0.274,0.062,0.062,0.274,3fp4
  28,1hsb_C_A-B-C_0,A,0.309,0.102,0.102,0.309,1hsb
  29,2h59_D_A-B-D-E_0,A,0.312,0.111,0.111,0.312,2h59
  30,2h59_D_A-B-D-E_0,B,0.269,0.106,0.106,0.269,2h59
