index,syst,chain,tm1,tm2,min,max,pdb
   0,3hds_E_A-D-E_0,D,0.112,0.338,0.112,0.338,3hds
   1,3hds_E_A-D-E_0,A,0.113,0.322,0.113,0.322,3hds
   2,3ufm_B_A-B_0,A,0.179,0.288,0.179,0.288,3ufm
   3,4ezn_C_A-B-C-D_0,A,0.162,0.284,0.162,0.284,4ezn
   4,1b5j_B_A-B_0,A,0.236,0.204,0.204,0.236,1b5j
   5,3nim_X_F-X_3,F,0.079,0.278,0.079,0.278,3nim
   6,1b3g_B_A-B_0,A,0.236,0.204,0.204,0.236,1b3g
   7,3nfk_D_A-B-C-D_2,B,0.076,0.252,0.076,0.252,3nfk
   8,5azf_C_A-C_0,A,0.132,0.347,0.132,0.347,5azf
   9,5jiu_C_A-B-C-D_0,A,0.176,0.299,0.176,0.299,5jiu
  10,3drh_B_A-B_0,A,0.265,0.216,0.216,0.265,3drh
  11,4k3o_E_A-B-E_0,A,0.197,0.220,0.197,0.220,4k3o
  12,3agy_C_A-B-C-D-F_0,A,0.144,0.288,0.144,0.288,3agy
  13,4j86_C_A-C_0,A,0.211,0.271,0.211,0.271,4j86
  14,2ce9_X_A-B-X_0,A,0.203,0.238,0.203,0.238,2ce9
  15,4gne_B_A-B_0,A,0.100,0.295,0.100,0.295,4gne
  16,3fp4_Q_A-Q_0,A,0.346,0.312,0.312,0.346,3fp4
  17,3q49_C_B-C_0,B,0.250,0.631,0.250,0.631,3q49
  18,3q47_C_B-C_0,B,0.249,0.637,0.249,0.637,3q47
  19,4j81_C_B-C_1,B,0.200,0.255,0.200,0.255,4j81
  20,6hpg_c_C-c_2,C,0.224,0.612,0.224,0.612,6hpg
  21,1b9j_B_A-B_0,A,0.237,0.204,0.204,0.237,1b9j
  22,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.243,0.278,0.243,0.278,2ot0
  23,1b3l_B_A-B_0,A,0.240,0.207,0.207,0.240,1b3l
  24,4qbr_P_A-P_0,A,0.131,0.310,0.131,0.310,4qbr
  25,3vqg_B_A-B_0,A,0.086,0.262,0.086,0.262,3vqg
  26,4ny3_C_A-C_0,A,0.240,0.313,0.240,0.313,4ny3
  27,5m5u_G_A-E-G_0,A,0.243,0.272,0.243,0.272,5m5u
  28,1e4x_P_H-L-P_0,L,0.155,0.253,0.155,0.253,1e4x
  29,1e4x_P_H-L-P_0,H,0.151,0.242,0.151,0.242,1e4x
  30,3m5o_C_A-C_0,A,0.176,0.296,0.176,0.296,3m5o
  31,4pz3_C_A-B-C_0,B,0.150,0.327,0.150,0.327,4pz3
  32,4rxh_A_A-B-C_0,B,0.976,0.979,0.976,0.979,4rxh
  33,4apo_D_B-D_1,B,0.262,0.594,0.262,0.594,4apo
  34,2v3s_C_B-C_1,B,0.110,0.318,0.110,0.318,2v3s
  35,3nih_B_A-B_0,A,0.075,0.283,0.075,0.283,3nih
  36,3rc4_B_A-B_0,A,0.165,0.285,0.165,0.285,3rc4
  37,4j45_B_A-B_0,A,0.097,0.344,0.097,0.344,4j45
  38,1obz_P_A-B-P_0,A,0.140,0.278,0.140,0.278,1obz
  39,4jop_C_A-C_0,A,0.081,0.260,0.081,0.260,4jop
  40,4wnn_T_C-D-T_3,D,0.117,0.356,0.117,0.356,4wnn
  41,4wnn_T_C-D-T_3,C,0.087,0.400,0.087,0.400,4wnn
  42,2orz_B_A-B_0,A,0.208,0.256,0.208,0.256,2orz
  43,5y53_F_C-E-F_1,C,0.147,0.378,0.147,0.378,5y53
  44,5y53_F_C-E-F_1,E,0.147,0.377,0.147,0.377,5y53
  45,2v5f_X_A-X_0,A,0.179,0.547,0.179,0.547,2v5f
  46,4es0_C_A-C_0,A,0.213,0.272,0.213,0.272,4es0
  47,5xcr_F_D-E-F_1,D,0.138,0.275,0.138,0.275,5xcr
  48,5xcr_F_D-E-F_1,E,0.156,0.319,0.156,0.319,5xcr
  49,4k75_B_A-B_0,A,0.086,0.263,0.086,0.263,4k75
  50,1fch_C_A-B-C-D_2,F,0.303,0.400,0.303,0.400,1fch
  51,1fch_C_A-B-C-D_2,A,0.299,0.386,0.299,0.386,1fch
  52,1h27_E_A-B-E_0,B,0.174,0.250,0.174,0.250,1h27
  53,5huw_B_A-B-C_0,C,0.927,0.925,0.925,0.927,5huw
  54,3f7o_X_A-X_0,A,0.223,0.293,0.223,0.293,3f7o
  55,2foj_B_A-B_0,A,0.109,0.238,0.109,0.238,2foj
  56,3o2b_D_C-D_1,C,0.135,0.401,0.135,0.401,3o2b
  57,4k76_G_C-G_2,C,0.085,0.263,0.085,0.263,4k76
  58,4r5i_B_A-B_0,A,0.163,0.279,0.163,0.279,4r5i
  59,1a7c_B_A-B-C_0,A,0.165,0.182,0.165,0.182,1a7c
  60,1b51_B_A-B_0,A,0.236,0.204,0.204,0.236,1b51
  61,1uop_B_A-B_0,A,0.296,0.200,0.200,0.296,1uop
  62,2fop_B_A-B_0,A,0.111,0.241,0.111,0.241,2fop
  63,3rta_B_A-B_0,F,0.281,0.252,0.252,0.281,3rta
  64,3rta_B_A-B_0,A,0.281,0.252,0.252,0.281,3rta
  65,3sjk_B_A-B_0,A,0.135,0.254,0.135,0.254,3sjk
  66,4pyw_B_A-B-C_0,A,0.165,0.186,0.165,0.186,4pyw
  67,3ivq_D_B-D_1,B,0.114,0.271,0.114,0.271,3ivq
  68,3drj_B_A-B_0,A,0.253,0.204,0.204,0.253,3drj
  69,4k72_C_A-C_0,A,0.078,0.238,0.078,0.238,4k72
  70,4pxm_D_A-B-C-D_0,B,0.176,0.284,0.176,0.284,4pxm
  71,4f75_C_A-B-C-D_0,A,0.102,0.302,0.102,0.302,4f75
  72,4f75_C_A-B-C-D_0,B,0.100,0.308,0.100,0.308,4f75
  73,4fii_B_A-B_0,A,0.220,0.285,0.220,0.285,4fii
  74,2b6n_B_A-B_0,A,0.224,0.305,0.224,0.305,2b6n
  75,6eja_B_A-B_0,A,0.274,0.192,0.192,0.274,6eja
  76,5oj5_B_A-B_0,A,0.204,0.254,0.204,0.254,5oj5
  77,3zs6_B_A-B_0,A,0.234,0.206,0.206,0.234,3zs6
  78,5fgb_G_B-E-G_1,E,0.161,0.261,0.161,0.261,5fgb
  79,5fgb_G_B-E-G_1,B,0.158,0.262,0.158,0.262,5fgb
  80,3cvl_B_A-B_0,A,0.297,0.393,0.297,0.393,3cvl
  81,4que_E_A-C-D-E-H-J_0,A,0.185,0.293,0.185,0.293,4que
  82,3dri_B_A-B_0,A,0.263,0.214,0.214,0.263,3dri
  83,4b8o_C_A-B-C_0,A,1.000,1.000,1.000,1.000,4b8o
  84,1b46_B_A-B_0,A,0.237,0.205,0.205,0.237,1b46
  85,3ou3_C_A-B-C_0,A,0.102,0.301,0.102,0.301,3ou3
  86,3ou3_C_A-B-C_0,B,0.095,0.278,0.095,0.278,3ou3
  87,3sxu_C_A-B-C_0,A,0.167,0.386,0.167,0.386,3sxu
  88,1kyf_P_A-P_0,A,0.173,0.254,0.173,0.254,1kyf
  89,3lny_B_A-B_0,A,0.096,0.276,0.096,0.276,3lny
  90,4jor_D_B-D_1,B,0.090,0.258,0.090,0.258,4jor
  91,3njj_B_A-B_0,A,0.124,0.328,0.124,0.328,3njj
  92,3wor_C_A-B-C-D_0,A,0.262,0.182,0.182,0.262,3wor
  93,5d9g_C_A-C_0,A,0.161,0.239,0.161,0.239,5d9g
  94,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.203,0.270,0.203,0.270,2z9i
  95,2h2f_B_A-B_0,A,0.172,0.273,0.172,0.273,2h2f
  96,4k3r_E_A-B-E_0,A,0.190,0.212,0.190,0.212,4k3r
  97,5lyn_C_A-B-C-D_0,A,0.250,0.630,0.250,0.630,5lyn
  98,5lyn_C_A-B-C-D_0,B,0.247,0.611,0.247,0.611,5lyn
  99,3nin_E_B-E_1,B,0.078,0.284,0.078,0.284,3nin
