index,syst,chain,tm1,tm2,min,max,pdb
   0,3nii_B_A-B_0,A,0.292,0.308,0.292,0.308,3nii
   1,1h27_E_A-B-E_0,B,0.348,0.168,0.168,0.348,1h27
   2,3hds_E_A-D-E_0,D,0.274,0.242,0.242,0.274,3hds
   3,3hds_E_A-D-E_0,A,0.286,0.240,0.240,0.286,3hds
   4,5ovv_B_A-B_0,A,0.823,0.737,0.737,0.823,5ovv
   5,5fpk_C_A-C_0,A,0.308,0.163,0.163,0.308,5fpk
   6,3drk_B_A-B_0,A,0.376,0.089,0.089,0.376,3drk
   7,1ok7_C_A-B-C_0,B,0.412,0.138,0.138,0.412,1ok7
   8,4jop_C_A-C_0,A,0.995,0.995,0.995,0.995,4jop
   9,1czy_D_A-B-C-D-E_0,A,0.331,0.216,0.216,0.331,1czy
  10,1oby_Q_A-B-P-Q_0,A,0.762,0.867,0.762,0.867,1oby
  11,1oby_Q_A-B-P-Q_0,B,0.751,0.864,0.751,0.864,1oby
  12,4k72_C_A-C_0,A,0.988,0.988,0.988,0.988,4k72
  13,5huw_B_A-B-C_0,C,0.251,0.078,0.078,0.251,5huw
  14,3ny3_B_A-B_0,A,0.305,0.347,0.305,0.347,3ny3
  15,4mz6_A_A-C-E_0,E,0.279,0.078,0.078,0.279,4mz6
  16,1yti_I_A-I_0,A,0.293,0.272,0.272,0.293,1yti
  17,1yti_I_A-I_0,B,0.293,0.272,0.272,0.293,1yti
  18,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.659,0.227,0.227,0.659,2z9i
  19,6eja_B_A-B_0,A,0.370,0.072,0.072,0.370,6eja
  20,3njj_B_A-B_0,A,0.294,0.253,0.253,0.294,3njj
  21,4qbr_P_A-P_0,A,0.288,0.214,0.214,0.288,4qbr
  22,3emh_B_A-B_0,A,0.346,0.150,0.150,0.346,3emh
  23,4j84_D_B-D_1,B,0.341,0.136,0.136,0.341,4j84
  24,1elr_B_A-B_0,A,0.250,0.198,0.198,0.250,1elr
  25,4c2g_B_A-B-C_0,A,0.681,0.155,0.155,0.681,4c2g
  26,3thk_C_A-C_0,A,0.265,0.339,0.265,0.339,3thk
  27,1uoq_B_A-B_0,A,0.386,0.075,0.075,0.386,1uoq
  28,3ebb_F_A-B-E-F_0,B,0.240,0.119,0.119,0.240,3ebb
  29,1d0a_G_A-B-C-G-H-I_0,A,0.320,0.208,0.208,0.320,1d0a
  30,3lca_Q_A-Q_0,A,0.310,0.081,0.081,0.310,3lca
  31,4ezz_B_A-B_1,A,0.343,0.180,0.180,0.343,4ezz
  32,5m5u_G_A-E-G_0,A,0.347,0.123,0.123,0.347,5m5u
  33,6cdc_C_A-C_0,A,0.339,0.233,0.233,0.339,6cdc
  34,4m38_E_A-B-E-F_0,A,0.292,0.127,0.127,0.292,4m38
  35,3psl_D_B-D_1,B,0.338,0.148,0.148,0.338,3psl
  36,4kg9_B_A-B_0,A,0.443,0.312,0.312,0.443,4kg9
  37,4jwd_C_B-C_1,B,0.340,0.182,0.182,0.340,4jwd
  38,4j86_C_A-C_0,A,0.337,0.143,0.143,0.337,4j86
  39,3rte_B_A-B_0,G,0.433,0.121,0.121,0.433,3rte
  40,3rte_B_A-B_0,A,0.433,0.121,0.121,0.433,3rte
  41,3t70_F_A-B-C-F_0,A,0.332,0.235,0.235,0.332,3t70
  42,3t70_F_A-B-C-F_0,B,0.322,0.243,0.243,0.322,3t70
  43,4xal_B_A-B_0,A,0.262,0.257,0.257,0.262,4xal
  44,2bgr_Y_A-B-Y-Z_0,A,0.354,0.064,0.064,0.354,2bgr
  45,3nin_E_B-E_1,B,0.303,0.320,0.303,0.320,3nin
  46,1b4z_B_A-B_0,A,0.362,0.097,0.097,0.362,1b4z
  47,2foo_B_A-B_0,A,0.444,0.313,0.313,0.444,2foo
  48,6fkp_G_C-G_2,C,0.235,0.305,0.235,0.305,6fkp
  49,2v1r_R_A-Q-R_0,A,0.302,0.357,0.302,0.357,2v1r
