index,syst,chain,tm1,tm2,min,max,pdb
   0,4j09_B_A-B_0,A,0.139,0.297,0.139,0.297,4j09
   1,4j09_B_A-B_0,C,0.139,0.297,0.139,0.297,4j09
   2,4ezn_C_A-B-C-D_0,A,0.146,0.359,0.146,0.359,4ezn
   3,1oxn_F_E-F_7,E,0.073,0.340,0.073,0.340,1oxn
   4,5wun_C_A-B-C_0,A,0.185,0.264,0.185,0.264,5wun
   5,4g69_B_A-B_0,A,0.081,0.369,0.081,0.369,4g69
   6,1olc_B_A-B_0,A,0.241,0.303,0.241,0.303,1olc
   7,1b3l_B_A-B_0,A,0.235,0.295,0.235,0.295,1b3l
   8,4k3o_E_A-B-E_0,A,0.167,0.281,0.167,0.281,4k3o
   9,5xcr_F_D-E-F_1,D,0.111,0.318,0.111,0.318,5xcr
  10,5xcr_F_D-E-F_1,E,0.127,0.416,0.127,0.416,5xcr
  11,3cww_E_A-B-D-E_0,A,0.287,0.228,0.228,0.287,3cww
  12,4es0_C_A-C_0,A,0.145,0.273,0.145,0.273,4es0
  13,1rzx_B_A-B_0,A,0.087,0.370,0.087,0.370,1rzx
  14,3jrv_D_B-D_1,B,0.088,0.327,0.088,0.327,3jrv
  15,4jmy_E_A-C-E_0,A,0.201,0.689,0.201,0.689,4jmy
  16,3nin_E_B-E_1,B,0.063,0.342,0.063,0.342,3nin
  17,4jop_C_A-C_0,A,0.075,0.357,0.075,0.357,4jop
  18,5fch_C_A-B-C_0,A,0.164,0.254,0.164,0.254,5fch
  19,5fch_C_A-B-C_0,B,0.178,0.275,0.178,0.275,5fch
  20,3t64_F_A-B-C-F_0,A,0.110,0.346,0.110,0.346,3t64
  21,3t64_F_A-B-C-F_0,B,0.101,0.349,0.101,0.349,3t64
  22,4ojf_A_A-H-L_0,L,0.149,0.362,0.149,0.362,4ojf
  23,4ojf_A_A-H-L_0,H,0.142,0.339,0.142,0.339,4ojf
  24,4jwd_C_B-C_1,B,0.136,0.335,0.136,0.335,4jwd
  25,4kg9_B_A-B_0,A,0.102,0.360,0.102,0.360,4kg9
  26,3uf7_B_A-B-C_0,A,0.160,0.390,0.160,0.390,3uf7
  27,3q49_C_B-C_0,B,0.093,0.348,0.093,0.348,3q49
  28,3ufm_B_A-B_0,A,0.171,0.395,0.171,0.395,3ufm
  29,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.147,0.312,0.147,0.312,5fjz
  30,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.147,0.313,0.147,0.313,5fjz
  31,4v3i_B_A-B_0,A,0.106,0.355,0.106,0.355,4v3i
  32,5iag_D_A-B-D_0,A,0.140,0.328,0.140,0.328,5iag
  33,4j47_B_A-B_0,A,0.072,0.370,0.072,0.370,4j47
  34,5iz2_Z_A-B-Z_0,B,0.125,0.466,0.125,0.466,5iz2
  35,3q47_C_B-C_0,B,0.094,0.358,0.094,0.358,3q47
  36,4jok_D_B-D_1,B,0.077,0.355,0.077,0.355,4jok
