index,syst,chain,tm1,tm2,min,max,pdb
   0,1czy_D_A-B-C-D-E_0,A,0.149,0.367,0.149,0.367,1czy
   1,5t6p_E_C-D-E_1,D,0.184,0.401,0.184,0.401,5t6p
   2,5t6p_E_C-D-E_1,C,0.186,0.392,0.186,0.392,5t6p
   3,1v1t_S_A-B-S-T_0,B,0.144,0.365,0.144,0.365,1v1t
   4,3uf7_B_A-B-C_0,A,0.171,0.336,0.171,0.336,3uf7
   5,4pxm_D_A-B-C-D_0,B,0.153,0.292,0.153,0.292,4pxm
   6,3psl_D_B-D_1,B,0.188,0.300,0.188,0.300,3psl
   7,3o2b_D_C-D_1,C,0.106,0.370,0.106,0.370,3o2b
   8,4ynl_C_A-B-C-D_0,A,0.079,0.339,0.079,0.339,4ynl
   9,4ynl_C_A-B-C-D_0,B,0.070,0.367,0.070,0.367,4ynl
  10,4j09_B_A-B_0,A,0.165,0.286,0.165,0.286,4j09
  11,4j09_B_A-B_0,C,0.165,0.286,0.165,0.286,4j09
  12,1vwa_M_B-D-M-P_0,C,0.106,0.324,0.106,0.324,1vwa
  13,1vwa_M_B-D-M-P_0,B,0.105,0.346,0.105,0.346,1vwa
  14,2r9q_X_A-C-X_1,C,0.187,0.277,0.187,0.277,2r9q
  15,4z88_V_J-V_1,J,0.081,0.409,0.081,0.409,4z88
  16,5elq_P_A-P_0,A,0.093,0.343,0.093,0.343,5elq
  17,5nqv_G_A-C-E-G_0,C,0.160,0.367,0.160,0.367,5nqv
  18,3zs6_B_A-B_0,A,0.665,0.723,0.665,0.723,3zs6
  19,1b51_B_A-B_0,A,0.679,0.725,0.679,0.725,1b51
  20,3drk_B_A-B_0,A,1.000,1.000,1.000,1.000,3drk
  21,4quh_D_A-C-D-I-J_0,A,0.154,0.323,0.154,0.323,4quh
  22,4qbr_P_A-P_0,A,0.124,0.341,0.124,0.341,4qbr
  23,2hl3_C_A-B-C_0,A,0.075,0.286,0.075,0.286,2hl3
  24,2hl3_C_A-B-C_0,B,0.080,0.322,0.080,0.322,2hl3
