index,syst,chain,tm1,tm2,min,max,pdb
   0,3drh_B_A-B_0,A,0.372,0.089,0.089,0.372,3drh
   1,1b3g_B_A-B_0,A,0.398,0.098,0.098,0.398,1b3g
   2,4zhb_B_A-B_0,A,0.272,0.244,0.244,0.272,4zhb
   3,2v1r_R_A-Q-R_0,A,0.302,0.357,0.302,0.357,2v1r
   4,1sua_C_A-C_0,A,0.395,0.173,0.173,0.395,1sua
   5,5azf_C_A-C_0,A,0.398,0.327,0.327,0.398,5azf
   6,5v5p_A_A-B-C_0,C,0.264,0.066,0.066,0.264,5v5p
   7,4bjt_E_B-E_2,B,0.337,0.238,0.238,0.337,4bjt
   8,5lb7_C_A-B-C_0,A,0.277,0.180,0.180,0.277,5lb7
   9,5lb7_C_A-B-C_0,B,0.234,0.253,0.234,0.253,5lb7
  10,1obz_P_A-B-P_0,A,0.807,0.452,0.452,0.807,1obz
  11,3nfk_D_A-B-C-D_2,B,0.865,0.831,0.831,0.865,3nfk
  12,3uoa_L_B-C-L-M_0,B,0.320,0.114,0.114,0.320,3uoa
  13,3fwv_C_A-C_0,A,0.271,0.211,0.211,0.271,3fwv
  14,3oqs_B_A-B_0,A,0.253,0.083,0.083,0.253,3oqs
  15,3zvy_D_B-D_0,B,0.232,0.271,0.232,0.271,3zvy
  16,5m5v_G_A-E-G-I_0,A,0.350,0.123,0.123,0.350,5m5v
  17,6cdc_C_A-C_0,A,0.333,0.228,0.228,0.333,6cdc
  18,4k3p_E_A-B-E_0,A,0.432,0.149,0.149,0.432,4k3p
  19,4j45_B_A-B_0,A,0.292,0.299,0.292,0.299,4j45
  20,3nii_B_A-B_0,A,0.287,0.304,0.287,0.304,3nii
  21,6cd9_B_A-B_0,A,0.365,0.228,0.228,0.365,6cd9
  22,1d00_I_A-I_0,A,0.314,0.214,0.214,0.314,1d00
  23,1b9j_B_A-B_0,A,0.348,0.100,0.100,0.348,1b9j
  24,1oxn_F_E-F_7,E,0.284,0.273,0.273,0.284,1oxn
  25,2hl3_C_A-B-C_0,A,0.244,0.261,0.244,0.261,2hl3
  26,2hl3_C_A-B-C_0,B,0.275,0.307,0.275,0.307,2hl3
  27,3zin_C_A-B-C_0,A,0.249,0.078,0.078,0.249,3zin
  28,5eyz_E_A-E_0,A,0.861,0.812,0.812,0.861,5eyz
  29,4pxm_D_A-B-C-D_0,B,0.384,0.205,0.205,0.384,4pxm
  30,1b46_B_A-B_0,A,0.340,0.094,0.094,0.340,1b46
  31,4nnm_C_A-C_0,A,0.867,0.696,0.696,0.867,4nnm
  32,4ynl_C_A-B-C-D_0,A,0.253,0.269,0.253,0.269,4ynl
  33,4ynl_C_A-B-C-D_0,B,0.250,0.268,0.250,0.268,4ynl
  34,4c2c_B_A-B-C_0,A,0.678,0.154,0.154,0.678,4c2c
  35,1jwg_D_B-D_1,B,0.263,0.196,0.196,0.263,1jwg
  36,3lny_B_A-B_0,A,0.884,0.825,0.825,0.884,3lny
  37,4j44_B_A-B_0,A,0.292,0.299,0.292,0.299,4j44
  38,4faf_D_A-B-D_0,A,0.298,0.276,0.276,0.298,4faf
  39,4faf_D_A-B-D_0,B,0.299,0.277,0.277,0.299,4faf
  40,4apo_D_B-D_1,B,0.247,0.172,0.172,0.247,4apo
  41,1mfl_B_A-B_0,A,0.843,0.780,0.780,0.843,1mfl
  42,5kzt_C_A-C_0,A,0.435,0.105,0.105,0.435,5kzt
  43,1a30_C_A-B-C_0,A,0.290,0.269,0.269,0.290,1a30
  44,1a30_C_A-B-C_0,B,0.290,0.269,0.269,0.290,1a30
  45,2v3s_C_B-C_1,B,0.319,0.303,0.303,0.319,2v3s
  46,3vqg_B_A-B_0,A,0.811,0.827,0.811,0.827,3vqg
  47,2x6m_B_A-B_0,A,0.321,0.261,0.261,0.321,2x6m
  48,4j78_B_A-B_0,A,0.341,0.133,0.133,0.341,4j78
  49,3rte_B_A-B_0,G,0.435,0.121,0.121,0.435,3rte
  50,3rte_B_A-B_0,A,0.435,0.121,0.121,0.435,3rte
  51,1qka_B_A-B_0,A,0.340,0.094,0.094,0.340,1qka
  52,1oby_Q_A-B-P-Q_0,A,0.753,0.856,0.753,0.856,1oby
  53,1oby_Q_A-B-P-Q_0,B,0.743,0.853,0.743,0.853,1oby
  54,5fou_C_A-C_0,A,0.304,0.157,0.157,0.304,5fou
  55,5b74_D_A-B-D_0,B,0.357,0.272,0.272,0.357,5b74
  56,1ddv_B_A-B_0,A,0.377,0.338,0.338,0.377,1ddv
  57,6fqc_E_A-B-D-E_0,A,0.354,0.129,0.129,0.354,6fqc
  58,1a7c_B_A-B-C_0,A,0.357,0.128,0.128,0.357,1a7c
  59,2foo_B_A-B_0,A,0.442,0.313,0.313,0.442,2foo
  60,3cbl_B_A-B_0,A,0.382,0.138,0.138,0.382,3cbl
  61,5m5u_G_A-E-G_0,A,0.348,0.125,0.125,0.348,5m5u
  62,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.310,0.304,0.304,0.310,2y1l
  63,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.326,0.237,0.237,0.326,2y1l
  64,6fkp_G_C-G_2,C,0.225,0.294,0.225,0.294,6fkp
  65,3mqr_B_A-B_0,A,0.431,0.311,0.311,0.431,3mqr
  66,2h9m_D_C-D_1,C,0.336,0.146,0.146,0.336,2h9m
  67,2wa8_D_C-D_1,C,0.296,0.262,0.262,0.296,2wa8
  68,2y7l_B_A-B_0,A,0.350,0.142,0.142,0.350,2y7l
  69,2f5b_P_H-L-P_0,L,0.354,0.190,0.190,0.354,2f5b
  70,2f5b_P_H-L-P_0,H,0.361,0.182,0.182,0.361,2f5b
  71,4g69_B_A-B_0,A,0.876,0.795,0.795,0.876,4g69
  72,3nfl_G_B-C-F-G_5,C,0.846,0.829,0.829,0.846,3nfl
  73,3nik_X_D-X_2,D,0.271,0.281,0.271,0.281,3nik
  74,3nim_X_F-X_3,F,0.270,0.280,0.270,0.280,3nim
  75,4jwd_C_B-C_1,B,0.306,0.154,0.154,0.306,4jwd
  76,3m5n_F_B-F_1,B,0.356,0.201,0.201,0.356,3m5n
  77,4mvk_B_A-B_0,A,0.306,0.190,0.190,0.306,4mvk
  78,3dri_B_A-B_0,A,0.372,0.089,0.089,0.372,3dri
  79,5lyn_C_A-B-C-D_0,A,0.275,0.209,0.209,0.275,5lyn
  80,5lyn_C_A-B-C-D_0,B,0.272,0.209,0.209,0.272,5lyn
