index,syst,chain,tm1,tm2,min,max,pdb
   0,3q49_C_B-C_0,B,0.308,0.254,0.254,0.308,3q49
   1,2zgh_B_A-B_0,A,0.349,0.197,0.197,0.349,2zgh
   2,3g19_C_A-C_0,A,0.332,0.366,0.332,0.366,3g19
   3,5t6p_E_C-D-E_1,D,0.384,0.232,0.232,0.384,5t6p
   4,5t6p_E_C-D-E_1,C,0.371,0.207,0.207,0.371,5t6p
   5,5m5r_D_A-C-D_0,A,0.356,0.141,0.141,0.356,5m5r
   6,3nii_B_A-B_0,A,0.249,0.278,0.249,0.278,3nii
   7,3gv4_H_A-H_0,A,0.304,0.299,0.299,0.304,3gv4
   8,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.325,0.337,0.325,0.337,2y1l
   9,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.314,0.239,0.239,0.314,2y1l
  10,1lvm_C_A-C-E_0,A,0.327,0.173,0.173,0.327,1lvm
  11,5gu4_C_A-C_0,A,0.419,0.203,0.203,0.419,5gu4
  12,4z88_V_J-V_1,J,0.268,0.339,0.268,0.339,4z88
  13,5oj5_B_A-B_0,A,0.300,0.136,0.136,0.300,5oj5
  14,1str_M_B-D-M-P_0,C,0.399,0.344,0.344,0.399,1str
  15,1str_M_B-D-M-P_0,B,0.393,0.338,0.338,0.393,1str
  16,4jop_C_A-C_0,A,0.298,0.313,0.298,0.313,4jop
  17,2fop_B_A-B_0,A,0.378,0.288,0.288,0.378,2fop
  18,2v3s_C_B-C_1,B,1.000,1.000,1.000,1.000,2v3s
  19,4ezw_E_A-E_0,A,0.352,0.190,0.190,0.352,4ezw
  20,6cdg_B_A-B_0,A,0.440,0.300,0.300,0.440,6cdg
  21,4j8b_B_A-B_0,A,0.350,0.157,0.157,0.350,4j8b
  22,1mfl_B_A-B_0,A,0.308,0.310,0.308,0.310,1mfl
  23,1yth_I_A-B-I_0,A,0.325,0.319,0.319,0.325,1yth
  24,1yth_I_A-B-I_0,B,0.329,0.322,0.322,0.329,1yth
  25,4k76_G_C-G_2,C,0.306,0.323,0.306,0.323,4k76
  26,3dri_B_A-B_0,A,0.421,0.104,0.104,0.421,3dri
  27,4wnn_T_C-D-T_3,D,0.321,0.318,0.318,0.321,4wnn
  28,4wnn_T_C-D-T_3,C,0.307,0.342,0.307,0.342,4wnn
  29,3d9t_D_B-D_1,B,0.315,0.317,0.315,0.317,3d9t
  30,3nih_B_A-B_0,A,0.264,0.297,0.264,0.297,3nih
  31,3s9c_B_A-B_0,A,0.387,0.199,0.199,0.387,3s9c
  32,4kg9_B_A-B_0,A,0.378,0.287,0.287,0.378,4kg9
  33,2b6n_B_A-B_0,A,0.368,0.177,0.177,0.368,2b6n
  34,1sts_P_B-D-M-P_0,D,0.396,0.344,0.344,0.396,1sts
  35,1sts_P_B-D-M-P_0,A,0.399,0.340,0.340,0.399,1sts
  36,4j77_D_B-D_1,B,0.325,0.147,0.147,0.325,4j77
  37,3oqs_B_A-B_0,A,0.308,0.106,0.106,0.308,3oqs
  38,5fch_C_A-B-C_0,A,0.473,0.158,0.158,0.473,5fch
