index,syst,chain,tm1,tm2,min,max,pdb
   0,2d5w_C_A-C_0,A,0.863,0.747,0.747,0.863,2d5w
   1,3jrv_D_B-D_1,B,0.133,0.352,0.133,0.352,3jrv
   2,3mqr_B_A-B_0,A,0.132,0.359,0.132,0.359,3mqr
   3,3qhw_L_A-B-J-L_0,B,0.206,0.337,0.206,0.337,3qhw
   4,3sjk_B_A-B_0,A,0.143,0.313,0.143,0.313,3sjk
   5,3q47_C_B-C_0,B,0.124,0.359,0.124,0.359,3q47
   6,3g19_C_A-C_0,A,0.109,0.446,0.109,0.446,3g19
   7,3woo_C_A-B-C-D_0,A,0.303,0.241,0.241,0.303,3woo
   8,4apo_D_B-D_1,B,0.120,0.310,0.120,0.310,4apo
   9,3nfk_D_A-B-C-D_2,B,0.103,0.341,0.103,0.341,3nfk
  10,5tu5_B_A-B_0,A,0.213,0.320,0.213,0.320,5tu5
  11,4j45_B_A-B_0,A,0.098,0.356,0.098,0.356,4j45
  12,4jor_D_B-D_1,B,0.094,0.340,0.094,0.340,4jor
  13,3gv4_H_A-H_0,A,0.096,0.344,0.096,0.344,3gv4
  14,2hpl_B_A-B_0,A,0.128,0.426,0.128,0.426,2hpl
  15,2r9q_X_A-C-X_1,C,0.224,0.308,0.224,0.308,2r9q
  16,3s9c_B_A-B_0,A,0.182,0.327,0.182,0.327,3s9c
  17,5fou_C_A-C_0,A,0.179,0.324,0.179,0.324,5fou
  18,3shb_B_A-B_0,A,0.081,0.330,0.081,0.330,3shb
  19,1uop_B_A-B_0,A,0.345,0.272,0.272,0.345,1uop
  20,3wor_C_A-B-C-D_0,A,0.301,0.240,0.240,0.301,3wor
  21,4pz3_C_A-B-C_0,B,0.177,0.430,0.177,0.430,4pz3
  22,4quh_D_A-C-D-I-J_0,A,0.203,0.372,0.203,0.372,4quh
  23,3rt9_B_A-B_0,F,0.233,0.242,0.233,0.242,3rt9
  24,3rt9_B_A-B_0,A,0.233,0.242,0.233,0.242,3rt9
  25,1evh_B_A-B_0,A,0.112,0.328,0.112,0.328,1evh
  26,6cd8_C_A-C_0,A,0.153,0.363,0.153,0.363,6cd8
  27,4joh_D_A-D_0,A,0.100,0.377,0.100,0.377,4joh
  28,5kzt_C_A-C_0,A,0.899,0.913,0.899,0.913,5kzt
  29,4k76_G_C-G_2,C,0.096,0.360,0.096,0.360,4k76
  30,4bjt_E_B-E_2,B,0.128,0.337,0.128,0.337,4bjt
  31,2foo_B_A-B_0,A,0.132,0.356,0.132,0.356,2foo
  32,5m5v_G_A-E-G-I_0,A,0.221,0.282,0.221,0.282,5m5v
  33,5lyn_C_A-B-C-D_0,A,0.124,0.350,0.124,0.350,5lyn
  34,5lyn_C_A-B-C-D_0,B,0.130,0.332,0.130,0.332,5lyn
  35,5yba_B_A-B-C-D_0,A,0.143,0.318,0.143,0.318,5yba
  36,5t6p_E_C-D-E_1,D,0.186,0.378,0.186,0.378,5t6p
  37,5t6p_E_C-D-E_1,C,0.190,0.362,0.190,0.362,5t6p
  38,1v1t_S_A-B-S-T_0,B,0.152,0.356,0.152,0.356,1v1t
  39,3ou3_C_A-B-C_0,A,0.104,0.344,0.104,0.344,3ou3
  40,3ou3_C_A-B-C_0,B,0.104,0.344,0.104,0.344,3ou3
  41,5sxm_D_B-D_1,B,0.224,0.328,0.224,0.328,5sxm
  42,2x6m_B_A-B_0,A,0.139,0.403,0.139,0.403,2x6m
  43,2h59_D_A-B-D-E_0,A,0.186,0.325,0.186,0.325,2h59
  44,2h59_D_A-B-D-E_0,B,0.192,0.335,0.192,0.335,2h59
  45,1d0a_G_A-B-C-G-H-I_0,A,0.147,0.352,0.147,0.352,1d0a
  46,3woq_C_A-B-C-D_0,A,0.302,0.241,0.241,0.302,3woq
  47,1olc_B_A-B_0,A,0.999,0.999,0.999,0.999,1olc
  48,3drh_B_A-B_0,A,0.725,0.679,0.679,0.725,3drh
  49,4k3q_E_A-B-E_0,A,0.186,0.242,0.186,0.242,4k3q
  50,5nqv_G_A-C-E-G_0,C,0.164,0.337,0.164,0.337,5nqv
  51,2f5b_P_H-L-P_0,L,0.160,0.301,0.160,0.301,2f5b
  52,2f5b_P_H-L-P_0,H,0.166,0.309,0.166,0.309,2f5b
  53,1b5i_B_A-B_0,A,1.000,1.000,1.000,1.000,1b5i
  54,4mvk_B_A-B_0,A,0.165,0.370,0.165,0.370,4mvk
  55,4o4y_A_A-H-L_0,L,0.162,0.294,0.162,0.294,4o4y
