index,syst,chain,tm1,tm2,min,max,pdb
   0,1ddv_B_A-B_0,A,0.121,0.364,0.121,0.364,1ddv
   1,3s9c_B_A-B_0,A,0.148,0.232,0.148,0.232,3s9c
   2,3drj_B_A-B_0,A,0.272,0.220,0.220,0.272,3drj
   3,1b58_B_A-B_0,A,0.249,0.214,0.214,0.249,1b58
   4,1olc_B_A-B_0,A,0.248,0.213,0.213,0.248,1olc
   5,3nim_X_F-X_3,F,0.078,0.270,0.078,0.270,3nim
   6,3emh_B_A-B_0,A,0.216,0.278,0.216,0.278,3emh
   7,1obz_P_A-B-P_0,A,0.138,0.279,0.138,0.279,1obz
   8,4j44_B_A-B_0,A,0.098,0.321,0.098,0.321,4j44
   9,3cvl_B_A-B_0,A,0.303,0.401,0.303,0.401,3cvl
  10,3wor_C_A-B-C-D_0,A,0.266,0.186,0.186,0.266,3wor
  11,1awr_J_D-J_5,D,0.150,0.299,0.150,0.299,1awr
  12,3cww_E_A-B-D-E_0,A,0.302,0.158,0.158,0.302,3cww
  13,2hpl_B_A-B_0,A,0.119,0.411,0.119,0.411,2hpl
  14,5fgb_G_B-E-G_1,E,0.160,0.260,0.160,0.260,5fgb
  15,5fgb_G_B-E-G_1,B,0.150,0.251,0.150,0.251,5fgb
  16,4pyw_B_A-B-C_0,A,0.167,0.187,0.167,0.187,4pyw
  17,4q6f_H_C-H_2,C,0.059,0.268,0.059,0.268,4q6f
  18,2zgh_B_A-B_0,A,0.154,0.235,0.154,0.235,2zgh
  19,1sts_P_B-D-M-P_0,D,0.114,0.298,0.114,0.298,1sts
  20,1sts_P_B-D-M-P_0,A,0.114,0.273,0.114,0.273,1sts
  21,3cbl_B_A-B_0,A,0.248,0.279,0.248,0.279,3cbl
  22,1hsb_C_A-B-C_0,A,0.172,0.236,0.172,0.236,1hsb
  23,4j47_B_A-B_0,A,0.096,0.324,0.096,0.324,4j47
  24,5tu5_B_A-B_0,A,0.209,0.270,0.209,0.270,5tu5
  25,4j09_B_A-B_0,A,0.232,0.324,0.232,0.324,4j09
  26,4j09_B_A-B_0,C,0.232,0.324,0.232,0.324,4j09
  27,3ziq_B_A-B-C_0,A,0.933,0.923,0.923,0.933,3ziq
  28,5m5t_E_A-E-G-I_0,A,0.241,0.268,0.241,0.268,5m5t
  29,2hl3_C_A-B-C_0,A,0.109,0.401,0.109,0.401,2hl3
  30,2hl3_C_A-B-C_0,B,0.087,0.314,0.087,0.314,2hl3
  31,4k3p_E_A-B-E_0,A,0.192,0.215,0.192,0.215,4k3p
  32,1str_M_B-D-M-P_0,C,0.115,0.276,0.115,0.276,1str
  33,1str_M_B-D-M-P_0,B,0.112,0.273,0.112,0.273,1str
  34,1evh_B_A-B_0,A,0.122,0.352,0.122,0.352,1evh
  35,4k3o_E_A-B-E_0,A,0.195,0.219,0.195,0.219,4k3o
  36,4z0u_D_A-D_0,A,0.156,0.344,0.156,0.344,4z0u
  37,5ovc_B_A-B_0,A,0.085,0.247,0.085,0.247,5ovc
  38,4gyo_C_A-B-C-D_0,B,0.378,0.424,0.378,0.424,4gyo
  39,3drk_B_A-B_0,A,0.267,0.217,0.217,0.267,3drk
  40,3nij_B_A-B_0,A,0.074,0.270,0.074,0.270,3nij
  41,4ezq_B_A-B_1,A,0.161,0.279,0.161,0.279,4ezq
  42,3v43_Q_A-Q_0,A,0.118,0.302,0.118,0.302,3v43
  43,3uf7_B_A-B-C_0,A,0.172,0.263,0.172,0.263,3uf7
  44,4ba3_B_A-B_0,A,0.928,0.916,0.916,0.928,4ba3
  45,4iim_E_A-B-C-D-E_0,B,0.058,0.273,0.058,0.273,4iim
  46,4xal_B_A-B_0,A,0.094,0.361,0.094,0.361,4xal
  47,2foo_B_A-B_0,A,0.107,0.258,0.107,0.258,2foo
  48,3zs6_B_A-B_0,A,0.232,0.204,0.204,0.232,3zs6
  49,1gyb_E_A-B-E-F_0,A,0.104,0.293,0.104,0.293,1gyb
  50,1gyb_E_A-B-E-F_0,B,0.104,0.277,0.104,0.277,1gyb
  51,4jor_D_B-D_1,B,0.087,0.268,0.087,0.268,4jor
  52,4ojf_A_A-H-L_0,L,0.157,0.248,0.157,0.248,4ojf
  53,4ojf_A_A-H-L_0,H,0.156,0.246,0.156,0.246,4ojf
  54,1svz_C_A-B-C-D_0,A,0.189,0.290,0.189,0.290,1svz
  55,1b05_B_A-B_0,A,0.257,0.221,0.221,0.257,1b05
  56,2dze_X_A-B-X_0,A,0.119,0.233,0.119,0.233,2dze
  57,2dze_X_A-B-X_0,B,0.127,0.260,0.127,0.260,2dze
  58,3fwv_C_A-C_0,A,0.228,0.567,0.228,0.567,3fwv
  59,5huw_B_A-B-C_0,C,0.931,0.927,0.927,0.931,5huw
  60,1nvs_B_A-B_0,A,0.217,0.301,0.217,0.301,1nvs
  61,3sxu_C_A-B-C_0,A,0.164,0.374,0.164,0.374,3sxu
  62,3rte_B_A-B_0,G,0.285,0.256,0.256,0.285,3rte
  63,3rte_B_A-B_0,A,0.285,0.256,0.256,0.285,3rte
  64,4o51_N_A-B-N_1,A,0.155,0.247,0.155,0.247,4o51
  65,4o51_N_A-B-N_1,B,0.156,0.255,0.156,0.255,4o51
  66,5lyn_C_A-B-C-D_0,A,0.248,0.607,0.248,0.607,5lyn
  67,5lyn_C_A-B-C-D_0,B,0.250,0.615,0.250,0.615,5lyn
  68,2r9q_X_A-C-X_1,C,0.179,0.212,0.179,0.212,2r9q
  69,5xup_D_A-B-C-D_0,B,0.262,0.488,0.262,0.488,5xup
  70,6eja_B_A-B_0,A,0.301,0.206,0.206,0.301,6eja
  71,4x2h_C_A-B-C_0,A,0.132,0.241,0.132,0.241,4x2h
  72,4que_E_A-C-D-E-H-J_0,A,0.185,0.294,0.185,0.294,4que
  73,5m5u_G_A-E-G_0,A,0.239,0.267,0.239,0.267,5m5u
  74,4k72_C_A-C_0,A,0.078,0.262,0.078,0.262,4k72
  75,4quh_D_A-C-D-I-J_0,A,0.186,0.291,0.186,0.291,4quh
  76,4apo_D_B-D_1,B,0.264,0.594,0.264,0.594,4apo
  77,3thk_C_A-C_0,A,0.068,0.274,0.068,0.274,3thk
  78,1ok7_C_A-B-C_0,B,0.191,0.211,0.191,0.211,1ok7
  79,5v5p_A_A-B-C_0,C,0.935,0.931,0.931,0.935,5v5p
  80,2zjd_D_C-D_5,C,0.127,0.308,0.127,0.308,2zjd
  81,5iz2_Z_A-B-Z_0,B,0.141,0.368,0.141,0.368,5iz2
  82,4sga_P_E-P_0,E,0.143,0.252,0.143,0.252,4sga
  83,3l81_B_A-B_0,A,0.183,0.275,0.183,0.275,3l81
  84,2b6n_B_A-B_0,A,0.235,0.322,0.235,0.322,2b6n
  85,3agy_C_A-B-C-D-F_0,A,0.143,0.275,0.143,0.275,3agy
  86,4hxj_C_A-C_0,A,0.071,0.259,0.071,0.259,4hxj
  87,4bjt_E_B-E_2,B,0.175,0.393,0.175,0.393,4bjt
  88,3soq_Z_A-Z_0,A,0.204,0.260,0.204,0.260,3soq
  89,1fch_C_A-B-C-D_2,F,0.300,0.394,0.300,0.394,1fch
  90,1fch_C_A-B-C-D_2,A,0.299,0.385,0.299,0.385,1fch
  91,3qhw_L_A-B-J-L_0,B,0.193,0.277,0.193,0.277,3qhw
  92,4ouc_B_A-B_0,A,0.225,0.269,0.225,0.269,4ouc
  93,3rc4_B_A-B_0,A,0.170,0.290,0.170,0.290,3rc4
  94,4k76_G_C-G_2,C,0.086,0.262,0.086,0.262,4k76
  95,1kyf_P_A-P_0,A,0.172,0.252,0.172,0.252,1kyf
  96,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.111,0.276,0.111,0.276,1kl5
  97,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.114,0.260,0.114,0.260,1kl5
  98,4m38_E_A-B-E-F_0,A,0.197,0.230,0.197,0.230,4m38
  99,3gq1_C_A-C_0,A,0.095,0.339,0.095,0.339,3gq1
 100,3o2b_D_C-D_1,C,0.097,0.284,0.097,0.284,3o2b
 101,4qbr_P_A-P_0,A,0.126,0.301,0.126,0.301,4qbr
 102,2i3h_C_A-C_0,A,0.113,0.360,0.113,0.360,2i3h
 103,5oj5_B_A-B_0,A,0.208,0.261,0.208,0.261,5oj5
 104,3ou3_C_A-B-C_0,A,0.100,0.287,0.100,0.287,3ou3
 105,3ou3_C_A-B-C_0,B,0.102,0.296,0.102,0.296,3ou3
 106,5m5v_G_A-E-G-I_0,A,0.239,0.267,0.239,0.267,5m5v
 107,4j79_B_A-B_0,A,0.227,0.291,0.227,0.291,4j79
 108,2ql9_G_A-B-C-D-E-F-G_0,D,0.090,0.284,0.090,0.284,2ql9
 109,2ql9_G_A-B-C-D-E-F-G_0,A,0.148,0.340,0.148,0.340,2ql9
 110,2ql9_G_A-B-C-D-E-F-G_0,C,0.147,0.337,0.147,0.337,2ql9
 111,2ql9_G_A-B-C-D-E-F-G_0,B,0.087,0.286,0.087,0.286,2ql9
 112,5gu4_C_A-C_0,A,0.175,0.253,0.175,0.253,5gu4
 113,1b32_B_A-B_0,A,0.249,0.214,0.214,0.249,1b32
 114,2bgr_Y_A-B-Y-Z_0,A,0.312,0.203,0.203,0.312,2bgr
 115,5xcr_F_D-E-F_1,D,0.138,0.273,0.138,0.273,5xcr
 116,5xcr_F_D-E-F_1,E,0.149,0.297,0.149,0.297,5xcr
 117,4wvh_C_A-C_0,A,0.274,0.236,0.236,0.274,4wvh
 118,4rxh_A_A-B-C_0,B,1.000,1.000,1.000,1.000,4rxh
 119,4j77_D_B-D_1,B,0.223,0.287,0.223,0.287,4j77
 120,1b9j_B_A-B_0,A,0.249,0.214,0.214,0.249,1b9j
 121,1w9e_S_A-B-R-S-T_0,B,0.141,0.289,0.141,0.289,1w9e
 122,5jiu_C_A-B-C-D_0,A,0.179,0.302,0.179,0.302,5jiu
 123,6cdc_C_A-C_0,A,0.111,0.236,0.111,0.236,6cdc
 124,5iag_D_A-B-D_0,A,0.183,0.280,0.183,0.280,5iag
 125,5kzt_C_A-C_0,A,0.232,0.203,0.203,0.232,5kzt
 126,5oav_B_A-B_0,A,0.066,0.283,0.066,0.283,5oav
 127,2v3s_C_B-C_1,B,0.107,0.302,0.107,0.302,2v3s
 128,5grg_D_A-B-C-D_0,A,0.172,0.230,0.172,0.230,5grg
 129,3gv4_H_A-H_0,A,0.103,0.347,0.103,0.347,3gv4
 130,4jop_C_A-C_0,A,0.080,0.256,0.080,0.256,4jop
 131,4nnm_C_A-C_0,A,0.094,0.253,0.094,0.253,4nnm
 132,4ztd_F_A-B-C-D-E-F_0,C,0.156,0.230,0.156,0.230,4ztd
 133,4pz3_C_A-B-C_0,B,0.145,0.302,0.145,0.302,4pz3
 134,3uoa_L_B-C-L-M_0,B,0.195,0.218,0.195,0.218,3uoa
 135,4b3b_C_A-C_0,A,0.192,0.316,0.192,0.316,4b3b
 136,4f75_C_A-B-C-D_0,A,0.095,0.265,0.095,0.265,4f75
 137,4f75_C_A-B-C-D_0,B,0.100,0.297,0.100,0.297,4f75
 138,5d9g_C_A-C_0,A,0.162,0.238,0.162,0.238,5d9g
 139,6fkp_G_C-G_2,C,0.061,0.263,0.061,0.263,6fkp
 140,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.175,0.250,0.175,0.250,5fjz
 141,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.169,0.242,0.169,0.242,5fjz
 142,2fib_B_A-B_0,A,0.216,0.315,0.216,0.315,2fib
 143,1ghb_P_E-F-G-P_0,F,0.125,0.298,0.125,0.298,1ghb
 144,1ghb_P_E-F-G-P_0,G,0.103,0.324,0.103,0.324,1ghb
 145,1ghb_P_E-F-G-P_0,C,0.103,0.324,0.103,0.324,1ghb
 146,1ghb_P_E-F-G-P_0,B,0.125,0.298,0.125,0.298,1ghb
 147,4k3q_E_A-B-E_0,A,0.195,0.219,0.195,0.219,4k3q
 148,2f5b_P_H-L-P_0,L,0.164,0.264,0.164,0.264,2f5b
 149,2f5b_P_H-L-P_0,H,0.169,0.258,0.169,0.258,2f5b
 150,2y7l_B_A-B_0,A,0.233,0.292,0.233,0.292,2y7l
 151,3fp4_Q_A-Q_0,A,0.353,0.319,0.319,0.353,3fp4
 152,4mz6_A_A-C-E_0,E,0.927,0.917,0.917,0.927,4mz6
 153,4v3i_B_A-B_0,A,0.189,0.426,0.189,0.426,4v3i
 154,2wa8_D_C-D_1,C,0.124,0.377,0.124,0.377,2wa8
 155,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.257,0.299,0.257,0.299,4tr9
 156,5jjm_G_A-G-M_0,A,0.186,0.275,0.186,0.275,5jjm
 157,5m5r_D_A-C-D_0,A,0.238,0.265,0.238,0.265,5m5r
 158,5uw3_E_A-E_0,A,0.329,0.225,0.225,0.329,5uw3
 159,2ipu_P_G-K-P_1,G,0.161,0.260,0.161,0.260,2ipu
 160,2ipu_P_G-K-P_1,K,0.161,0.261,0.161,0.261,2ipu
 161,3t70_F_A-B-C-F_0,A,0.110,0.243,0.110,0.243,3t70
 162,3t70_F_A-B-C-F_0,B,0.121,0.275,0.121,0.275,3t70
 163,5y53_F_C-E-F_1,C,0.150,0.378,0.150,0.378,5y53
 164,5y53_F_C-E-F_1,E,0.148,0.372,0.148,0.372,5y53
 165,3hds_E_A-D-E_0,D,0.111,0.345,0.111,0.345,3hds
 166,3hds_E_A-D-E_0,A,0.112,0.320,0.112,0.320,3hds
 167,3shb_B_A-B_0,A,0.085,0.323,0.085,0.323,3shb
 168,3tcg_I_A-I_0,A,0.231,0.199,0.199,0.231,3tcg
 169,3zin_C_A-B-C_0,A,0.932,0.922,0.922,0.932,3zin
 170,3d9t_D_B-D_1,B,0.112,0.339,0.112,0.339,3d9t
 171,3t64_F_A-B-C-F_0,A,0.109,0.236,0.109,0.236,3t64
 172,3t64_F_A-B-C-F_0,B,0.121,0.277,0.121,0.277,3t64
 173,3woo_C_A-B-C-D_0,A,0.266,0.186,0.186,0.266,3woo
 174,3rc5_B_A-B_0,A,0.179,0.304,0.179,0.304,3rc5
 175,1rzx_B_A-B_0,A,0.087,0.245,0.087,0.245,1rzx
 176,1a30_C_A-B-C_0,A,0.102,0.290,0.102,0.290,1a30
 177,1a30_C_A-B-C_0,B,0.100,0.311,0.100,0.311,1a30
 178,4g69_B_A-B_0,A,0.093,0.296,0.093,0.296,4g69
 179,4wnn_T_C-D-T_3,D,0.115,0.366,0.115,0.366,4wnn
 180,4wnn_T_C-D-T_3,C,0.082,0.374,0.082,0.374,4wnn
 181,4j78_B_A-B_0,A,0.227,0.291,0.227,0.291,4j78
 182,1elr_B_A-B_0,A,0.233,0.593,0.233,0.593,1elr
 183,1kyd_P_A-P_0,A,0.177,0.262,0.177,0.262,1kyd
 184,4kg9_B_A-B_0,A,0.110,0.261,0.110,0.261,4kg9
 185,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.112,0.270,0.112,0.270,1kl3
 186,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.111,0.267,0.111,0.267,1kl3
 187,3rta_B_A-B_0,F,0.286,0.256,0.256,0.286,3rta
 188,3rta_B_A-B_0,A,0.286,0.256,0.256,0.286,3rta
 189,3lca_Q_A-Q_0,A,0.375,0.339,0.339,0.375,3lca
 190,2h9m_D_C-D_1,C,0.212,0.270,0.212,0.270,2h9m
 191,4dgb_B_A-B_0,A,0.147,0.309,0.147,0.309,4dgb
 192,4jok_D_B-D_1,B,0.079,0.255,0.079,0.255,4jok
 193,5fox_C_A-C_0,A,0.187,0.303,0.187,0.303,5fox
 194,4r5i_B_A-B_0,A,0.159,0.271,0.159,0.271,4r5i
 195,2orz_B_A-B_0,A,0.208,0.258,0.208,0.258,2orz
 196,5ovv_B_A-B_0,A,0.092,0.260,0.092,0.260,5ovv
 197,4o4y_A_A-H-L_0,L,0.151,0.235,0.151,0.235,4o4y
 198,4o4y_A_A-H-L_0,H,0.156,0.248,0.156,0.248,4o4y
 199,3m5n_F_B-F_1,B,0.182,0.304,0.182,0.304,3m5n
 200,3nfk_D_A-B-C-D_2,B,0.082,0.253,0.082,0.253,3nfk
 201,6cwp_F_A-B-F_0,A,0.191,0.247,0.191,0.247,6cwp
 202,6cwp_F_A-B-F_0,B,0.195,0.245,0.195,0.245,6cwp
 203,4cic_Q_A-B-Q_0,A,0.119,0.288,0.119,0.288,4cic
 204,4cic_Q_A-B-Q_0,B,0.119,0.290,0.119,0.290,4cic
 205,5fou_C_A-C_0,A,0.191,0.310,0.191,0.310,5fou
 206,1jwg_D_B-D_1,B,0.243,0.615,0.243,0.615,1jwg
 207,3srj_D_A-C-D_0,A,0.179,0.228,0.179,0.228,3srj
 208,2v5f_X_A-X_0,A,0.180,0.549,0.180,0.549,2v5f
 209,3oqs_B_A-B_0,A,0.931,0.922,0.922,0.931,3oqs
 210,4j86_C_A-C_0,A,0.222,0.284,0.222,0.284,4j86
 211,1v1t_S_A-B-S-T_0,B,0.143,0.290,0.143,0.290,1v1t
 212,1s2k_B_A-B_0,A,0.144,0.242,0.144,0.242,1s2k
 213,3nih_B_A-B_0,A,0.078,0.273,0.078,0.273,3nih
 214,3njj_B_A-B_0,A,0.126,0.337,0.126,0.337,3njj
 215,1czy_D_A-B-C-D-E_0,A,0.151,0.290,0.151,0.290,1czy
 216,3dri_B_A-B_0,A,0.268,0.218,0.218,0.268,3dri
 217,1e4x_P_H-L-P_0,L,0.164,0.263,0.164,0.263,1e4x
 218,1e4x_P_H-L-P_0,H,0.150,0.238,0.150,0.238,1e4x
 219,3drh_B_A-B_0,A,0.261,0.212,0.212,0.261,3drh
 220,4ezw_E_A-E_0,A,0.164,0.286,0.164,0.286,4ezw
 221,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.251,0.289,0.251,0.289,2ot0
 222,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.086,0.287,0.086,0.287,2y1l
 223,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.148,0.333,0.148,0.333,2y1l
 224,4zhb_B_A-B_0,A,0.173,0.497,0.173,0.497,4zhb
 225,4odk_C_A-B-C_0,A,0.134,0.294,0.134,0.294,4odk
 226,6hpg_c_C-c_2,C,0.226,0.624,0.226,0.624,6hpg
 227,6cd9_B_A-B_0,A,0.118,0.230,0.118,0.230,6cd9
 228,4c2c_B_A-B-C_0,A,0.221,0.216,0.216,0.221,4c2c
 229,1h27_E_A-B-E_0,B,0.175,0.251,0.175,0.251,1h27
 230,2ce9_X_A-B-X_0,A,0.210,0.247,0.210,0.247,2ce9
 231,1sem_C_A-B-C-D_0,A,0.062,0.269,0.062,0.269,1sem
 232,5k4f_C_A-C_0,A,0.086,0.267,0.086,0.267,5k4f
 233,2foj_B_A-B_0,A,0.110,0.262,0.110,0.262,2foj
 234,1yti_I_A-I_0,A,0.098,0.288,0.098,0.288,1yti
 235,1yti_I_A-I_0,B,0.098,0.288,0.098,0.288,1yti
 236,3hda_Z_P-Z_0,P,0.347,0.372,0.347,0.372,3hda
 237,3g19_C_A-C_0,A,0.095,0.346,0.095,0.346,3g19
 238,2g30_S_A-P-S_0,A,0.188,0.293,0.188,0.293,2g30
 239,1a7c_B_A-B-C_0,A,0.168,0.185,0.168,0.185,1a7c
 240,5elq_P_A-P_0,A,0.084,0.238,0.084,0.238,5elq
 241,5wir_D_A-B-C-D_0,B,0.266,0.479,0.266,0.479,5wir
 242,2d5w_C_A-C_0,A,0.238,0.182,0.182,0.238,2d5w
 243,5wun_C_A-B-C_0,A,0.928,0.917,0.917,0.928,5wun
 244,2nph_S_A-B-S-T_0,A,0.101,0.289,0.101,0.289,2nph
 245,2nph_S_A-B-S-T_0,B,0.102,0.292,0.102,0.292,2nph
 246,4ikn_B_A-B_0,A,0.184,0.276,0.184,0.276,4ikn
 247,3nfl_G_B-C-F-G_5,C,0.083,0.270,0.083,0.270,3nfl
 248,5e6o_E_B-E_1,B,0.125,0.312,0.125,0.312,5e6o
 249,3lny_B_A-B_0,A,0.093,0.279,0.093,0.279,3lny
 250,4k3m_E_A-B-E_0,A,0.195,0.216,0.195,0.216,4k3m
 251,3ivq_D_B-D_1,B,0.117,0.263,0.117,0.263,3ivq
 252,5iza_B_A-B_0,A,0.615,0.743,0.615,0.743,5iza
 253,5yba_B_A-B-C-D_0,A,0.153,0.299,0.153,0.299,5yba
 254,2x6m_B_A-B_0,A,0.097,0.251,0.097,0.251,2x6m
 255,3q49_C_B-C_0,B,0.251,0.645,0.251,0.645,3q49
 256,2v17_A_A-H-L_0,L,0.151,0.244,0.151,0.244,2v17
 257,2v17_A_A-H-L_0,H,0.154,0.244,0.154,0.244,2v17
 258,4j84_D_B-D_1,B,0.225,0.292,0.225,0.292,4j84
 259,4ny3_C_A-C_0,A,0.233,0.301,0.233,0.301,4ny3
 260,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.216,0.285,0.216,0.285,2z9i
 261,6cdg_B_A-B_0,A,0.117,0.235,0.117,0.235,6cdg
 262,3ufm_B_A-B_0,A,0.158,0.246,0.158,0.246,3ufm
 263,5huy_B_A-B-C_0,C,0.932,0.928,0.928,0.932,5huy
 264,5t6p_E_C-D-E_1,D,0.165,0.272,0.165,0.272,5t6p
 265,5t6p_E_C-D-E_1,C,0.154,0.243,0.154,0.243,5t6p
 266,6exj_B_A-B_0,A,0.082,0.246,0.082,0.246,6exj
 267,1uop_B_A-B_0,A,0.323,0.217,0.217,0.323,1uop
 268,1tw6_C_A-B-C-D_2,F,0.114,0.346,0.114,0.346,1tw6
 269,1tw6_C_A-B-C-D_2,A,0.109,0.361,0.109,0.361,1tw6
 270,1qka_B_A-B_0,A,0.249,0.214,0.214,0.249,1qka
 271,4jwd_C_B-C_1,B,0.166,0.290,0.166,0.290,4jwd
 272,6ew9_P_A-B-C-P-Q-R_0,A,0.209,0.263,0.209,0.263,6ew9
 273,5lb7_C_A-B-C_0,A,0.270,0.589,0.270,0.589,5lb7
 274,5lb7_C_A-B-C_0,B,0.138,0.507,0.138,0.507,5lb7
 275,4fys_C_A-C_0,A,0.446,0.236,0.236,0.446,4fys
 276,1u9l_C_B-C_1,B,0.100,0.448,0.100,0.448,1u9l
 277,3ny3_B_A-B_0,A,0.077,0.288,0.077,0.288,3ny3
 278,4jmy_E_A-C-E_0,A,0.162,0.297,0.162,0.297,4jmy
 279,3woq_C_A-B-C-D_0,A,0.265,0.185,0.185,0.265,3woq
 280,5b74_D_A-B-D_0,B,0.175,0.442,0.175,0.442,5b74
 281,4ezy_B_A-B_2,A,0.162,0.278,0.162,0.278,4ezy
 282,1b3g_B_A-B_0,A,0.249,0.214,0.214,0.249,1b3g
 283,3sjk_B_A-B_0,A,0.134,0.252,0.134,0.252,3sjk
 284,1b4z_B_A-B_0,A,0.249,0.214,0.214,0.249,1b4z
 285,5nqv_G_A-C-E-G_0,C,0.236,0.451,0.236,0.451,5nqv
 286,3mmg_C_A-C_0,A,0.153,0.247,0.153,0.247,3mmg
 287,1b40_B_A-B_0,A,0.250,0.215,0.215,0.250,1b40
 288,1lvm_C_A-C-E_0,A,0.158,0.249,0.158,0.249,1lvm
 289,4faf_D_A-B-D_0,A,0.100,0.298,0.100,0.298,4faf
 290,4faf_D_A-B-D_0,B,0.102,0.302,0.102,0.302,4faf
 291,4fii_B_A-B_0,A,0.219,0.285,0.219,0.285,4fii
 292,2h59_D_A-B-D-E_0,A,0.176,0.256,0.176,0.256,2h59
 293,2h59_D_A-B-D-E_0,B,0.175,0.255,0.175,0.255,2h59
 294,4z8j_B_A-B_0,A,0.084,0.247,0.084,0.247,4z8j
 295,4j81_C_B-C_1,B,0.200,0.256,0.200,0.256,4j81
 296,1oxn_F_E-F_7,E,0.120,0.336,0.120,0.336,1oxn
 297,5azf_C_A-C_0,A,0.121,0.303,0.121,0.303,5azf
 298,4j82_C_A-C_0,A,0.226,0.290,0.226,0.290,4j82
 299,1b3l_B_A-B_0,A,0.247,0.212,0.212,0.247,1b3l
 300,5eyz_E_A-E_0,A,0.086,0.267,0.086,0.267,5eyz
 301,4od7_E_C-E_2,C,0.170,0.312,0.170,0.312,4od7
 302,3ifo_P_H-L-P_0,L,0.155,0.244,0.155,0.244,3ifo
 303,3ifo_P_H-L-P_0,H,0.156,0.254,0.156,0.254,3ifo
 304,4ezz_B_A-B_1,A,0.162,0.279,0.162,0.279,4ezz
 305,4es0_C_A-C_0,A,0.214,0.273,0.214,0.273,4es0
 306,4pxm_D_A-B-C-D_0,B,0.155,0.251,0.155,0.251,4pxm
 307,5fch_C_A-B-C_0,A,0.181,0.188,0.181,0.188,5fch
 308,5fch_C_A-B-C_0,B,0.199,0.208,0.199,0.208,5fch
 309,4ezn_C_A-B-C-D_0,A,0.162,0.284,0.162,0.284,4ezn
 310,1mfl_B_A-B_0,A,0.084,0.259,0.084,0.259,1mfl
