index,syst,chain,tm1,tm2,min,max,pdb
   0,2x6m_B_A-B_0,A,0.219,0.335,0.219,0.335,2x6m
   1,1sts_P_B-D-M-P_0,D,0.212,0.338,0.212,0.338,1sts
   2,1sts_P_B-D-M-P_0,A,0.220,0.344,0.220,0.344,1sts
   3,4dgb_B_A-B_0,A,0.261,0.328,0.261,0.328,4dgb
   4,3agy_C_A-B-C-D-F_0,A,0.198,0.240,0.198,0.240,3agy
   5,4que_E_A-C-D-E-H-J_0,A,1.000,1.000,1.000,1.000,4que
   6,1b32_B_A-B_0,A,0.370,0.205,0.205,0.370,1b32
   7,5k4f_C_A-C_0,A,0.162,0.343,0.162,0.343,5k4f
   8,1s2k_B_A-B_0,A,0.285,0.318,0.285,0.318,1s2k
   9,4j82_C_A-C_0,A,0.303,0.253,0.253,0.303,4j82
  10,4ba3_B_A-B_0,A,0.283,0.181,0.181,0.283,4ba3
  11,1lvm_C_A-C-E_0,A,0.302,0.306,0.302,0.306,1lvm
  12,3wor_C_A-B-C-D_0,A,0.329,0.143,0.143,0.329,3wor
  13,3nik_X_D-X_2,D,0.144,0.311,0.144,0.311,3nik
  14,4ezz_B_A-B_1,A,0.274,0.289,0.274,0.289,4ezz
  15,3v43_Q_A-Q_0,A,0.194,0.314,0.194,0.314,3v43
  16,4ezq_B_A-B_1,A,0.262,0.278,0.262,0.278,4ezq
  17,1uop_B_A-B_0,A,0.447,0.176,0.176,0.447,1uop
  18,3rta_B_A-B_0,F,0.444,0.245,0.245,0.444,3rta
  19,3rta_B_A-B_0,A,0.444,0.245,0.245,0.444,3rta
  20,1qka_B_A-B_0,A,0.374,0.206,0.206,0.374,1qka
  21,1ddv_B_A-B_0,A,0.184,0.316,0.184,0.316,1ddv
  22,4j45_B_A-B_0,A,0.205,0.423,0.205,0.423,4j45
  23,1kyd_P_A-P_0,A,0.267,0.258,0.258,0.267,1kyd
  24,4jwd_C_B-C_1,B,0.258,0.275,0.258,0.275,4jwd
  25,2fib_B_A-B_0,A,0.306,0.293,0.293,0.306,2fib
  26,4qbr_P_A-P_0,A,0.245,0.359,0.245,0.359,4qbr
  27,4m38_E_A-B-E-F_0,A,0.371,0.282,0.282,0.371,4m38
  28,3drj_B_A-B_0,A,0.324,0.155,0.155,0.324,3drj
  29,4j44_B_A-B_0,A,0.192,0.381,0.192,0.381,4j44
  30,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.211,0.322,0.211,0.322,1kl5
  31,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.226,0.354,0.226,0.354,1kl5
  32,4r5i_B_A-B_0,A,0.228,0.237,0.228,0.237,4r5i
  33,3lny_B_A-B_0,A,0.184,0.349,0.184,0.349,3lny
  34,3dri_B_A-B_0,A,0.323,0.155,0.155,0.323,3dri
