index,syst,chain,tm1,tm2,min,max,pdb
   0,4z88_V_J-V_1,J,0.288,0.362,0.288,0.362,4z88
   1,4hxj_C_A-C_0,A,0.261,0.354,0.261,0.354,4hxj
   2,3m5m_C_B-C_1,B,0.398,0.242,0.242,0.398,3m5m
   3,4ny3_C_A-C_0,A,0.315,0.143,0.143,0.315,4ny3
   4,4jok_D_B-D_1,B,0.273,0.294,0.273,0.294,4jok
   5,4sga_P_E-P_0,E,0.378,0.252,0.252,0.378,4sga
   6,3ufm_B_A-B_0,A,0.311,0.178,0.178,0.311,3ufm
   7,2ce9_X_A-B-X_0,A,0.318,0.141,0.141,0.318,2ce9
   8,4j09_B_A-B_0,A,0.270,0.140,0.140,0.270,4j09
   9,4j09_B_A-B_0,C,0.270,0.140,0.140,0.270,4j09
  10,4k3o_E_A-B-E_0,A,0.338,0.135,0.135,0.338,4k3o
  11,4j84_D_B-D_1,B,0.310,0.142,0.142,0.310,4j84
  12,4es0_C_A-C_0,A,0.325,0.146,0.146,0.325,4es0
  13,1d00_I_A-I_0,A,0.314,0.229,0.229,0.314,1d00
  14,3soq_Z_A-Z_0,A,0.338,0.153,0.153,0.338,3soq
  15,3nik_X_D-X_2,D,0.252,0.283,0.252,0.283,3nik
  16,4r5i_B_A-B_0,A,0.365,0.210,0.210,0.365,4r5i
  17,3zs6_B_A-B_0,A,0.348,0.107,0.107,0.348,3zs6
  18,5fch_C_A-B-C_0,A,0.372,0.137,0.137,0.372,5fch
  19,5fch_C_A-B-C_0,B,0.358,0.136,0.136,0.358,5fch
  20,4odk_C_A-B-C_0,A,0.282,0.209,0.209,0.282,4odk
  21,1czy_D_A-B-C-D-E_0,A,0.312,0.223,0.223,0.312,1czy
  22,5m5u_G_A-E-G_0,A,0.327,0.138,0.138,0.327,5m5u
  23,4j78_B_A-B_0,A,0.307,0.145,0.145,0.307,4j78
  24,2v17_A_A-H-L_0,L,0.289,0.168,0.168,0.289,2v17
  25,2v17_A_A-H-L_0,H,0.325,0.189,0.189,0.325,2v17
  26,1hsb_C_A-B-C_0,A,0.288,0.142,0.142,0.288,1hsb
  27,5jiu_C_A-B-C-D_0,A,0.337,0.204,0.204,0.337,5jiu
  28,4ezy_B_A-B_2,A,0.359,0.209,0.209,0.359,4ezy
  29,4pyw_B_A-B-C_0,A,0.354,0.140,0.140,0.354,4pyw
  30,3f7o_X_A-X_0,A,0.375,0.179,0.179,0.375,3f7o
  31,5xup_D_A-B-C-D_0,B,0.289,0.178,0.178,0.289,5xup
  32,2zjd_D_C-D_5,C,0.356,0.313,0.313,0.356,2zjd
  33,2v3s_C_B-C_1,B,0.317,0.324,0.317,0.324,2v3s
  34,3nil_X_D-X_2,D,0.244,0.272,0.244,0.272,3nil
  35,4j79_B_A-B_0,A,0.320,0.149,0.149,0.320,4j79
  36,3uf7_B_A-B-C_0,A,0.347,0.204,0.204,0.347,3uf7
  37,3m5n_F_B-F_1,B,0.365,0.224,0.224,0.365,3m5n
  38,5yba_B_A-B-C-D_0,A,0.325,0.222,0.222,0.325,5yba
  39,1b58_B_A-B_0,A,0.338,0.102,0.102,0.338,1b58
  40,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.310,0.270,0.270,0.310,1kl5
  41,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.300,0.263,0.263,0.300,1kl5
  42,4k3p_E_A-B-E_0,A,0.300,0.118,0.118,0.300,4k3p
  43,1lvm_C_A-C-E_0,A,0.449,0.236,0.236,0.449,1lvm
  44,5wun_C_A-B-C_0,A,0.281,0.098,0.098,0.281,5wun
  45,3njj_B_A-B_0,A,0.317,0.298,0.298,0.317,3njj
  46,4j86_C_A-C_0,A,0.311,0.147,0.147,0.311,4j86
  47,6cd8_C_A-C_0,A,0.315,0.224,0.224,0.315,6cd8
  48,3oqs_B_A-B_0,A,0.288,0.094,0.094,0.288,3oqs
  49,3gv4_H_A-H_0,A,0.278,0.278,0.278,0.278,3gv4
  50,4jor_D_B-D_1,B,0.267,0.288,0.267,0.288,4jor
  51,4zhb_B_A-B_0,A,0.255,0.248,0.248,0.255,4zhb
  52,1w9e_S_A-B-R-S-T_0,B,0.284,0.201,0.201,0.284,1w9e
  53,4j45_B_A-B_0,A,0.292,0.326,0.292,0.326,4j45
  54,1elr_B_A-B_0,A,0.274,0.233,0.233,0.274,1elr
  55,5k4f_C_A-C_0,A,0.272,0.293,0.272,0.293,5k4f
  56,5t6p_E_C-D-E_1,D,0.329,0.203,0.203,0.329,5t6p
  57,5t6p_E_C-D-E_1,C,0.313,0.190,0.190,0.313,5t6p
  58,6eja_B_A-B_0,A,0.339,0.077,0.077,0.339,6eja
  59,5b74_D_A-B-D_0,B,0.255,0.224,0.224,0.255,5b74
  60,3cbl_B_A-B_0,A,0.385,0.136,0.136,0.385,3cbl
  61,5kzt_C_A-C_0,A,0.384,0.109,0.109,0.384,5kzt
  62,5oav_B_A-B_0,A,0.261,0.343,0.261,0.343,5oav
  63,4ynl_C_A-B-C-D_0,A,0.209,0.238,0.209,0.238,4ynl
  64,4ynl_C_A-B-C-D_0,B,0.213,0.247,0.213,0.247,4ynl
  65,1mfl_B_A-B_0,A,0.278,0.284,0.278,0.284,1mfl
  66,3sjk_B_A-B_0,A,0.439,0.281,0.281,0.439,3sjk
  67,1ddv_B_A-B_0,A,0.294,0.287,0.287,0.294,1ddv
  68,5fow_E_A-E_0,A,0.299,0.180,0.180,0.299,5fow
  69,4c2c_B_A-B-C_0,A,0.310,0.104,0.104,0.310,4c2c
  70,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.317,0.135,0.135,0.317,2ot0
  71,4pxm_D_A-B-C-D_0,B,0.356,0.200,0.200,0.356,4pxm
  72,5m5v_G_A-E-G-I_0,A,0.319,0.136,0.136,0.319,5m5v
  73,6ew9_P_A-B-C-P-Q-R_0,A,0.413,0.179,0.179,0.413,6ew9
  74,5fpk_C_A-C_0,A,0.324,0.178,0.178,0.324,5fpk
