index,syst,chain,tm1,tm2,min,max,pdb
   0,5gu4_C_A-C_0,A,0.277,0.256,0.256,0.277,5gu4
   1,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.206,0.319,0.206,0.319,1kl3
   2,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.203,0.315,0.203,0.315,1kl3
   3,4fii_B_A-B_0,A,0.268,0.227,0.227,0.268,4fii
   4,1v1t_S_A-B-S-T_0,B,0.222,0.281,0.222,0.281,1v1t
   5,3nik_X_D-X_2,D,0.162,0.316,0.162,0.316,3nik
   6,4j77_D_B-D_1,B,0.302,0.251,0.251,0.302,4j77
   7,3s9c_B_A-B_0,A,0.601,0.590,0.590,0.601,3s9c
   8,1h27_E_A-B-E_0,B,0.327,0.300,0.300,0.327,1h27
   9,5v5p_A_A-B-C_0,C,0.258,0.161,0.161,0.258,5v5p
  10,1oby_Q_A-B-P-Q_0,A,0.153,0.348,0.153,0.348,1oby
  11,1oby_Q_A-B-P-Q_0,B,0.148,0.326,0.148,0.326,1oby
  12,4j45_B_A-B_0,A,0.184,0.373,0.184,0.373,4j45
  13,1a7c_B_A-B-C_0,A,0.262,0.193,0.193,0.262,1a7c
  14,4q6f_H_C-H_2,C,0.126,0.330,0.126,0.330,4q6f
  15,4j79_B_A-B_0,A,0.298,0.245,0.245,0.298,4j79
  16,5e6o_E_B-E_1,B,0.182,0.290,0.182,0.290,5e6o
  17,4b8o_C_A-B-C_0,A,0.240,0.152,0.152,0.240,4b8o
  18,3o2b_D_C-D_1,C,0.191,0.316,0.191,0.316,3o2b
  19,1b9j_B_A-B_0,A,0.303,0.173,0.173,0.303,1b9j
  20,3v43_Q_A-Q_0,A,0.181,0.288,0.181,0.288,3v43
  21,2fop_B_A-B_0,A,0.238,0.340,0.238,0.340,2fop
  22,2h2f_B_A-B_0,A,0.274,0.270,0.270,0.274,2h2f
  23,2v1r_R_A-Q-R_0,A,0.159,0.382,0.159,0.382,2v1r
  24,3uf7_B_A-B-C_0,A,0.258,0.263,0.258,0.263,3uf7
  25,4j44_B_A-B_0,A,0.183,0.373,0.183,0.373,4j44
  26,2foo_B_A-B_0,A,0.236,0.337,0.236,0.337,2foo
  27,5m5v_G_A-E-G-I_0,A,0.301,0.216,0.216,0.301,5m5v
  28,1d0a_G_A-B-C-G-H-I_0,A,0.279,0.347,0.279,0.347,1d0a
  29,4cic_Q_A-B-Q_0,A,0.237,0.340,0.237,0.340,4cic
  30,4cic_Q_A-B-Q_0,B,0.235,0.338,0.235,0.338,4cic
  31,3agy_C_A-B-C-D-F_0,A,0.229,0.277,0.229,0.277,3agy
  32,1d00_I_A-I_0,A,0.278,0.345,0.278,0.345,1d00
  33,1sem_C_A-B-C-D_0,A,0.149,0.351,0.149,0.351,1sem
  34,5azf_C_A-C_0,A,0.227,0.361,0.227,0.361,5azf
  35,5kzt_C_A-C_0,A,0.281,0.156,0.156,0.281,5kzt
  36,2x6m_B_A-B_0,A,0.196,0.288,0.196,0.288,2x6m
  37,2y7l_B_A-B_0,A,0.281,0.226,0.226,0.281,2y7l
  38,5uw3_E_A-E_0,A,0.321,0.138,0.138,0.321,5uw3
  39,2wa8_D_C-D_1,C,0.194,0.328,0.194,0.328,2wa8
  40,3shb_B_A-B_0,A,0.134,0.307,0.134,0.307,3shb
  41,4k72_C_A-C_0,A,0.190,0.357,0.190,0.357,4k72
  42,6cwp_F_A-B-F_0,A,0.273,0.226,0.226,0.273,6cwp
  43,6cwp_F_A-B-F_0,B,0.269,0.221,0.221,0.269,6cwp
  44,6fkp_G_C-G_2,C,0.126,0.298,0.126,0.298,6fkp
  45,4fys_C_A-C_0,A,0.296,0.106,0.106,0.296,4fys
  46,1kyd_P_A-P_0,A,0.264,0.251,0.251,0.264,1kyd
  47,3l81_B_A-B_0,A,0.258,0.243,0.243,0.258,3l81
  48,4jmy_E_A-C-E_0,A,0.514,0.622,0.514,0.622,4jmy
  49,4c2c_B_A-B-C_0,A,0.284,0.177,0.177,0.284,4c2c
  50,4z88_V_J-V_1,J,0.140,0.320,0.140,0.320,4z88
  51,3sxu_C_A-B-C_0,A,0.230,0.310,0.230,0.310,3sxu
  52,1b3g_B_A-B_0,A,0.302,0.166,0.166,0.302,1b3g
  53,1rzx_B_A-B_0,A,0.182,0.328,0.182,0.328,1rzx
  54,4j09_B_A-B_0,A,0.263,0.240,0.240,0.263,4j09
  55,4j09_B_A-B_0,C,0.263,0.240,0.240,0.263,4j09
  56,1sts_P_B-D-M-P_0,D,0.197,0.304,0.197,0.304,1sts
  57,1sts_P_B-D-M-P_0,A,0.203,0.307,0.203,0.307,1sts
  58,5fgb_G_B-E-G_1,E,0.265,0.279,0.265,0.279,5fgb
  59,5fgb_G_B-E-G_1,B,0.201,0.212,0.201,0.212,5fgb
  60,1b05_B_A-B_0,A,0.323,0.175,0.175,0.323,1b05
  61,3f7o_X_A-X_0,A,0.303,0.260,0.260,0.303,3f7o
  62,3q49_C_B-C_0,B,0.198,0.288,0.198,0.288,3q49
  63,1nvs_B_A-B_0,A,0.268,0.243,0.243,0.268,1nvs
  64,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.327,0.248,0.248,0.327,2ot0
  65,3nfk_D_A-B-C-D_2,B,0.179,0.314,0.179,0.314,3nfk
  66,4faf_D_A-B-D_0,A,0.235,0.452,0.235,0.452,4faf
  67,4faf_D_A-B-D_0,B,0.237,0.462,0.237,0.462,4faf
  68,3q47_C_B-C_0,B,0.200,0.288,0.200,0.288,3q47
  69,2bgr_Y_A-B-Y-Z_0,A,0.320,0.132,0.132,0.320,2bgr
  70,4f75_C_A-B-C-D_0,A,0.235,0.446,0.235,0.446,4f75
  71,4f75_C_A-B-C-D_0,B,0.235,0.442,0.235,0.442,4f75
  72,3nij_B_A-B_0,A,0.175,0.365,0.175,0.365,3nij
  73,4quh_D_A-C-D-I-J_0,A,0.306,0.302,0.302,0.306,4quh
  74,3ou3_C_A-B-C_0,A,0.234,0.455,0.234,0.455,3ou3
  75,3ou3_C_A-B-C_0,B,0.234,0.455,0.234,0.455,3ou3
  76,3zs6_B_A-B_0,A,0.297,0.167,0.167,0.297,3zs6
  77,3qhw_L_A-B-J-L_0,B,0.326,0.296,0.296,0.326,3qhw
  78,4k3r_E_A-B-E_0,A,0.299,0.219,0.219,0.299,4k3r
  79,5wun_C_A-B-C_0,A,0.256,0.159,0.159,0.256,5wun
  80,4ezy_B_A-B_2,A,0.273,0.282,0.273,0.282,4ezy
  81,4ezn_C_A-B-C-D_0,A,0.273,0.290,0.273,0.290,4ezn
  82,4z8j_B_A-B_0,A,0.168,0.313,0.168,0.313,4z8j
  83,1kyf_P_A-P_0,A,0.247,0.235,0.235,0.247,1kyf
  84,1b58_B_A-B_0,A,0.298,0.164,0.164,0.298,1b58
  85,5fpk_C_A-C_0,A,0.318,0.320,0.318,0.320,5fpk
  86,3zvy_D_B-D_0,B,0.132,0.315,0.132,0.315,3zvy
  87,1b40_B_A-B_0,A,0.307,0.172,0.172,0.307,1b40
  88,2foj_B_A-B_0,A,0.237,0.339,0.237,0.339,2foj
