index,syst,chain,tm1,tm2,min,max,pdb
   0,2zgh_B_A-B_0,A,0.353,0.286,0.286,0.353,2zgh
   1,1wcy_C_A-B-C-D_0,A,0.357,0.112,0.112,0.357,1wcy
   2,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.362,0.213,0.213,0.362,2ot0
   3,3nil_X_D-X_2,D,0.219,0.347,0.219,0.347,3nil
   4,5ovv_B_A-B_0,A,0.239,0.337,0.239,0.337,5ovv
   5,4es0_C_A-C_0,A,0.327,0.207,0.207,0.327,4es0
   6,3psl_D_B-D_1,B,0.324,0.216,0.216,0.324,3psl
   7,4faf_D_A-B-D_0,A,0.221,0.303,0.221,0.303,4faf
   8,4faf_D_A-B-D_0,B,0.264,0.366,0.264,0.366,4faf
   9,2h59_D_A-B-D-E_0,A,0.285,0.219,0.219,0.285,2h59
  10,2h59_D_A-B-D-E_0,B,0.288,0.220,0.220,0.288,2h59
  11,5y53_F_C-E-F_1,C,0.301,0.360,0.301,0.360,5y53
  12,5y53_F_C-E-F_1,E,0.305,0.365,0.305,0.365,5y53
  13,1sdz_B_A-B_0,A,0.241,0.343,0.241,0.343,1sdz
  14,1rzx_B_A-B_0,A,0.263,0.386,0.263,0.386,1rzx
  15,3rc4_B_A-B_0,A,0.326,0.289,0.289,0.326,3rc4
  16,4pxm_D_A-B-C-D_0,B,0.351,0.281,0.281,0.351,4pxm
  17,6cd9_B_A-B_0,A,0.367,0.370,0.367,0.370,6cd9
  18,1u9l_C_B-C_1,B,0.168,0.270,0.168,0.270,1u9l
  19,4quh_D_A-C-D-I-J_0,A,0.322,0.261,0.261,0.322,4quh
  20,4k3r_E_A-B-E_0,A,0.265,0.151,0.151,0.265,4k3r
  21,4qbr_P_A-P_0,A,0.283,0.327,0.283,0.327,4qbr
  22,1oby_Q_A-B-P-Q_0,A,0.251,0.457,0.251,0.457,1oby
  23,1oby_Q_A-B-P-Q_0,B,0.245,0.425,0.245,0.425,1oby
  24,3m5m_C_B-C_1,B,0.319,0.284,0.284,0.319,3m5m
  25,1b40_B_A-B_0,A,0.321,0.143,0.143,0.321,1b40
  26,4zhb_B_A-B_0,A,0.264,0.357,0.264,0.357,4zhb
  27,1uop_B_A-B_0,A,0.325,0.111,0.111,0.325,1uop
  28,4jmy_E_A-C-E_0,A,0.326,0.307,0.307,0.326,4jmy
  29,5oav_B_A-B_0,A,0.161,0.294,0.161,0.294,5oav
  30,4k3q_E_A-B-E_0,A,0.259,0.150,0.150,0.259,4k3q
  31,1b58_B_A-B_0,A,0.348,0.147,0.147,0.348,1b58
  32,4ezn_C_A-B-C-D_0,A,0.307,0.262,0.262,0.307,4ezn
  33,1obz_P_A-B-P_0,A,0.259,0.264,0.259,0.264,1obz
  34,1ddv_B_A-B_0,A,0.220,0.306,0.220,0.306,1ddv
  35,1b51_B_A-B_0,A,0.338,0.144,0.144,0.338,1b51
  36,1svz_C_A-B-C-D_0,A,0.368,0.287,0.287,0.368,1svz
  37,2g30_S_A-P-S_0,A,0.436,0.338,0.338,0.436,2g30
  38,1yth_I_A-B-I_0,A,0.278,0.388,0.278,0.388,1yth
  39,1yth_I_A-B-I_0,B,0.278,0.388,0.278,0.388,1yth
  40,1kyf_P_A-P_0,A,0.449,0.333,0.333,0.449,1kyf
  41,4pyw_B_A-B-C_0,A,0.331,0.193,0.193,0.331,4pyw
  42,2orz_B_A-B_0,A,0.395,0.238,0.238,0.395,2orz
  43,5azf_C_A-C_0,A,0.348,0.434,0.348,0.434,5azf
  44,4xi7_C_A-C_0,A,0.300,0.175,0.175,0.300,4xi7
  45,3f7o_X_A-X_0,A,0.331,0.227,0.227,0.331,3f7o
  46,4sga_P_E-P_0,E,0.307,0.294,0.294,0.307,4sga
  47,5iz2_Z_A-B-Z_0,B,0.266,0.325,0.266,0.325,5iz2
  48,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.338,0.432,0.338,0.432,1kl3
  49,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.337,0.430,0.337,0.430,1kl3
  50,5m5r_D_A-C-D_0,A,0.380,0.218,0.218,0.380,5m5r
  51,5uw3_E_A-E_0,A,0.343,0.120,0.120,0.343,5uw3
  52,4pz3_C_A-B-C_0,B,0.244,0.263,0.244,0.263,4pz3
  53,4f75_C_A-B-C-D_0,A,0.227,0.310,0.227,0.310,4f75
  54,4f75_C_A-B-C-D_0,B,0.278,0.388,0.278,0.388,4f75
  55,3nfk_D_A-B-C-D_2,B,0.239,0.365,0.239,0.365,3nfk
  56,4ezw_E_A-E_0,A,0.307,0.259,0.259,0.307,4ezw
  57,4r5i_B_A-B_0,A,0.313,0.257,0.257,0.313,4r5i
  58,5iza_B_A-B_0,A,0.282,0.172,0.172,0.282,5iza
  59,1olc_B_A-B_0,A,0.341,0.149,0.149,0.341,1olc
  60,3ny3_B_A-B_0,A,0.176,0.294,0.176,0.294,3ny3
  61,3gq1_C_A-C_0,A,0.198,0.317,0.198,0.317,3gq1
  62,4jok_D_B-D_1,B,0.212,0.327,0.212,0.327,4jok
  63,5huy_B_A-B-C_0,C,0.309,0.153,0.153,0.309,5huy
  64,4que_E_A-C-D-E-H-J_0,A,0.323,0.261,0.261,0.323,4que
  65,2x6m_B_A-B_0,A,0.343,0.421,0.343,0.421,2x6m
  66,4joh_D_A-D_0,A,0.214,0.328,0.214,0.328,4joh
  67,5fgb_G_B-E-G_1,E,0.363,0.301,0.301,0.363,5fgb
  68,5fgb_G_B-E-G_1,B,0.334,0.278,0.278,0.334,5fgb
  69,3v43_Q_A-Q_0,A,0.228,0.292,0.228,0.292,3v43
  70,4k3o_E_A-B-E_0,A,0.239,0.143,0.143,0.239,4k3o
  71,1evh_B_A-B_0,A,0.238,0.312,0.238,0.312,1evh
  72,3cbl_B_A-B_0,A,0.301,0.178,0.178,0.301,3cbl
  73,5jiu_C_A-B-C-D_0,A,0.386,0.330,0.330,0.386,5jiu
  74,1uoq_B_A-B_0,A,0.347,0.114,0.114,0.347,1uoq
  75,3njj_B_A-B_0,A,0.336,0.442,0.336,0.442,3njj
  76,3nih_B_A-B_0,A,0.211,0.332,0.211,0.332,3nih
  77,2nph_S_A-B-S-T_0,A,0.278,0.388,0.278,0.388,2nph
  78,2nph_S_A-B-S-T_0,B,0.276,0.387,0.276,0.387,2nph
  79,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.340,0.232,0.232,0.340,2z9i
  80,2hpl_B_A-B_0,A,0.227,0.313,0.227,0.313,2hpl
  81,3rte_B_A-B_0,G,0.301,0.142,0.142,0.301,3rte
  82,3rte_B_A-B_0,A,0.301,0.142,0.142,0.301,3rte
  83,4nnm_C_A-C_0,A,0.238,0.313,0.238,0.313,4nnm
  84,3rt9_B_A-B_0,F,0.299,0.141,0.141,0.299,3rt9
  85,3rt9_B_A-B_0,A,0.299,0.141,0.141,0.299,3rt9
  86,4ezy_B_A-B_2,A,0.309,0.257,0.257,0.309,4ezy
  87,6eja_B_A-B_0,A,0.427,0.124,0.124,0.427,6eja
  88,1b3l_B_A-B_0,A,0.345,0.148,0.148,0.345,1b3l
  89,3dri_B_A-B_0,A,0.374,0.147,0.147,0.374,3dri
  90,1b32_B_A-B_0,A,0.347,0.149,0.149,0.347,1b32
  91,1elr_B_A-B_0,A,0.255,0.308,0.255,0.308,1elr
  92,3wor_C_A-B-C-D_0,A,0.413,0.137,0.137,0.413,3wor
  93,4j09_B_A-B_0,A,0.301,0.217,0.217,0.301,4j09
  94,4j09_B_A-B_0,C,0.301,0.217,0.217,0.301,4j09
  95,3lny_B_A-B_0,A,0.245,0.371,0.245,0.371,3lny
  96,5lyn_C_A-B-C-D_0,A,0.245,0.283,0.245,0.283,5lyn
  97,5lyn_C_A-B-C-D_0,B,0.252,0.298,0.252,0.298,5lyn
