index,syst,chain,tm1,tm2,min,max,pdb
   0,1se0_B_A-B_0,A,0.167,0.379,0.167,0.379,1se0
   1,1olc_B_A-B_0,A,0.331,0.221,0.221,0.331,1olc
   2,1wcy_C_A-B-C-D_0,A,0.599,0.289,0.289,0.599,1wcy
   3,5fov_E_A-E_0,A,0.294,0.360,0.294,0.360,5fov
   4,2h9m_D_C-D_1,C,0.905,0.888,0.888,0.905,2h9m
   5,4j46_B_A-B_0,A,0.161,0.386,0.161,0.386,4j46
   6,2orz_B_A-B_0,A,0.245,0.236,0.236,0.245,2orz
   7,5fpk_C_A-C_0,A,0.294,0.360,0.294,0.360,5fpk
   8,2fop_B_A-B_0,A,0.187,0.331,0.187,0.331,2fop
   9,1elr_B_A-B_0,A,0.182,0.329,0.182,0.329,1elr
  10,4iim_E_A-B-C-D-E_0,B,0.111,0.386,0.111,0.386,4iim
  11,2h2f_B_A-B_0,A,0.232,0.272,0.232,0.272,2h2f
  12,4jmy_E_A-C-E_0,A,0.253,0.358,0.253,0.358,4jmy
  13,3ufm_B_A-B_0,A,0.234,0.282,0.234,0.282,3ufm
  14,5uw3_E_A-E_0,A,0.700,0.342,0.342,0.700,5uw3
  15,3uf7_B_A-B-C_0,A,0.215,0.260,0.215,0.260,3uf7
  16,1b3g_B_A-B_0,A,0.327,0.221,0.221,0.327,1b3g
  17,1uop_B_A-B_0,A,0.658,0.313,0.313,0.658,1uop
  18,4ezz_B_A-B_1,A,0.223,0.284,0.223,0.284,4ezz
  19,2d5w_C_A-C_0,A,0.339,0.201,0.201,0.339,2d5w
  20,4j84_D_B-D_1,B,0.937,0.946,0.937,0.946,4j84
  21,1oby_Q_A-B-P-Q_0,A,0.124,0.322,0.124,0.322,1oby
  22,1oby_Q_A-B-P-Q_0,B,0.124,0.329,0.124,0.329,1oby
  23,5kzt_C_A-C_0,A,0.331,0.223,0.223,0.331,5kzt
  24,3drh_B_A-B_0,A,0.301,0.187,0.187,0.301,3drh
  25,1czy_D_A-B-C-D-E_0,A,0.220,0.339,0.220,0.339,1czy
  26,4rxh_A_A-B-C_0,B,0.285,0.221,0.221,0.285,4rxh
  27,1h27_E_A-B-E_0,B,0.300,0.333,0.300,0.333,1h27
  28,2ql9_G_A-B-C-D-E-F-G_0,D,0.126,0.290,0.126,0.290,2ql9
  29,2ql9_G_A-B-C-D-E-F-G_0,A,0.186,0.322,0.186,0.322,2ql9
  30,2ql9_G_A-B-C-D-E-F-G_0,C,0.180,0.317,0.180,0.317,2ql9
  31,2ql9_G_A-B-C-D-E-F-G_0,B,0.125,0.289,0.125,0.289,2ql9
  32,1ok7_C_A-B-C_0,B,0.236,0.205,0.205,0.236,1ok7
  33,4m38_E_A-B-E-F_0,A,0.272,0.251,0.251,0.272,4m38
  34,3gv4_H_A-H_0,A,0.188,0.411,0.188,0.411,3gv4
  35,4c2g_B_A-B-C_0,A,0.280,0.214,0.214,0.280,4c2g
  36,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.266,0.275,0.266,0.275,2z9i
  37,3nil_X_D-X_2,D,0.129,0.310,0.129,0.310,3nil
  38,1rzx_B_A-B_0,A,0.146,0.318,0.146,0.318,1rzx
  39,1sts_P_B-D-M-P_0,D,0.181,0.358,0.181,0.358,1sts
  40,1sts_P_B-D-M-P_0,A,0.181,0.353,0.181,0.353,1sts
  41,2wa8_D_C-D_1,C,0.127,0.255,0.127,0.255,2wa8
  42,3rte_B_A-B_0,G,0.374,0.259,0.259,0.374,3rte
  43,3rte_B_A-B_0,A,0.374,0.259,0.259,0.374,3rte
  44,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.140,0.331,0.140,0.331,2y1l
  45,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.188,0.307,0.188,0.307,2y1l
  46,1kyf_P_A-P_0,A,0.253,0.289,0.253,0.289,1kyf
  47,3woo_C_A-B-C-D_0,A,0.269,0.144,0.144,0.269,3woo
  48,3nik_X_D-X_2,D,0.124,0.305,0.124,0.305,3nik
  49,4j81_C_B-C_1,B,0.945,0.939,0.939,0.945,4j81
  50,5lb7_C_A-B-C_0,A,0.197,0.288,0.197,0.288,5lb7
  51,5lb7_C_A-B-C_0,B,0.123,0.296,0.123,0.296,5lb7
  52,4r5i_B_A-B_0,A,0.206,0.257,0.206,0.257,4r5i
  53,4o4y_A_A-H-L_0,L,0.186,0.232,0.186,0.232,4o4y
  54,4o4y_A_A-H-L_0,H,0.230,0.285,0.230,0.285,4o4y
  55,4fys_C_A-C_0,A,0.374,0.164,0.164,0.374,4fys
  56,1gyb_E_A-B-E-F_0,A,0.175,0.378,0.175,0.378,1gyb
  57,1gyb_E_A-B-E-F_0,B,0.174,0.369,0.174,0.369,1gyb
  58,2v5w_G_B-G-L_1,B,0.363,0.313,0.313,0.363,2v5w
  59,3t64_F_A-B-C-F_0,A,0.197,0.308,0.197,0.308,3t64
  60,3t64_F_A-B-C-F_0,B,0.163,0.289,0.163,0.289,3t64
  61,5v5p_A_A-B-C_0,C,0.272,0.211,0.211,0.272,5v5p
  62,5iza_B_A-B_0,A,0.259,0.235,0.235,0.259,5iza
  63,2zjd_D_C-D_5,C,0.195,0.361,0.195,0.361,2zjd
  64,2x6m_B_A-B_0,A,0.180,0.337,0.180,0.337,2x6m
  65,3oqs_B_A-B_0,A,0.264,0.203,0.203,0.264,3oqs
  66,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.333,0.298,0.298,0.333,4tr9
  67,1yti_I_A-I_0,A,0.147,0.305,0.147,0.305,1yti
  68,1yti_I_A-I_0,B,0.147,0.305,0.147,0.305,1yti
  69,5ovv_B_A-B_0,A,0.145,0.316,0.145,0.316,5ovv
  70,4mvk_B_A-B_0,A,0.221,0.325,0.221,0.325,4mvk
  71,4b8o_C_A-B-C_0,A,0.271,0.210,0.210,0.271,4b8o
  72,5t6p_E_C-D-E_1,D,0.239,0.308,0.239,0.308,5t6p
  73,5t6p_E_C-D-E_1,C,0.188,0.234,0.188,0.234,5t6p
  74,5xup_D_A-B-C-D_0,B,0.236,0.318,0.236,0.318,5xup
  75,4j78_B_A-B_0,A,0.946,0.940,0.940,0.946,4j78
  76,3gq1_C_A-C_0,A,0.132,0.314,0.132,0.314,3gq1
  77,4es0_C_A-C_0,A,0.900,0.883,0.883,0.900,4es0
  78,2g30_S_A-P-S_0,A,0.230,0.272,0.230,0.272,2g30
  79,1hsb_C_A-B-C_0,A,0.261,0.280,0.261,0.280,1hsb
  80,3thk_C_A-C_0,A,0.118,0.414,0.118,0.414,3thk
  81,4k76_G_C-G_2,C,0.133,0.333,0.133,0.333,4k76
  82,1w9e_S_A-B-R-S-T_0,B,0.182,0.277,0.182,0.277,1w9e
  83,5ovc_B_A-B_0,A,0.136,0.335,0.136,0.335,5ovc
  84,4zhb_B_A-B_0,A,0.151,0.320,0.151,0.320,4zhb
  85,5y53_F_C-E-F_1,C,0.176,0.301,0.176,0.301,5y53
  86,5y53_F_C-E-F_1,E,0.186,0.334,0.186,0.334,5y53
  87,1b51_B_A-B_0,A,0.324,0.220,0.220,0.324,1b51
  88,1yth_I_A-B-I_0,A,0.153,0.326,0.153,0.326,1yth
  89,1yth_I_A-B-I_0,B,0.152,0.327,0.152,0.327,1yth
  90,2v1r_R_A-Q-R_0,A,0.126,0.416,0.126,0.416,2v1r
  91,3fp4_Q_A-Q_0,A,0.324,0.228,0.228,0.324,3fp4
  92,5huw_B_A-B-C_0,C,0.271,0.210,0.210,0.271,5huw
  93,5wun_C_A-B-C_0,A,0.279,0.215,0.215,0.279,5wun
  94,3nij_B_A-B_0,A,0.112,0.278,0.112,0.278,3nij
  95,3uoa_L_B-C-L-M_0,B,0.280,0.243,0.243,0.280,3uoa
  96,5m5u_G_A-E-G_0,A,0.737,0.627,0.627,0.737,5m5u
  97,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.335,0.298,0.298,0.335,2ot0
  98,2h59_D_A-B-D-E_0,A,0.267,0.304,0.267,0.304,2h59
  99,2h59_D_A-B-D-E_0,B,0.250,0.284,0.250,0.284,2h59
 100,3l81_B_A-B_0,A,0.228,0.256,0.228,0.256,3l81
 101,3zvy_D_B-D_0,B,0.139,0.371,0.139,0.371,3zvy
 102,1ghb_P_E-F-G-P_0,F,0.209,0.371,0.209,0.371,1ghb
 103,1ghb_P_E-F-G-P_0,G,0.150,0.343,0.150,0.343,1ghb
 104,1ghb_P_E-F-G-P_0,C,0.150,0.343,0.150,0.343,1ghb
 105,1ghb_P_E-F-G-P_0,B,0.209,0.371,0.209,0.371,1ghb
 106,3nii_B_A-B_0,A,0.113,0.284,0.113,0.284,3nii
 107,4jjq_B_A-B_0,A,0.175,0.302,0.175,0.302,4jjq
 108,4hxj_C_A-C_0,A,0.120,0.398,0.120,0.398,4hxj
 109,3lca_Q_A-Q_0,A,0.313,0.223,0.223,0.313,3lca
 110,1mfl_B_A-B_0,A,0.139,0.314,0.139,0.314,1mfl
 111,4j86_C_A-C_0,A,0.945,0.936,0.936,0.945,4j86
 112,1b58_B_A-B_0,A,0.321,0.217,0.217,0.321,1b58
 113,2v17_A_A-H-L_0,L,0.209,0.257,0.209,0.257,2v17
 114,2v17_A_A-H-L_0,H,0.231,0.284,0.231,0.284,2v17
 115,4k3m_E_A-B-E_0,A,0.257,0.224,0.224,0.257,4k3m
 116,4que_E_A-C-D-E-H-J_0,A,0.250,0.297,0.250,0.297,4que
 117,4jok_D_B-D_1,B,0.133,0.326,0.133,0.326,4jok
 118,2nph_S_A-B-S-T_0,A,0.149,0.305,0.149,0.305,2nph
 119,2nph_S_A-B-S-T_0,B,0.139,0.293,0.139,0.293,2nph
 120,1d0a_G_A-B-C-G-H-I_0,A,0.222,0.341,0.222,0.341,1d0a
 121,4ezq_B_A-B_1,A,0.222,0.285,0.222,0.285,4ezq
 122,3cvl_B_A-B_0,A,0.317,0.320,0.317,0.320,3cvl
 123,5eyz_E_A-E_0,A,0.134,0.292,0.134,0.292,5eyz
 124,3mmg_C_A-C_0,A,0.236,0.294,0.236,0.294,3mmg
 125,3lny_B_A-B_0,A,0.128,0.286,0.128,0.286,3lny
 126,4z8j_B_A-B_0,A,0.138,0.318,0.138,0.318,4z8j
 127,2ipu_P_G-K-P_1,G,0.219,0.274,0.219,0.274,2ipu
 128,2ipu_P_G-K-P_1,K,0.204,0.253,0.204,0.253,2ipu
 129,4wvh_C_A-C_0,A,0.302,0.196,0.196,0.302,4wvh
 130,3rt9_B_A-B_0,F,0.363,0.251,0.251,0.363,3rt9
 131,3rt9_B_A-B_0,A,0.363,0.251,0.251,0.363,3rt9
 132,1fch_C_A-B-C-D_2,F,0.302,0.303,0.302,0.303,1fch
 133,1fch_C_A-B-C-D_2,A,0.307,0.304,0.304,0.307,1fch
 134,3m5o_C_A-C_0,A,0.276,0.365,0.276,0.365,3m5o
 135,4k75_B_A-B_0,A,0.133,0.341,0.133,0.341,4k75
 136,2hl3_C_A-B-C_0,A,0.119,0.336,0.119,0.336,2hl3
 137,2hl3_C_A-B-C_0,B,0.107,0.294,0.107,0.294,2hl3
 138,3m5n_F_B-F_1,B,0.275,0.363,0.275,0.363,3m5n
 139,2r9q_X_A-C-X_1,C,0.284,0.264,0.264,0.284,2r9q
 140,2i3h_C_A-C_0,A,0.159,0.379,0.159,0.379,2i3h
 141,3mqr_B_A-B_0,A,0.180,0.310,0.180,0.310,3mqr
 142,4b3b_C_A-C_0,A,0.267,0.325,0.267,0.325,4b3b
 143,5m5t_E_A-E-G-I_0,A,0.731,0.623,0.623,0.731,5m5t
 144,5fou_C_A-C_0,A,0.283,0.345,0.283,0.345,5fou
 145,4dgb_B_A-B_0,A,0.197,0.305,0.197,0.305,4dgb
 146,3agy_C_A-B-C-D-F_0,A,0.153,0.230,0.153,0.230,3agy
 147,4z88_V_J-V_1,J,0.122,0.383,0.122,0.383,4z88
 148,1kyd_P_A-P_0,A,0.241,0.274,0.241,0.274,1kyd
 149,2f5b_P_H-L-P_0,L,0.215,0.271,0.215,0.271,2f5b
 150,2f5b_P_H-L-P_0,H,0.200,0.239,0.200,0.239,2f5b
 151,4k3o_E_A-B-E_0,A,0.245,0.215,0.215,0.245,4k3o
 152,4apo_D_B-D_1,B,0.184,0.292,0.184,0.292,4apo
 153,5k4f_C_A-C_0,A,0.130,0.323,0.130,0.323,5k4f
 154,4ny3_C_A-C_0,A,0.256,0.255,0.255,0.256,4ny3
 155,3hds_E_A-D-E_0,D,0.137,0.300,0.137,0.300,3hds
 156,3hds_E_A-D-E_0,A,0.147,0.275,0.147,0.275,3hds
 157,4z0u_D_A-D_0,A,0.184,0.297,0.184,0.297,4z0u
 158,6eja_B_A-B_0,A,0.308,0.165,0.165,0.308,6eja
 159,5m5v_G_A-E-G-I_0,A,0.734,0.625,0.625,0.734,5m5v
 160,3fp2_Q_A-Q_0,A,0.320,0.226,0.226,0.320,3fp2
 161,3d9t_D_B-D_1,B,0.160,0.353,0.160,0.353,3d9t
 162,3emh_B_A-B_0,A,0.895,0.889,0.889,0.895,3emh
 163,3woq_C_A-B-C-D_0,A,0.273,0.146,0.146,0.273,3woq
 164,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.256,0.280,0.256,0.280,5fjz
 165,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.259,0.283,0.259,0.283,5fjz
 166,4q6f_H_C-H_2,C,0.112,0.396,0.112,0.396,4q6f
 167,5fgb_G_B-E-G_1,E,0.248,0.311,0.248,0.311,5fgb
 168,5fgb_G_B-E-G_1,B,0.189,0.240,0.189,0.240,5fgb
 169,1evh_B_A-B_0,A,0.153,0.335,0.153,0.335,1evh
 170,3m5m_C_B-C_1,B,0.272,0.363,0.272,0.363,3m5m
 171,3s9c_B_A-B_0,A,0.270,0.319,0.270,0.319,3s9c
 172,1b9j_B_A-B_0,A,0.324,0.219,0.219,0.324,1b9j
 173,4joh_D_A-D_0,A,0.133,0.335,0.133,0.335,4joh
 174,4f75_C_A-B-C-D_0,A,0.157,0.323,0.157,0.323,4f75
 175,4f75_C_A-B-C-D_0,B,0.149,0.306,0.149,0.306,4f75
 176,1oxn_F_E-F_7,E,0.163,0.365,0.163,0.365,1oxn
 177,2v3s_C_B-C_1,B,0.157,0.350,0.157,0.350,2v3s
 178,5huy_B_A-B-C_0,C,0.279,0.216,0.216,0.279,5huy
 179,4xi7_C_A-C_0,A,0.304,0.265,0.265,0.304,4xi7
 180,3sxu_C_A-B-C_0,A,0.236,0.386,0.236,0.386,3sxu
 181,4j77_D_B-D_1,B,0.942,0.939,0.939,0.942,4j77
 182,4jwd_C_B-C_1,B,0.197,0.248,0.197,0.248,4jwd
 183,3v43_Q_A-Q_0,A,0.183,0.354,0.183,0.354,3v43
 184,1b40_B_A-B_0,A,0.324,0.219,0.219,0.324,1b40
 185,4v3i_B_A-B_0,A,0.204,0.331,0.204,0.331,4v3i
 186,4mz6_A_A-C-E_0,E,0.276,0.213,0.213,0.276,4mz6
 187,6cd9_B_A-B_0,A,0.242,0.364,0.242,0.364,6cd9
 188,4x2h_C_A-B-C_0,A,0.205,0.281,0.205,0.281,4x2h
 189,3nfl_G_B-C-F-G_5,C,0.138,0.312,0.138,0.312,3nfl
 190,4ikn_B_A-B_0,A,0.224,0.253,0.224,0.253,4ikn
 191,1b4z_B_A-B_0,A,0.323,0.218,0.218,0.323,1b4z
 192,4gyo_C_A-B-C-D_0,B,0.312,0.274,0.274,0.312,4gyo
 193,1sua_C_A-C_0,A,0.300,0.327,0.300,0.327,1sua
 194,4ezy_B_A-B_2,A,0.227,0.288,0.227,0.288,4ezy
 195,3sjk_B_A-B_0,A,0.231,0.324,0.231,0.324,3sjk
 196,4jop_C_A-C_0,A,0.132,0.331,0.132,0.331,4jop
 197,3shb_B_A-B_0,A,0.140,0.388,0.140,0.388,3shb
 198,4j8b_B_A-B_0,A,1.000,1.000,1.000,1.000,4j8b
 199,2v5f_X_A-X_0,A,0.132,0.291,0.132,0.291,2v5f
 200,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.203,0.390,0.203,0.390,1kl3
 201,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.181,0.368,0.181,0.368,1kl3
 202,4gne_B_A-B_0,A,0.202,0.424,0.202,0.424,4gne
 203,1ddv_B_A-B_0,A,0.155,0.328,0.155,0.328,1ddv
 204,4k3q_E_A-B-E_0,A,0.257,0.225,0.225,0.257,4k3q
 205,3o2b_D_C-D_1,C,0.110,0.239,0.110,0.239,3o2b
 206,5jiu_C_A-B-C-D_0,A,0.312,0.402,0.312,0.402,5jiu
 207,1b46_B_A-B_0,A,0.347,0.233,0.233,0.347,1b46
 208,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.186,0.366,0.186,0.366,1kl5
 209,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.181,0.369,0.181,0.369,1kl5
 210,3nin_E_B-E_1,B,0.118,0.297,0.118,0.297,3nin
 211,4ezw_E_A-E_0,A,0.199,0.259,0.199,0.259,4ezw
 212,1v1t_S_A-B-S-T_0,B,0.178,0.273,0.178,0.273,1v1t
 213,1s2k_B_A-B_0,A,0.260,0.353,0.260,0.353,1s2k
 214,4xal_B_A-B_0,A,0.145,0.325,0.145,0.325,4xal
 215,1b3l_B_A-B_0,A,0.320,0.216,0.216,0.320,1b3l
 216,4ztd_F_A-B-C-D-E-F_0,C,0.248,0.278,0.248,0.278,4ztd
 217,4ojf_A_A-H-L_0,L,0.189,0.234,0.189,0.234,4ojf
 218,4ojf_A_A-H-L_0,H,0.229,0.280,0.229,0.280,4ojf
 219,3drj_B_A-B_0,A,0.300,0.187,0.187,0.300,3drj
 220,1qka_B_A-B_0,A,0.331,0.219,0.219,0.331,1qka
 221,3soq_Z_A-Z_0,A,0.672,0.658,0.658,0.672,3soq
 222,1uoq_B_A-B_0,A,0.657,0.313,0.313,0.657,1uoq
 223,3nfk_D_A-B-C-D_2,B,0.138,0.307,0.138,0.307,3nfk
 224,4jor_D_B-D_1,B,0.132,0.328,0.132,0.328,4jor
 225,6hpg_c_C-c_2,C,0.170,0.332,0.170,0.332,6hpg
 226,5fch_C_A-B-C_0,A,0.264,0.214,0.214,0.264,5fch
 227,5fch_C_A-B-C_0,B,0.270,0.222,0.222,0.270,5fch
 228,3cbl_B_A-B_0,A,0.282,0.249,0.249,0.282,3cbl
 229,3cww_E_A-B-D-E_0,A,0.326,0.136,0.136,0.326,3cww
 230,3vqg_B_A-B_0,A,0.142,0.333,0.142,0.333,3vqg
 231,4sga_P_E-P_0,E,0.215,0.303,0.215,0.303,4sga
 232,5zw6_C_A-B-C-D_0,A,0.303,0.251,0.251,0.303,5zw6
 233,3dri_B_A-B_0,A,0.307,0.190,0.190,0.307,3dri
 234,4fii_B_A-B_0,A,0.278,0.282,0.278,0.282,4fii
 235,3g19_C_A-C_0,A,0.128,0.295,0.128,0.295,3g19
 236,5nqv_G_A-C-E-G_0,C,0.202,0.276,0.202,0.276,5nqv
 237,1nvs_B_A-B_0,A,0.257,0.279,0.257,0.279,1nvs
 238,1b05_B_A-B_0,A,0.323,0.219,0.219,0.323,1b05
 239,5gu4_C_A-C_0,A,0.318,0.356,0.318,0.356,5gu4
 240,3tcg_I_A-I_0,A,0.324,0.219,0.219,0.324,3tcg
 241,3zs6_B_A-B_0,A,0.318,0.216,0.216,0.318,3zs6
 242,6cdg_B_A-B_0,A,0.235,0.360,0.235,0.360,6cdg
 243,2foo_B_A-B_0,A,0.187,0.323,0.187,0.323,2foo
 244,4ba3_B_A-B_0,A,0.267,0.204,0.204,0.267,4ba3
 245,1sdz_B_A-B_0,A,0.167,0.365,0.167,0.365,1sdz
 246,1awr_J_D-J_5,D,0.199,0.302,0.199,0.302,1awr
 247,3nim_X_F-X_3,F,0.121,0.294,0.121,0.294,3nim
 248,4k72_C_A-C_0,A,0.132,0.330,0.132,0.330,4k72
 249,4wnn_T_C-D-T_3,D,0.161,0.347,0.161,0.347,4wnn
 250,4wnn_T_C-D-T_3,C,0.129,0.289,0.129,0.289,4wnn
 251,5azf_C_A-C_0,A,0.190,0.357,0.190,0.357,5azf
 252,4quh_D_A-C-D-I-J_0,A,0.250,0.298,0.250,0.298,4quh
 253,2dze_X_A-B-X_0,A,0.195,0.310,0.195,0.310,2dze
 254,2dze_X_A-B-X_0,B,0.180,0.276,0.180,0.276,2dze
 255,4bjt_E_B-E_2,B,0.193,0.303,0.193,0.303,4bjt
 256,3njj_B_A-B_0,A,0.168,0.336,0.168,0.336,3njj
 257,3wor_C_A-B-C-D_0,A,0.268,0.140,0.140,0.268,3wor
 258,3zin_C_A-B-C_0,A,0.276,0.213,0.213,0.276,3zin
 259,5iz2_Z_A-B-Z_0,B,0.147,0.276,0.147,0.276,5iz2
 260,1tw6_C_A-B-C-D_2,F,0.167,0.369,0.167,0.369,1tw6
 261,1tw6_C_A-B-C-D_2,A,0.160,0.376,0.160,0.376,1tw6
 262,4j44_B_A-B_0,A,0.162,0.384,0.162,0.384,4j44
 263,4ouc_B_A-B_0,A,0.248,0.231,0.231,0.248,4ouc
 264,5e6o_E_B-E_1,B,0.191,0.370,0.191,0.370,5e6o
 265,5elq_P_A-P_0,A,0.143,0.314,0.143,0.314,5elq
 266,4j45_B_A-B_0,A,0.161,0.384,0.161,0.384,4j45
 267,4pz3_C_A-B-C_0,B,0.193,0.304,0.193,0.304,4pz3
 268,4nnm_C_A-C_0,A,0.153,0.299,0.153,0.299,4nnm
 269,4cic_Q_A-B-Q_0,A,0.170,0.288,0.170,0.288,4cic
 270,4cic_Q_A-B-Q_0,B,0.183,0.327,0.183,0.327,4cic
 271,5oj5_B_A-B_0,A,0.785,0.759,0.759,0.785,5oj5
 272,3fwv_C_A-C_0,A,0.188,0.340,0.188,0.340,3fwv
 273,2b6n_B_A-B_0,A,0.310,0.325,0.310,0.325,2b6n
