index,syst,chain,tm1,tm2,min,max,pdb
   0,5jjm_G_A-G-M_0,A,0.288,0.153,0.153,0.288,5jjm
   1,5tu5_B_A-B_0,A,0.320,0.155,0.155,0.320,5tu5
   2,3shb_B_A-B_0,A,0.250,0.309,0.250,0.309,3shb
   3,3tcg_I_A-I_0,A,0.354,0.098,0.098,0.354,3tcg
   4,5xcr_F_D-E-F_1,D,0.310,0.221,0.221,0.310,5xcr
   5,5xcr_F_D-E-F_1,E,0.277,0.207,0.207,0.277,5xcr
   6,2g30_S_A-P-S_0,A,0.358,0.193,0.193,0.358,2g30
   7,3zvy_D_B-D_0,B,0.255,0.319,0.255,0.319,3zvy
   8,5kzt_C_A-C_0,A,0.367,0.107,0.107,0.367,5kzt
   9,5ovv_B_A-B_0,A,0.279,0.279,0.279,0.279,5ovv
  10,3cbl_B_A-B_0,A,0.381,0.137,0.137,0.381,3cbl
  11,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.244,0.258,0.244,0.258,2y1l
  12,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.264,0.209,0.209,0.264,2y1l
  13,3m5o_C_A-C_0,A,0.430,0.250,0.250,0.430,3m5o
  14,4g69_B_A-B_0,A,0.280,0.284,0.280,0.284,4g69
  15,4ikn_B_A-B_0,A,0.291,0.165,0.165,0.291,4ikn
  16,1str_M_B-D-M-P_0,C,0.348,0.303,0.303,0.348,1str
  17,1str_M_B-D-M-P_0,B,0.300,0.259,0.259,0.300,1str
  18,4jop_C_A-C_0,A,0.272,0.293,0.272,0.293,4jop
  19,2h59_D_A-B-D-E_0,A,0.329,0.173,0.173,0.329,2h59
  20,2h59_D_A-B-D-E_0,B,0.325,0.169,0.169,0.325,2h59
  21,1wcy_C_A-B-C-D_0,A,0.341,0.075,0.075,0.341,1wcy
  22,4ny3_C_A-C_0,A,0.292,0.138,0.138,0.292,4ny3
  23,4joh_D_A-D_0,A,0.261,0.280,0.261,0.280,4joh
  24,3ny3_B_A-B_0,A,0.240,0.298,0.240,0.298,3ny3
  25,3emh_B_A-B_0,A,0.328,0.149,0.149,0.328,3emh
  26,4k3q_E_A-B-E_0,A,0.314,0.122,0.122,0.314,4k3q
  27,2f5b_P_H-L-P_0,L,0.295,0.174,0.174,0.295,2f5b
  28,2f5b_P_H-L-P_0,H,0.302,0.175,0.175,0.302,2f5b
  29,2hl3_C_A-B-C_0,A,0.289,0.337,0.289,0.337,2hl3
  30,2hl3_C_A-B-C_0,B,0.267,0.317,0.267,0.317,2hl3
  31,5xup_D_A-B-C-D_0,B,0.292,0.182,0.182,0.292,5xup
  32,1svz_C_A-B-C-D_0,A,0.332,0.186,0.186,0.332,1svz
  33,4es0_C_A-C_0,A,0.300,0.141,0.141,0.300,4es0
  34,1elr_B_A-B_0,A,0.238,0.204,0.204,0.238,1elr
  35,3thk_C_A-C_0,A,0.221,0.280,0.221,0.280,3thk
  36,4rxh_A_A-B-C_0,B,0.299,0.102,0.102,0.299,4rxh
  37,5ovc_B_A-B_0,A,0.309,0.315,0.309,0.315,5ovc
  38,3mqr_B_A-B_0,A,0.331,0.277,0.277,0.331,3mqr
  39,1b40_B_A-B_0,A,0.369,0.107,0.107,0.369,1b40
  40,5oav_B_A-B_0,A,0.258,0.341,0.258,0.341,5oav
  41,5fch_C_A-B-C_0,A,0.371,0.136,0.136,0.371,5fch
  42,5fch_C_A-B-C_0,B,0.383,0.139,0.139,0.383,5fch
  43,1gyb_E_A-B-E-F_0,A,0.316,0.277,0.277,0.316,1gyb
  44,1gyb_E_A-B-E-F_0,B,0.317,0.278,0.278,0.317,1gyb
  45,4hxj_C_A-C_0,A,0.268,0.368,0.268,0.368,4hxj
  46,1h27_E_A-B-E_0,B,0.287,0.152,0.152,0.287,1h27
  47,3upv_B_A-B_0,A,0.251,0.218,0.218,0.251,3upv
  48,1v1t_S_A-B-S-T_0,B,0.290,0.207,0.207,0.290,1v1t
